DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20060511,2006.3581,-250.2,224.1,-8.2,rrr,2.4,2.6,8.0,0.0034,Southern_California.20060511.stacov.point-2016/02/16-10:20:43 
20060512,2006.3608,-251.7,223.2,-9.5,rrr,2.4,2.6,8.0,-0.0003,Southern_California.20060512.stacov.point-2016/02/16-10:20:48 
20060513,2006.3635,-251.2,223.3,-8.0,rrr,2.4,2.6,8.0,-0.0011,Southern_California.20060513.stacov.point-2016/02/16-10:20:50 
20060514,2006.3663,-250.4,225.4,-6.6,rrr,2.4,2.6,8.0,-0.0011,Southern_California.20060514.stacov.point-2016/02/16-10:20:53 
20060515,2006.369,-249.5,224.0,-7.9,rrr,2.4,2.6,8.0,0.0036,Southern_California.20060515.stacov.point-2016/02/16-10:20:57 
20060516,2006.3718,-250.7,224.4,-7.2,rrr,2.4,2.7,8.0,-0.0134,Southern_California.20060516.stacov.point-2016/02/16-10:21:00 
20060517,2006.3745,-251.3,222.3,-6.0,rrr,2.4,2.7,8.0,-0.0102,Southern_California.20060517.stacov.point-2016/02/16-10:21:01 
20060518,2006.3772,-251.3,222.1,-4.1,rrr,2.5,2.6,8.0,-0.008,Southern_California.20060518.stacov.point-2016/02/16-10:21:03 
20060519,2006.38,-252.4,223.2,-9.9,rrr,2.5,2.6,8.0,-0.0011,Southern_California.20060519.stacov.point-2016/02/16-10:21:05 
20060520,2006.3827,-251.7,221.8,-6.6,rrr,2.5,2.6,8.0,-0.0026,Southern_California.20060520.stacov.point-2016/02/16-10:21:08 
20060521,2006.3854,-252.3,221.8,-5.4,rrr,2.5,2.6,8.0,0.0016,Southern_California.20060521.stacov.point-2016/02/16-10:21:12 
20060522,2006.3882,-252.1,221.7,-7.0,rrr,2.4,2.6,8.0,-0.007,Southern_California.20060522.stacov.point-2016/02/16-10:21:16 
20060523,2006.3909,-250.0,223.0,-12.8,rrr,2.5,2.6,8.0,0.0026,Southern_California.20060523.stacov.point-2016/02/16-10:21:21 
20060524,2006.3937,-251.6,223.0,-11.8,rrr,2.5,2.6,8.0,-0.0024,Southern_California.20060524.stacov.point-2016/02/16-10:21:27 
