DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20020511,2002.358,-337.8,291.8,-7.3,rrr,3.1,3.4,10.9,-0.0076,Southern_California.20020511.stacov.point-2016/02/16-09:39:55 
20020512,2002.3607,-337.9,291.4,-6.2,rrr,2.6,2.8,8.9,0.0047,Southern_California.20020512.stacov.point-2016/02/16-09:39:56 
20020513,2002.3635,-338.1,291.8,-4.0,rrr,2.6,2.8,8.9,0.0059,Southern_California.20020513.stacov.point-2016/02/16-09:39:57 
20020514,2002.3662,-337.3,292.4,-3.9,rrr,2.8,2.9,9.4,0.0451,Southern_California.20020514.stacov.point-2016/02/16-09:39:57 
20020515,2002.3689,-338.4,292.3,-5.2,rrr,3.0,3.1,10.2,0.0082,Southern_California.20020515.stacov.point-2016/02/16-09:39:58 
20020516,2002.3717,-337.1,290.4,-6.6,rrr,2.6,2.8,8.9,0.0156,Southern_California.20020516.stacov.point-2016/02/16-09:39:59 
20020517,2002.3744,-336.7,291.5,-8.5,rrr,2.6,2.7,8.9,0.0233,Southern_California.20020517.stacov.point-2016/02/16-09:40:00 
20020518,2002.3771,-337.4,291.9,-4.7,rrr,2.6,2.8,8.9,0.0096,Southern_California.20020518.stacov.point-2016/02/16-09:40:01 
20020519,2002.3799,-336.6,291.0,-8.4,rrr,2.6,2.8,8.9,0.0198,Southern_California.20020519.stacov.point-2016/02/16-09:40:02 
20020520,2002.3826,-336.7,293.7,-0.7,rrr,2.6,2.7,8.9,0.0318,Southern_California.20020520.stacov.point-2016/02/16-09:40:02 
20020521,2002.3854,-337.4,290.1,-6.3,rrr,2.6,2.7,8.9,0.0176,Southern_California.20020521.stacov.point-2016/02/16-09:40:03 
20020522,2002.3881,-337.4,293.0,0.7,rrr,2.6,2.7,8.9,0.0166,Southern_California.20020522.stacov.point-2016/02/16-09:40:04 
20020523,2002.3908,-337.6,290.9,-1.0,rrr,2.7,2.9,9.2,0.0389,Southern_California.20020523.stacov.point-2016/02/16-09:40:05 
20020524,2002.3936,-335.6,293.4,-1.3,rrr,2.7,2.8,9.1,0.0066,Southern_California.20020524.stacov.point-2016/02/16-09:40:06 
20020525,2002.3963,-334.7,293.7,-7.0,rrr,2.6,3.0,9.0,0.0572,Southern_California.20020525.stacov.point-2016/02/16-09:40:07 
20020526,2002.399,-337.4,290.9,-2.5,rrr,2.6,2.7,8.9,0.014,Southern_California.20020526.stacov.point-2016/02/16-09:40:07 
20020713,2002.5305,-331.2,287.4,-11.1,rrr,3.2,3.5,11.0,0.0982,Southern_California.20020713.stacov.point-2016/02/16-09:40:46 
20020716,2002.5387,-330.2,286.9,2.7,rrr,2.7,2.9,9.4,0.0248,Southern_California.20020716.stacov.point-2016/02/16-09:40:49 
20020717,2002.5414,-329.3,286.4,-2.8,rrr,2.7,2.9,9.4,0.026,Southern_California.20020717.stacov.point-2016/02/16-09:40:50 
20020718,2002.5442,-330.1,287.3,-3.3,rrr,2.8,2.9,9.6,0.0419,Southern_California.20020718.stacov.point-2016/02/16-09:40:51 
20020719,2002.5469,-330.3,287.2,-8.2,rrr,2.7,3.0,9.4,0.0511,Southern_California.20020719.stacov.point-2016/02/16-09:40:51 
20020720,2002.5496,-328.6,287.3,-5.7,rrr,2.7,2.9,9.2,0.0399,Southern_California.20020720.stacov.point-2016/02/16-09:40:52 
20020721,2002.5524,-329.4,285.7,-2.3,rrr,2.7,2.8,9.1,-0.002,Southern_California.20020721.stacov.point-2016/02/16-09:40:53 
20020722,2002.5551,-332.1,286.1,-2.6,rrr,2.7,2.9,9.4,0.0332,Southern_California.20020722.stacov.point-2016/02/16-09:40:54 
20020723,2002.5578,-330.6,286.2,-12.8,rrr,2.6,2.8,8.9,-0.007,Southern_California.20020723.stacov.point-2016/02/16-09:40:55 
20020724,2002.5606,-330.3,284.7,-6.2,rrr,2.7,2.9,9.4,-0.0013,Southern_California.20020724.stacov.point-2016/02/16-09:40:55 
