DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19940907,1994.6836,-185.5,168.6,-8.6,rrr,2.7,3.2,9.8,0.0626,Southern_California.19940907.stacov.point-2016/02/16-09:19:33 
19940908,1994.6864,-184.3,169.1,-10.1,rrr,2.7,3.3,9.9,0.0638,Southern_California.19940908.stacov.point-2016/02/16-09:19:34 
19940909,1994.6891,-185.5,169.4,-3.4,rrr,2.7,3.3,9.9,0.0413,Southern_California.19940909.stacov.point-2016/02/16-09:19:34 
19940925,1994.7329,-182.7,168.6,-8.2,rrr,2.8,3.3,10.3,0.022,Southern_California.19940925.stacov.point-2016/02/16-09:19:37 
19940926,1994.7356,-183.7,167.4,-15.8,rrr,2.8,3.3,10.3,0.0086,Southern_California.19940926.stacov.point-2016/02/16-09:19:37 
19940927,1994.7384,-183.6,168.9,-5.8,rrr,2.7,3.3,10.1,0.0316,Southern_California.19940927.stacov.point-2016/02/16-09:19:37 
19940928,1994.7411,-182.2,169.6,-5.8,rrr,2.8,3.2,10.1,0.0344,Southern_California.19940928.stacov.point-2016/02/16-09:19:38 
19941001,1994.7493,-180.2,171.9,-3.9,rrr,2.8,3.3,10.1,0.0609,Southern_California.19941001.stacov.point-2016/02/16-09:19:38 
19941002,1994.7521,-178.3,173.8,-4.7,rrr,2.8,3.2,10.3,0.0614,Southern_California.19941002.stacov.point-2016/02/16-09:19:38 
19941003,1994.7548,-183.3,168.8,-7.2,rrr,2.8,3.3,10.1,0.0633,Southern_California.19941003.stacov.point-2016/02/16-09:19:39 
19941006,1994.763,-183.9,166.2,-10.0,rrr,2.9,3.4,10.6,0.0391,Southern_California.19941006.stacov.point-2016/02/16-09:19:39 
19941007,1994.7658,-182.4,166.6,-8.9,rrr,2.8,3.2,10.0,0.0282,Southern_California.19941007.stacov.point-2016/02/16-09:19:39 
19941008,1994.7685,-180.9,167.4,-16.2,rrr,2.9,3.2,10.3,0.0604,Southern_California.19941008.stacov.point-2016/02/16-09:19:40 
19941010,1994.774,-181.6,168.5,-11.7,rrr,3.0,3.6,11.1,0.0554,Southern_California.19941010.stacov.point-2016/02/16-09:19:40 
19941011,1994.7767,-182.2,163.7,-5.6,rrr,3.0,3.4,11.4,0.0343,Southern_California.19941011.stacov.point-2016/02/16-09:19:40 
19941012,1994.7794,-181.6,164.4,-12.7,rrr,3.1,3.5,12.1,0.0127,Southern_California.19941012.stacov.point-2016/02/16-09:19:40 
19941013,1994.7822,-182.5,163.6,-7.9,rrr,3.0,3.6,11.4,-0.0154,Southern_California.19941013.stacov.point-2016/02/16-09:19:41 
19941014,1994.7849,-182.1,162.4,-9.8,rrr,3.0,3.6,11.7,-0.0032,Southern_California.19941014.stacov.point-2016/02/16-09:19:41 
19941015,1994.7877,-183.6,159.5,-12.2,rrr,3.0,3.5,11.7,-0.031,Southern_California.19941015.stacov.point-2016/02/16-09:19:41 
19941016,1994.7904,-182.1,169.3,-2.6,rrr,3.1,3.7,12.1,-0.0164,Southern_California.19941016.stacov.point-2016/02/16-09:19:41 
19941017,1994.7931,-179.0,165.4,-7.7,rrr,3.0,3.7,11.7,0.019,Southern_California.19941017.stacov.point-2016/02/16-09:19:41 
19941018,1994.7959,-181.2,169.2,-8.6,rrr,3.1,3.7,11.9,0.02,Southern_California.19941018.stacov.point-2016/02/16-09:19:42 
19941019,1994.7986,-183.7,170.7,-5.3,rrr,2.9,3.7,11.5,0.0677,Southern_California.19941019.stacov.point-2016/02/16-09:19:42 
