DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20200112,2020.0313,-25.2,23.4,3.3,rrr,2.3,2.6,7.7,0.0234,Southern_California.20200112.stacov.point-2020/05/11-22:28:16 
20200113,2020.034,-24.5,22.9,5.0,rrr,2.3,2.6,7.7,0.0254,Southern_California.20200113.stacov.point-2020/05/12-22:27:09 
20200114,2020.0368,-25.5,22.4,1.8,rrr,2.3,2.6,7.7,0.0265,Southern_California.20200114.stacov.point-2020/05/13-22:27:06 
20200115,2020.0395,-24.4,22.2,-0.4,rrr,2.3,2.6,7.7,0.0287,Southern_California.20200115.stacov.point-2020/05/14-22:28:06 
20200116,2020.0422,-22.5,23.0,0.8,rrr,2.4,2.7,7.9,-0.0013,Southern_California.20200116.stacov.point-2020/05/15-22:28:15 
20200117,2020.045,-24.5,23.7,6.5,rrr,2.4,2.7,7.9,-0.0064,Southern_California.20200117.stacov.point-2020/05/16-22:25:46 
20200118,2020.0477,-23.1,22.5,3.0,rrr,2.3,2.6,7.7,0.0215,Southern_California.20200118.stacov.point-2020/05/17-22:28:42 
20200119,2020.0505,-21.9,24.5,-0.8,rrr,2.3,2.6,7.7,0.024,Southern_California.20200119.stacov.point-2020/05/18-22:27:35 
20200120,2020.0532,-22.0,22.7,7.7,rrr,2.3,2.6,7.8,0.023,Southern_California.20200120.stacov.point-2020/05/19-22:28:37 
20200121,2020.0559,-23.5,23.6,2.8,rrr,2.3,2.6,7.7,0.0097,Southern_California.20200121.stacov.point-2020/05/20-22:28:18 
20200122,2020.0587,-23.1,23.2,0.3,rrr,2.3,2.6,7.7,0.0233,Southern_California.20200122.stacov.point-2020/05/21-22:28:29 
20200123,2020.0614,-23.0,24.1,-1.9,rrr,2.3,2.6,7.7,0.0268,Southern_California.20200123.stacov.point-2020/05/22-22:27:35 
20200124,2020.0641,-23.9,22.5,1.2,rrr,2.3,2.6,7.7,0.0289,Southern_California.20200124.stacov.point-2020/05/23-22:28:43 
