DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20000601,2000.4168,-108.0,155.8,187.7,rrr,2.7,3.1,9.6,0.0299,Southern_California.20000601.stacov.point-2016/02/16-09:31:09 
20000602,2000.4195,-106.9,156.5,186.2,rrr,2.5,2.9,8.4,0.0061,Southern_California.20000602.stacov.point-2016/02/16-09:31:10 
20000603,2000.4223,-108.0,157.7,187.2,rrr,2.5,2.8,8.4,0.0036,Southern_California.20000603.stacov.point-2016/02/16-09:31:11 
20000604,2000.425,-106.9,157.1,184.8,rrr,2.4,2.8,8.4,-0.0045,Southern_California.20000604.stacov.point-2016/02/16-09:31:11 
20000605,2000.4278,-108.1,156.5,185.0,rrr,2.4,2.8,8.4,-0.016,Southern_California.20000605.stacov.point-2016/02/16-09:31:12 
20000606,2000.4305,-109.1,156.2,184.7,rrr,2.4,2.8,8.4,-0.0056,Southern_California.20000606.stacov.point-2016/02/16-09:31:12 
20000607,2000.4332,-109.1,155.2,184.9,rrr,2.4,2.8,8.4,-0.0056,Southern_California.20000607.stacov.point-2016/02/16-09:31:13 
20000608,2000.436,-109.9,155.4,191.6,rrr,2.5,3.0,8.9,0.0117,Southern_California.20000608.stacov.point-2016/02/16-09:31:14 
20000609,2000.4387,-112.7,154.5,183.6,rrr,2.4,2.8,8.4,0.0091,Southern_California.20000609.stacov.point-2016/02/16-09:31:14 
20000610,2000.4414,-112.6,154.0,184.9,rrr,2.5,2.8,8.4,0.0142,Southern_California.20000610.stacov.point-2016/02/16-09:31:15 
20000611,2000.4442,-111.8,152.5,179.3,rrr,2.4,2.8,8.4,0.0143,Southern_California.20000611.stacov.point-2016/02/16-09:31:16 
20001219,2000.9672,-100.4,156.4,190.7,rrr,5.7,6.6,21.6,-0.1057,Southern_California.20001219.stacov.point-2016/02/16-09:33:24 
20001220,2000.97,-99.7,154.8,195.3,rrr,5.1,6.4,19.8,-0.05,Southern_California.20001220.stacov.point-2016/02/16-09:33:25 
20001226,2000.9864,-100.8,151.2,194.3,rrr,5.1,6.4,19.4,-0.05,Southern_California.20001226.stacov.point-2016/02/16-09:33:29 
20001227,2000.9891,-101.3,153.7,185.7,rrr,5.2,6.3,19.0,-0.0447,Southern_California.20001227.stacov.point-2016/02/16-09:33:30 
20001228,2000.9919,-97.6,153.7,202.8,rrr,5.1,6.5,18.9,-0.0359,Southern_California.20001228.stacov.point-2016/02/16-09:33:30 
20001229,2000.9946,-100.6,152.8,196.9,rrr,5.2,6.5,19.2,-0.0875,Southern_California.20001229.stacov.point-2016/02/16-09:33:31 
20001230,2000.9974,-101.1,150.2,198.3,rrr,5.2,6.2,17.7,-0.1101,Southern_California.20001230.stacov.point-2016/02/16-09:33:32 
20001231,2001.0001,-99.4,152.1,202.6,rrr,5.1,6.4,18.5,-0.0897,Southern_California.20001231.stacov.point-2016/02/16-09:33:33 
20010102,2001.0056,-100.8,151.3,196.8,rrr,5.1,6.4,18.5,-0.0458,Southern_California.20010102.stacov.point-2016/02/16-09:33:34 
20010104,2001.011,-99.5,154.1,199.4,rrr,5.2,6.5,18.4,-0.0401,Southern_California.20010104.stacov.point-2016/02/16-09:33:36 
20010105,2001.0138,-98.5,152.1,195.5,rrr,5.3,6.6,18.4,-0.0107,Southern_California.20010105.stacov.point-2016/02/16-09:33:36 
20010107,2001.0193,-98.9,152.1,206.0,rrr,5.3,6.4,18.3,-0.0912,Southern_California.20010107.stacov.point-2016/02/16-09:33:38 
20010112,2001.0329,-100.4,150.8,209.4,rrr,5.2,6.4,18.0,-0.085,Southern_California.20010112.stacov.point-2016/02/16-09:33:41 
20010113,2001.0357,-101.1,152.7,198.0,rrr,5.5,6.8,19.3,-0.1224,Southern_California.20010113.stacov.point-2016/02/16-09:33:42 
20010114,2001.0384,-98.8,151.1,199.6,rrr,5.1,6.5,18.5,-0.0532,Southern_California.20010114.stacov.point-2016/02/16-09:33:43 
20010116,2001.0439,-97.7,151.8,200.3,rrr,4.9,6.2,17.0,-0.0307,Southern_California.20010116.stacov.point-2016/02/16-09:33:44 
20010117,2001.0466,-96.8,151.7,195.1,rrr,5.1,6.5,18.3,-0.0648,Southern_California.20010117.stacov.point-2016/02/16-09:33:45 
20010118,2001.0494,-96.0,152.9,194.6,rrr,5.0,6.5,18.0,0.0245,Southern_California.20010118.stacov.point-2016/02/16-09:33:46 
20010119,2001.0521,-96.6,153.2,196.5,rrr,5.2,6.4,17.8,0.0179,Southern_California.20010119.stacov.point-2016/02/16-09:33:47 
20010120,2001.0548,-96.4,150.1,191.9,rrr,5.0,6.2,17.6,-0.0108,Southern_California.20010120.stacov.point-2016/02/16-09:33:47 
20010121,2001.0576,-97.1,151.9,195.1,rrr,5.1,6.5,18.4,0.0247,Southern_California.20010121.stacov.point-2016/02/16-09:33:48 
20010124,2001.0658,-98.7,151.1,197.1,rrr,5.1,6.7,18.4,-0.0611,Southern_California.20010124.stacov.point-2016/02/16-09:33:50 
20010125,2001.0685,-96.7,152.8,202.0,rrr,6.1,8.4,23.5,-0.083,Southern_California.20010125.stacov.point-2016/02/16-09:33:51 
20010126,2001.0713,-100.4,151.5,196.7,rrr,5.1,6.8,18.9,-0.0432,Southern_California.20010126.stacov.point-2016/02/16-09:33:52 
20010131,2001.085,-96.2,151.7,198.1,rrr,5.0,6.4,18.2,-0.1131,Southern_California.20010131.stacov.point-2016/02/16-09:33:55 
20010201,2001.0877,-95.9,152.4,196.3,rrr,4.9,6.2,17.8,-0.0504,Southern_California.20010201.stacov.point-2016/02/16-09:33:56 
20010202,2001.0904,-96.0,152.0,191.7,rrr,4.9,6.2,18.0,-0.0826,Southern_California.20010202.stacov.point-2016/02/16-09:33:57 
20010203,2001.0932,-94.8,150.3,195.5,rrr,4.9,6.1,18.1,-0.0603,Southern_California.20010203.stacov.point-2016/02/16-09:33:58 
20010204,2001.0959,-97.1,150.8,199.3,rrr,4.9,6.1,17.8,-0.0533,Southern_California.20010204.stacov.point-2016/02/16-09:33:58 
