DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20201208,2020.9375,-1.3,0.9,-5.4,rrr,2.8,3.3,10.0,-0.0418,Southern_California.20201208.stacov.point-2021/04/07-22:32:37 
20201209,2020.9403,-1.6,0.4,-2.7,rrr,2.8,3.1,9.7,-0.0449,Southern_California.20201209.stacov.point-2021/04/08-22:31:22 
20201210,2020.943,-0.2,-0.5,-6.0,rrr,2.9,3.1,9.9,-0.0835,Southern_California.20201210.stacov.point-2021/04/09-22:33:53 
20201211,2020.9458,-1.2,-0.5,-0.3,rrr,2.8,3.1,9.9,-0.0873,Southern_California.20201211.stacov.point-2021/04/10-22:34:13 
20201212,2020.9485,-0.9,-0.2,-3.3,rrr,2.9,3.1,9.9,-0.0872,Southern_California.20201212.stacov.point-2021/02/09-22:45:42 
20201213,2020.9512,-2.5,0.3,-3.1,rrr,2.8,3.2,9.9,-0.0822,Southern_California.20201213.stacov.point-2021/04/12-22:31:29 
20201214,2020.954,0.2,-0.5,-2.3,rrr,2.8,3.1,9.9,-0.0941,Southern_California.20201214.stacov.point-2021/04/13-22:29:20 
20201215,2020.9567,0.0,0.7,-2.7,rrr,2.8,3.1,9.9,-0.0874,Southern_California.20201215.stacov.point-2021/04/14-22:28:46 
20201216,2020.9594,1.3,-0.1,-2.8,rrr,2.8,3.1,9.9,-0.0789,Southern_California.20201216.stacov.point-2021/04/15-22:31:53 
20201217,2020.9622,-0.8,0.5,0.7,rrr,2.9,3.1,9.9,-0.0914,Southern_California.20201217.stacov.point-2021/04/16-22:30:22 
20201218,2020.9649,-0.1,0.8,-3.7,rrr,2.9,3.1,9.9,-0.0764,Southern_California.20201218.stacov.point-2021/04/17-22:31:03 
20201219,2020.9677,0.0,1.0,-3.4,rrr,2.9,3.4,10.2,-0.0752,Southern_California.20201219.stacov.point-2021/04/18-22:28:17 
20210114,2021.0388,1.9,1.3,-3.7,rrr,2.8,3.3,10.0,-0.0465,Southern_California.20210114.stacov.point-2021/03/14-22:44:14 
20210115,2021.0416,-0.1,-0.6,1.0,rrr,2.8,3.3,10.0,-0.052,Southern_California.20210115.stacov.point-2021/05/15-22:29:13 
20210116,2021.0443,-0.7,1.5,3.7,rrr,2.9,3.3,10.0,-0.0403,Southern_California.20210116.stacov.point-2021/05/16-22:29:14 
20210117,2021.0471,-0.2,0.7,-1.3,rrr,2.8,3.1,9.9,-0.0698,Southern_California.20210117.stacov.point-2021/05/17-22:27:31 
20210118,2021.0498,-0.3,0.7,2.4,rrr,2.8,3.2,9.9,-0.0762,Southern_California.20210118.stacov.point-2021/05/18-22:27:27 
20210119,2021.0525,-1.1,0.9,-2.2,rrr,2.8,3.1,9.7,-0.0647,Southern_California.20210119.stacov.point-2021/05/19-22:27:46 
20210120,2021.0553,-0.4,1.3,-2.4,rrr,3.0,3.4,10.4,-0.0742,Southern_California.20210120.stacov.point-2021/05/20-22:28:05 
20210121,2021.058,-1.0,-0.4,0.6,rrr,2.8,3.3,10.0,-0.0445,Southern_California.20210121.stacov.point-2021/05/21-22:28:09 
20210122,2021.0607,-0.2,2.2,0.7,rrr,2.8,3.3,10.0,-0.0336,Southern_California.20210122.stacov.point-2021/05/22-22:28:38 
20210123,2021.0635,-0.8,3.1,5.2,rrr,2.8,3.1,9.9,-0.0733,Southern_California.20210123.stacov.point-2021/05/23-22:27:15 
20210124,2021.0662,-2.0,0.7,1.7,rrr,2.8,3.1,9.9,-0.0842,Southern_California.20210124.stacov.point-2021/05/24-22:27:58 
20210125,2021.069,-1.0,1.5,4.2,rrr,2.8,3.3,10.0,-0.0312,Southern_California.20210125.stacov.point-2021/05/25-22:28:22 
20210126,2021.0717,-0.7,2.0,4.9,rrr,2.8,3.3,10.0,-0.038,Southern_California.20210126.stacov.point-2021/05/26-22:27:14 
20210127,2021.0744,-0.3,1.6,-6.1,rrr,2.9,3.3,10.0,-0.0413,Southern_California.20210127.stacov.point-2021/05/27-22:28:28 
20210128,2021.0772,-0.2,1.4,-3.1,rrr,2.8,3.1,9.9,-0.0857,Southern_California.20210128.stacov.point-2021/05/28-22:28:59 
20210129,2021.0799,0.6,2.7,3.6,rrr,2.9,3.3,10.2,-0.0571,Southern_California.20210129.stacov.point-2021/05/29-22:28:01 
20210131,2021.0854,0.5,1.3,-3.5,rrr,2.8,3.3,10.0,-0.037,Southern_California.20210131.stacov.point-2021/05/31-22:27:36 
20210202,2021.0909,1.2,-0.3,-3.2,rrr,2.8,3.2,10.0,-0.0399,Southern_California.20210202.stacov.point-2021/04/02-22:31:15 
20210203,2021.0936,-0.2,-0.5,-4.1,rrr,2.8,3.2,9.9,-0.0811,Southern_California.20210203.stacov.point-2021/04/03-22:41:36 
20210204,2021.0963,-1.0,0.6,-0.6,rrr,2.9,3.3,10.2,-0.0482,Southern_California.20210204.stacov.point-2021/04/04-22:41:18 
20210206,2021.1018,0.8,-0.8,-3.9,rrr,2.8,3.3,10.0,-0.042,Southern_California.20210206.stacov.point-2021/04/06-22:46:07 
20210207,2021.1046,2.2,-0.3,-4.3,rrr,2.8,3.1,9.9,-0.0847,Southern_California.20210207.stacov.point-2021/04/07-22:46:24 
20210209,2021.11,2.5,1.3,2.8,rrr,2.8,3.3,10.0,-0.0346,Southern_California.20210209.stacov.point-2021/04/09-22:50:41 
20210211,2021.1155,1.5,-0.3,-1.7,rrr,2.8,3.3,10.0,-0.04,Southern_California.20210211.stacov.point-2021/04/11-22:37:44 
20210212,2021.1182,1.7,-0.0,9.8,rrr,2.8,3.3,10.0,-0.0432,Southern_California.20210212.stacov.point-2021/04/12-22:45:18 
20210215,2021.1265,1.2,0.1,8.3,rrr,2.8,3.1,9.9,-0.0701,Southern_California.20210215.stacov.point-2021/04/15-22:47:20 
20210219,2021.1374,0.4,1.1,-10.3,rrr,2.8,3.3,10.0,-0.0539,Southern_California.20210219.stacov.point-2021/04/19-22:44:02 
20210220,2021.1401,-0.7,-1.5,5.4,rrr,2.8,3.3,10.0,-0.0316,Southern_California.20210220.stacov.point-2021/04/20-22:44:31 
20210221,2021.1429,0.4,0.5,-0.9,rrr,2.8,3.3,10.0,-0.0299,Southern_California.20210221.stacov.point-2021/06/21-23:09:03 
