DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20201211,2020.9458,-2.7,-1.8,-0.5,rrr,2.5,2.8,8.7,-0.0632,Southern_California.20201211.stacov.point-2021/04/10-22:34:13 
20201212,2020.9485,-2.3,-1.3,-4.1,rrr,2.5,3.0,8.8,-0.0018,Southern_California.20201212.stacov.point-2021/02/09-22:45:42 
20201216,2020.9594,-0.5,-1.7,-0.8,rrr,2.5,2.8,8.7,-0.0562,Southern_California.20201216.stacov.point-2021/04/15-22:31:53 
20201217,2020.9622,-2.5,-1.1,0.9,rrr,2.5,2.8,8.7,-0.066,Southern_California.20201217.stacov.point-2021/04/16-22:30:22 
20201218,2020.9649,-2.3,-0.7,3.3,rrr,2.5,3.0,8.8,-0.0002,Southern_California.20201218.stacov.point-2021/04/17-22:31:03 
20201219,2020.9677,-0.8,-0.8,-2.8,rrr,2.6,3.1,9.0,-0.0398,Southern_California.20201219.stacov.point-2021/04/18-22:28:17 
20210117,2021.0471,-1.8,0.2,2.0,rrr,2.6,3.0,9.0,-0.0287,Southern_California.20210117.stacov.point-2021/05/17-22:27:31 
20210118,2021.0498,-1.8,-0.5,7.2,rrr,2.5,2.8,8.7,-0.0574,Southern_California.20210118.stacov.point-2021/05/18-22:27:27 
20210119,2021.0525,-1.4,0.3,1.2,rrr,2.5,2.8,8.7,-0.0492,Southern_California.20210119.stacov.point-2021/05/19-22:27:46 
20210120,2021.0553,-2.4,-0.3,-2.8,rrr,2.7,3.0,9.4,-0.0707,Southern_California.20210120.stacov.point-2021/05/20-22:28:05 
20210121,2021.058,-1.8,-0.5,-0.0,rrr,2.6,3.1,9.0,-0.0268,Southern_California.20210121.stacov.point-2021/05/21-22:28:09 
20210122,2021.0607,-1.8,1.4,0.4,rrr,2.5,3.0,8.8,-0.0002,Southern_California.20210122.stacov.point-2021/05/22-22:28:38 
20210124,2021.0662,-2.3,-0.7,1.2,rrr,2.5,3.0,8.8,-0.0048,Southern_California.20210124.stacov.point-2021/05/24-22:27:58 
20210125,2021.069,-1.2,0.9,13.3,rrr,2.6,2.9,8.9,-0.0866,Southern_California.20210125.stacov.point-2021/05/25-22:28:22 
20210127,2021.0744,-1.9,0.5,0.8,rrr,2.5,2.8,8.7,-0.0475,Southern_California.20210127.stacov.point-2021/05/27-22:28:28 
20210128,2021.0772,-1.8,0.5,-0.7,rrr,2.5,2.8,8.7,-0.055,Southern_California.20210128.stacov.point-2021/05/28-22:28:59 
20210129,2021.0799,-0.3,1.5,5.6,rrr,2.6,3.0,9.0,-0.026,Southern_California.20210129.stacov.point-2021/05/29-22:28:01 
20210130,2021.0827,-0.5,-0.6,-0.4,rrr,2.5,2.8,8.7,-0.0653,Southern_California.20210130.stacov.point-2021/05/30-22:28:11 
