DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20201208,2020.9375,-0.9,0.7,-3.5,rrr,2.5,2.9,8.4,-0.0196,Southern_California.20201208.stacov.point-2021/04/07-22:32:37 
20201209,2020.9403,-1.2,0.0,-5.5,rrr,2.5,2.9,8.4,-0.0079,Southern_California.20201209.stacov.point-2021/04/08-22:31:22 
20201210,2020.943,0.4,-0.4,-3.1,rrr,2.5,2.9,8.7,-0.0306,Southern_California.20201210.stacov.point-2021/04/09-22:33:53 
20201211,2020.9458,-0.2,-0.0,-4.7,rrr,2.5,2.8,8.4,-0.0543,Southern_California.20201211.stacov.point-2021/04/10-22:34:13 
20201212,2020.9485,0.9,1.5,-1.3,rrr,2.5,2.9,8.4,-0.0017,Southern_California.20201212.stacov.point-2021/02/09-22:45:42 
20201213,2020.9512,-0.3,0.5,1.4,rrr,2.5,2.8,8.4,-0.0462,Southern_California.20201213.stacov.point-2021/04/12-22:31:29 
20201214,2020.954,-0.7,-0.1,0.0,rrr,2.5,2.9,8.4,-0.0137,Southern_California.20201214.stacov.point-2021/04/13-22:29:20 
20201215,2020.9567,-1.2,0.3,3.4,rrr,2.5,2.7,8.4,-0.0627,Southern_California.20201215.stacov.point-2021/04/14-22:28:46 
20201216,2020.9594,1.1,0.1,-3.2,rrr,2.6,3.0,8.7,-0.0294,Southern_California.20201216.stacov.point-2021/04/15-22:31:53 
20201217,2020.9622,0.5,1.2,-1.4,rrr,2.5,2.9,8.4,-0.0113,Southern_California.20201217.stacov.point-2021/04/16-22:30:22 
20201218,2020.9649,0.8,0.3,0.7,rrr,2.5,2.9,8.4,-0.0129,Southern_California.20201218.stacov.point-2021/04/17-22:31:03 
20201219,2020.9677,1.4,0.7,-3.5,rrr,2.6,2.9,8.7,-0.046,Southern_California.20201219.stacov.point-2021/04/18-22:28:17 
20210114,2021.0388,-0.2,2.1,6.0,rrr,2.5,2.9,8.4,-0.0083,Southern_California.20210114.stacov.point-2021/03/14-22:44:14 
20210115,2021.0416,-0.5,0.8,1.4,rrr,2.5,2.7,8.4,-0.0607,Southern_California.20210115.stacov.point-2021/05/15-22:29:13 
20210116,2021.0443,1.8,1.2,5.4,rrr,2.5,2.9,8.4,-0.0004,Southern_California.20210116.stacov.point-2021/05/16-22:29:14 
20210117,2021.0471,0.4,0.8,0.4,rrr,2.5,2.7,8.2,-0.0722,Southern_California.20210117.stacov.point-2021/05/17-22:27:31 
20210118,2021.0498,0.3,0.3,2.8,rrr,2.5,2.9,8.3,-0.0163,Southern_California.20210118.stacov.point-2021/05/18-22:27:27 
20210119,2021.0525,-0.1,1.7,2.9,rrr,2.6,2.9,8.7,-0.0348,Southern_California.20210119.stacov.point-2021/05/19-22:27:46 
20210121,2021.058,-0.9,0.9,-1.0,rrr,2.6,3.0,8.7,-0.0408,Southern_California.20210121.stacov.point-2021/05/21-22:28:09 
20210122,2021.0607,0.3,2.5,5.3,rrr,2.5,2.7,8.2,-0.0692,Southern_California.20210122.stacov.point-2021/05/22-22:28:38 
20210123,2021.0635,-1.6,2.7,9.6,rrr,2.5,2.9,8.5,-0.0158,Southern_California.20210123.stacov.point-2021/05/23-22:27:15 
20210124,2021.0662,-2.3,1.4,5.4,rrr,2.5,2.9,8.4,-0.0173,Southern_California.20210124.stacov.point-2021/05/24-22:27:58 
20210125,2021.069,-0.8,3.0,10.3,rrr,2.6,2.9,8.4,-0.0229,Southern_California.20210125.stacov.point-2021/05/25-22:28:22 
20210126,2021.0717,0.1,3.1,3.9,rrr,2.5,2.9,8.3,-0.0129,Southern_California.20210126.stacov.point-2021/05/26-22:27:14 
20210127,2021.0744,-0.4,2.7,-1.7,rrr,2.5,2.9,8.3,0.0009,Southern_California.20210127.stacov.point-2021/05/27-22:28:28 
20210128,2021.0772,0.0,2.5,-0.3,rrr,2.5,2.9,8.3,-0.0117,Southern_California.20210128.stacov.point-2021/05/28-22:28:59 
20210129,2021.0799,0.7,3.7,5.3,rrr,2.6,2.9,8.7,-0.0344,Southern_California.20210129.stacov.point-2021/05/29-22:28:01 
20210130,2021.0827,1.1,1.0,4.8,rrr,2.5,2.7,8.2,-0.0609,Southern_California.20210130.stacov.point-2021/05/30-22:28:11 
20210131,2021.0854,1.0,1.9,-3.8,rrr,2.5,2.9,8.4,-0.0121,Southern_California.20210131.stacov.point-2021/05/31-22:27:36 
20210201,2021.0881,0.2,1.8,-3.5,rrr,2.5,2.9,8.4,-0.0126,Southern_California.20210201.stacov.point-2021/06/01-22:26:40 
20210202,2021.0909,0.9,2.3,-3.2,rrr,2.5,2.9,8.4,-0.0083,Southern_California.20210202.stacov.point-2021/04/02-22:31:15 
20210203,2021.0936,-0.4,1.6,3.6,rrr,2.5,2.9,8.5,-0.0103,Southern_California.20210203.stacov.point-2021/04/03-22:41:36 
20210204,2021.0963,0.5,0.7,2.5,rrr,2.5,2.9,8.4,-0.0199,Southern_California.20210204.stacov.point-2021/04/04-22:41:18 
20210205,2021.0991,-0.9,2.2,5.0,rrr,2.6,2.9,8.7,-0.0501,Southern_California.20210205.stacov.point-2021/04/05-22:41:24 
20210206,2021.1018,2.3,-0.3,0.7,rrr,2.5,2.9,8.4,-0.0182,Southern_California.20210206.stacov.point-2021/04/06-22:46:07 
20210207,2021.1046,2.6,-0.1,-1.7,rrr,2.5,3.0,8.4,-0.0211,Southern_California.20210207.stacov.point-2021/04/07-22:46:24 
20210208,2021.1073,2.0,1.7,3.9,rrr,2.5,2.9,8.4,-0.0093,Southern_California.20210208.stacov.point-2021/04/08-22:48:20 
20210210,2021.1128,1.9,1.0,1.4,rrr,2.5,2.7,8.4,-0.0581,Southern_California.20210210.stacov.point-2021/04/10-22:50:44 
20210211,2021.1155,2.2,1.3,3.2,rrr,2.5,2.9,8.5,0.0016,Southern_California.20210211.stacov.point-2021/04/11-22:37:44 
20210212,2021.1182,3.6,1.3,5.6,rrr,2.5,2.9,8.5,-0.0193,Southern_California.20210212.stacov.point-2021/04/12-22:45:18 
20210213,2021.121,3.0,-0.6,9.0,rrr,2.6,2.9,8.7,-0.0384,Southern_California.20210213.stacov.point-2021/04/13-22:42:06 
20210215,2021.1265,1.4,1.9,5.3,rrr,2.5,2.9,8.4,-0.024,Southern_California.20210215.stacov.point-2021/04/15-22:47:20 
20210216,2021.1292,3.3,1.2,-1.4,rrr,2.6,2.9,8.7,-0.0427,Southern_California.20210216.stacov.point-2021/04/16-22:43:54 
20210217,2021.1319,1.5,-0.3,1.9,rrr,2.5,2.9,8.4,-0.0027,Southern_California.20210217.stacov.point-2021/04/17-22:45:36 
20210218,2021.1347,2.4,0.6,-1.5,rrr,2.6,2.9,8.7,-0.0523,Southern_California.20210218.stacov.point-2021/04/18-22:42:52 
20210219,2021.1374,1.3,1.5,-7.6,rrr,2.6,2.9,8.7,-0.0577,Southern_California.20210219.stacov.point-2021/04/19-22:44:02 
20210220,2021.1401,0.6,0.7,-0.4,rrr,2.5,2.9,8.7,-0.0278,Southern_California.20210220.stacov.point-2021/04/20-22:44:31 
20210221,2021.1429,0.6,1.8,-0.6,rrr,2.5,2.7,8.2,-0.0723,Southern_California.20210221.stacov.point-2021/06/21-23:09:03 
20210222,2021.1456,0.3,1.5,-3.0,rrr,2.5,2.9,8.4,-0.0127,Southern_California.20210222.stacov.point-2021/04/22-22:46:51 
20210223,2021.1484,1.2,2.1,-0.4,rrr,2.5,2.9,8.4,-0.0152,Southern_California.20210223.stacov.point-2021/06/23-23:09:42 
20210224,2021.1511,-0.1,1.3,-2.1,rrr,2.5,2.9,8.4,-0.0139,Southern_California.20210224.stacov.point-2021/06/24-23:10:33 
20210225,2021.1538,1.2,1.1,-1.4,rrr,2.6,3.0,8.7,-0.0411,Southern_California.20210225.stacov.point-2021/04/25-22:44:48 
20210226,2021.1566,0.7,-0.2,1.2,rrr,2.5,3.0,8.4,-0.0226,Southern_California.20210226.stacov.point-2021/06/26-23:10:09 
