DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19960718,1996.5454,-312.6,324.9,0.6,rrr,3.2,4.3,13.5,-0.1008,Southern_California.19960718.stacov.point-2016/02/16-09:22:22 
19960719,1996.5481,-312.0,324.7,5.1,rrr,3.2,4.4,14.6,-0.0527,Southern_California.19960719.stacov.point-2016/02/16-09:22:22 
19960720,1996.5509,-313.6,322.6,14.7,rrr,3.4,4.3,14.6,-0.0862,Southern_California.19960720.stacov.point-2016/02/16-09:22:23 
19960721,1996.5536,-313.7,325.2,15.6,rrr,3.3,4.3,14.6,-0.0645,Southern_California.19960721.stacov.point-2016/02/16-09:22:23 
19960722,1996.5563,-312.3,324.9,4.5,rrr,3.3,4.3,13.9,-0.148,Southern_California.19960722.stacov.point-2016/02/16-09:22:23 
19960723,1996.5591,-314.0,323.8,2.1,rrr,3.6,4.5,16.6,-0.0302,Southern_California.19960723.stacov.point-2016/02/16-09:22:24 
19960726,1996.5673,-313.9,324.0,11.5,rrr,3.4,4.6,14.9,-0.0695,Southern_California.19960726.stacov.point-2016/02/16-09:22:24 
19960727,1996.57,-311.4,321.0,5.6,rrr,3.5,4.3,14.2,-0.1077,Southern_California.19960727.stacov.point-2016/02/16-09:22:25 
19960728,1996.5728,-313.4,324.2,12.2,rrr,5.1,6.3,25.3,-0.0075,Southern_California.19960728.stacov.point-2016/02/16-09:22:25 
19960729,1996.5755,-312.4,322.3,-0.4,rrr,3.5,4.3,15.8,-0.0343,Southern_California.19960729.stacov.point-2016/02/16-09:22:25 
19960806,1996.5974,-312.6,323.2,8.0,rrr,3.5,4.6,14.8,-0.1296,Southern_California.19960806.stacov.point-2016/02/16-09:22:27 
19960807,1996.6002,-314.2,323.4,12.9,rrr,3.6,4.6,15.1,-0.1012,Southern_California.19960807.stacov.point-2016/02/16-09:22:28 
19960808,1996.6029,-313.1,323.4,4.7,rrr,3.5,4.7,14.9,-0.121,Southern_California.19960808.stacov.point-2016/02/16-09:22:28 
19960809,1996.6056,-311.6,324.4,18.5,rrr,3.4,4.4,14.2,-0.1299,Southern_California.19960809.stacov.point-2016/02/16-09:22:28 
19960810,1996.6084,-312.5,323.6,18.7,rrr,3.4,4.3,14.4,-0.0897,Southern_California.19960810.stacov.point-2016/02/16-09:22:28 
19960811,1996.6111,-313.3,324.5,14.3,rrr,3.3,4.3,13.7,-0.1245,Southern_California.19960811.stacov.point-2016/02/16-09:22:29 
19960812,1996.6138,-313.0,326.0,6.2,rrr,3.5,4.3,14.6,-0.0887,Southern_California.19960812.stacov.point-2016/02/16-09:22:29 
19960813,1996.6166,-311.6,324.7,1.8,rrr,3.4,4.4,14.8,-0.1312,Southern_California.19960813.stacov.point-2016/02/16-09:22:29 
19960814,1996.6193,-311.5,324.2,10.2,rrr,3.3,4.0,13.5,-0.1235,Southern_California.19960814.stacov.point-2016/02/16-09:22:29 
19960820,1996.6357,-312.5,323.5,6.3,rrr,3.4,4.2,13.4,-0.1133,Southern_California.19960820.stacov.point-2016/02/16-09:22:31 
19960821,1996.6385,-311.9,322.2,4.2,rrr,3.6,4.5,14.9,-0.1232,Southern_California.19960821.stacov.point-2016/02/16-09:22:31 
19960822,1996.6412,-311.4,323.1,11.6,rrr,3.0,4.0,13.4,-0.0486,Southern_California.19960822.stacov.point-2016/02/16-09:22:32 
19961018,1996.7973,-306.6,320.9,8.9,rrr,3.3,4.3,13.6,-0.022,Southern_California.19961018.stacov.point-2016/02/16-09:22:47 
19961019,1996.8,-306.4,317.2,8.5,rrr,3.4,4.3,15.3,0.0005,Southern_California.19961019.stacov.point-2016/02/16-09:22:48 
19961020,1996.8028,-307.1,320.0,2.2,rrr,3.2,4.2,13.9,-0.0325,Southern_California.19961020.stacov.point-2016/02/16-09:22:48 
19961021,1996.8055,-306.5,318.9,-6.7,rrr,4.1,5.4,19.6,-0.0056,Southern_California.19961021.stacov.point-2016/02/16-09:22:48 
19961022,1996.8082,-306.9,319.6,7.6,rrr,3.1,4.0,13.4,-0.058,Southern_California.19961022.stacov.point-2016/02/16-09:22:48 
19961023,1996.811,-309.0,318.8,9.6,rrr,3.6,4.7,15.8,-0.0583,Southern_California.19961023.stacov.point-2016/02/16-09:22:49 
19961024,1996.8137,-305.7,320.7,3.9,rrr,4.5,6.0,22.9,-0.1035,Southern_California.19961024.stacov.point-2016/02/16-09:22:49 
19961025,1996.8165,-303.1,319.2,-5.2,rrr,3.2,4.2,13.4,-0.1252,Southern_California.19961025.stacov.point-2016/02/16-09:22:49 
19961026,1996.8192,-306.9,320.8,10.4,rrr,4.0,5.0,17.6,-0.0893,Southern_California.19961026.stacov.point-2016/02/16-09:22:50 
19961027,1996.822,-304.8,320.7,18.1,rrr,3.5,5.0,16.7,-0.0895,Southern_California.19961027.stacov.point-2016/02/16-09:22:50 
19961028,1996.8248,-305.8,318.5,8.2,rrr,3.4,4.8,15.2,-0.1191,Southern_California.19961028.stacov.point-2016/02/16-09:22:50 
19961029,1996.8275,-306.8,318.8,2.7,rrr,4.3,5.7,21.3,-0.1258,Southern_California.19961029.stacov.point-2016/02/16-09:22:50 
19961030,1996.8303,-303.7,319.8,16.7,rrr,3.2,4.2,13.7,-0.0965,Southern_California.19961030.stacov.point-2016/02/16-09:22:51 
19961031,1996.833,-304.9,319.0,11.4,rrr,4.0,5.1,18.2,-0.0744,Southern_California.19961031.stacov.point-2016/02/16-09:22:51 
19961101,1996.8357,-303.7,319.5,11.1,rrr,3.9,5.0,17.6,-0.0448,Southern_California.19961101.stacov.point-2016/02/16-09:22:51 
19961102,1996.8385,-304.6,318.5,10.0,rrr,3.5,4.8,16.2,-0.1402,Southern_California.19961102.stacov.point-2016/02/16-09:22:51 
19961103,1996.8412,-303.8,318.2,9.8,rrr,3.8,4.8,16.8,-0.024,Southern_California.19961103.stacov.point-2016/02/16-09:22:52 
19961104,1996.8439,-305.2,319.5,9.2,rrr,3.4,4.4,13.4,-0.0633,Southern_California.19961104.stacov.point-2016/02/16-09:22:52 
19961106,1996.8494,-303.3,318.3,12.6,rrr,4.1,5.7,17.7,-0.1724,Southern_California.19961106.stacov.point-2016/02/16-09:22:53 
19961107,1996.8522,-306.1,319.7,10.4,rrr,3.6,4.7,15.9,-0.0561,Southern_California.19961107.stacov.point-2016/02/16-09:22:53 
19961111,1996.8631,-302.5,318.9,9.0,rrr,4.6,5.9,22.8,-0.0322,Southern_California.19961111.stacov.point-2016/02/16-09:22:54 
19961112,1996.8658,-304.2,321.5,11.2,rrr,3.9,4.8,17.1,-0.1313,Southern_California.19961112.stacov.point-2016/02/16-09:22:54 
