DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20201207,2020.9348,-1.1,0.5,-5.3,rrr,2.6,3.0,8.7,-0.0464,Southern_California.20201207.stacov.point-2021/04/06-22:30:48 
20201208,2020.9375,-0.9,0.4,-6.0,rrr,2.6,3.0,8.7,-0.0492,Southern_California.20201208.stacov.point-2021/04/07-22:32:37 
20201209,2020.9403,-1.1,0.1,-5.6,rrr,2.5,2.7,8.2,-0.0843,Southern_California.20201209.stacov.point-2021/04/08-22:31:22 
20201210,2020.943,0.4,0.1,-0.8,rrr,2.5,2.8,8.4,-0.0681,Southern_California.20201210.stacov.point-2021/04/09-22:33:53 
20201211,2020.9458,-0.3,-0.6,1.7,rrr,2.5,2.8,8.2,-0.0799,Southern_California.20201211.stacov.point-2021/04/10-22:34:13 
20201212,2020.9485,-1.1,1.7,0.4,rrr,3.1,3.7,10.5,-0.0777,Southern_California.20201212.stacov.point-2021/02/09-22:45:42 
20201213,2020.9512,-1.9,1.3,3.5,rrr,3.1,3.5,10.1,-0.0522,Southern_California.20201213.stacov.point-2021/04/12-22:31:29 
20201214,2020.954,-0.8,-0.6,-0.6,rrr,2.5,2.8,8.2,-0.068,Southern_California.20201214.stacov.point-2021/04/13-22:29:20 
20201215,2020.9567,0.4,-0.5,-3.3,rrr,2.6,3.0,8.7,-0.0538,Southern_California.20201215.stacov.point-2021/04/14-22:28:46 
20201216,2020.9594,1.1,0.0,2.1,rrr,2.6,3.0,8.7,-0.056,Southern_California.20201216.stacov.point-2021/04/15-22:31:53 
20201217,2020.9622,-1.3,0.2,2.8,rrr,2.5,2.7,8.4,-0.067,Southern_California.20201217.stacov.point-2021/04/16-22:30:22 
20201218,2020.9649,-0.4,1.0,1.7,rrr,2.4,2.8,8.2,-0.072,Southern_California.20201218.stacov.point-2021/04/17-22:31:03 
20201219,2020.9677,0.1,0.8,0.3,rrr,2.5,3.0,8.4,-0.0315,Southern_California.20201219.stacov.point-2021/04/18-22:28:17 
20210114,2021.0388,1.9,2.8,-2.1,rrr,2.4,2.8,8.2,-0.0718,Southern_California.20210114.stacov.point-2021/03/14-22:44:14 
20210115,2021.0416,0.4,-0.5,3.1,rrr,2.5,2.8,8.2,-0.0812,Southern_California.20210115.stacov.point-2021/05/15-22:29:13 
20210116,2021.0443,0.1,-0.7,3.8,rrr,2.5,2.8,8.2,-0.0703,Southern_California.20210116.stacov.point-2021/05/16-22:29:14 
