DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20001102,2000.8386,-231.9,231.5,-8.8,rrr,2.6,3.0,9.0,0.0548,Southern_California.20001102.stacov.point-2016/02/16-09:32:50 
20001103,2000.8413,-232.0,232.8,-7.0,rrr,2.5,2.8,8.7,0.0195,Southern_California.20001103.stacov.point-2016/02/16-09:32:50 
20001104,2000.844,-232.4,232.0,-13.9,rrr,2.5,2.8,8.5,0.0543,Southern_California.20001104.stacov.point-2016/02/16-09:32:51 
20001105,2000.8468,-232.2,233.1,-4.1,rrr,2.5,2.8,8.7,0.0197,Southern_California.20001105.stacov.point-2016/02/16-09:32:52 
20001106,2000.8495,-232.7,232.4,-5.9,rrr,2.6,3.0,9.0,0.0675,Southern_California.20001106.stacov.point-2016/02/16-09:32:53 
20001107,2000.8522,-231.3,233.7,-12.0,rrr,2.6,2.8,8.7,0.0368,Southern_California.20001107.stacov.point-2016/02/16-09:32:53 
20001108,2000.855,-231.7,233.0,-1.9,rrr,2.5,2.8,8.7,0.0339,Southern_California.20001108.stacov.point-2016/02/16-09:32:54 
20001109,2000.8577,-231.1,232.8,-9.0,rrr,2.5,3.0,8.9,0.0823,Southern_California.20001109.stacov.point-2016/02/16-09:32:55 
20001110,2000.8605,-228.4,233.9,-10.6,rrr,2.7,2.9,9.2,0.0481,Southern_California.20001110.stacov.point-2016/02/16-09:32:55 
20001111,2000.8632,-230.5,232.2,-4.0,rrr,2.5,2.8,8.5,0.0471,Southern_California.20001111.stacov.point-2016/02/16-09:32:56 
20001112,2000.8659,-230.5,233.3,-5.4,rrr,2.7,3.2,9.7,0.035,Southern_California.20001112.stacov.point-2016/02/16-09:32:57 
20001218,2000.9645,-227.6,234.3,-21.4,rrr,5.7,7.3,22.5,-0.1592,Southern_California.20001218.stacov.point-2016/02/16-09:33:23 
20001219,2000.9672,-228.7,235.4,-19.7,rrr,5.5,7.3,22.8,-0.1132,Southern_California.20001219.stacov.point-2016/02/16-09:33:24 
20001220,2000.97,-228.1,234.5,-10.6,rrr,5.1,6.4,20.3,-0.0853,Southern_California.20001220.stacov.point-2016/02/16-09:33:25 
20001221,2000.9727,-228.9,236.1,-14.0,rrr,5.5,6.7,21.3,-0.1207,Southern_California.20001221.stacov.point-2016/02/16-09:33:25 
