DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20021221,2002.9714,-250.7,246.6,34.0,rrr,2.7,3.2,9.9,0.0461,Southern_California.20021221.stacov.point-2016/02/16-09:43:01 
20021222,2002.9741,-250.5,246.9,27.2,rrr,2.7,3.2,9.7,0.0625,Southern_California.20021222.stacov.point-2016/02/16-09:43:01 
20021223,2002.9769,-249.2,245.1,30.7,rrr,2.8,3.4,10.1,-0.0005,Southern_California.20021223.stacov.point-2016/02/16-09:43:02 
20021224,2002.9796,-249.6,244.7,29.2,rrr,2.9,3.4,10.3,-0.0249,Southern_California.20021224.stacov.point-2016/02/16-09:43:03 
20021225,2002.9823,-249.8,246.8,16.5,rrr,3.2,3.7,11.2,-0.0041,Southern_California.20021225.stacov.point-2016/02/16-09:43:04 
20021226,2002.9851,-249.8,247.7,29.1,rrr,3.0,3.7,10.9,0.0574,Southern_California.20021226.stacov.point-2016/02/16-09:43:05 
20021227,2002.9878,-248.3,246.8,24.2,rrr,2.9,3.4,10.8,0.0236,Southern_California.20021227.stacov.point-2016/02/16-09:43:06 
20021228,2002.9905,-250.2,244.4,27.0,rrr,3.3,4.1,12.1,-0.0474,Southern_California.20021228.stacov.point-2016/02/16-09:43:06 
20021229,2002.9933,-250.2,244.8,25.2,rrr,3.1,3.6,10.9,-0.0105,Southern_California.20021229.stacov.point-2016/02/16-09:43:07 
20021230,2002.996,-249.7,247.3,29.3,rrr,3.8,4.3,13.2,0.0428,Southern_California.20021230.stacov.point-2016/02/16-09:43:08 
20021231,2002.9988,-248.6,247.2,25.1,rrr,2.7,3.1,9.6,0.0286,Southern_California.20021231.stacov.point-2016/02/16-09:43:09 
20030101,2003.0015,-248.3,245.1,28.5,rrr,2.7,3.3,9.7,0.051,Southern_California.20030101.stacov.point-2016/02/16-09:43:10 
20030102,2003.0042,-250.5,246.3,31.6,rrr,2.8,3.5,10.6,0.0123,Southern_California.20030102.stacov.point-2016/02/16-09:43:11 
20030103,2003.007,-249.3,247.9,30.3,rrr,2.7,3.2,9.6,0.0043,Southern_California.20030103.stacov.point-2016/02/16-09:43:11 
20030104,2003.0097,-250.1,246.2,33.1,rrr,2.6,3.1,9.4,0.0134,Southern_California.20030104.stacov.point-2016/02/16-09:43:12 
20030105,2003.0125,-249.4,248.1,32.8,rrr,2.8,3.4,10.0,0.0113,Southern_California.20030105.stacov.point-2016/02/16-09:43:13 
20030106,2003.0152,-246.5,246.7,31.8,rrr,2.7,3.3,9.9,0.0354,Southern_California.20030106.stacov.point-2016/02/16-09:43:14 
