DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19940114,1994.0376,-16.0,10.4,32.4,rrr,2.8,3.4,10.6,-0.0052,Southern_California.19940114.stacov.point-2016/02/16-09:18:51 
19940115,1994.0403,-9.9,13.5,32.0,rrr,2.8,3.4,10.6,0.0106,Southern_California.19940115.stacov.point-2016/02/16-09:18:51 
19940116,1994.0431,-9.0,14.7,32.6,rrr,2.7,3.2,10.3,-0.0196,Southern_California.19940116.stacov.point-2016/02/16-09:18:51 
19940117,1994.0458,-11.5,13.8,34.9,rrr,2.8,3.4,10.6,0.0022,Southern_California.19940117.stacov.point-2016/02/16-09:18:51 
19940118,1994.0485,-12.6,11.6,35.9,rrr,2.8,3.2,10.3,-0.0252,Southern_California.19940118.stacov.point-2016/02/16-09:18:52 
19940119,1994.0513,-13.9,12.3,33.2,rrr,2.7,3.2,10.1,-0.0331,Southern_California.19940119.stacov.point-2016/02/16-09:18:52 
19940120,1994.054,-10.5,12.2,30.0,rrr,2.9,3.4,10.6,-0.0041,Southern_California.19940120.stacov.point-2016/02/16-09:18:52 
19940121,1994.0568,-10.8,13.9,30.4,rrr,3.1,3.9,11.7,-0.0144,Southern_California.19940121.stacov.point-2016/02/16-09:18:52 
19940125,1994.0677,-11.2,11.7,29.9,rrr,2.9,3.4,11.0,-0.0083,Southern_California.19940125.stacov.point-2016/02/16-09:18:53 
19940126,1994.0704,-13.9,13.4,37.3,rrr,2.9,3.3,10.6,0.0088,Southern_California.19940126.stacov.point-2016/02/16-09:18:53 
19940127,1994.0732,-10.8,14.2,34.6,rrr,2.8,3.3,10.6,0.0202,Southern_California.19940127.stacov.point-2016/02/16-09:18:53 
19940128,1994.0759,-8.0,13.7,41.1,rrr,2.8,3.4,10.6,0.021,Southern_California.19940128.stacov.point-2016/02/16-09:18:53 
19940129,1994.0787,-9.9,16.1,35.3,rrr,2.9,3.4,10.6,0.023,Southern_California.19940129.stacov.point-2016/02/16-09:18:54 
19940130,1994.0814,-9.7,15.0,37.4,rrr,2.9,3.4,10.6,0.021,Southern_California.19940130.stacov.point-2016/02/16-09:18:54 
19940131,1994.0841,-11.9,11.6,32.7,rrr,2.7,3.2,10.1,-0.0306,Southern_California.19940131.stacov.point-2016/02/16-09:18:54 
19940201,1994.0869,-9.1,17.1,26.8,rrr,2.8,3.5,10.4,0.0026,Southern_California.19940201.stacov.point-2016/02/16-09:18:54 
19940202,1994.0896,-11.1,13.5,24.7,rrr,2.8,3.5,10.6,-0.0087,Southern_California.19940202.stacov.point-2016/02/16-09:18:54 
19940203,1994.0923,-12.9,15.7,38.5,rrr,2.8,3.2,10.3,-0.0198,Southern_California.19940203.stacov.point-2016/02/16-09:18:54 
19940204,1994.0951,-10.5,12.7,43.3,rrr,2.8,3.4,10.4,0.0151,Southern_California.19940204.stacov.point-2016/02/16-09:18:55 
19940205,1994.0978,-10.8,21.3,31.0,rrr,2.7,3.2,10.1,-0.0231,Southern_California.19940205.stacov.point-2016/02/16-09:18:55 
19940206,1994.1006,-9.2,18.1,34.8,rrr,2.7,3.2,10.3,-0.0204,Southern_California.19940206.stacov.point-2016/02/16-09:18:55 
19940207,1994.1033,-10.6,16.6,39.6,rrr,2.8,3.2,10.3,-0.0189,Southern_California.19940207.stacov.point-2016/02/16-09:18:55 
19940208,1994.106,-9.4,17.1,40.8,rrr,2.8,3.4,10.6,-0.0009,Southern_California.19940208.stacov.point-2016/02/16-09:18:55 
19940209,1994.1088,-12.4,14.7,41.1,rrr,2.8,3.5,10.6,-0.0421,Southern_California.19940209.stacov.point-2016/02/16-09:18:55 
19940210,1994.1115,-8.4,14.3,36.3,rrr,3.0,3.5,11.0,-0.0578,Southern_California.19940210.stacov.point-2016/02/16-09:18:56 
19940211,1994.1142,-13.3,17.5,35.2,rrr,2.9,3.4,10.6,-0.0228,Southern_California.19940211.stacov.point-2016/02/16-09:18:56 
19940212,1994.117,-10.2,18.4,38.0,rrr,2.9,3.4,10.6,-0.0445,Southern_California.19940212.stacov.point-2016/02/16-09:18:56 
19940213,1994.1197,-10.4,16.1,34.5,rrr,2.8,3.4,10.6,-0.0248,Southern_California.19940213.stacov.point-2016/02/16-09:18:56 
19940214,1994.1225,-9.3,16.0,33.2,rrr,2.7,3.2,10.1,-0.0272,Southern_California.19940214.stacov.point-2016/02/16-09:18:56 
19940215,1994.1252,-6.5,21.4,37.1,rrr,2.8,3.4,10.6,-0.0276,Southern_California.19940215.stacov.point-2016/02/16-09:18:57 
19940216,1994.1279,-8.3,16.7,44.0,rrr,2.8,3.4,10.6,-0.0233,Southern_California.19940216.stacov.point-2016/02/16-09:18:57 
19940217,1994.1307,-9.7,16.6,32.4,rrr,2.8,3.4,10.6,-0.0166,Southern_California.19940217.stacov.point-2016/02/16-09:18:57 
19940218,1994.1334,-9.8,15.8,43.2,rrr,2.9,3.4,10.8,-0.0406,Southern_California.19940218.stacov.point-2016/02/16-09:18:57 
19940219,1994.1362,-8.6,17.6,26.2,rrr,2.9,3.4,10.6,-0.0068,Southern_California.19940219.stacov.point-2016/02/16-09:18:57 
19940220,1994.1389,-9.2,15.0,38.6,rrr,2.8,3.3,10.6,0.0265,Southern_California.19940220.stacov.point-2016/02/16-09:18:57 
19940221,1994.1416,-11.2,17.8,33.1,rrr,2.7,3.2,10.1,-0.0311,Southern_California.19940221.stacov.point-2016/02/16-09:18:58 
19940222,1994.1444,-9.2,21.5,38.8,rrr,2.8,3.2,10.3,-0.0411,Southern_California.19940222.stacov.point-2016/02/16-09:18:58 
