DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19990302,1999.1657,-136.3,78.8,-12.3,rrr,2.6,3.0,9.2,-0.0393,Southern_California.19990302.stacov.point-2016/02/16-09:27:09 
19990303,1999.1684,-134.8,78.6,-6.7,rrr,2.5,3.0,8.8,-0.004,Southern_California.19990303.stacov.point-2016/02/16-09:27:10 
19990304,1999.1712,-139.6,76.5,-11.2,rrr,2.6,3.0,9.2,-0.0059,Southern_California.19990304.stacov.point-2016/02/16-09:27:10 
19990305,1999.1739,-137.5,79.1,-12.4,rrr,2.5,3.0,8.8,-0.0043,Southern_California.19990305.stacov.point-2016/02/16-09:27:10 
19990306,1999.1766,-137.4,76.2,-10.5,rrr,2.6,3.1,9.2,-0.035,Southern_California.19990306.stacov.point-2016/02/16-09:27:11 
19990307,1999.1794,-135.8,78.0,-9.1,rrr,2.5,3.0,8.8,-0.0071,Southern_California.19990307.stacov.point-2016/02/16-09:27:11 
19990308,1999.1821,-137.1,77.4,-13.0,rrr,2.5,2.9,8.7,-0.0624,Southern_California.19990308.stacov.point-2016/02/16-09:27:12 
19990309,1999.1849,-136.2,78.3,-11.6,rrr,2.5,3.0,9.0,-0.0389,Southern_California.19990309.stacov.point-2016/02/16-09:27:12 
19990310,1999.1876,-135.9,76.6,-7.5,rrr,2.6,3.1,9.2,-0.0214,Southern_California.19990310.stacov.point-2016/02/16-09:27:12 
19990311,1999.1903,-135.9,75.1,-11.2,rrr,2.5,3.0,8.8,-0.004,Southern_California.19990311.stacov.point-2016/02/16-09:27:13 
19990312,1999.1931,-138.3,74.7,-13.6,rrr,2.5,3.0,8.8,-0.0075,Southern_California.19990312.stacov.point-2016/02/16-09:27:13 
19990313,1999.1958,-139.1,74.8,-8.3,rrr,2.5,3.0,8.8,-0.0247,Southern_California.19990313.stacov.point-2016/02/16-09:27:14 
19990314,1999.1985,-136.5,76.4,-12.5,rrr,2.5,2.9,8.7,-0.0547,Southern_California.19990314.stacov.point-2016/02/16-09:27:14 
19990315,1999.2013,-135.3,75.5,-5.5,rrr,2.6,3.0,9.0,-0.0239,Southern_California.19990315.stacov.point-2016/02/16-09:27:14 
19990316,1999.204,-137.1,77.2,-8.0,rrr,2.7,3.0,9.4,-0.0422,Southern_California.19990316.stacov.point-2016/02/16-09:27:15 
19990317,1999.2068,-139.2,77.0,-12.1,rrr,2.5,3.0,9.0,-0.0212,Southern_California.19990317.stacov.point-2016/02/16-09:27:15 
19990318,1999.2095,-139.4,76.7,-13.0,rrr,2.6,3.0,9.2,-0.014,Southern_California.19990318.stacov.point-2016/02/16-09:27:16 
19990319,1999.2122,-138.3,78.0,-16.5,rrr,2.6,3.1,9.2,-0.0406,Southern_California.19990319.stacov.point-2016/02/16-09:27:16 
19990320,1999.215,-137.3,77.3,-14.9,rrr,2.6,3.0,9.2,-0.0356,Southern_California.19990320.stacov.point-2016/02/16-09:27:16 
19990321,1999.2177,-139.0,72.5,-10.4,rrr,3.3,4.1,11.7,0.1144,Southern_California.19990321.stacov.point-2016/02/16-09:27:17 
19990322,1999.2204,-138.2,76.0,-18.4,rrr,2.5,3.0,8.8,-0.0081,Southern_California.19990322.stacov.point-2016/02/16-09:27:17 
19990323,1999.2232,-139.1,79.0,-16.0,rrr,2.6,3.1,9.2,-0.0229,Southern_California.19990323.stacov.point-2016/02/16-09:27:18 
19990324,1999.2259,-139.7,77.6,-20.3,rrr,2.5,3.0,8.8,0.0015,Southern_California.19990324.stacov.point-2016/02/16-09:27:18 
19990325,1999.2287,-138.4,76.9,-17.1,rrr,2.6,3.0,9.2,-0.0332,Southern_California.19990325.stacov.point-2016/02/16-09:27:18 
19990326,1999.2314,-138.1,74.6,-13.4,rrr,2.5,3.0,8.8,-0.0175,Southern_California.19990326.stacov.point-2016/02/16-09:27:19 
19990327,1999.2341,-137.2,76.8,-13.1,rrr,2.6,3.0,9.2,-0.0193,Southern_California.19990327.stacov.point-2016/02/16-09:27:19 
19990328,1999.2369,-135.5,73.4,-25.6,rrr,2.6,3.0,9.0,-0.0201,Southern_California.19990328.stacov.point-2016/02/16-09:27:20 
19990329,1999.2396,-136.2,75.4,-17.8,rrr,2.5,3.0,9.0,-0.031,Southern_California.19990329.stacov.point-2016/02/16-09:27:20 
19990330,1999.2424,-136.7,74.9,-11.9,rrr,2.6,3.0,9.2,-0.029,Southern_California.19990330.stacov.point-2016/02/16-09:27:20 
19990331,1999.2451,-138.0,75.3,-11.9,rrr,2.7,3.1,9.4,-0.0347,Southern_California.19990331.stacov.point-2016/02/16-09:27:21 
19990401,1999.2478,-139.1,72.7,-10.6,rrr,2.6,3.0,9.2,-0.0272,Southern_California.19990401.stacov.point-2016/02/16-09:27:21 
19990402,1999.2506,-137.8,74.6,-15.7,rrr,2.6,3.0,9.2,-0.0322,Southern_California.19990402.stacov.point-2016/02/16-09:27:22 
19990403,1999.2533,-138.9,74.7,-7.8,rrr,2.5,3.0,8.8,-0.0125,Southern_California.19990403.stacov.point-2016/02/16-09:27:22 
19990404,1999.2559,-135.8,75.4,-15.9,rrr,2.6,3.0,9.2,-0.0299,Southern_California.19990404.stacov.point-2016/02/16-09:27:22 
19990405,1999.2587,-136.3,74.7,-16.2,rrr,2.5,3.0,8.8,-0.034,Southern_California.19990405.stacov.point-2016/02/16-09:27:23 
19990406,1999.2614,-136.8,75.0,-15.4,rrr,2.6,3.0,9.2,-0.0312,Southern_California.19990406.stacov.point-2016/02/16-09:27:23 
19990407,1999.2641,-136.7,75.3,-12.8,rrr,2.5,3.0,9.0,-0.0386,Southern_California.19990407.stacov.point-2016/02/16-09:27:24 
19990408,1999.2669,-137.2,72.7,-11.6,rrr,2.5,3.0,8.8,-0.0117,Southern_California.19990408.stacov.point-2016/02/16-09:27:24 
19990409,1999.2696,-136.4,73.4,-14.8,rrr,2.6,3.1,9.2,-0.0468,Southern_California.19990409.stacov.point-2016/02/16-09:27:25 
19990410,1999.2724,-134.9,76.8,-12.1,rrr,2.5,3.0,9.0,-0.0495,Southern_California.19990410.stacov.point-2016/02/16-09:27:25 
19990411,1999.2751,-137.3,75.5,-13.7,rrr,2.5,3.1,9.0,-0.0567,Southern_California.19990411.stacov.point-2016/02/16-09:27:25 
19990412,1999.2778,-138.2,74.8,-17.3,rrr,2.5,3.0,8.8,-0.0185,Southern_California.19990412.stacov.point-2016/02/16-09:27:26 
19990413,1999.2806,-133.0,74.8,-17.4,rrr,2.5,3.0,9.0,0.0036,Southern_California.19990413.stacov.point-2016/02/16-09:27:26 
19990414,1999.2833,-137.7,74.5,-20.6,rrr,2.5,3.0,8.8,-0.0083,Southern_California.19990414.stacov.point-2016/02/16-09:27:27 
19990415,1999.286,-135.7,72.7,-10.4,rrr,2.5,3.0,8.8,-0.0065,Southern_California.19990415.stacov.point-2016/02/16-09:27:27 
19990416,1999.2888,-137.6,74.3,-14.1,rrr,2.6,3.1,9.4,-0.0728,Southern_California.19990416.stacov.point-2016/02/16-09:27:28 
19990417,1999.2915,-137.0,69.0,-8.3,rrr,2.6,3.0,9.2,-0.0094,Southern_California.19990417.stacov.point-2016/02/16-09:27:28 
19990418,1999.2943,-134.6,78.0,-14.4,rrr,2.5,3.0,8.8,-0.0122,Southern_California.19990418.stacov.point-2016/02/16-09:27:28 
19990419,1999.297,-135.5,75.4,-11.9,rrr,2.5,3.0,8.8,0.0006,Southern_California.19990419.stacov.point-2016/02/16-09:27:29 
19990420,1999.2997,-136.6,73.3,-7.9,rrr,2.6,3.1,9.3,0.0336,Southern_California.19990420.stacov.point-2016/02/16-09:27:29 
19990421,1999.3025,-135.9,72.4,-12.8,rrr,2.6,3.0,9.2,-0.0082,Southern_California.19990421.stacov.point-2016/02/16-09:27:30 
19990422,1999.3052,-133.7,73.9,-8.6,rrr,2.6,3.0,9.2,-0.0166,Southern_California.19990422.stacov.point-2016/02/16-09:27:30 
19990423,1999.3079,-134.7,74.6,-10.8,rrr,2.6,3.0,9.2,-0.04,Southern_California.19990423.stacov.point-2016/02/16-09:27:31 
19990424,1999.3107,-135.1,73.2,-10.1,rrr,2.5,2.9,8.7,-0.0568,Southern_California.19990424.stacov.point-2016/02/16-09:27:31 
19990425,1999.3134,-135.6,70.6,-16.9,rrr,2.5,3.0,8.8,-0.0255,Southern_California.19990425.stacov.point-2016/02/16-09:27:31 
19990426,1999.3162,-133.1,75.0,-7.9,rrr,2.5,3.0,8.8,0.0026,Southern_California.19990426.stacov.point-2016/02/16-09:27:32 
19990427,1999.3189,-135.6,75.8,-9.5,rrr,2.6,3.1,9.2,-0.0707,Southern_California.19990427.stacov.point-2016/02/16-09:27:32 
19990428,1999.3216,-136.5,74.1,-6.4,rrr,2.5,3.0,9.0,-0.051,Southern_California.19990428.stacov.point-2016/02/16-09:27:33 
19990429,1999.3244,-135.8,74.2,-5.4,rrr,2.5,3.0,8.8,0.008,Southern_California.19990429.stacov.point-2016/02/16-09:27:33 
