DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19941201,1994.9165,-334.9,352.3,19.1,rrr,3.5,4.4,15.5,0.0157,Southern_California.19941201.stacov.point-2016/02/16-09:19:50 
19941202,1994.9192,-336.2,355.0,14.4,rrr,3.4,4.2,15.0,-0.0234,Southern_California.19941202.stacov.point-2016/02/16-09:19:51 
19941203,1994.9219,-332.9,354.8,19.9,rrr,3.5,4.1,15.1,0.0382,Southern_California.19941203.stacov.point-2016/02/16-09:19:51 
19941204,1994.9247,-335.2,353.2,17.6,rrr,4.2,4.8,18.9,0.0825,Southern_California.19941204.stacov.point-2016/02/16-09:19:51 
19941205,1994.9274,-337.7,350.0,12.1,rrr,3.8,4.4,17.3,0.0124,Southern_California.19941205.stacov.point-2016/02/16-09:19:51 
19941206,1994.9301,-340.5,350.7,21.0,rrr,3.9,4.5,16.7,0.0149,Southern_California.19941206.stacov.point-2016/02/16-09:19:51 
19941207,1994.9329,-337.3,353.8,21.5,rrr,3.7,4.1,16.1,0.035,Southern_California.19941207.stacov.point-2016/02/16-09:19:52 
19941208,1994.9356,-337.0,348.4,21.8,rrr,3.6,4.3,16.1,0.0106,Southern_California.19941208.stacov.point-2016/02/16-09:19:52 
19941209,1994.9384,-334.2,351.3,14.3,rrr,3.9,4.3,15.7,-0.0534,Southern_California.19941209.stacov.point-2016/02/16-09:19:52 
19941210,1994.9411,-332.8,350.4,19.6,rrr,3.5,4.3,15.5,0.0584,Southern_California.19941210.stacov.point-2016/02/16-09:19:52 
19941212,1994.9466,-334.5,356.1,20.0,rrr,3.4,4.3,15.1,0.0684,Southern_California.19941212.stacov.point-2016/02/16-09:19:53 
19941213,1994.9493,-332.2,353.0,14.1,rrr,3.5,4.3,15.9,0.0647,Southern_California.19941213.stacov.point-2016/02/16-09:19:53 
19941214,1994.952,-333.4,357.4,13.7,rrr,3.6,4.4,15.8,-0.0376,Southern_California.19941214.stacov.point-2016/02/16-09:19:53 
19941215,1994.9548,-329.8,355.4,13.3,rrr,3.7,4.5,16.4,0.0457,Southern_California.19941215.stacov.point-2016/02/16-09:19:53 
