DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20150516,2015.3713,-120.7,96.7,22.8,rrr,2.6,2.8,9.5,0.1085,Southern_California.20150516.stacov.point-2016/02/16-12:26:00 
20150517,2015.374,-119.6,98.2,18.4,rrr,2.5,2.8,9.3,0.1367,Southern_California.20150517.stacov.point-2016/02/16-12:26:02 
20150518,2015.3767,-119.8,97.0,23.1,rrr,2.5,2.8,9.3,0.1512,Southern_California.20150518.stacov.point-2016/02/16-12:26:03 
20150519,2015.3795,-119.6,96.0,23.1,rrr,2.5,2.7,9.1,0.0774,Southern_California.20150519.stacov.point-2016/02/16-12:26:04 
20150525,2015.3959,-118.9,96.0,22.9,rrr,2.5,2.9,9.3,0.153,Southern_California.20150525.stacov.point-2016/02/16-12:26:14 
20150529,2015.4069,-118.5,94.1,24.5,rrr,2.5,2.7,9.1,0.0775,Southern_California.20150529.stacov.point-2016/02/16-12:26:19 
20150601,2015.4151,-118.9,94.4,18.2,rrr,2.6,2.9,9.2,0.1566,Southern_California.20150601.stacov.point-2016/02/16-12:26:24 
20150604,2015.4233,-119.7,93.5,25.8,rrr,2.5,2.9,9.3,0.1284,Southern_California.20150604.stacov.point-2016/02/16-12:26:29 
20150605,2015.426,-116.1,94.4,20.3,rrr,2.5,2.9,9.3,0.1144,Southern_California.20150605.stacov.point-2016/02/16-12:26:31 
20150606,2015.4288,-119.7,92.4,21.4,rrr,2.6,2.9,9.5,0.12,Southern_California.20150606.stacov.point-2016/02/16-12:26:32 
20150607,2015.4315,-118.4,92.1,14.7,rrr,2.6,2.9,9.5,0.1068,Southern_California.20150607.stacov.point-2016/02/16-12:26:33 
20150608,2015.4342,-118.0,94.0,15.8,rrr,2.6,2.7,9.1,0.0798,Southern_California.20150608.stacov.point-2016/02/16-12:26:35 
20150609,2015.437,-116.7,93.1,25.5,rrr,2.6,2.9,10.0,0.1529,Southern_California.20150609.stacov.point-2016/02/16-12:26:36 
20150610,2015.4397,-116.5,94.3,20.5,rrr,2.5,2.8,9.3,0.1267,Southern_California.20150610.stacov.point-2016/02/16-12:26:38 
20150611,2015.4424,-116.4,93.0,20.3,rrr,2.7,2.9,9.6,0.0952,Southern_California.20150611.stacov.point-2016/02/16-12:26:39 
20150612,2015.4452,-117.3,93.2,18.5,rrr,2.6,2.8,9.6,0.0938,Southern_California.20150612.stacov.point-2016/02/16-12:26:40 
20150613,2015.4479,-116.7,92.2,26.4,rrr,2.6,2.8,9.6,0.0994,Southern_California.20150613.stacov.point-2016/02/16-12:26:42 
20150614,2015.4507,-117.0,93.8,24.9,rrr,2.6,2.9,9.2,0.1392,Southern_California.20150614.stacov.point-2016/02/16-12:26:43 
20150615,2015.4534,-117.4,94.2,20.1,rrr,2.6,2.9,9.6,0.0968,Southern_California.20150615.stacov.point-2016/02/16-12:26:45 
20150616,2015.4561,-116.3,93.1,17.4,rrr,2.5,2.9,9.2,0.1523,Southern_California.20150616.stacov.point-2016/02/16-12:26:48 
20150617,2015.4589,-115.2,93.0,18.5,rrr,2.6,2.8,9.6,0.1006,Southern_California.20150617.stacov.point-2016/02/16-12:26:49 
20150618,2015.4616,-116.5,93.1,22.5,rrr,2.6,2.9,9.6,0.1113,Southern_California.20150618.stacov.point-2016/02/16-12:26:51 
20150619,2015.4643,-116.6,93.7,14.1,rrr,2.6,2.8,9.6,0.0911,Southern_California.20150619.stacov.point-2016/02/16-12:26:52 
20150620,2015.4671,-117.5,91.5,23.9,rrr,2.5,2.7,9.1,0.0792,Southern_California.20150620.stacov.point-2016/02/16-12:26:53 
20150621,2015.4698,-117.7,92.9,16.6,rrr,2.5,2.9,9.2,0.133,Southern_California.20150621.stacov.point-2016/02/16-12:26:55 
20150622,2015.4726,-114.9,93.1,20.4,rrr,2.5,2.7,9.1,0.0779,Southern_California.20150622.stacov.point-2016/02/16-12:26:56 
20150623,2015.4753,-116.9,91.0,20.6,rrr,2.6,2.8,9.1,0.0909,Southern_California.20150623.stacov.point-2016/02/16-12:26:58 
20150624,2015.478,-116.5,91.8,14.7,rrr,2.6,2.9,9.5,0.1191,Southern_California.20150624.stacov.point-2016/02/16-12:26:59 
20150625,2015.4808,-115.7,91.8,17.9,rrr,2.6,2.9,9.5,0.0735,Southern_California.20150625.stacov.point-2016/02/16-12:27:01 
20150626,2015.4835,-116.7,90.1,18.3,rrr,2.6,2.9,9.2,0.1454,Southern_California.20150626.stacov.point-2016/02/16-12:27:02 
20150627,2015.4863,-115.6,90.9,14.4,rrr,2.5,2.9,9.3,0.1267,Southern_California.20150627.stacov.point-2016/02/16-12:27:03 
20150628,2015.489,-116.1,89.7,13.5,rrr,2.6,2.8,9.5,0.1183,Southern_California.20150628.stacov.point-2016/02/16-12:27:05 
20150629,2015.4917,-114.6,91.5,20.2,rrr,2.6,2.9,9.5,0.1189,Southern_California.20150629.stacov.point-2016/02/16-12:27:06 
20150630,2015.4945,-116.1,91.9,25.7,rrr,2.6,2.8,9.6,0.1053,Southern_California.20150630.stacov.point-2016/02/16-12:27:08 
20150701,2015.4972,-115.8,96.3,24.2,rrr,2.7,2.8,9.8,0.04,Southern_California.20150701.stacov.point-2016/02/16-12:27:09 
20150702,2015.4999,-114.9,93.8,31.9,rrr,2.7,2.8,9.8,0.0413,Southern_California.20150702.stacov.point-2016/02/16-12:27:10 
20150703,2015.5027,-114.7,92.7,21.4,rrr,2.5,2.9,9.2,0.1398,Southern_California.20150703.stacov.point-2016/02/16-12:27:12 
20150704,2015.5054,-115.7,92.3,11.7,rrr,2.6,2.8,9.5,0.0953,Southern_California.20150704.stacov.point-2016/02/16-12:27:13 
20150705,2015.5082,-116.9,93.0,18.5,rrr,2.5,2.9,9.2,0.1526,Southern_California.20150705.stacov.point-2016/02/16-12:27:15 
20150706,2015.5109,-115.3,90.2,22.3,rrr,2.5,2.9,9.3,0.1324,Southern_California.20150706.stacov.point-2016/02/16-12:27:16 
20150707,2015.5136,-116.8,90.5,23.2,rrr,2.5,2.9,9.2,0.1466,Southern_California.20150707.stacov.point-2016/02/16-12:27:17 
20150708,2015.5164,-116.4,90.7,17.9,rrr,2.6,2.8,9.5,0.1061,Southern_California.20150708.stacov.point-2016/02/16-12:27:19 
20150709,2015.5191,-116.8,90.6,18.3,rrr,2.6,2.8,9.5,0.1036,Southern_California.20150709.stacov.point-2016/02/16-12:27:20 
20150710,2015.5218,-116.0,91.5,27.1,rrr,2.5,2.9,9.3,0.142,Southern_California.20150710.stacov.point-2016/02/16-12:27:22 
20150711,2015.5246,-114.8,93.2,21.9,rrr,2.6,3.0,9.8,0.1645,Southern_California.20150711.stacov.point-2016/02/16-12:27:23 
20150712,2015.5273,-115.4,91.5,25.9,rrr,2.6,2.8,9.5,0.102,Southern_California.20150712.stacov.point-2016/02/16-12:27:25 
20150713,2015.5301,-114.2,92.0,23.4,rrr,2.5,2.9,9.2,0.1398,Southern_California.20150713.stacov.point-2016/02/16-12:27:26 
20150714,2015.5328,-117.0,92.1,18.8,rrr,2.6,2.9,9.5,0.1094,Southern_California.20150714.stacov.point-2016/02/16-12:27:27 
20150715,2015.5355,-114.7,91.6,22.7,rrr,2.5,2.9,9.2,0.1324,Southern_California.20150715.stacov.point-2016/02/16-12:27:29 
20150716,2015.5383,-115.6,90.2,23.0,rrr,2.5,2.8,9.1,0.087,Southern_California.20150716.stacov.point-2016/02/16-12:27:30 
20150717,2015.541,-118.3,89.1,22.5,rrr,2.6,2.9,9.6,0.103,Southern_California.20150717.stacov.point-2016/02/16-12:27:32 
20150718,2015.5437,-112.9,89.1,11.2,rrr,2.6,2.9,10.0,0.1161,Southern_California.20150718.stacov.point-2016/02/16-12:27:33 
20150719,2015.5465,-111.7,90.7,22.4,rrr,2.6,3.0,10.0,0.1539,Southern_California.20150719.stacov.point-2016/02/16-12:27:35 
20150720,2015.5492,-113.0,91.0,25.0,rrr,2.6,2.8,9.6,0.1311,Southern_California.20150720.stacov.point-2016/02/16-12:27:36 
20150721,2015.552,-113.2,91.1,21.5,rrr,2.6,2.9,9.4,0.1206,Southern_California.20150721.stacov.point-2016/02/16-12:27:37 
20150722,2015.5547,-115.2,90.9,18.4,rrr,2.6,2.8,9.6,0.0956,Southern_California.20150722.stacov.point-2016/02/16-12:27:39 
20150723,2015.5574,-115.0,92.4,20.9,rrr,2.5,2.9,9.3,0.1332,Southern_California.20150723.stacov.point-2016/02/16-12:27:40 
20150724,2015.5602,-113.5,90.4,17.8,rrr,2.5,2.9,9.3,0.1276,Southern_California.20150724.stacov.point-2016/02/16-12:27:42 
20150725,2015.5629,-116.4,89.3,12.4,rrr,2.5,2.8,9.3,0.1408,Southern_California.20150725.stacov.point-2016/02/16-12:27:43 
20150726,2015.5657,-114.0,89.5,22.0,rrr,2.5,2.9,9.3,0.1477,Southern_California.20150726.stacov.point-2016/02/16-12:27:45 
20150727,2015.5684,-114.6,90.1,24.2,rrr,2.5,2.7,9.1,0.089,Southern_California.20150727.stacov.point-2016/02/16-12:27:46 
20150728,2015.5711,-115.7,90.6,22.8,rrr,2.6,2.8,9.6,0.1204,Southern_California.20150728.stacov.point-2016/02/16-12:27:48 
20150729,2015.5739,-114.2,90.9,26.3,rrr,2.6,2.8,9.6,0.1269,Southern_California.20150729.stacov.point-2016/02/16-12:27:49 
20150730,2015.5766,-113.2,91.3,24.1,rrr,2.6,2.8,9.5,0.1038,Southern_California.20150730.stacov.point-2016/02/16-12:27:50 
20150731,2015.5793,-112.6,91.6,24.1,rrr,2.7,2.9,10.0,0.1313,Southern_California.20150731.stacov.point-2016/02/16-12:27:52 
20150801,2015.5821,-114.1,89.9,18.0,rrr,2.6,3.0,10.0,0.1216,Southern_California.20150801.stacov.point-2016/02/16-12:27:53 
20150802,2015.5848,-114.3,88.2,24.7,rrr,2.5,2.9,9.3,0.1333,Southern_California.20150802.stacov.point-2016/02/16-12:27:55 
