DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20200112,2020.0313,-25.6,23.7,-0.1,rrr,2.3,2.8,8.3,0.0159,Southern_California.20200112.stacov.point-2020/05/11-22:28:16 
20200113,2020.034,-25.3,23.7,-2.6,rrr,2.4,2.8,8.5,-0.0047,Southern_California.20200113.stacov.point-2020/05/12-22:27:09 
20200114,2020.0368,-25.1,22.1,-2.7,rrr,2.4,2.7,8.3,0.0299,Southern_California.20200114.stacov.point-2020/05/13-22:27:06 
20200115,2020.0395,-24.9,22.0,-1.5,rrr,2.3,2.7,8.3,0.0233,Southern_California.20200115.stacov.point-2020/05/14-22:28:06 
20200116,2020.0422,-23.4,23.9,0.2,rrr,2.4,2.8,8.2,0.0661,Southern_California.20200116.stacov.point-2020/05/15-22:28:15 
20200117,2020.045,-24.3,24.4,5.5,rrr,2.3,2.8,7.9,0.07,Southern_California.20200117.stacov.point-2020/05/16-22:25:46 
20200118,2020.0477,-23.2,22.9,1.5,rrr,2.3,2.8,7.9,0.0532,Southern_California.20200118.stacov.point-2020/05/17-22:28:42 
20200119,2020.0505,-23.2,24.1,-1.5,rrr,2.3,2.8,7.9,0.0504,Southern_California.20200119.stacov.point-2020/05/18-22:27:35 
20200120,2020.0532,-23.3,23.2,3.3,rrr,2.3,2.8,8.3,0.0453,Southern_California.20200120.stacov.point-2020/05/19-22:28:37 
20200121,2020.0559,-24.0,23.1,2.4,rrr,2.4,2.7,8.3,0.0177,Southern_California.20200121.stacov.point-2020/05/20-22:28:18 
20200122,2020.0587,-23.7,23.6,-3.6,rrr,2.3,2.8,8.3,0.0153,Southern_California.20200122.stacov.point-2020/05/21-22:28:29 
20200123,2020.0614,-24.1,24.2,1.0,rrr,2.4,2.7,8.2,0.0054,Southern_California.20200123.stacov.point-2020/05/22-22:27:35 
20200124,2020.0641,-24.0,22.2,2.7,rrr,2.3,2.8,7.9,0.0562,Southern_California.20200124.stacov.point-2020/05/23-22:28:43 
20200125,2020.0669,-23.9,23.4,-2.3,rrr,2.3,2.8,8.0,0.0466,Southern_California.20200125.stacov.point-2020/05/24-22:27:34 
20200126,2020.0696,-21.5,21.9,0.6,rrr,2.3,2.7,8.3,0.0029,Southern_California.20200126.stacov.point-2020/05/25-22:29:41 
20200127,2020.0724,-22.8,22.0,0.1,rrr,2.3,2.8,7.9,0.0577,Southern_California.20200127.stacov.point-2020/05/26-22:28:26 
20200128,2020.0751,-21.3,22.4,3.2,rrr,2.4,2.7,8.3,0.0076,Southern_California.20200128.stacov.point-2020/05/27-22:26:54 
20200129,2020.0778,-21.5,20.6,1.8,rrr,2.3,2.7,8.3,-0.0001,Southern_California.20200129.stacov.point-2020/05/28-22:28:35 
20200130,2020.0806,-22.6,22.1,0.0,rrr,2.3,2.7,8.3,0.0172,Southern_California.20200130.stacov.point-2020/05/29-22:28:32 
20200131,2020.0833,-21.5,23.7,0.2,rrr,2.4,2.7,8.3,0.0089,Southern_California.20200131.stacov.point-2020/05/30-22:28:43 
20200201,2020.0861,-22.9,23.9,-6.2,rrr,2.3,2.8,8.1,0.0208,Southern_California.20200201.stacov.point-2020/05/31-22:29:26 
20200202,2020.0888,-22.4,23.2,-1.5,rrr,2.3,2.8,7.9,0.058,Southern_California.20200202.stacov.point-2020/06/01-22:29:03 
20200203,2020.0915,-21.6,22.3,1.0,rrr,2.3,2.8,8.1,0.0283,Southern_California.20200203.stacov.point-2020/06/02-22:28:02 
20200204,2020.0943,-22.0,19.7,-2.4,rrr,2.2,2.8,7.9,0.0474,Southern_California.20200204.stacov.point-2020/06/03-22:27:52 
20200205,2020.097,-21.1,21.8,-3.5,rrr,2.3,2.8,8.5,-0.0189,Southern_California.20200205.stacov.point-2020/06/04-22:28:50 
20200206,2020.0997,-23.0,21.1,1.9,rrr,2.4,2.8,8.2,0.0302,Southern_California.20200206.stacov.point-2020/06/05-22:30:52 
20200207,2020.1025,-21.0,21.3,-1.3,rrr,2.3,2.8,8.1,0.0182,Southern_California.20200207.stacov.point-2020/06/06-22:27:54 
20200208,2020.1052,-22.1,21.1,1.8,rrr,2.3,2.7,8.3,0.0082,Southern_California.20200208.stacov.point-2020/06/07-22:29:58 
20200209,2020.108,-21.0,21.9,-3.7,rrr,2.6,3.2,10.0,0.0692,Southern_California.20200209.stacov.point-2020/06/08-22:27:53 
20200210,2020.1107,-21.8,20.4,1.8,rrr,2.4,2.9,8.6,0.0278,Southern_California.20200210.stacov.point-2020/06/09-22:27:56 
20200211,2020.1134,-22.2,19.5,3.2,rrr,2.3,2.7,8.3,0.0294,Southern_California.20200211.stacov.point-2020/06/10-22:30:03 
20200212,2020.1162,-19.6,20.8,0.4,rrr,2.3,2.7,8.3,0.0102,Southern_California.20200212.stacov.point-2020/06/11-22:28:53 
20200213,2020.1189,-19.8,21.3,-2.1,rrr,2.5,3.1,9.6,0.0563,Southern_California.20200213.stacov.point-2020/06/12-22:27:44 
20200214,2020.1216,-21.6,20.5,6.2,rrr,2.4,2.9,9.0,-0.0098,Southern_California.20200214.stacov.point-2020/06/13-22:28:52 
20200215,2020.1244,-21.3,20.9,-1.8,rrr,2.4,2.9,9.0,-0.0043,Southern_California.20200215.stacov.point-2020/06/14-22:29:17 
20200216,2020.1271,-21.1,21.0,-2.7,rrr,2.3,2.7,8.3,0.0128,Southern_California.20200216.stacov.point-2020/06/15-22:27:40 
20200217,2020.1299,-22.2,19.6,2.2,rrr,2.2,2.8,7.9,0.0444,Southern_California.20200217.stacov.point-2020/06/16-22:29:14 
20200218,2020.1326,-20.5,21.3,5.2,rrr,2.3,2.7,8.3,0.0135,Southern_California.20200218.stacov.point-2020/06/17-22:29:20 
20200219,2020.1353,-18.2,20.5,2.1,rrr,2.5,3.1,9.5,0.0205,Southern_California.20200219.stacov.point-2020/06/18-22:29:19 
20200220,2020.1381,-21.5,20.8,-0.2,rrr,2.5,3.0,9.0,-0.004,Southern_California.20200220.stacov.point-2020/06/19-22:28:58 
20200221,2020.1408,-19.3,20.3,2.5,rrr,2.4,2.8,8.5,-0.0131,Southern_California.20200221.stacov.point-2020/06/20-22:29:20 
20200222,2020.1435,-20.0,19.9,-9.7,rrr,2.4,2.9,8.7,0.0272,Southern_California.20200222.stacov.point-2020/06/21-22:28:29 
20200223,2020.1463,-19.9,19.6,5.6,rrr,2.3,2.9,8.4,0.0529,Southern_California.20200223.stacov.point-2020/06/22-22:27:51 
20200224,2020.149,-19.2,19.2,-5.1,rrr,2.3,2.7,8.3,0.0009,Southern_California.20200224.stacov.point-2020/06/23-22:27:40 
20200225,2020.1518,-20.7,19.3,-3.3,rrr,2.4,2.7,8.3,0.0198,Southern_California.20200225.stacov.point-2020/06/24-22:28:45 
20200226,2020.1545,-19.9,17.9,-0.2,rrr,2.4,2.9,8.8,0.0274,Southern_California.20200226.stacov.point-2020/06/25-22:29:25 
20200227,2020.1572,-20.4,19.1,-4.0,rrr,2.3,2.8,8.3,0.0156,Southern_California.20200227.stacov.point-2020/06/26-22:27:38 
20200228,2020.16,-20.4,17.6,-4.5,rrr,2.3,2.7,8.3,0.0128,Southern_California.20200228.stacov.point-2020/06/27-22:30:13 
20200229,2020.1627,-20.1,16.8,-2.1,rrr,2.3,2.8,8.3,0.0126,Southern_California.20200229.stacov.point-2020/06/28-22:29:53 
20200301,2020.1655,-20.7,17.3,-4.8,rrr,2.4,2.9,8.6,0.0638,Southern_California.20200301.stacov.point-2020/06/29-22:30:53 
20200302,2020.1682,-21.4,17.4,-3.7,rrr,2.3,2.7,8.3,0.0208,Southern_California.20200302.stacov.point-2020/06/30-22:30:11 
20200303,2020.1709,-21.3,17.3,-0.5,rrr,2.4,2.8,8.2,0.0207,Southern_California.20200303.stacov.point-2020/07/01-22:28:09 
20200304,2020.1737,-19.8,16.7,-0.3,rrr,2.4,2.9,8.6,0.0615,Southern_California.20200304.stacov.point-2020/07/02-22:31:30 
20200305,2020.1764,-19.1,19.1,3.4,rrr,2.5,2.9,9.2,-0.0199,Southern_California.20200305.stacov.point-2020/07/03-22:30:00 
20200306,2020.1791,-18.7,18.8,-1.5,rrr,2.3,2.7,8.3,0.0371,Southern_California.20200306.stacov.point-2020/07/04-22:29:09 
