DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19950625,1995.4804,-227.2,201.0,-2.1,rrr,2.6,3.1,9.2,0.0707,Southern_California.19950625.stacov.point-2016/02/16-09:20:39 
19950626,1995.4831,-225.9,201.4,-3.4,rrr,2.6,3.0,9.2,0.0729,Southern_California.19950626.stacov.point-2016/02/16-09:20:39 
19950627,1995.4858,-225.2,202.0,-1.8,rrr,2.7,3.1,9.6,0.0326,Southern_California.19950627.stacov.point-2016/02/16-09:20:39 
19950628,1995.4886,-225.9,200.3,2.8,rrr,2.7,3.1,9.6,0.0491,Southern_California.19950628.stacov.point-2016/02/16-09:20:39 
19950629,1995.4913,-227.6,199.5,1.1,rrr,2.6,3.1,9.2,0.0688,Southern_California.19950629.stacov.point-2016/02/16-09:20:40 
19950630,1995.494,-226.7,200.1,-1.4,rrr,2.7,3.1,9.4,0.0687,Southern_California.19950630.stacov.point-2016/02/16-09:20:40 
19950701,1995.4968,-226.6,200.8,-2.4,rrr,2.7,3.1,9.4,0.078,Southern_California.19950701.stacov.point-2016/02/16-09:20:40 
19950702,1995.4995,-227.5,198.3,-9.4,rrr,2.6,3.1,9.2,0.0675,Southern_California.19950702.stacov.point-2016/02/16-09:20:41 
19950703,1995.5023,-228.8,196.7,-3.5,rrr,2.6,3.1,9.2,0.0646,Southern_California.19950703.stacov.point-2016/02/16-09:20:41 
19950704,1995.505,-228.3,198.5,-5.7,rrr,2.6,3.1,9.2,0.059,Southern_California.19950704.stacov.point-2016/02/16-09:20:41 
19950705,1995.5077,-226.3,199.9,-3.0,rrr,2.6,3.1,9.2,0.068,Southern_California.19950705.stacov.point-2016/02/16-09:20:41 
19950706,1995.5105,-226.0,196.9,-7.8,rrr,2.6,3.1,9.2,0.0591,Southern_California.19950706.stacov.point-2016/02/16-09:20:42 
19950707,1995.5132,-227.6,198.5,-4.2,rrr,2.6,3.1,9.2,0.0748,Southern_California.19950707.stacov.point-2016/02/16-09:20:42 
19950708,1995.5159,-227.5,197.2,-4.6,rrr,2.6,3.1,9.2,0.0785,Southern_California.19950708.stacov.point-2016/02/16-09:20:42 
19950709,1995.5187,-224.7,197.4,-2.8,rrr,2.6,3.1,9.2,0.0687,Southern_California.19950709.stacov.point-2016/02/16-09:20:42 
19950710,1995.5214,-225.2,196.9,-6.5,rrr,2.6,3.1,9.2,0.0553,Southern_California.19950710.stacov.point-2016/02/16-09:20:43 
19950711,1995.5242,-227.6,195.0,-5.3,rrr,2.9,3.6,11.1,0.0551,Southern_California.19950711.stacov.point-2016/02/16-09:20:43 
19950712,1995.5269,-226.4,195.6,-10.4,rrr,2.9,3.5,11.5,0.0304,Southern_California.19950712.stacov.point-2016/02/16-09:20:43 
19950713,1995.5296,-224.7,196.7,-12.6,rrr,2.8,3.4,10.4,0.0582,Southern_California.19950713.stacov.point-2016/02/16-09:20:43 
19950714,1995.5324,-225.6,196.3,-11.6,rrr,3.0,3.6,11.3,0.0792,Southern_California.19950714.stacov.point-2016/02/16-09:20:44 
19950715,1995.5351,-223.6,197.6,-1.6,rrr,2.8,3.4,10.4,0.0673,Southern_California.19950715.stacov.point-2016/02/16-09:20:44 
19950716,1995.5378,-227.4,198.5,4.8,rrr,2.9,3.5,11.0,-0.0048,Southern_California.19950716.stacov.point-2016/02/16-09:20:44 
19950717,1995.5406,-224.2,197.0,-6.7,rrr,2.9,3.5,10.8,0.0189,Southern_California.19950717.stacov.point-2016/02/16-09:20:44 
19950718,1995.5433,-225.7,195.4,-15.4,rrr,2.8,3.5,10.4,0.0495,Southern_California.19950718.stacov.point-2016/02/16-09:20:45 
19950719,1995.5461,-219.7,197.4,-16.0,rrr,2.9,3.4,10.6,0.0596,Southern_California.19950719.stacov.point-2016/02/16-09:20:45 
