DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19990130,1999.0808,-214.1,186.5,24.7,rrr,2.6,3.0,9.2,0.0451,Southern_California.19990130.stacov.point-2016/02/16-09:26:57 
19990131,1999.0836,-217.1,186.7,23.6,rrr,2.7,3.1,9.6,-0.0246,Southern_California.19990131.stacov.point-2016/02/16-09:26:58 
19990201,1999.0863,-216.5,186.2,16.6,rrr,2.6,3.1,9.4,0.0254,Southern_California.19990201.stacov.point-2016/02/16-09:26:58 
19990202,1999.089,-216.3,186.4,16.4,rrr,2.7,3.1,9.4,0.017,Southern_California.19990202.stacov.point-2016/02/16-09:26:58 
19990203,1999.0918,-216.1,186.2,17.5,rrr,2.6,3.1,9.4,0.016,Southern_California.19990203.stacov.point-2016/02/16-09:26:59 
19990204,1999.0945,-218.3,185.4,22.4,rrr,2.6,3.0,9.4,0.0214,Southern_California.19990204.stacov.point-2016/02/16-09:26:59 
19990205,1999.0972,-217.0,184.2,10.1,rrr,2.7,3.1,9.4,0.025,Southern_California.19990205.stacov.point-2016/02/16-09:27:00 
19990206,1999.1,-215.6,183.9,11.4,rrr,2.5,3.0,9.1,0.0641,Southern_California.19990206.stacov.point-2016/02/16-09:27:00 
19990207,1999.1027,-215.5,184.6,15.2,rrr,2.6,3.1,9.4,0.027,Southern_California.19990207.stacov.point-2016/02/16-09:27:00 
19990208,1999.1055,-216.4,185.3,14.8,rrr,2.5,3.1,9.1,0.0631,Southern_California.19990208.stacov.point-2016/02/16-09:27:01 
19990209,1999.1082,-215.4,184.9,14.3,rrr,2.7,3.1,9.4,0.0161,Southern_California.19990209.stacov.point-2016/02/16-09:27:01 
19990210,1999.1109,-215.9,186.1,14.6,rrr,2.6,3.0,9.4,0.0224,Southern_California.19990210.stacov.point-2016/02/16-09:27:02 
19990211,1999.1137,-212.0,186.5,15.3,rrr,2.7,3.0,9.4,0.0214,Southern_California.19990211.stacov.point-2016/02/16-09:27:02 
19990212,1999.1164,-213.4,185.6,14.0,rrr,2.7,3.0,9.7,-0.0342,Southern_California.19990212.stacov.point-2016/02/16-09:27:02 
19990213,1999.1191,-209.6,185.2,15.9,rrr,2.6,3.0,9.4,0.0222,Southern_California.19990213.stacov.point-2016/02/16-09:27:03 
19990214,1999.1219,-216.3,186.4,17.2,rrr,2.7,3.1,9.7,-0.0208,Southern_California.19990214.stacov.point-2016/02/16-09:27:03 
19990215,1999.1246,-214.4,186.9,15.7,rrr,2.6,3.1,9.4,0.0206,Southern_California.19990215.stacov.point-2016/02/16-09:27:03 
19990216,1999.1274,-216.7,183.9,17.4,rrr,2.6,3.1,9.5,-0.0048,Southern_California.19990216.stacov.point-2016/02/16-09:27:04 
19990217,1999.1301,-215.3,182.3,17.7,rrr,2.6,3.1,9.4,0.0204,Southern_California.19990217.stacov.point-2016/02/16-09:27:04 
19990218,1999.1328,-216.6,182.4,17.3,rrr,2.6,3.1,9.4,0.0388,Southern_California.19990218.stacov.point-2016/02/16-09:27:05 
19990219,1999.1356,-213.9,183.7,19.3,rrr,2.7,3.3,10.1,0.0118,Southern_California.19990219.stacov.point-2016/02/16-09:27:05 
19990220,1999.1383,-215.9,186.5,9.8,rrr,2.7,3.3,9.8,0.0159,Southern_California.19990220.stacov.point-2016/02/16-09:27:05 
19990221,1999.141,-214.0,184.3,15.2,rrr,2.6,3.0,9.4,0.0286,Southern_California.19990221.stacov.point-2016/02/16-09:27:06 
19990222,1999.1438,-214.0,183.9,11.6,rrr,2.7,3.1,9.6,-0.0223,Southern_California.19990222.stacov.point-2016/02/16-09:27:06 
19990223,1999.1465,-212.9,184.7,18.0,rrr,2.6,3.1,9.4,0.0176,Southern_California.19990223.stacov.point-2016/02/16-09:27:07 
19990224,1999.1493,-213.6,184.7,14.3,rrr,2.5,2.9,9.0,0.0002,Southern_California.19990224.stacov.point-2016/02/16-09:27:07 
19990225,1999.152,-212.2,186.1,16.5,rrr,2.5,2.9,9.0,0.0034,Southern_California.19990225.stacov.point-2016/02/16-09:27:07 
19990226,1999.1547,-213.7,185.2,14.0,rrr,2.7,3.0,9.4,0.0282,Southern_California.19990226.stacov.point-2016/02/16-09:27:08 
19990227,1999.1575,-212.0,184.7,13.7,rrr,2.6,2.9,9.2,-0.0278,Southern_California.19990227.stacov.point-2016/02/16-09:27:08 
19990228,1999.1602,-213.8,183.2,8.0,rrr,2.5,2.9,9.0,0.0034,Southern_California.19990228.stacov.point-2016/02/16-09:27:08 
19990301,1999.163,-215.5,182.8,9.8,rrr,2.5,2.9,8.9,-0.0081,Southern_California.19990301.stacov.point-2016/02/16-09:27:09 
19990302,1999.1657,-216.8,186.9,38.4,rrr,3.4,3.8,12.3,0.115,Southern_California.19990302.stacov.point-2016/02/16-09:27:09 
19990303,1999.1684,-211.4,185.1,24.5,rrr,2.6,3.1,9.4,0.0348,Southern_California.19990303.stacov.point-2016/02/16-09:27:10 
19990304,1999.1712,-215.1,182.8,12.2,rrr,2.5,2.9,8.7,0.0508,Southern_California.19990304.stacov.point-2016/02/16-09:27:10 
19990305,1999.1739,-213.8,184.7,13.6,rrr,2.5,2.9,8.9,0.0357,Southern_California.19990305.stacov.point-2016/02/16-09:27:10 
19990306,1999.1766,-213.0,182.8,13.5,rrr,2.5,3.0,8.9,0.0131,Southern_California.19990306.stacov.point-2016/02/16-09:27:11 
19990307,1999.1794,-212.5,184.7,18.0,rrr,2.5,2.9,8.7,0.0348,Southern_California.19990307.stacov.point-2016/02/16-09:27:11 
19990308,1999.1821,-213.2,183.6,17.3,rrr,2.5,2.9,8.9,0.0237,Southern_California.19990308.stacov.point-2016/02/16-09:27:12 
19990309,1999.1849,-211.9,184.8,18.2,rrr,2.5,3.0,9.3,0.0359,Southern_California.19990309.stacov.point-2016/02/16-09:27:12 
19990310,1999.1876,-212.2,182.5,19.9,rrr,2.8,3.2,9.6,0.0408,Southern_California.19990310.stacov.point-2016/02/16-09:27:12 
19990311,1999.1903,-212.1,181.5,13.3,rrr,2.5,2.9,9.0,0.0005,Southern_California.19990311.stacov.point-2016/02/16-09:27:13 
19990312,1999.1931,-214.6,181.9,13.3,rrr,2.5,2.9,9.0,0.0234,Southern_California.19990312.stacov.point-2016/02/16-09:27:13 
19990313,1999.1958,-214.8,181.0,22.7,rrr,2.5,3.0,8.9,0.0232,Southern_California.19990313.stacov.point-2016/02/16-09:27:14 
19990314,1999.1985,-213.6,182.7,20.6,rrr,2.6,3.1,9.3,0.0285,Southern_California.19990314.stacov.point-2016/02/16-09:27:14 
19990315,1999.2013,-212.2,181.6,19.8,rrr,2.6,3.1,9.0,0.0687,Southern_California.19990315.stacov.point-2016/02/16-09:27:14 
19990316,1999.204,-213.2,184.2,26.2,rrr,2.6,3.0,9.4,0.0452,Southern_California.19990316.stacov.point-2016/02/16-09:27:15 
19990317,1999.2068,-214.1,183.4,13.1,rrr,2.6,3.1,9.2,0.071,Southern_California.19990317.stacov.point-2016/02/16-09:27:15 
19990318,1999.2095,-214.3,182.9,16.9,rrr,2.6,3.1,9.2,0.0488,Southern_California.19990318.stacov.point-2016/02/16-09:27:16 
19990319,1999.2122,-213.7,183.1,14.4,rrr,2.5,3.1,9.1,0.0651,Southern_California.19990319.stacov.point-2016/02/16-09:27:16 
19990320,1999.215,-214.7,183.9,13.9,rrr,2.6,3.1,9.4,0.0189,Southern_California.19990320.stacov.point-2016/02/16-09:27:16 
19990321,1999.2177,-216.2,178.0,18.9,rrr,2.5,2.9,8.9,0.0036,Southern_California.19990321.stacov.point-2016/02/16-09:27:17 
19990322,1999.2204,-214.1,180.5,17.0,rrr,2.6,3.1,9.4,0.0164,Southern_California.19990322.stacov.point-2016/02/16-09:27:17 
19990323,1999.2232,-215.2,184.0,8.7,rrr,2.6,3.1,9.4,0.0288,Southern_California.19990323.stacov.point-2016/02/16-09:27:18 
19990324,1999.2259,-215.4,181.9,10.2,rrr,2.7,3.1,9.4,0.0554,Southern_California.19990324.stacov.point-2016/02/16-09:27:18 
19990325,1999.2287,-215.4,182.1,13.4,rrr,2.5,2.9,8.9,-0.0088,Southern_California.19990325.stacov.point-2016/02/16-09:27:18 
19990326,1999.2314,-213.3,179.7,14.1,rrr,2.7,3.3,9.7,0.0253,Southern_California.19990326.stacov.point-2016/02/16-09:27:19 
19990327,1999.2341,-214.4,181.2,16.2,rrr,2.6,3.1,9.3,0.0252,Southern_California.19990327.stacov.point-2016/02/16-09:27:19 
19990328,1999.2369,-212.2,178.3,8.8,rrr,2.6,3.1,9.4,0.0374,Southern_California.19990328.stacov.point-2016/02/16-09:27:20 
19990329,1999.2396,-212.4,180.9,12.6,rrr,2.6,3.1,9.4,0.0079,Southern_California.19990329.stacov.point-2016/02/16-09:27:20 
19990330,1999.2424,-212.4,181.0,12.7,rrr,2.6,3.1,9.3,0.0502,Southern_California.19990330.stacov.point-2016/02/16-09:27:20 
19990331,1999.2451,-213.9,182.9,21.3,rrr,2.8,3.2,10.1,0.0348,Southern_California.19990331.stacov.point-2016/02/16-09:27:21 
19990401,1999.2478,-214.5,177.9,20.8,rrr,2.6,3.1,9.4,0.0032,Southern_California.19990401.stacov.point-2016/02/16-09:27:21 
19990402,1999.2506,-214.5,179.0,17.4,rrr,2.6,3.2,9.8,0.0346,Southern_California.19990402.stacov.point-2016/02/16-09:27:22 
19990403,1999.2533,-212.9,179.5,18.5,rrr,2.6,3.1,9.7,-0.0051,Southern_California.19990403.stacov.point-2016/02/16-09:27:22 
19990404,1999.2559,-212.4,179.0,17.5,rrr,2.7,3.3,9.9,0.0508,Southern_California.19990404.stacov.point-2016/02/16-09:27:22 
19990405,1999.2587,-214.1,180.4,17.5,rrr,3.0,3.6,11.1,0.0153,Southern_California.19990405.stacov.point-2016/02/16-09:27:23 
19990406,1999.2614,-213.1,184.2,14.0,rrr,3.0,3.6,11.1,0.0971,Southern_California.19990406.stacov.point-2016/02/16-09:27:23 
19990407,1999.2641,-211.0,178.2,15.6,rrr,3.0,3.6,11.1,0.0703,Southern_California.19990407.stacov.point-2016/02/16-09:27:24 
19990408,1999.2669,-213.1,179.4,19.6,rrr,3.1,3.8,11.8,0.085,Southern_California.19990408.stacov.point-2016/02/16-09:27:24 
19990409,1999.2696,-210.0,179.4,9.8,rrr,3.5,4.5,13.1,0.0153,Southern_California.19990409.stacov.point-2016/02/16-09:27:25 
19990410,1999.2724,-210.8,181.5,24.4,rrr,3.0,3.5,11.6,0.0471,Southern_California.19990410.stacov.point-2016/02/16-09:27:25 
19990411,1999.2751,-212.5,178.5,13.3,rrr,3.1,3.6,12.1,0.0269,Southern_California.19990411.stacov.point-2016/02/16-09:27:25 
19990412,1999.2778,-214.5,178.6,20.0,rrr,3.1,3.7,11.3,0.0521,Southern_California.19990412.stacov.point-2016/02/16-09:27:26 
19990413,1999.2806,-208.6,183.3,15.4,rrr,3.0,3.7,11.8,0.0567,Southern_California.19990413.stacov.point-2016/02/16-09:27:26 
19990414,1999.2833,-214.2,178.8,13.5,rrr,3.0,3.4,11.1,0.0155,Southern_California.19990414.stacov.point-2016/02/16-09:27:27 
