DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20001117,2000.8796,-164.0,179.0,-10.7,rrr,2.8,3.1,10.1,0.0333,Southern_California.20001117.stacov.point-2016/02/16-09:33:00 
20001118,2000.8824,-164.6,177.1,-10.0,rrr,2.8,2.9,9.9,0.0016,Southern_California.20001118.stacov.point-2016/02/16-09:33:01 
20001119,2000.8851,-163.0,178.4,-9.4,rrr,2.9,3.1,10.3,0.0287,Southern_California.20001119.stacov.point-2016/02/16-09:33:02 
20001120,2000.8878,-163.5,178.6,-2.2,rrr,2.8,3.1,10.1,0.0409,Southern_California.20001120.stacov.point-2016/02/16-09:33:03 
20001121,2000.8906,-166.0,177.5,-2.9,rrr,2.8,2.9,9.9,-0.0044,Southern_California.20001121.stacov.point-2016/02/16-09:33:03 
20001122,2000.8933,-164.6,177.5,-5.8,rrr,2.9,3.2,10.2,-0.0013,Southern_California.20001122.stacov.point-2016/02/16-09:33:04 
20001123,2000.896,-163.6,177.2,-8.8,rrr,2.9,2.9,9.9,0.0328,Southern_California.20001123.stacov.point-2016/02/16-09:33:05 
20001124,2000.8988,-163.9,176.6,-4.9,rrr,2.9,3.1,10.4,-0.0218,Southern_California.20001124.stacov.point-2016/02/16-09:33:06 
20001125,2000.9015,-165.5,176.1,-7.2,rrr,2.8,3.1,10.3,0.0311,Southern_California.20001125.stacov.point-2016/02/16-09:33:06 
20001126,2000.9043,-164.8,174.7,-1.8,rrr,2.8,3.0,10.3,0.0075,Southern_California.20001126.stacov.point-2016/02/16-09:33:07 
20001127,2000.907,-164.4,175.5,-4.7,rrr,2.8,3.0,10.3,0.0176,Southern_California.20001127.stacov.point-2016/02/16-09:33:08 
20001128,2000.9097,-163.5,177.2,-2.7,rrr,2.9,3.0,10.3,0.0107,Southern_California.20001128.stacov.point-2016/02/16-09:33:08 
20001220,2000.97,-160.5,175.6,-15.8,rrr,6.6,6.7,24.3,-0.0994,Southern_California.20001220.stacov.point-2016/02/16-09:33:25 
20001221,2000.9727,-165.8,176.3,-17.7,rrr,7.0,6.8,24.6,-0.1311,Southern_California.20001221.stacov.point-2016/02/16-09:33:25 
20001222,2000.9754,-166.3,177.3,-7.8,rrr,6.7,7.1,24.7,-0.1269,Southern_California.20001222.stacov.point-2016/02/16-09:33:26 
20001223,2000.9782,-165.1,177.6,-6.1,rrr,6.2,6.6,23.7,-0.0777,Southern_California.20001223.stacov.point-2016/02/16-09:33:27 
20001224,2000.9809,-163.7,177.0,-9.9,rrr,5.9,6.7,22.2,-0.0592,Southern_California.20001224.stacov.point-2016/02/16-09:33:27 
20001225,2000.9837,-166.1,174.5,-8.6,rrr,6.5,7.0,24.3,-0.138,Southern_California.20001225.stacov.point-2016/02/16-09:33:28 
20001226,2000.9864,-161.6,172.1,-10.4,rrr,5.9,6.8,22.1,-0.0952,Southern_California.20001226.stacov.point-2016/02/16-09:33:29 
20001227,2000.9891,-162.4,175.0,-18.6,rrr,6.0,6.8,22.7,-0.1422,Southern_California.20001227.stacov.point-2016/02/16-09:33:30 
20001229,2000.9946,-164.2,174.3,-8.9,rrr,6.4,7.3,23.6,-0.1361,Southern_California.20001229.stacov.point-2016/02/16-09:33:31 
20001230,2000.9974,-166.4,172.8,1.4,rrr,6.3,6.8,21.3,-0.1935,Southern_California.20001230.stacov.point-2016/02/16-09:33:32 
20010101,2001.0028,-165.6,172.4,-15.8,rrr,5.8,6.8,21.6,-0.1408,Southern_California.20010101.stacov.point-2016/02/16-09:33:33 
20010102,2001.0056,-162.3,172.4,-10.2,rrr,6.0,6.8,22.4,-0.0672,Southern_California.20010102.stacov.point-2016/02/16-09:33:34 
20010103,2001.0083,-165.3,174.6,-25.7,rrr,5.8,6.8,22.3,-0.1274,Southern_California.20010103.stacov.point-2016/02/16-09:33:35 
20010104,2001.011,-163.5,180.8,-14.4,rrr,5.9,6.8,21.3,-0.156,Southern_California.20010104.stacov.point-2016/02/16-09:33:36 
