DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19940903,1994.6727,-323.9,329.0,14.9,rrr,3.0,3.5,11.4,0.0723,Southern_California.19940903.stacov.point-2016/02/16-09:19:33 
19940904,1994.6754,-324.3,330.0,10.5,rrr,3.1,3.4,11.6,0.0465,Southern_California.19940904.stacov.point-2016/02/16-09:19:33 
19940905,1994.6781,-326.3,332.0,12.4,rrr,3.0,3.5,11.6,0.0552,Southern_California.19940905.stacov.point-2016/02/16-09:19:33 
19940906,1994.6809,-322.5,327.1,15.0,rrr,3.0,3.4,11.6,0.0417,Southern_California.19940906.stacov.point-2016/02/16-09:19:33 
19940909,1994.6891,-324.2,330.7,25.5,rrr,3.0,3.5,11.6,0.0591,Southern_California.19940909.stacov.point-2016/02/16-09:19:34 
19940910,1994.6918,-321.6,330.6,29.8,rrr,3.0,3.4,11.6,0.0375,Southern_California.19940910.stacov.point-2016/02/16-09:19:34 
19940911,1994.6946,-319.1,329.2,8.6,rrr,3.0,3.5,11.4,0.0786,Southern_California.19940911.stacov.point-2016/02/16-09:19:34 
19940912,1994.6973,-320.3,333.0,18.5,rrr,3.0,3.5,11.4,0.0899,Southern_California.19940912.stacov.point-2016/02/16-09:19:34 
19940913,1994.7,-323.5,324.9,21.9,rrr,3.0,3.4,11.4,0.0865,Southern_California.19940913.stacov.point-2016/02/16-09:19:35 
19940914,1994.7028,-322.1,331.0,19.6,rrr,3.0,3.6,11.6,0.0242,Southern_California.19940914.stacov.point-2016/02/16-09:19:35 
19940915,1994.7055,-321.2,328.3,22.1,rrr,3.1,3.5,11.6,0.0254,Southern_California.19940915.stacov.point-2016/02/16-09:19:35 
19940916,1994.7083,-324.6,327.6,18.7,rrr,3.0,3.5,11.6,0.0475,Southern_California.19940916.stacov.point-2016/02/16-09:19:35 
19940917,1994.711,-325.0,328.5,17.6,rrr,3.0,3.5,11.6,0.0511,Southern_California.19940917.stacov.point-2016/02/16-09:19:35 
19940918,1994.7137,-325.6,330.6,17.9,rrr,3.0,3.5,11.6,0.0651,Southern_California.19940918.stacov.point-2016/02/16-09:19:36 
19940919,1994.7165,-322.6,330.3,13.4,rrr,3.0,3.4,11.6,0.053,Southern_California.19940919.stacov.point-2016/02/16-09:19:36 
19940920,1994.7192,-323.2,330.0,20.9,rrr,3.0,3.5,11.3,0.0792,Southern_California.19940920.stacov.point-2016/02/16-09:19:36 
19940921,1994.722,-323.1,329.0,9.0,rrr,3.0,3.5,11.6,0.0316,Southern_California.19940921.stacov.point-2016/02/16-09:19:36 
19940922,1994.7247,-324.6,327.1,28.5,rrr,3.1,3.4,11.7,0.0427,Southern_California.19940922.stacov.point-2016/02/16-09:19:36 
19940923,1994.7274,-323.4,329.0,20.7,rrr,3.3,3.6,12.7,0.0146,Southern_California.19940923.stacov.point-2016/02/16-09:19:37 
19940924,1994.7302,-322.4,327.6,44.8,rrr,3.3,3.5,12.7,0.0126,Southern_California.19940924.stacov.point-2016/02/16-09:19:37 
19940925,1994.7329,-323.0,329.5,26.8,rrr,3.1,3.5,11.6,0.0603,Southern_California.19940925.stacov.point-2016/02/16-09:19:37 
19940926,1994.7356,-323.4,331.5,13.5,rrr,3.0,3.5,11.6,0.0392,Southern_California.19940926.stacov.point-2016/02/16-09:19:37 
19940927,1994.7384,-322.2,330.8,18.7,rrr,3.1,3.5,11.6,0.0447,Southern_California.19940927.stacov.point-2016/02/16-09:19:37 
19940928,1994.7411,-322.2,330.9,18.5,rrr,3.1,3.5,11.6,0.0552,Southern_California.19940928.stacov.point-2016/02/16-09:19:38 
19940929,1994.7439,-320.5,326.5,20.3,rrr,3.1,3.5,11.7,0.0368,Southern_California.19940929.stacov.point-2016/02/16-09:19:38 
19940930,1994.7466,-319.6,332.8,23.6,rrr,3.0,3.4,11.4,0.0791,Southern_California.19940930.stacov.point-2016/02/16-09:19:38 
19941001,1994.7493,-318.7,332.1,22.0,rrr,3.1,3.5,11.6,0.054,Southern_California.19941001.stacov.point-2016/02/16-09:19:38 
19941002,1994.7521,-316.5,334.0,17.2,rrr,3.0,3.5,11.3,0.0765,Southern_California.19941002.stacov.point-2016/02/16-09:19:38 
19941003,1994.7548,-320.2,328.8,19.7,rrr,3.0,3.5,11.3,0.0744,Southern_California.19941003.stacov.point-2016/02/16-09:19:39 
19941004,1994.7575,-321.6,332.3,49.2,rrr,3.1,3.5,11.7,0.0495,Southern_California.19941004.stacov.point-2016/02/16-09:19:39 
19941005,1994.7603,-318.9,329.3,42.2,rrr,3.1,3.4,12.0,0.0127,Southern_California.19941005.stacov.point-2016/02/16-09:19:39 
19941006,1994.763,-322.2,326.1,29.6,rrr,3.0,3.4,11.6,0.0525,Southern_California.19941006.stacov.point-2016/02/16-09:19:39 
19941007,1994.7658,-319.4,327.1,15.8,rrr,3.1,3.5,11.6,0.0581,Southern_California.19941007.stacov.point-2016/02/16-09:19:39 
19941008,1994.7685,-318.7,326.4,7.4,rrr,3.1,3.5,11.6,0.0687,Southern_California.19941008.stacov.point-2016/02/16-09:19:40 
19941009,1994.7712,-317.9,327.0,9.7,rrr,3.0,3.5,11.3,0.0891,Southern_California.19941009.stacov.point-2016/02/16-09:19:40 
19941010,1994.774,-319.2,329.8,11.5,rrr,3.0,3.5,11.6,0.0576,Southern_California.19941010.stacov.point-2016/02/16-09:19:40 
19941011,1994.7767,-320.3,324.2,19.9,rrr,3.1,3.5,12.1,0.1004,Southern_California.19941011.stacov.point-2016/02/16-09:19:40 
19941012,1994.7794,-320.9,323.4,47.3,rrr,3.2,3.5,12.5,0.0624,Southern_California.19941012.stacov.point-2016/02/16-09:19:40 
19941013,1994.7822,-320.6,326.7,21.5,rrr,3.0,3.5,11.3,0.0831,Southern_California.19941013.stacov.point-2016/02/16-09:19:41 
19941014,1994.7849,-320.3,328.3,14.9,rrr,3.1,3.5,11.6,0.0521,Southern_California.19941014.stacov.point-2016/02/16-09:19:41 
19941015,1994.7877,-318.0,324.1,21.5,rrr,3.1,3.5,11.7,0.052,Southern_California.19941015.stacov.point-2016/02/16-09:19:41 
19941016,1994.7904,-316.9,327.4,18.5,rrr,3.1,3.5,11.7,0.0289,Southern_California.19941016.stacov.point-2016/02/16-09:19:41 
19941017,1994.7931,-317.5,326.6,14.8,rrr,3.1,3.6,11.7,0.0566,Southern_California.19941017.stacov.point-2016/02/16-09:19:41 
19941018,1994.7959,-319.2,326.2,17.2,rrr,3.1,3.6,11.9,0.0262,Southern_California.19941018.stacov.point-2016/02/16-09:19:42 
19941019,1994.7986,-318.9,328.9,16.7,rrr,3.0,3.5,11.6,0.0496,Southern_California.19941019.stacov.point-2016/02/16-09:19:42 
19941020,1994.8013,-317.4,330.3,17.7,rrr,3.0,3.4,11.4,0.0865,Southern_California.19941020.stacov.point-2016/02/16-09:19:42 
19941021,1994.8041,-317.5,328.5,18.5,rrr,3.0,3.4,11.6,0.0503,Southern_California.19941021.stacov.point-2016/02/16-09:19:42 
19941022,1994.8068,-318.7,327.4,16.6,rrr,3.0,3.5,11.4,0.0811,Southern_California.19941022.stacov.point-2016/02/16-09:19:42 
19941023,1994.8096,-318.3,328.7,13.4,rrr,3.0,3.4,11.6,0.0526,Southern_California.19941023.stacov.point-2016/02/16-09:19:43 
19941024,1994.8123,-317.9,329.2,27.2,rrr,3.1,3.6,12.1,0.067,Southern_California.19941024.stacov.point-2016/02/16-09:19:43 
19941025,1994.815,-321.3,325.7,48.8,rrr,3.1,3.6,12.1,0.0816,Southern_California.19941025.stacov.point-2016/02/16-09:19:43 
19941026,1994.8178,-321.8,327.0,25.5,rrr,3.0,3.5,11.6,0.0597,Southern_California.19941026.stacov.point-2016/02/16-09:19:43 
19941027,1994.8205,-320.3,326.0,20.8,rrr,3.1,3.7,12.0,0.0461,Southern_California.19941027.stacov.point-2016/02/16-09:19:43 
19941028,1994.8233,-319.1,324.2,24.1,rrr,3.1,3.5,11.9,-0.0064,Southern_California.19941028.stacov.point-2016/02/16-09:19:44 
19941029,1994.826,-318.4,323.8,16.7,rrr,3.0,3.5,11.6,0.0511,Southern_California.19941029.stacov.point-2016/02/16-09:19:44 
19941030,1994.8288,-314.7,324.1,27.5,rrr,3.0,3.4,11.6,0.0601,Southern_California.19941030.stacov.point-2016/02/16-09:19:44 
19941031,1994.8316,-319.1,324.4,11.9,rrr,3.0,3.5,11.6,0.059,Southern_California.19941031.stacov.point-2016/02/16-09:19:44 
19941101,1994.8343,-317.0,328.2,10.4,rrr,3.0,3.5,11.6,0.048,Southern_California.19941101.stacov.point-2016/02/16-09:19:44 
19941102,1994.8371,-317.7,324.2,23.0,rrr,3.0,3.4,11.6,0.0471,Southern_California.19941102.stacov.point-2016/02/16-09:19:45 
19941103,1994.8398,-319.3,323.5,12.7,rrr,3.0,3.4,11.6,0.0494,Southern_California.19941103.stacov.point-2016/02/16-09:19:45 
19941104,1994.8425,-316.4,326.6,12.3,rrr,3.0,3.4,11.6,0.0571,Southern_California.19941104.stacov.point-2016/02/16-09:19:45 
19941105,1994.8453,-316.5,325.2,6.5,rrr,3.0,3.3,11.2,0.0501,Southern_California.19941105.stacov.point-2016/02/16-09:19:45 
19941106,1994.848,-316.7,328.5,12.1,rrr,3.0,3.5,11.4,0.0763,Southern_California.19941106.stacov.point-2016/02/16-09:19:45 
19941107,1994.8507,-318.6,322.0,10.6,rrr,3.0,3.5,11.6,0.0423,Southern_California.19941107.stacov.point-2016/02/16-09:19:46 
19941108,1994.8535,-320.3,324.6,24.2,rrr,3.0,3.4,11.7,0.0398,Southern_California.19941108.stacov.point-2016/02/16-09:19:46 
19941109,1994.8562,-315.4,327.8,11.6,rrr,3.0,3.5,11.3,0.0865,Southern_California.19941109.stacov.point-2016/02/16-09:19:46 
19941110,1994.859,-320.0,322.0,21.9,rrr,3.3,3.5,12.4,0.0542,Southern_California.19941110.stacov.point-2016/02/16-09:19:46 
19941111,1994.8617,-318.0,324.1,33.3,rrr,3.0,3.5,11.3,0.0807,Southern_California.19941111.stacov.point-2016/02/16-09:19:46 
19941113,1994.8672,-319.4,325.1,13.0,rrr,3.1,3.5,11.6,0.0403,Southern_California.19941113.stacov.point-2016/02/16-09:19:47 
19941114,1994.8699,-318.4,324.1,11.1,rrr,3.0,3.5,11.6,0.0415,Southern_California.19941114.stacov.point-2016/02/16-09:19:47 
19941115,1994.8726,-317.4,328.0,9.4,rrr,3.1,3.5,11.6,0.047,Southern_California.19941115.stacov.point-2016/02/16-09:19:47 
19941116,1994.8754,-311.9,326.1,11.4,rrr,3.1,3.4,11.6,0.0761,Southern_California.19941116.stacov.point-2016/02/16-09:19:47 
19941117,1994.8781,-319.2,319.5,9.2,rrr,3.1,3.4,11.9,0.0109,Southern_California.19941117.stacov.point-2016/02/16-09:19:48 
19941118,1994.8809,-317.5,324.1,22.0,rrr,3.1,3.5,11.9,-0.0003,Southern_California.19941118.stacov.point-2016/02/16-09:19:48 
19941119,1994.8836,-318.5,324.0,6.7,rrr,3.1,3.6,11.7,0.0272,Southern_California.19941119.stacov.point-2016/02/16-09:19:48 
19941120,1994.8863,-317.6,324.5,17.4,rrr,3.1,3.6,11.7,0.0484,Southern_California.19941120.stacov.point-2016/02/16-09:19:48 
19941121,1994.8891,-317.7,321.2,16.7,rrr,3.0,3.5,11.3,0.07,Southern_California.19941121.stacov.point-2016/02/16-09:19:48 
19941122,1994.8918,-319.2,324.8,10.8,rrr,3.1,3.5,11.5,0.0525,Southern_California.19941122.stacov.point-2016/02/16-09:19:49 
19941123,1994.8946,-315.3,324.9,14.6,rrr,3.2,3.7,12.0,0.0835,Southern_California.19941123.stacov.point-2016/02/16-09:19:49 
19941124,1994.8973,-315.3,326.5,14.3,rrr,3.1,3.5,11.6,0.0407,Southern_California.19941124.stacov.point-2016/02/16-09:19:49 
19941125,1994.9,-314.5,323.7,19.9,rrr,3.0,3.5,11.6,0.0488,Southern_California.19941125.stacov.point-2016/02/16-09:19:49 
19941126,1994.9028,-317.7,316.5,57.1,rrr,3.1,3.5,11.6,0.0424,Southern_California.19941126.stacov.point-2016/02/16-09:19:49 
19941127,1994.9055,-316.4,323.6,63.1,rrr,3.1,3.5,11.6,0.0568,Southern_California.19941127.stacov.point-2016/02/16-09:19:50 
19941128,1994.9082,-315.6,328.8,23.0,rrr,3.0,3.5,11.6,0.0377,Southern_California.19941128.stacov.point-2016/02/16-09:19:50 
19941129,1994.911,-312.9,324.5,12.4,rrr,3.1,3.4,11.7,0.0588,Southern_California.19941129.stacov.point-2016/02/16-09:19:50 
19941130,1994.9137,-313.1,326.9,17.0,rrr,3.0,3.5,11.3,0.0698,Southern_California.19941130.stacov.point-2016/02/16-09:19:50 
