DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19990902,1999.6694,-190.0,159.6,-4.0,rrr,2.6,3.0,9.0,-0.044,Southern_California.19990902.stacov.point-2016/02/16-09:28:28 
19990903,1999.6721,-190.3,159.4,2.3,rrr,2.6,3.1,9.1,-0.0149,Southern_California.19990903.stacov.point-2016/02/16-09:28:28 
19990904,1999.6748,-190.5,157.5,0.4,rrr,2.8,3.1,9.4,0.0019,Southern_California.19990904.stacov.point-2016/02/16-09:28:28 
19990905,1999.6776,-190.3,160.1,-1.2,rrr,2.6,2.9,9.0,-0.0279,Southern_California.19990905.stacov.point-2016/02/16-09:28:29 
19990906,1999.6803,-192.4,158.3,-3.5,rrr,2.6,2.9,9.0,-0.042,Southern_California.19990906.stacov.point-2016/02/16-09:28:29 
19990907,1999.683,-190.6,157.7,-5.1,rrr,2.9,3.0,10.1,-0.076,Southern_California.19990907.stacov.point-2016/02/16-09:28:30 
19990908,1999.6858,-192.5,160.2,-3.3,rrr,3.0,3.2,10.3,-0.0021,Southern_California.19990908.stacov.point-2016/02/16-09:28:30 
19990909,1999.6885,-190.9,161.3,-3.7,rrr,2.7,2.9,9.2,-0.0438,Southern_California.19990909.stacov.point-2016/02/16-09:28:31 
19990910,1999.6913,-192.2,157.0,2.7,rrr,2.8,3.1,9.8,-0.0151,Southern_California.19990910.stacov.point-2016/02/16-09:28:31 
19990911,1999.694,-190.9,159.4,-5.5,rrr,2.8,3.0,9.4,-0.0038,Southern_California.19990911.stacov.point-2016/02/16-09:28:32 
19990912,1999.6967,-191.5,157.1,1.3,rrr,2.6,2.9,9.0,-0.0452,Southern_California.19990912.stacov.point-2016/02/16-09:28:32 
19990913,1999.6995,-190.9,157.6,-3.3,rrr,3.1,3.6,11.0,-0.0278,Southern_California.19990913.stacov.point-2016/02/16-09:28:33 
19991117,1999.8775,-185.3,145.2,-0.4,rrr,2.6,3.0,9.1,0.029,Southern_California.19991117.stacov.point-2016/02/16-09:29:06 
19991118,1999.8803,-185.0,149.1,2.0,rrr,2.7,3.1,9.2,0.0354,Southern_California.19991118.stacov.point-2016/02/16-09:29:06 
19991119,1999.883,-182.6,145.7,-10.7,rrr,2.6,3.0,9.1,0.0401,Southern_California.19991119.stacov.point-2016/02/16-09:29:07 
19991120,1999.8858,-184.2,145.5,-9.6,rrr,2.7,3.1,9.4,0.035,Southern_California.19991120.stacov.point-2016/02/16-09:29:08 
19991121,1999.8885,-184.7,143.7,-7.9,rrr,2.7,3.1,9.4,0.0172,Southern_California.19991121.stacov.point-2016/02/16-09:29:08 
19991122,1999.8912,-184.3,144.2,-0.5,rrr,2.6,2.9,9.0,-0.0113,Southern_California.19991122.stacov.point-2016/02/16-09:29:09 
19991123,1999.894,-181.8,146.8,-2.0,rrr,2.6,3.0,9.0,-0.0262,Southern_California.19991123.stacov.point-2016/02/16-09:29:09 
19991124,1999.8967,-183.8,146.4,-4.6,rrr,2.6,3.2,9.0,0.0011,Southern_California.19991124.stacov.point-2016/02/16-09:29:10 
19991125,1999.8995,-181.2,146.1,1.7,rrr,2.7,3.1,9.4,0.0019,Southern_California.19991125.stacov.point-2016/02/16-09:29:10 
19991126,1999.9022,-183.0,147.3,-1.0,rrr,2.7,3.2,9.4,0.0142,Southern_California.19991126.stacov.point-2016/02/16-09:29:11 
19991127,1999.9049,-179.9,149.6,-4.0,rrr,2.6,2.9,9.0,-0.017,Southern_California.19991127.stacov.point-2016/02/16-09:29:12 
19991128,1999.9077,-182.4,151.5,-11.3,rrr,2.6,2.9,9.0,-0.0133,Southern_California.19991128.stacov.point-2016/02/16-09:29:12 
19991129,1999.9104,-181.6,150.3,-3.7,rrr,2.6,3.0,9.3,0.031,Southern_California.19991129.stacov.point-2016/02/16-09:29:13 
19991130,1999.9131,-182.3,152.2,-4.2,rrr,2.7,3.0,9.3,-0.0013,Southern_California.19991130.stacov.point-2016/02/16-09:29:13 
19991201,1999.9159,-183.3,149.0,-5.8,rrr,2.7,3.0,9.5,0.0312,Southern_California.19991201.stacov.point-2016/02/16-09:29:14 
19991202,1999.9186,-182.5,147.9,-1.5,rrr,2.5,2.9,9.0,-0.0187,Southern_California.19991202.stacov.point-2016/02/16-09:29:15 
19991203,1999.9214,-183.2,150.5,-8.6,rrr,2.6,3.0,9.1,0.0436,Southern_California.19991203.stacov.point-2016/02/16-09:29:15 
19991204,1999.9241,-182.6,149.1,-8.4,rrr,2.6,3.1,9.1,0.029,Southern_California.19991204.stacov.point-2016/02/16-09:29:16 
19991205,1999.9268,-183.6,150.3,-9.8,rrr,2.6,2.8,8.8,0.0214,Southern_California.19991205.stacov.point-2016/02/16-09:29:16 
19991206,1999.9296,-181.6,150.4,-10.5,rrr,2.6,3.0,9.1,0.0435,Southern_California.19991206.stacov.point-2016/02/16-09:29:17 
19991207,1999.9323,-184.5,146.2,-5.1,rrr,2.7,3.0,9.5,0.0239,Southern_California.19991207.stacov.point-2016/02/16-09:29:17 
19991208,1999.935,-181.6,150.4,-7.5,rrr,2.8,3.2,9.8,0.0086,Southern_California.19991208.stacov.point-2016/02/16-09:29:18 
19991209,1999.9378,-182.5,147.3,-11.6,rrr,2.6,3.0,9.1,0.0412,Southern_California.19991209.stacov.point-2016/02/16-09:29:19 
19991210,1999.9405,-183.8,145.9,-7.9,rrr,2.6,3.0,9.1,0.0464,Southern_California.19991210.stacov.point-2016/02/16-09:29:19 
19991211,1999.9433,-182.5,145.3,-8.8,rrr,2.5,2.9,8.6,0.0137,Southern_California.19991211.stacov.point-2016/02/16-09:29:20 
19991212,1999.946,-182.1,145.5,-9.3,rrr,2.5,2.9,8.6,0.0235,Southern_California.19991212.stacov.point-2016/02/16-09:29:20 
19991213,1999.9487,-182.9,144.5,-9.4,rrr,2.7,3.2,9.6,0.0555,Southern_California.19991213.stacov.point-2016/02/16-09:29:21 
19991214,1999.9515,-182.3,146.6,-9.2,rrr,2.7,3.1,9.7,-0.0148,Southern_California.19991214.stacov.point-2016/02/16-09:29:22 
19991215,1999.9542,-183.4,146.6,-9.6,rrr,2.7,3.0,9.5,0.0686,Southern_California.19991215.stacov.point-2016/02/16-09:29:22 
19991216,1999.9569,-182.4,146.4,-8.5,rrr,2.6,3.0,9.1,0.068,Southern_California.19991216.stacov.point-2016/02/16-09:29:23 
19991217,1999.9597,-181.2,144.9,-10.1,rrr,2.7,3.2,9.8,0.0281,Southern_California.19991217.stacov.point-2016/02/16-09:29:23 
19991218,1999.9624,-181.0,145.6,-6.6,rrr,2.6,3.1,9.3,0.0185,Southern_California.19991218.stacov.point-2016/02/16-09:29:24 
19991219,1999.9652,-180.8,145.6,-7.0,rrr,2.6,3.0,9.1,0.0444,Southern_California.19991219.stacov.point-2016/02/16-09:29:24 
19991220,1999.9679,-182.4,147.6,-6.1,rrr,2.6,2.9,9.0,0.0219,Southern_California.19991220.stacov.point-2016/02/16-09:29:25 
19991221,1999.9706,-179.8,146.2,-6.6,rrr,2.7,3.0,9.5,0.0025,Southern_California.19991221.stacov.point-2016/02/16-09:29:26 
19991222,1999.9734,-181.6,148.8,-1.8,rrr,2.7,3.0,9.3,0.0241,Southern_California.19991222.stacov.point-2016/02/16-09:29:26 
19991223,1999.9761,-180.1,149.1,-12.5,rrr,2.6,3.0,9.1,0.0423,Southern_California.19991223.stacov.point-2016/02/16-09:29:27 
19991224,1999.9788,-181.4,148.5,-12.3,rrr,2.6,3.0,9.1,0.0623,Southern_California.19991224.stacov.point-2016/02/16-09:29:27 
19991225,1999.9816,-181.9,147.7,-11.5,rrr,2.6,2.9,8.8,0.0368,Southern_California.19991225.stacov.point-2016/02/16-09:29:28 
19991226,1999.9843,-181.1,147.6,-10.2,rrr,2.6,2.9,9.0,0.0035,Southern_California.19991226.stacov.point-2016/02/16-09:29:29 
19991227,1999.9871,-183.0,149.1,-16.0,rrr,2.6,2.9,9.0,0.0032,Southern_California.19991227.stacov.point-2016/02/16-09:29:29 
19991228,1999.9898,-180.1,147.8,-12.5,rrr,2.7,3.0,9.5,0.0217,Southern_California.19991228.stacov.point-2016/02/16-09:29:30 
19991229,1999.9925,-181.8,148.2,-10.4,rrr,2.6,3.1,9.1,0.0287,Southern_California.19991229.stacov.point-2016/02/16-09:29:30 
19991230,1999.9953,-178.6,149.8,-2.8,rrr,2.6,2.9,8.7,0.0246,Southern_California.19991230.stacov.point-2016/02/16-09:29:31 
19991231,1999.998,-178.8,147.9,-11.6,rrr,2.6,3.0,9.1,0.0203,Southern_California.19991231.stacov.point-2016/02/16-09:29:32 
20000101,2000.0008,-179.1,147.2,-4.8,rrr,2.8,3.0,9.4,-0.0024,Southern_California.20000101.stacov.point-2016/02/16-09:29:32 
20000102,2000.0035,-181.0,146.6,-1.0,rrr,2.5,2.9,9.0,0.0047,Southern_California.20000102.stacov.point-2016/02/16-09:29:33 
20000103,2000.0062,-178.6,148.2,-5.1,rrr,2.6,3.0,8.7,0.0152,Southern_California.20000103.stacov.point-2016/02/16-09:29:33 
20000104,2000.009,-178.7,148.0,-10.3,rrr,2.6,3.0,9.1,0.0334,Southern_California.20000104.stacov.point-2016/02/16-09:29:34 
20000105,2000.0117,-178.4,147.5,0.1,rrr,2.6,3.0,9.1,0.0489,Southern_California.20000105.stacov.point-2016/02/16-09:29:34 
20000106,2000.0144,-179.0,148.4,-9.0,rrr,2.6,2.9,8.7,0.021,Southern_California.20000106.stacov.point-2016/02/16-09:29:35 
20000107,2000.0172,-177.1,149.0,-4.6,rrr,2.6,3.0,9.1,0.0498,Southern_California.20000107.stacov.point-2016/02/16-09:29:36 
20000108,2000.0199,-179.7,148.5,-3.0,rrr,2.5,2.9,8.6,0.0224,Southern_California.20000108.stacov.point-2016/02/16-09:29:36 
20000109,2000.0227,-178.8,147.3,-6.2,rrr,2.5,2.9,8.6,0.0276,Southern_California.20000109.stacov.point-2016/02/16-09:29:37 
20000110,2000.0254,-178.4,144.0,-3.2,rrr,2.5,2.9,8.8,0.0202,Southern_California.20000110.stacov.point-2016/02/16-09:29:37 
20000111,2000.0281,-178.4,148.9,-8.6,rrr,2.5,2.9,9.0,-0.0227,Southern_California.20000111.stacov.point-2016/02/16-09:29:38 
20000112,2000.0309,-179.3,150.3,-5.1,rrr,2.6,3.1,9.3,0.0328,Southern_California.20000112.stacov.point-2016/02/16-09:29:38 
20000113,2000.0336,-179.8,150.1,-10.7,rrr,2.7,3.0,9.3,0.0092,Southern_California.20000113.stacov.point-2016/02/16-09:29:39 
20000114,2000.0363,-177.4,149.8,-6.7,rrr,2.5,2.9,9.0,-0.0222,Southern_California.20000114.stacov.point-2016/02/16-09:29:40 
20000115,2000.0391,-176.9,151.0,-2.8,rrr,2.6,3.0,9.1,0.0133,Southern_California.20000115.stacov.point-2016/02/16-09:29:40 
20000116,2000.0418,-177.3,150.2,-0.1,rrr,2.5,2.9,8.8,0.0098,Southern_California.20000116.stacov.point-2016/02/16-09:29:41 
20000117,2000.0446,-175.7,149.0,-5.9,rrr,2.5,2.9,9.0,-0.0327,Southern_California.20000117.stacov.point-2016/02/16-09:29:41 
20000118,2000.0473,-178.6,147.8,-1.2,rrr,2.6,3.0,9.1,0.0125,Southern_California.20000118.stacov.point-2016/02/16-09:29:42 
20000119,2000.05,-177.9,147.6,-5.6,rrr,2.6,2.9,9.0,-0.0285,Southern_California.20000119.stacov.point-2016/02/16-09:29:43 
20000120,2000.0528,-180.7,150.0,-1.4,rrr,2.5,2.9,9.1,0.0158,Southern_California.20000120.stacov.point-2016/02/16-09:29:43 
20000121,2000.0555,-180.1,143.7,-0.5,rrr,2.5,2.9,8.8,0.0181,Southern_California.20000121.stacov.point-2016/02/16-09:29:44 
20000122,2000.0582,-179.0,144.0,-2.3,rrr,2.6,3.0,9.1,0.0267,Southern_California.20000122.stacov.point-2016/02/16-09:29:44 
20000123,2000.061,-178.5,146.7,-1.6,rrr,2.6,3.0,9.3,-0.0039,Southern_California.20000123.stacov.point-2016/02/16-09:29:45 
20000124,2000.0637,-178.5,143.8,-1.8,rrr,2.4,2.8,8.6,0.0306,Southern_California.20000124.stacov.point-2016/02/16-09:29:46 
20000125,2000.0665,-178.8,148.2,3.3,rrr,2.6,3.0,9.1,0.01,Southern_California.20000125.stacov.point-2016/02/16-09:29:46 
20000126,2000.0692,-175.3,146.9,7.4,rrr,2.7,2.9,9.5,-0.0309,Southern_California.20000126.stacov.point-2016/02/16-09:29:47 
20000127,2000.0719,-176.5,145.7,-3.7,rrr,2.7,2.9,9.5,-0.0061,Southern_California.20000127.stacov.point-2016/02/16-09:29:48 
20000128,2000.0747,-178.8,146.3,-3.2,rrr,2.7,3.0,9.5,-0.0112,Southern_California.20000128.stacov.point-2016/02/16-09:29:48 
20000129,2000.0774,-177.6,146.7,-8.8,rrr,2.7,3.1,9.8,-0.0011,Southern_California.20000129.stacov.point-2016/02/16-09:29:49 
20000130,2000.0802,-176.9,146.5,-4.7,rrr,3.3,3.7,11.6,0.055,Southern_California.20000130.stacov.point-2016/02/16-09:29:49 
20000131,2000.0829,-177.4,144.1,-5.3,rrr,2.6,3.0,9.3,-0.0124,Southern_California.20000131.stacov.point-2016/02/16-09:29:50 
20000201,2000.0856,-177.2,149.8,-10.0,rrr,2.6,2.8,9.0,-0.048,Southern_California.20000201.stacov.point-2016/02/16-09:29:51 
20000202,2000.0884,-178.9,145.0,-9.4,rrr,2.6,2.9,9.3,-0.0223,Southern_California.20000202.stacov.point-2016/02/16-09:29:51 
20000203,2000.0911,-178.6,144.4,-4.9,rrr,2.7,2.9,9.5,-0.0225,Southern_California.20000203.stacov.point-2016/02/16-09:29:52 
20000204,2000.0938,-178.9,145.6,1.4,rrr,2.5,3.0,8.9,0.0455,Southern_California.20000204.stacov.point-2016/02/16-09:29:52 
20000205,2000.0966,-176.9,145.4,-5.7,rrr,2.6,3.0,9.1,0.0233,Southern_California.20000205.stacov.point-2016/02/16-09:29:53 
20000206,2000.0993,-178.1,145.2,-8.1,rrr,2.5,3.0,9.1,0.0349,Southern_California.20000206.stacov.point-2016/02/16-09:29:54 
20000207,2000.1021,-177.0,146.6,-2.6,rrr,2.5,2.9,9.0,-0.0186,Southern_California.20000207.stacov.point-2016/02/16-09:29:54 
20000208,2000.1048,-177.8,145.9,-2.1,rrr,2.4,2.8,8.6,0.0347,Southern_California.20000208.stacov.point-2016/02/16-09:29:55 
20000209,2000.1075,-177.5,145.6,-7.7,rrr,2.5,3.0,8.9,0.0674,Southern_California.20000209.stacov.point-2016/02/16-09:29:56 
20000210,2000.1103,-181.0,144.9,-2.2,rrr,2.6,3.0,9.3,0.0285,Southern_California.20000210.stacov.point-2016/02/16-09:29:56 
20000211,2000.113,-176.3,147.0,-6.6,rrr,2.5,3.0,8.9,0.0639,Southern_California.20000211.stacov.point-2016/02/16-09:29:57 
20000212,2000.1157,-175.0,145.3,-3.9,rrr,2.6,3.0,9.1,0.036,Southern_California.20000212.stacov.point-2016/02/16-09:29:57 
20000213,2000.1185,-175.7,147.2,-1.1,rrr,2.4,2.9,8.6,0.0244,Southern_California.20000213.stacov.point-2016/02/16-09:29:58 
20000214,2000.1212,-180.8,141.8,-6.5,rrr,2.5,3.0,9.1,0.0221,Southern_California.20000214.stacov.point-2016/02/16-09:29:59 
20000215,2000.124,-175.3,145.6,-3.5,rrr,2.6,3.0,9.3,0.0064,Southern_California.20000215.stacov.point-2016/02/16-09:29:59 
20000216,2000.1267,-175.5,146.7,-4.4,rrr,2.6,3.0,9.1,0.0393,Southern_California.20000216.stacov.point-2016/02/16-09:30:00 
20000217,2000.1294,-177.4,145.0,-8.0,rrr,2.5,2.8,8.6,0.0209,Southern_California.20000217.stacov.point-2016/02/16-09:30:01 
20000218,2000.1322,-176.9,145.0,-7.3,rrr,2.5,2.9,8.8,0.0168,Southern_California.20000218.stacov.point-2016/02/16-09:30:01 
20000219,2000.1349,-177.5,146.0,-9.6,rrr,2.5,3.0,8.9,0.0595,Southern_California.20000219.stacov.point-2016/02/16-09:30:02 
20000220,2000.1376,-173.8,146.0,2.3,rrr,2.6,2.9,9.3,0.0215,Southern_California.20000220.stacov.point-2016/02/16-09:30:02 
