DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19990327,1999.2341,-168.7,157.6,-4.7,rrr,2.8,3.7,11.5,-0.0288,Southern_California.19990327.stacov.point-2016/02/16-09:27:19 
19990328,1999.2369,-168.7,153.1,-11.9,rrr,2.8,3.6,11.4,-0.1115,Southern_California.19990328.stacov.point-2016/02/16-09:27:20 
19990329,1999.2396,-168.2,155.6,-10.0,rrr,2.7,3.4,11.2,-0.0359,Southern_California.19990329.stacov.point-2016/02/16-09:27:20 
19990330,1999.2424,-169.3,155.7,-7.7,rrr,2.8,3.7,11.5,-0.0339,Southern_California.19990330.stacov.point-2016/02/16-09:27:20 
19990331,1999.2451,-170.3,156.9,-5.3,rrr,2.8,3.7,11.5,-0.0225,Southern_California.19990331.stacov.point-2016/02/16-09:27:21 
19990401,1999.2478,-170.4,152.1,-3.9,rrr,2.7,3.5,10.8,-0.0175,Southern_California.19990401.stacov.point-2016/02/16-09:27:21 
19990402,1999.2506,-169.6,154.5,-12.3,rrr,2.8,3.7,11.7,-0.0484,Southern_California.19990402.stacov.point-2016/02/16-09:27:22 
19990403,1999.2533,-170.1,155.0,-2.9,rrr,2.7,3.6,11.0,-0.061,Southern_California.19990403.stacov.point-2016/02/16-09:27:22 
19990404,1999.2559,-169.2,155.1,-5.8,rrr,2.8,3.8,12.0,-0.0296,Southern_California.19990404.stacov.point-2016/02/16-09:27:22 
19990405,1999.2587,-168.7,154.8,-5.5,rrr,2.8,3.6,11.6,-0.0892,Southern_California.19990405.stacov.point-2016/02/16-09:27:23 
19990406,1999.2614,-168.5,154.5,-5.3,rrr,2.7,3.6,11.2,-0.0614,Southern_California.19990406.stacov.point-2016/02/16-09:27:23 
19990407,1999.2641,-168.6,156.1,-2.0,rrr,2.8,3.7,11.5,-0.0367,Southern_California.19990407.stacov.point-2016/02/16-09:27:24 
19990408,1999.2669,-169.0,153.2,-4.7,rrr,2.8,3.7,11.7,-0.0238,Southern_California.19990408.stacov.point-2016/02/16-09:27:24 
19990409,1999.2696,-169.3,153.0,-1.4,rrr,3.1,4.1,13.1,-0.0388,Southern_California.19990409.stacov.point-2016/02/16-09:27:25 
19990411,1999.2751,-169.3,154.1,-4.5,rrr,2.9,3.7,12.1,-0.0383,Southern_California.19990411.stacov.point-2016/02/16-09:27:25 
19990412,1999.2778,-170.3,153.9,-10.6,rrr,2.9,3.8,12.2,-0.0173,Southern_California.19990412.stacov.point-2016/02/16-09:27:26 
19990413,1999.2806,-167.6,155.3,-3.5,rrr,2.9,3.8,12.2,-0.0152,Southern_California.19990413.stacov.point-2016/02/16-09:27:26 
19990414,1999.2833,-170.8,153.7,-6.8,rrr,2.8,3.6,11.6,-0.0806,Southern_California.19990414.stacov.point-2016/02/16-09:27:27 
19990415,1999.286,-168.6,151.6,-3.9,rrr,2.8,3.8,12.0,-0.0025,Southern_California.19990415.stacov.point-2016/02/16-09:27:27 
19990416,1999.2888,-169.2,153.8,-3.6,rrr,2.9,4.0,12.1,0.0099,Southern_California.19990416.stacov.point-2016/02/16-09:27:28 
19990417,1999.2915,-169.2,148.4,3.6,rrr,2.9,3.7,11.6,0.0605,Southern_California.19990417.stacov.point-2016/02/16-09:27:28 
19990418,1999.2943,-167.4,157.4,-6.1,rrr,2.7,3.6,11.6,-0.035,Southern_California.19990418.stacov.point-2016/02/16-09:27:28 
19990419,1999.297,-166.2,153.9,-0.1,rrr,2.7,3.7,11.3,-0.0099,Southern_California.19990419.stacov.point-2016/02/16-09:27:29 
19990420,1999.2997,-168.7,153.0,-0.9,rrr,2.8,3.6,11.3,-0.0194,Southern_California.19990420.stacov.point-2016/02/16-09:27:29 
19990421,1999.3025,-167.2,151.5,3.9,rrr,2.9,3.6,11.8,-0.0161,Southern_California.19990421.stacov.point-2016/02/16-09:27:30 
19990422,1999.3052,-165.6,152.3,0.2,rrr,2.8,3.5,11.6,-0.0481,Southern_California.19990422.stacov.point-2016/02/16-09:27:30 
19990423,1999.3079,-166.8,154.0,-0.7,rrr,2.8,3.6,11.3,-0.0558,Southern_California.19990423.stacov.point-2016/02/16-09:27:31 
19990424,1999.3107,-166.6,151.9,1.6,rrr,3.3,4.4,13.8,-0.0666,Southern_California.19990424.stacov.point-2016/02/16-09:27:31 
19990426,1999.3162,-165.7,154.8,2.7,rrr,2.7,3.7,11.3,-0.0056,Southern_California.19990426.stacov.point-2016/02/16-09:27:32 
19990427,1999.3189,-166.2,155.2,4.7,rrr,2.8,3.7,11.2,-0.0583,Southern_California.19990427.stacov.point-2016/02/16-09:27:32 
19990428,1999.3216,-168.1,154.9,2.9,rrr,2.8,3.7,11.5,-0.0467,Southern_California.19990428.stacov.point-2016/02/16-09:27:33 
19990429,1999.3244,-168.1,153.3,5.2,rrr,2.8,3.8,11.7,-0.0596,Southern_California.19990429.stacov.point-2016/02/16-09:27:33 
19990430,1999.3271,-166.0,151.5,3.7,rrr,2.8,3.8,11.2,-0.1221,Southern_California.19990430.stacov.point-2016/02/16-09:27:34 
19990501,1999.3299,-167.4,153.4,1.9,rrr,2.8,3.6,11.2,-0.0934,Southern_California.19990501.stacov.point-2016/02/16-09:27:34 
19990502,1999.3326,-167.4,152.1,0.8,rrr,2.8,3.5,11.2,-0.0958,Southern_California.19990502.stacov.point-2016/02/16-09:27:34 
19990503,1999.3353,-168.6,153.6,2.2,rrr,2.8,3.9,11.9,-0.0834,Southern_California.19990503.stacov.point-2016/02/16-09:27:35 
19990504,1999.3381,-168.2,151.7,-2.9,rrr,2.8,3.8,11.8,-0.1065,Southern_California.19990504.stacov.point-2016/02/16-09:27:35 
19990505,1999.3408,-167.0,152.2,0.1,rrr,2.9,3.9,11.9,-0.1,Southern_California.19990505.stacov.point-2016/02/16-09:27:36 
19990506,1999.3435,-169.4,151.3,-3.4,rrr,2.8,3.7,11.4,-0.0988,Southern_California.19990506.stacov.point-2016/02/16-09:27:36 
19990507,1999.3463,-167.9,153.6,-1.5,rrr,2.8,3.5,11.2,-0.0638,Southern_California.19990507.stacov.point-2016/02/16-09:27:37 
19990508,1999.349,-165.7,149.2,4.9,rrr,2.9,3.8,11.9,-0.0503,Southern_California.19990508.stacov.point-2016/02/16-09:27:37 
