DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19950326,1995.2313,-59.5,55.4,-4.1,rrr,2.7,3.3,10.0,0.1041,Southern_California.19950326.stacov.point-2016/02/16-09:20:16 
19950327,1995.2341,-59.9,55.1,-15.2,rrr,2.6,3.2,9.9,0.0588,Southern_California.19950327.stacov.point-2016/02/16-09:20:16 
19950328,1995.2368,-57.2,56.4,-10.8,rrr,2.6,3.3,9.5,0.0994,Southern_California.19950328.stacov.point-2016/02/16-09:20:17 
19950329,1995.2395,-58.2,56.6,-5.4,rrr,2.6,3.2,9.3,0.133,Southern_California.19950329.stacov.point-2016/02/16-09:20:17 
19950330,1995.2423,-56.4,56.6,-3.8,rrr,2.6,3.3,9.7,0.0678,Southern_California.19950330.stacov.point-2016/02/16-09:20:17 
19950331,1995.245,-57.4,53.0,-0.8,rrr,2.6,3.2,9.5,0.1079,Southern_California.19950331.stacov.point-2016/02/16-09:20:17 
19950401,1995.2477,-56.8,57.6,-15.9,rrr,2.6,3.2,9.5,0.1147,Southern_California.19950401.stacov.point-2016/02/16-09:20:18 
19950402,1995.2504,-56.8,51.3,-7.7,rrr,2.6,3.3,9.5,0.0911,Southern_California.19950402.stacov.point-2016/02/16-09:20:18 
19950403,1995.2531,-57.1,54.1,-2.2,rrr,2.7,3.3,9.9,0.0616,Southern_California.19950403.stacov.point-2016/02/16-09:20:18 
19950404,1995.2558,-54.9,54.2,-3.4,rrr,2.6,3.2,9.3,0.1287,Southern_California.19950404.stacov.point-2016/02/16-09:20:18 
19950405,1995.2586,-53.1,53.8,0.1,rrr,2.6,3.4,9.6,0.1517,Southern_California.19950405.stacov.point-2016/02/16-09:20:18 
19950406,1995.2613,-55.9,54.0,-3.7,rrr,2.6,3.2,9.5,0.127,Southern_California.19950406.stacov.point-2016/02/16-09:20:19 
19950407,1995.2641,-53.9,54.2,-6.0,rrr,2.6,3.3,9.5,0.121,Southern_California.19950407.stacov.point-2016/02/16-09:20:19 
19950408,1995.2668,-55.8,56.5,-2.5,rrr,2.6,3.2,9.6,0.1001,Southern_California.19950408.stacov.point-2016/02/16-09:20:19 
19950409,1995.2695,-56.1,55.1,-4.3,rrr,2.7,3.2,9.6,0.0784,Southern_California.19950409.stacov.point-2016/02/16-09:20:19 
19950410,1995.2723,-59.5,49.9,0.1,rrr,2.6,3.2,9.6,0.0805,Southern_California.19950410.stacov.point-2016/02/16-09:20:20 
19950411,1995.275,-53.8,52.7,-4.1,rrr,2.5,3.3,9.2,0.1305,Southern_California.19950411.stacov.point-2016/02/16-09:20:20 
19950412,1995.2777,-56.1,56.7,-3.6,rrr,2.6,3.1,9.1,0.1107,Southern_California.19950412.stacov.point-2016/02/16-09:20:20 
19950413,1995.2805,-53.1,54.7,-4.1,rrr,3.1,4.0,11.4,0.0881,Southern_California.19950413.stacov.point-2016/02/16-09:20:20 
19950414,1995.2832,-54.3,57.5,4.0,rrr,2.7,3.2,9.9,0.0891,Southern_California.19950414.stacov.point-2016/02/16-09:20:21 
19950415,1995.286,-55.7,52.3,-3.9,rrr,2.7,3.3,9.9,0.1075,Southern_California.19950415.stacov.point-2016/02/16-09:20:21 
19950416,1995.2887,-56.7,51.9,-2.6,rrr,2.7,3.2,9.6,0.1179,Southern_California.19950416.stacov.point-2016/02/16-09:20:21 
19950417,1995.2914,-54.6,54.4,-1.2,rrr,2.7,3.2,9.9,0.1032,Southern_California.19950417.stacov.point-2016/02/16-09:20:21 
19950418,1995.2942,-57.8,48.0,-4.8,rrr,2.8,3.4,10.3,0.0936,Southern_California.19950418.stacov.point-2016/02/16-09:20:22 
19950419,1995.2969,-54.0,50.3,-4.2,rrr,2.6,3.4,9.6,0.1653,Southern_California.19950419.stacov.point-2016/02/16-09:20:22 
19950420,1995.2996,-54.7,53.5,-0.9,rrr,2.4,3.1,8.8,0.1047,Southern_California.19950420.stacov.point-2016/02/16-09:20:22 
19950421,1995.3024,-55.7,53.7,1.4,rrr,2.5,3.1,9.0,0.0844,Southern_California.19950421.stacov.point-2016/02/16-09:20:22 
19950422,1995.3051,-54.6,53.5,-3.8,rrr,2.5,3.1,9.0,0.0816,Southern_California.19950422.stacov.point-2016/02/16-09:20:23 
19950423,1995.3079,-54.9,54.0,1.0,rrr,2.5,3.1,9.0,0.0808,Southern_California.19950423.stacov.point-2016/02/16-09:20:23 
19950424,1995.3106,-53.2,52.6,-3.1,rrr,2.5,3.1,9.0,0.0716,Southern_California.19950424.stacov.point-2016/02/16-09:20:23 
19950425,1995.3133,-55.7,52.0,-2.7,rrr,2.4,3.1,8.8,0.1045,Southern_California.19950425.stacov.point-2016/02/16-09:20:23 
19950426,1995.3161,-55.1,51.9,-1.8,rrr,2.5,3.2,9.0,0.0852,Southern_California.19950426.stacov.point-2016/02/16-09:20:24 
19950502,1995.3325,-55.2,52.8,3.7,rrr,2.9,3.5,10.1,0.1238,Southern_California.19950502.stacov.point-2016/02/16-09:20:25 
19950503,1995.3352,-53.9,52.8,5.0,rrr,2.7,3.3,9.5,0.1126,Southern_California.19950503.stacov.point-2016/02/16-09:20:25 
19950504,1995.338,-53.9,53.1,-1.6,rrr,2.6,3.3,9.5,0.0989,Southern_California.19950504.stacov.point-2016/02/16-09:20:26 
19950505,1995.3407,-55.3,51.3,-3.3,rrr,2.7,3.3,9.4,0.091,Southern_California.19950505.stacov.point-2016/02/16-09:20:26 
19950506,1995.3435,-54.6,54.3,0.3,rrr,2.6,3.1,9.1,0.0868,Southern_California.19950506.stacov.point-2016/02/16-09:20:26 
19950507,1995.3462,-54.9,52.9,0.4,rrr,2.6,3.1,9.1,0.0977,Southern_California.19950507.stacov.point-2016/02/16-09:20:26 
19950508,1995.3489,-56.7,53.1,5.1,rrr,2.7,3.3,9.7,0.0971,Southern_California.19950508.stacov.point-2016/02/16-09:20:27 
19950509,1995.3517,-54.2,52.6,0.0,rrr,2.7,3.3,10.1,0.0786,Southern_California.19950509.stacov.point-2016/02/16-09:20:27 
19950510,1995.3544,-53.1,52.0,-4.0,rrr,2.7,3.4,10.5,0.0649,Southern_California.19950510.stacov.point-2016/02/16-09:20:27 
19950511,1995.3571,-54.1,55.0,-2.4,rrr,2.6,3.3,10.2,0.1116,Southern_California.19950511.stacov.point-2016/02/16-09:20:27 
19950512,1995.3599,-56.0,56.8,2.1,rrr,3.3,16.4,13.3,0.1252,Southern_California.19950512.stacov.point-2016/02/16-09:20:28 
19950513,1995.3626,-57.4,51.1,4.7,rrr,2.7,3.6,10.8,0.0252,Southern_California.19950513.stacov.point-2016/02/16-09:20:28 
19950514,1995.3654,-52.9,53.1,0.3,rrr,2.6,3.3,10.1,0.0595,Southern_California.19950514.stacov.point-2016/02/16-09:20:28 
19950515,1995.3681,-54.5,52.6,-6.7,rrr,2.6,3.3,9.7,0.0937,Southern_California.19950515.stacov.point-2016/02/16-09:20:28 
19950516,1995.3708,-55.5,51.4,-6.7,rrr,2.7,3.3,10.3,0.0154,Southern_California.19950516.stacov.point-2016/02/16-09:20:29 
19950517,1995.3736,-56.2,50.1,-3.3,rrr,3.2,4.2,12.9,-0.0207,Southern_California.19950517.stacov.point-2016/02/16-09:20:29 
19950518,1995.3763,-53.3,51.8,-2.3,rrr,3.0,3.8,12.0,0.0521,Southern_California.19950518.stacov.point-2016/02/16-09:20:29 
19950519,1995.379,-53.7,52.9,-9.9,rrr,2.7,3.4,10.4,0.0909,Southern_California.19950519.stacov.point-2018/07/13-10:51:01 
19950520,1995.3818,-53.4,51.9,-1.5,rrr,2.6,3.3,10.1,0.0504,Southern_California.19950520.stacov.point-2018/07/13-10:56:34 
19950521,1995.3845,-53.8,53.4,0.1,rrr,2.7,3.4,10.2,0.0863,Southern_California.19950521.stacov.point-2018/07/13-11:02:04 
19950522,1995.3873,-55.2,50.3,0.1,rrr,2.7,3.4,10.1,0.0281,Southern_California.19950522.stacov.point-2016/02/16-09:20:30 
19950523,1995.39,-54.1,48.5,1.7,rrr,2.7,3.5,10.2,0.0684,Southern_California.19950523.stacov.point-2016/02/16-09:20:30 
19950524,1995.3927,-52.2,49.0,-0.9,rrr,2.7,3.5,10.2,0.054,Southern_California.19950524.stacov.point-2016/02/16-09:20:31 
19950525,1995.3955,-56.2,52.8,-1.6,rrr,2.6,3.2,10.1,-0.0105,Southern_California.19950525.stacov.point-2016/02/16-09:20:31 
19950526,1995.3982,-53.5,49.7,-4.7,rrr,2.7,3.2,10.1,0.0024,Southern_California.19950526.stacov.point-2016/02/16-09:20:31 
19950527,1995.401,-51.7,50.3,-4.9,rrr,2.6,3.2,10.0,-0.0016,Southern_California.19950527.stacov.point-2016/02/16-09:20:31 
19950528,1995.4037,-54.4,53.1,-3.8,rrr,2.7,3.4,10.2,0.0577,Southern_California.19950528.stacov.point-2016/02/16-09:20:32 
19950529,1995.4064,-54.7,49.2,-7.9,rrr,2.7,3.4,10.2,0.0536,Southern_California.19950529.stacov.point-2016/02/16-09:20:32 
19950530,1995.4092,-53.2,50.7,-14.1,rrr,2.8,3.3,10.6,-0.0028,Southern_California.19950530.stacov.point-2016/02/16-09:20:32 
19950531,1995.4119,-54.3,49.8,-8.2,rrr,2.8,3.4,10.4,-0.0044,Southern_California.19950531.stacov.point-2016/02/16-09:20:32 
19950601,1995.4146,-53.0,51.3,-4.8,rrr,2.7,3.2,10.1,-0.0067,Southern_California.19950601.stacov.point-2016/02/16-09:20:33 
19950602,1995.4174,-51.6,52.1,-3.1,rrr,2.6,3.2,9.7,0.0239,Southern_California.19950602.stacov.point-2016/02/16-09:20:33 
19950603,1995.4201,-52.8,51.1,-4.2,rrr,2.7,3.2,9.9,0.0337,Southern_California.19950603.stacov.point-2016/02/16-09:20:33 
19950604,1995.4229,-56.2,48.9,-1.8,rrr,2.6,3.1,9.4,0.0202,Southern_California.19950604.stacov.point-2016/02/16-09:20:33 
19950605,1995.4256,-58.5,47.4,-6.2,rrr,2.7,3.3,9.9,0.0591,Southern_California.19950605.stacov.point-2016/02/16-09:20:34 
19950606,1995.4283,-53.9,49.4,-10.7,rrr,2.6,3.2,9.7,0.0611,Southern_California.19950606.stacov.point-2016/02/16-09:20:34 
19950607,1995.4311,-56.1,49.1,-4.7,rrr,2.7,3.3,9.9,0.0235,Southern_California.19950607.stacov.point-2016/02/16-09:20:34 
19950608,1995.4338,-51.3,49.9,-4.6,rrr,2.7,3.3,10.2,0.0884,Southern_California.19950608.stacov.point-2016/02/16-09:20:34 
19950609,1995.4365,-55.2,48.4,-1.6,rrr,2.6,3.2,9.7,0.038,Southern_California.19950609.stacov.point-2016/02/16-09:20:35 
19950610,1995.4393,-52.9,49.9,-12.2,rrr,2.7,3.2,9.9,0.0565,Southern_California.19950610.stacov.point-2016/02/16-09:20:35 
19950611,1995.442,-54.7,50.4,-5.2,rrr,2.7,3.2,9.9,0.048,Southern_California.19950611.stacov.point-2016/02/16-09:20:35 
19950612,1995.4448,-54.0,50.1,-9.2,rrr,2.8,3.3,10.4,0.0812,Southern_California.19950612.stacov.point-2016/02/16-09:20:35 
19950617,1995.4584,-53.5,49.1,-2.9,rrr,2.7,3.3,10.1,0.0208,Southern_California.19950617.stacov.point-2016/02/16-09:20:37 
19950618,1995.4612,-50.6,48.8,-3.3,rrr,2.6,3.2,10.1,0.0364,Southern_California.19950618.stacov.point-2016/02/16-09:20:37 
19950619,1995.4639,-53.9,46.7,-8.3,rrr,2.6,3.2,9.6,-0.0131,Southern_California.19950619.stacov.point-2016/02/16-09:20:37 
19950620,1995.4667,-52.0,46.7,-7.5,rrr,2.6,3.2,9.7,-0.0028,Southern_California.19950620.stacov.point-2016/02/16-09:20:37 
19950621,1995.4694,-52.1,48.5,-1.2,rrr,2.6,3.2,9.8,0.026,Southern_California.19950621.stacov.point-2016/02/16-09:20:38 
19950622,1995.4721,-51.4,49.2,-7.1,rrr,2.7,3.3,10.1,0.0469,Southern_California.19950622.stacov.point-2016/02/16-09:20:38 
19950623,1995.4749,-51.8,48.4,-1.6,rrr,2.5,3.2,9.4,0.0703,Southern_California.19950623.stacov.point-2016/02/16-09:20:38 
19950625,1995.4804,-52.1,49.8,-0.2,rrr,2.7,3.3,9.7,0.0866,Southern_California.19950625.stacov.point-2016/02/16-09:20:39 
19950626,1995.4831,-51.3,49.5,-2.6,rrr,2.5,3.1,9.4,0.0538,Southern_California.19950626.stacov.point-2016/02/16-09:20:39 
19950627,1995.4858,-52.2,48.8,6.0,rrr,2.5,3.3,9.5,0.0967,Southern_California.19950627.stacov.point-2016/02/16-09:20:39 
19950628,1995.4886,-51.8,49.2,9.2,rrr,2.5,3.1,9.4,0.0462,Southern_California.19950628.stacov.point-2016/02/16-09:20:39 
19950629,1995.4913,-52.8,47.5,2.3,rrr,2.5,3.1,9.4,0.0538,Southern_California.19950629.stacov.point-2016/02/16-09:20:40 
19950630,1995.494,-51.6,48.9,2.5,rrr,2.7,3.5,10.1,0.0802,Southern_California.19950630.stacov.point-2016/02/16-09:20:40 
19950701,1995.4968,-52.7,47.0,7.3,rrr,2.7,3.4,10.2,0.1299,Southern_California.19950701.stacov.point-2016/02/16-09:20:40 
19950702,1995.4995,-52.8,46.0,-1.5,rrr,2.7,3.3,10.1,0.0697,Southern_California.19950702.stacov.point-2016/02/16-09:20:41 
19950703,1995.5023,-54.2,45.4,1.1,rrr,2.7,3.3,9.8,0.0968,Southern_California.19950703.stacov.point-2016/02/16-09:20:41 
19950704,1995.505,-53.4,47.7,-1.5,rrr,2.7,3.3,10.1,0.0667,Southern_California.19950704.stacov.point-2016/02/16-09:20:41 
19950705,1995.5077,-52.1,47.9,0.1,rrr,2.6,3.4,9.7,0.1055,Southern_California.19950705.stacov.point-2016/02/16-09:20:41 
19950709,1995.5187,-52.8,48.9,5.8,rrr,3.3,4.5,13.3,0.0807,Southern_California.19950709.stacov.point-2016/02/16-09:20:42 
19950710,1995.5214,-51.7,46.3,-5.4,rrr,2.5,3.2,9.6,0.024,Southern_California.19950710.stacov.point-2016/02/16-09:20:43 
19950711,1995.5242,-53.5,43.2,-9.4,rrr,2.7,3.4,10.4,0.0818,Southern_California.19950711.stacov.point-2016/02/16-09:20:43 
19950712,1995.5269,-53.1,44.8,-7.6,rrr,2.8,3.4,10.6,0.1052,Southern_California.19950712.stacov.point-2016/02/16-09:20:43 
19950713,1995.5296,-50.4,45.9,-5.5,rrr,2.7,3.3,9.8,0.071,Southern_California.19950713.stacov.point-2016/02/16-09:20:43 
19950714,1995.5324,-52.7,44.0,-8.5,rrr,2.6,3.3,9.9,0.104,Southern_California.19950714.stacov.point-2016/02/16-09:20:44 
19950715,1995.5351,-49.0,47.3,-2.5,rrr,2.7,3.3,10.2,0.1029,Southern_California.19950715.stacov.point-2016/02/16-09:20:44 
19950716,1995.5378,-52.0,46.6,2.0,rrr,2.6,3.2,10.1,0.0651,Southern_California.19950716.stacov.point-2016/02/16-09:20:44 
19950717,1995.5406,-50.8,46.2,-2.9,rrr,2.6,3.3,10.1,0.0589,Southern_California.19950717.stacov.point-2016/02/16-09:20:45 
19950718,1995.5433,-51.8,47.1,-8.4,rrr,2.7,3.5,10.2,0.1162,Southern_California.19950718.stacov.point-2016/02/16-09:20:45 
19950719,1995.5461,-47.1,45.7,-8.1,rrr,2.7,3.5,10.2,0.1076,Southern_California.19950719.stacov.point-2016/02/16-09:20:45 
19950720,1995.5488,-51.1,45.8,-5.1,rrr,2.5,3.3,9.7,0.061,Southern_California.19950720.stacov.point-2016/02/16-09:20:45 
19950721,1995.5515,-51.0,43.7,-6.2,rrr,2.6,3.3,9.7,0.0602,Southern_California.19950721.stacov.point-2016/02/16-09:20:46 
19950722,1995.5543,-51.4,41.9,-10.8,rrr,2.6,3.2,10.1,0.0362,Southern_California.19950722.stacov.point-2016/02/16-09:20:46 
19950723,1995.557,-50.9,45.2,-9.9,rrr,2.6,3.2,9.7,0.0664,Southern_California.19950723.stacov.point-2016/02/16-09:20:46 
19950724,1995.5598,-49.6,44.4,-7.4,rrr,2.6,3.2,9.7,0.0655,Southern_California.19950724.stacov.point-2016/02/16-09:20:46 
19950725,1995.5625,-49.0,43.6,-9.0,rrr,2.7,3.3,10.1,0.0529,Southern_California.19950725.stacov.point-2016/02/16-09:20:47 
19950726,1995.5652,-49.7,41.5,-11.3,rrr,2.7,3.4,10.2,0.1126,Southern_California.19950726.stacov.point-2016/02/16-09:20:47 
19950727,1995.568,-50.1,42.7,-3.7,rrr,2.7,3.4,10.2,0.0945,Southern_California.19950727.stacov.point-2016/02/16-09:20:47 
19950728,1995.5707,-51.2,42.5,-10.1,rrr,2.7,3.4,10.2,0.1192,Southern_California.19950728.stacov.point-2016/02/16-09:20:47 
19950729,1995.5734,-48.0,43.9,-11.5,rrr,2.7,3.3,10.2,0.1176,Southern_California.19950729.stacov.point-2016/02/16-09:20:48 
19950730,1995.5762,-52.0,42.0,-6.5,rrr,2.7,3.4,10.2,0.1194,Southern_California.19950730.stacov.point-2016/02/16-09:20:48 
19950731,1995.5789,-51.9,42.0,-10.5,rrr,2.7,3.5,10.2,0.1067,Southern_California.19950731.stacov.point-2016/02/16-09:20:48 
19950801,1995.5817,-51.0,42.2,-11.9,rrr,2.7,3.4,10.2,0.1133,Southern_California.19950801.stacov.point-2016/02/16-09:20:48 
19950802,1995.5844,-50.4,41.8,-4.9,rrr,3.3,4.3,14.4,-0.0409,Southern_California.19950802.stacov.point-2016/02/16-09:20:49 
19950803,1995.5871,-47.7,42.1,0.5,rrr,3.0,3.9,12.4,0.0425,Southern_California.19950803.stacov.point-2016/02/16-09:20:49 
19950804,1995.5899,-48.2,44.0,0.6,rrr,2.6,3.3,10.1,0.0388,Southern_California.19950804.stacov.point-2016/02/16-09:20:49 
19950805,1995.5926,-50.0,42.1,-6.6,rrr,2.6,3.3,9.9,0.0864,Southern_California.19950805.stacov.point-2016/02/16-09:20:49 
19950806,1995.5953,-48.7,40.4,-5.4,rrr,2.6,3.2,10.1,0.0505,Southern_California.19950806.stacov.point-2016/02/16-09:20:50 
19950807,1995.5981,-49.5,39.3,-9.8,rrr,2.6,3.3,10.1,0.0463,Southern_California.19950807.stacov.point-2016/02/16-09:20:50 
19950808,1995.6008,-49.8,41.1,-6.1,rrr,2.7,3.3,10.5,0.0582,Southern_California.19950808.stacov.point-2016/02/16-09:20:50 
19950809,1995.6036,-47.7,41.5,-8.7,rrr,2.6,3.2,10.1,0.0363,Southern_California.19950809.stacov.point-2016/02/16-09:20:51 
19950810,1995.6063,-49.9,40.3,-3.1,rrr,2.7,3.3,10.5,0.0617,Southern_California.19950810.stacov.point-2016/02/16-09:20:51 
19950811,1995.609,-49.5,39.9,-9.4,rrr,2.7,3.3,10.5,0.0626,Southern_California.19950811.stacov.point-2016/02/16-09:20:51 
19950812,1995.6118,-48.0,42.4,-3.3,rrr,2.6,3.2,9.9,0.0472,Southern_California.19950812.stacov.point-2016/02/16-09:20:51 
19950813,1995.6145,-47.8,38.8,-7.2,rrr,2.7,3.4,10.4,0.0656,Southern_California.19950813.stacov.point-2016/02/16-09:20:52 
19950814,1995.6172,-48.6,39.6,-9.5,rrr,2.6,3.3,10.1,0.0444,Southern_California.19950814.stacov.point-2016/02/16-09:20:52 
19950815,1995.62,-47.3,38.5,-6.2,rrr,2.7,3.3,9.8,0.0665,Southern_California.19950815.stacov.point-2016/02/16-09:20:52 
19950816,1995.6227,-46.0,39.5,-5.6,rrr,2.6,3.4,10.0,0.0788,Southern_California.19950816.stacov.point-2016/02/16-09:20:52 
19950817,1995.6255,-46.0,42.2,-6.7,rrr,2.7,3.4,9.8,0.0469,Southern_California.19950817.stacov.point-2016/02/16-09:20:53 
19950818,1995.6282,-48.4,41.3,-4.5,rrr,2.5,3.3,9.7,0.0868,Southern_California.19950818.stacov.point-2016/02/16-09:20:53 
19950819,1995.6309,-47.2,40.8,-13.2,rrr,2.6,3.4,10.2,0.105,Southern_California.19950819.stacov.point-2016/02/16-09:20:53 
19950820,1995.6337,-46.3,41.2,-7.1,rrr,2.7,3.4,10.2,0.0994,Southern_California.19950820.stacov.point-2016/02/16-09:20:53 
19950821,1995.6364,-48.2,39.1,6.3,rrr,2.7,3.3,10.1,-0.0005,Southern_California.19950821.stacov.point-2016/02/16-09:20:54 
19950822,1995.6391,-45.2,39.4,-7.6,rrr,2.7,3.3,10.1,0.0096,Southern_California.19950822.stacov.point-2016/02/16-09:20:54 
19950823,1995.6419,-45.8,38.7,-3.7,rrr,2.7,3.4,10.1,-0.0031,Southern_California.19950823.stacov.point-2016/02/16-09:20:54 
19950824,1995.6446,-44.7,39.9,-3.6,rrr,2.7,3.4,10.1,0.0156,Southern_California.19950824.stacov.point-2016/02/16-09:20:54 
19950825,1995.6474,-46.8,37.7,-7.7,rrr,2.6,3.4,9.8,0.0464,Southern_California.19950825.stacov.point-2016/02/16-09:20:55 
19950826,1995.6501,-50.6,40.1,-6.4,rrr,2.7,3.4,10.1,0.0401,Southern_California.19950826.stacov.point-2016/02/16-09:20:55 
19950827,1995.6528,-46.6,40.3,-8.2,rrr,2.6,3.3,9.7,-0.0179,Southern_California.19950827.stacov.point-2016/02/16-09:20:55 
19950828,1995.6556,-45.6,40.5,-3.2,rrr,2.8,3.5,10.4,-0.0243,Southern_California.19950828.stacov.point-2016/02/16-09:20:55 
19950829,1995.6583,-46.6,40.0,-3.9,rrr,2.7,3.6,10.6,0.0232,Southern_California.19950829.stacov.point-2016/02/16-09:20:56 
19950830,1995.6611,-46.5,39.8,2.2,rrr,2.7,3.5,10.3,0.0321,Southern_California.19950830.stacov.point-2016/02/16-09:20:56 
19950831,1995.6638,-48.7,38.4,-5.0,rrr,2.7,3.4,10.6,0.0495,Southern_California.19950831.stacov.point-2016/02/16-09:20:56 
19950901,1995.6665,-49.2,38.7,0.7,rrr,2.8,3.5,10.6,0.0512,Southern_California.19950901.stacov.point-2016/02/16-09:20:56 
19950902,1995.6693,-48.4,39.6,1.9,rrr,2.7,3.5,10.2,0.0848,Southern_California.19950902.stacov.point-2016/02/16-09:20:57 
19950903,1995.672,-46.2,39.7,-7.3,rrr,2.6,3.3,10.1,0.0279,Southern_California.19950903.stacov.point-2016/02/16-09:20:57 
