DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20001019,2000.8001,-329.1,301.6,-7.5,rrr,2.9,3.3,12.6,0.0637,Southern_California.20001019.stacov.point-2016/02/16-09:32:40 
20001020,2000.8028,-329.3,300.0,-2.4,rrr,2.8,3.2,11.9,0.0815,Southern_California.20001020.stacov.point-2016/02/16-09:32:41 
20001021,2000.8056,-329.1,298.4,0.7,rrr,2.9,3.1,11.9,0.088,Southern_California.20001021.stacov.point-2016/02/16-09:32:41 
20001022,2000.8083,-328.5,301.7,-2.1,rrr,3.0,3.3,12.6,0.0802,Southern_California.20001022.stacov.point-2016/02/16-09:32:42 
20001023,2000.8111,-330.6,298.7,-2.5,rrr,2.8,3.1,12.1,0.0661,Southern_California.20001023.stacov.point-2016/02/16-09:32:43 
20001024,2000.8138,-332.2,300.5,-0.3,rrr,2.9,3.3,12.8,0.0663,Southern_California.20001024.stacov.point-2016/02/16-09:32:43 
20001025,2000.8165,-330.3,300.7,-2.4,rrr,2.8,3.1,12.1,0.0766,Southern_California.20001025.stacov.point-2016/02/16-09:32:44 
20001026,2000.8193,-327.1,298.1,-3.9,rrr,3.0,3.2,12.4,0.1252,Southern_California.20001026.stacov.point-2016/02/16-09:32:45 
20001027,2000.822,-328.2,296.7,2.4,rrr,3.0,3.4,12.7,0.0906,Southern_California.20001027.stacov.point-2016/02/16-09:32:46 
20001028,2000.8247,-328.2,299.2,-8.3,rrr,2.8,3.1,12.3,0.051,Southern_California.20001028.stacov.point-2016/02/16-09:32:46 
20001029,2000.8276,-328.1,298.5,-7.3,rrr,2.8,3.2,12.0,0.0724,Southern_California.20001029.stacov.point-2016/02/16-09:32:47 
20001030,2000.8303,-327.0,299.2,-6.7,rrr,2.9,3.3,12.4,0.0968,Southern_California.20001030.stacov.point-2016/02/16-09:32:48 
20001031,2000.8331,-326.1,299.1,-0.9,rrr,2.9,3.2,12.3,0.0461,Southern_California.20001031.stacov.point-2016/02/16-09:32:48 
20001101,2000.8358,-328.0,300.5,-0.8,rrr,2.9,3.2,12.3,0.0326,Southern_California.20001101.stacov.point-2016/02/16-09:32:49 
20001102,2000.8386,-328.2,297.1,2.4,rrr,2.8,3.2,12.1,0.075,Southern_California.20001102.stacov.point-2016/02/16-09:32:50 
20001103,2000.8413,-328.2,299.3,1.5,rrr,2.9,3.3,12.4,0.1088,Southern_California.20001103.stacov.point-2016/02/16-09:32:50 
20001104,2000.844,-328.8,296.9,0.7,rrr,2.8,3.1,12.3,0.0336,Southern_California.20001104.stacov.point-2016/02/16-09:32:51 
20001105,2000.8468,-327.3,300.4,8.0,rrr,2.9,3.2,12.3,0.0427,Southern_California.20001105.stacov.point-2016/02/16-09:32:52 
20001106,2000.8495,-328.2,299.9,-4.0,rrr,2.9,3.3,12.4,0.1173,Southern_California.20001106.stacov.point-2016/02/16-09:32:53 
20001107,2000.8522,-329.8,298.9,5.1,rrr,2.9,3.2,12.3,0.0592,Southern_California.20001107.stacov.point-2016/02/16-09:32:53 
20001108,2000.855,-329.1,299.6,5.5,rrr,2.9,3.2,12.4,0.1179,Southern_California.20001108.stacov.point-2016/02/16-09:32:54 
20001109,2000.8577,-326.8,299.0,5.9,rrr,2.9,3.2,12.4,0.0864,Southern_California.20001109.stacov.point-2016/02/16-09:32:55 
20001110,2000.8605,-323.9,300.0,-7.0,rrr,2.9,3.1,12.4,0.1014,Southern_California.20001110.stacov.point-2016/02/16-09:32:55 
20001111,2000.8632,-328.5,301.7,5.2,rrr,2.8,3.1,11.9,0.0816,Southern_California.20001111.stacov.point-2016/02/16-09:32:56 
20001112,2000.8659,-325.9,299.2,0.7,rrr,2.9,3.1,12.1,0.0507,Southern_California.20001112.stacov.point-2016/02/16-09:32:57 
20001113,2000.8687,-326.0,299.9,2.9,rrr,2.8,3.1,11.9,0.0908,Southern_California.20001113.stacov.point-2016/02/16-09:32:58 
20001114,2000.8714,-326.2,299.5,2.7,rrr,2.9,3.3,12.4,0.1275,Southern_California.20001114.stacov.point-2016/02/16-09:32:58 
20001115,2000.8741,-326.6,300.2,7.5,rrr,2.8,3.0,12.3,0.0317,Southern_California.20001115.stacov.point-2016/02/16-09:32:59 
20001116,2000.8769,-325.3,301.2,6.7,rrr,2.9,3.2,12.4,0.0918,Southern_California.20001116.stacov.point-2016/02/16-09:33:00 
20001117,2000.8796,-327.2,299.8,-0.1,rrr,2.8,3.1,12.3,0.038,Southern_California.20001117.stacov.point-2016/02/16-09:33:00 
