DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19940907,1994.6836,-333.3,337.9,-25.6,rrr,2.7,3.3,9.5,0.1635,Southern_California.19940907.stacov.point-2016/02/16-09:19:33 
19940908,1994.6864,-331.8,339.1,-25.3,rrr,2.6,3.1,9.4,0.0882,Southern_California.19940908.stacov.point-2016/02/16-09:19:34 
19940909,1994.6891,-332.6,338.9,-21.0,rrr,2.6,3.1,9.4,0.0684,Southern_California.19940909.stacov.point-2016/02/16-09:19:34 
19940910,1994.6918,-332.0,339.6,-19.9,rrr,2.7,3.2,9.9,0.1319,Southern_California.19940910.stacov.point-2016/02/16-09:19:34 
19940911,1994.6946,-330.4,337.6,-31.8,rrr,3.2,3.8,11.0,0.1277,Southern_California.19940911.stacov.point-2016/02/16-09:19:34 
19940912,1994.6973,-328.1,344.1,-28.6,rrr,2.6,3.1,9.4,0.0934,Southern_California.19940912.stacov.point-2016/02/16-09:19:34 
19940913,1994.7,-332.8,336.0,-25.7,rrr,2.6,3.0,9.5,0.0835,Southern_California.19940913.stacov.point-2016/02/16-09:19:35 
19940914,1994.7028,-331.9,339.9,-27.6,rrr,2.8,3.3,9.9,0.0796,Southern_California.19940914.stacov.point-2016/02/16-09:19:35 
19940915,1994.7055,-330.4,338.0,-19.4,rrr,2.8,3.3,9.9,0.0882,Southern_California.19940915.stacov.point-2016/02/16-09:19:35 
19940916,1994.7083,-333.7,336.5,-21.6,rrr,2.7,3.2,9.8,0.1113,Southern_California.19940916.stacov.point-2016/02/16-09:19:35 
19940917,1994.711,-334.0,336.6,-24.4,rrr,2.7,3.1,9.8,0.0604,Southern_California.19940917.stacov.point-2016/02/16-09:19:35 
19940918,1994.7137,-334.8,338.5,-26.9,rrr,2.7,3.2,9.8,0.1069,Southern_California.19940918.stacov.point-2016/02/16-09:19:36 
19940919,1994.7165,-331.5,338.9,-22.6,rrr,2.6,3.1,9.7,0.0665,Southern_California.19940919.stacov.point-2016/02/16-09:19:36 
19940920,1994.7192,-333.4,339.0,-15.0,rrr,2.8,3.1,9.8,0.0743,Southern_California.19940920.stacov.point-2016/02/16-09:19:36 
19940921,1994.722,-332.6,338.0,-25.0,rrr,2.7,3.2,9.9,0.0913,Southern_California.19940921.stacov.point-2016/02/16-09:19:36 
19940922,1994.7247,-331.2,336.7,-20.4,rrr,2.8,3.2,9.9,0.1252,Southern_California.19940922.stacov.point-2016/02/16-09:19:36 
19940923,1994.7274,-332.0,337.0,-26.8,rrr,3.4,3.7,11.5,0.1678,Southern_California.19940923.stacov.point-2016/02/16-09:19:37 
19940924,1994.7302,-332.0,337.7,-28.1,rrr,2.7,3.2,9.9,0.0781,Southern_California.19940924.stacov.point-2016/02/16-09:19:37 
19940925,1994.7329,-331.9,338.4,-22.9,rrr,2.8,3.3,10.3,0.1206,Southern_California.19940925.stacov.point-2016/02/16-09:19:37 
19940926,1994.7356,-331.2,338.9,-26.0,rrr,2.7,3.2,9.9,0.0756,Southern_California.19940926.stacov.point-2016/02/16-09:19:37 
19940927,1994.7384,-331.4,339.8,-22.2,rrr,2.7,3.2,9.8,0.1197,Southern_California.19940927.stacov.point-2016/02/16-09:19:37 
19940928,1994.7411,-330.8,340.3,-19.6,rrr,2.7,3.2,9.8,0.1174,Southern_California.19940928.stacov.point-2016/02/16-09:19:38 
19940929,1994.7439,-329.2,335.7,-21.4,rrr,2.8,3.4,10.3,0.1281,Southern_California.19940929.stacov.point-2016/02/16-09:19:38 
19940930,1994.7466,-329.3,342.5,-17.2,rrr,2.8,3.4,10.3,0.1385,Southern_California.19940930.stacov.point-2016/02/16-09:19:38 
19941001,1994.7493,-327.8,342.6,-21.4,rrr,2.7,3.2,9.8,0.1424,Southern_California.19941001.stacov.point-2016/02/16-09:19:38 
19941002,1994.7521,-326.0,343.7,-17.4,rrr,2.7,3.3,9.9,0.1107,Southern_California.19941002.stacov.point-2016/02/16-09:19:38 
19941003,1994.7548,-331.3,339.2,-26.1,rrr,2.8,3.2,9.9,0.1088,Southern_California.19941003.stacov.point-2016/02/16-09:19:39 
19941004,1994.7575,-328.1,341.6,-16.0,rrr,2.7,3.3,9.9,0.1138,Southern_California.19941004.stacov.point-2016/02/16-09:19:39 
19941005,1994.7603,-328.0,339.2,-14.4,rrr,2.7,3.4,10.0,0.139,Southern_California.19941005.stacov.point-2016/02/16-09:19:39 
19941006,1994.763,-331.0,336.3,-29.3,rrr,2.7,3.2,9.9,0.1064,Southern_California.19941006.stacov.point-2016/02/16-09:19:39 
19941007,1994.7658,-330.3,336.4,-31.4,rrr,2.8,3.3,9.9,0.1071,Southern_California.19941007.stacov.point-2016/02/16-09:19:39 
19941008,1994.7685,-329.6,336.9,-31.3,rrr,2.7,3.2,9.8,0.126,Southern_California.19941008.stacov.point-2016/02/16-09:19:40 
19941009,1994.7712,-328.4,336.2,-30.4,rrr,2.7,3.2,9.5,0.1481,Southern_California.19941009.stacov.point-2016/02/16-09:19:40 
19941010,1994.774,-329.4,339.0,-29.3,rrr,2.7,3.2,9.9,0.0993,Southern_California.19941010.stacov.point-2016/02/16-09:19:40 
19941011,1994.7767,-330.8,334.2,-24.0,rrr,2.8,3.1,10.2,0.0922,Southern_California.19941011.stacov.point-2016/02/16-09:19:40 
19941012,1994.7794,-330.6,334.0,-18.1,rrr,2.9,3.3,10.6,0.1127,Southern_California.19941012.stacov.point-2016/02/16-09:19:40 
19941013,1994.7822,-330.4,334.2,-21.2,rrr,2.9,3.4,11.0,0.1334,Southern_California.19941013.stacov.point-2016/02/16-09:19:41 
19941014,1994.7849,-331.4,336.5,-16.3,rrr,2.7,3.3,10.5,0.0857,Southern_California.19941014.stacov.point-2016/02/16-09:19:41 
19941015,1994.7877,-331.6,335.0,-20.2,rrr,2.8,3.4,10.6,0.1392,Southern_California.19941015.stacov.point-2016/02/16-09:19:41 
19941016,1994.7904,-329.1,331.8,-14.2,rrr,2.8,3.5,10.6,0.1005,Southern_California.19941016.stacov.point-2016/02/16-09:19:41 
19941017,1994.7931,-329.6,335.6,-20.3,rrr,2.8,3.5,11.0,0.1014,Southern_California.19941017.stacov.point-2016/02/16-09:19:41 
19941018,1994.7959,-329.6,332.2,-19.0,rrr,2.8,3.4,10.6,0.088,Southern_California.19941018.stacov.point-2016/02/16-09:19:42 
19941019,1994.7986,-329.5,334.5,-21.2,rrr,2.8,3.5,11.0,0.112,Southern_California.19941019.stacov.point-2016/02/16-09:19:42 
19941020,1994.8013,-328.2,337.4,-23.6,rrr,2.8,3.3,10.9,0.1026,Southern_California.19941020.stacov.point-2016/02/16-09:19:42 
19941021,1994.8041,-327.5,333.1,-29.2,rrr,2.7,3.3,10.5,0.1027,Southern_California.19941021.stacov.point-2016/02/16-09:19:42 
19941022,1994.8068,-331.2,334.5,-13.0,rrr,2.8,3.3,10.9,0.0756,Southern_California.19941022.stacov.point-2016/02/16-09:19:42 
19941023,1994.8096,-330.8,335.5,-17.0,rrr,2.7,3.2,10.3,0.0779,Southern_California.19941023.stacov.point-2016/02/16-09:19:43 
19941024,1994.8123,-327.8,333.8,-21.9,rrr,2.7,3.3,10.7,0.0996,Southern_California.19941024.stacov.point-2016/02/16-09:19:43 
19941025,1994.815,-331.0,333.4,-19.5,rrr,2.8,3.3,10.5,0.1166,Southern_California.19941025.stacov.point-2016/02/16-09:19:43 
19941026,1994.8178,-330.9,333.7,-20.0,rrr,2.7,3.2,10.2,0.0842,Southern_California.19941026.stacov.point-2016/02/16-09:19:43 
