DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20121120,2012.8881,-73.3,55.4,6.5,rrr,5.2,5.9,16.8,-0.0077,Southern_California.20121120.stacov.point-2016/02/16-11:57:50 
20121121,2012.8908,-72.3,57.4,9.5,rrr,2.3,2.5,7.5,0.0462,Southern_California.20121121.stacov.point-2016/02/16-11:57:51 
20121122,2012.8936,-73.0,57.8,11.0,rrr,2.3,2.5,7.5,0.0566,Southern_California.20121122.stacov.point-2016/02/16-11:57:55 
20121123,2012.8963,-73.1,58.1,6.8,rrr,2.3,2.5,7.5,0.053,Southern_California.20121123.stacov.point-2016/02/16-11:57:56 
20121124,2012.899,-72.1,59.2,6.0,rrr,2.3,2.5,7.5,0.0499,Southern_California.20121124.stacov.point-2016/02/16-11:57:57 
20121125,2012.9018,-71.3,58.1,8.0,rrr,2.3,2.5,7.5,0.0542,Southern_California.20121125.stacov.point-2016/02/16-11:57:59 
20121126,2012.9045,-70.7,58.7,4.7,rrr,2.3,2.5,7.5,0.0498,Southern_California.20121126.stacov.point-2016/02/16-11:58:00 
20121127,2012.9073,-70.8,58.5,3.5,rrr,2.3,2.5,7.5,0.0572,Southern_California.20121127.stacov.point-2016/02/16-11:58:02 
20121128,2012.91,-69.9,60.4,5.3,rrr,2.3,2.7,7.9,0.1138,Southern_California.20121128.stacov.point-2016/02/16-11:58:03 
20121129,2012.9127,-71.6,54.3,-7.4,rrr,2.3,2.5,7.8,0.0377,Southern_California.20121129.stacov.point-2016/02/16-11:58:04 
20121130,2012.9155,-70.8,55.1,11.9,rrr,2.3,2.6,7.8,0.0164,Southern_California.20121130.stacov.point-2016/02/16-11:58:06 
20121201,2012.9182,-72.0,55.7,12.6,rrr,2.3,2.6,7.8,0.0343,Southern_California.20121201.stacov.point-2016/02/16-11:58:07 
20121202,2012.9209,-71.6,57.1,10.0,rrr,2.3,2.5,7.8,0.0291,Southern_California.20121202.stacov.point-2016/02/16-11:58:08 
20121203,2012.9237,-70.2,56.3,2.6,rrr,2.3,2.5,7.5,0.0531,Southern_California.20121203.stacov.point-2016/02/16-11:58:10 
20121204,2012.9264,-71.3,57.9,4.6,rrr,2.3,2.5,7.5,0.0513,Southern_California.20121204.stacov.point-2016/02/16-11:58:11 
20121205,2012.9292,-71.0,57.9,7.4,rrr,2.3,2.5,7.5,0.0502,Southern_California.20121205.stacov.point-2016/02/16-11:58:13 
20121206,2012.9319,-73.6,56.3,6.8,rrr,2.3,2.5,7.5,0.0507,Southern_California.20121206.stacov.point-2016/02/16-11:58:14 
20121207,2012.9346,-72.9,58.0,7.7,rrr,2.3,2.5,7.5,0.0591,Southern_California.20121207.stacov.point-2016/02/16-11:58:15 
20121208,2012.9374,-71.2,56.5,10.9,rrr,2.3,2.5,7.5,0.0591,Southern_California.20121208.stacov.point-2016/02/16-11:58:17 
20121209,2012.9401,-71.3,58.0,7.5,rrr,2.3,2.5,7.5,0.0567,Southern_California.20121209.stacov.point-2016/02/16-11:58:18 
20121210,2012.9428,-69.7,58.6,5.2,rrr,2.3,2.5,7.5,0.0487,Southern_California.20121210.stacov.point-2016/02/16-11:58:19 
20121211,2012.9456,-72.2,58.1,7.1,rrr,2.3,2.5,7.5,0.0518,Southern_California.20121211.stacov.point-2016/02/16-11:58:21 
20121212,2012.9483,-70.1,58.0,13.5,rrr,2.3,2.5,7.8,0.023,Southern_California.20121212.stacov.point-2016/02/16-11:58:22 
20121213,2012.9511,-71.9,55.6,9.6,rrr,2.4,2.7,8.0,0.0682,Southern_California.20121213.stacov.point-2016/02/16-11:58:23 
20121214,2012.9538,-64.1,50.1,-4.0,rrr,3.1,3.6,11.9,0.0923,Southern_California.20121214.stacov.point-2016/02/16-11:58:25 
20121215,2012.9565,-71.4,56.8,-8.9,rrr,2.3,2.5,7.8,0.0442,Southern_California.20121215.stacov.point-2016/02/16-11:58:26 
20121216,2012.9593,-72.4,57.0,9.5,rrr,2.3,2.5,7.5,0.0532,Southern_California.20121216.stacov.point-2016/02/16-11:58:28 
20121217,2012.962,-71.9,56.7,9.5,rrr,2.3,2.5,7.5,0.0531,Southern_California.20121217.stacov.point-2016/02/16-11:58:29 
20121218,2012.9648,-69.9,54.1,13.1,rrr,2.4,2.6,7.9,0.0365,Southern_California.20121218.stacov.point-2016/02/16-11:58:31 
20121219,2012.9675,-73.2,57.3,15.3,rrr,2.3,2.6,7.5,0.0596,Southern_California.20121219.stacov.point-2016/02/16-11:58:32 
