DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20140411,2014.2761,-81.9,73.1,4.4,rrr,2.6,2.9,9.0,-0.0799,Southern_California.20140411.stacov.point-2016/02/16-12:10:18 
20140412,2014.2788,-83.4,72.4,6.0,rrr,2.6,2.9,9.0,-0.0682,Southern_California.20140412.stacov.point-2016/02/16-12:10:19 
20140414,2014.2843,-82.2,72.4,13.0,rrr,2.6,2.9,9.0,-0.0768,Southern_California.20140414.stacov.point-2016/02/16-12:10:22 
20140415,2014.287,-82.6,72.5,8.9,rrr,2.7,2.9,9.3,-0.1043,Southern_California.20140415.stacov.point-2016/02/16-12:10:24 
20140418,2014.2953,-82.0,72.7,-0.6,rrr,2.5,2.9,9.1,-0.0616,Southern_California.20140418.stacov.point-2016/02/16-12:10:30 
20140419,2014.298,-82.2,72.4,3.9,rrr,2.5,2.9,8.8,-0.0469,Southern_California.20140419.stacov.point-2016/02/16-12:10:31 
20140420,2014.3007,-80.6,71.3,2.8,rrr,2.6,2.9,9.0,-0.065,Southern_California.20140420.stacov.point-2016/02/16-12:10:33 
20140421,2014.3035,-83.3,71.4,11.1,rrr,2.6,2.9,9.0,-0.0776,Southern_California.20140421.stacov.point-2016/02/16-12:10:34 
20140422,2014.3062,-81.1,72.0,9.8,rrr,2.6,2.9,9.0,-0.0895,Southern_California.20140422.stacov.point-2016/02/16-12:10:36 
20140423,2014.309,-81.6,71.0,4.3,rrr,2.5,2.9,8.8,-0.0111,Southern_California.20140423.stacov.point-2016/02/16-12:10:37 
20140424,2014.3117,-81.9,72.1,9.5,rrr,2.6,2.9,9.0,-0.0597,Southern_California.20140424.stacov.point-2016/02/16-12:10:39 
20140425,2014.3144,-81.1,69.5,4.4,rrr,2.6,2.9,9.0,-0.0702,Southern_California.20140425.stacov.point-2016/02/16-12:10:40 
20140426,2014.3172,-82.6,68.4,3.1,rrr,2.6,2.9,9.0,-0.0819,Southern_California.20140426.stacov.point-2016/02/16-12:10:42 
20140427,2014.3199,-83.5,70.5,9.7,rrr,2.6,2.9,8.8,-0.0353,Southern_California.20140427.stacov.point-2016/02/16-12:10:44 
20140428,2014.3226,-82.8,71.6,13.2,rrr,2.6,2.9,9.0,-0.0764,Southern_California.20140428.stacov.point-2016/02/16-12:10:45 
20140429,2014.3254,-82.2,69.4,4.7,rrr,2.6,2.9,9.0,-0.0535,Southern_California.20140429.stacov.point-2016/02/16-12:10:47 
20140501,2014.3309,-83.5,69.1,2.1,rrr,2.5,2.9,8.6,-0.0507,Southern_California.20140501.stacov.point-2016/02/16-12:10:50 
20140502,2014.3336,-80.6,69.9,3.9,rrr,2.6,2.9,9.0,-0.0738,Southern_California.20140502.stacov.point-2016/02/16-12:10:51 
20140503,2014.3363,-79.2,71.2,5.7,rrr,2.5,2.9,8.7,-0.0483,Southern_California.20140503.stacov.point-2016/02/16-12:10:53 
20140504,2014.3391,-78.6,70.9,1.0,rrr,2.6,2.9,9.3,-0.0993,Southern_California.20140504.stacov.point-2016/02/16-12:10:54 
20140505,2014.3418,-80.6,71.1,1.4,rrr,2.6,2.9,9.0,-0.0675,Southern_California.20140505.stacov.point-2016/02/16-12:10:56 
20140506,2014.3445,-79.8,71.5,11.7,rrr,2.5,2.9,8.7,-0.0452,Southern_California.20140506.stacov.point-2016/02/16-12:10:58 
20140507,2014.3473,-78.6,70.9,13.9,rrr,2.6,2.9,8.8,-0.0473,Southern_California.20140507.stacov.point-2016/02/16-12:10:59 
20140508,2014.35,-77.6,70.2,9.9,rrr,2.6,2.9,9.0,-0.0991,Southern_California.20140508.stacov.point-2016/02/16-12:11:01 
20140509,2014.3528,-81.2,71.9,15.2,rrr,2.7,3.0,9.2,-0.1384,Southern_California.20140509.stacov.point-2016/02/16-12:11:02 
20140510,2014.3555,-78.2,69.9,6.8,rrr,2.6,2.9,9.0,-0.0741,Southern_California.20140510.stacov.point-2016/02/16-12:11:04 
20140511,2014.3582,-80.3,71.0,5.2,rrr,2.5,2.8,8.8,-0.0236,Southern_California.20140511.stacov.point-2016/02/16-12:11:05 
20140512,2014.361,-82.1,72.1,12.4,rrr,2.5,2.9,8.7,-0.0404,Southern_California.20140512.stacov.point-2016/02/16-12:11:07 
20140513,2014.3637,-79.7,70.1,5.9,rrr,2.5,2.8,8.8,-0.0384,Southern_California.20140513.stacov.point-2016/02/16-12:11:09 
20140514,2014.3664,-80.2,69.7,2.6,rrr,2.5,2.8,8.7,-0.0375,Southern_California.20140514.stacov.point-2016/02/16-12:11:10 
20140515,2014.3692,-78.5,70.6,1.2,rrr,2.5,2.9,8.6,-0.0625,Southern_California.20140515.stacov.point-2016/02/16-12:11:12 
20140516,2014.3719,-78.7,70.2,3.9,rrr,2.5,2.8,8.7,-0.0427,Southern_California.20140516.stacov.point-2016/02/16-12:11:13 
20140517,2014.3747,-78.8,69.2,7.3,rrr,2.5,2.8,8.7,-0.0361,Southern_California.20140517.stacov.point-2016/02/16-12:11:15 
20140518,2014.3774,-77.9,70.9,9.6,rrr,2.6,2.9,9.1,-0.0642,Southern_California.20140518.stacov.point-2016/02/16-12:11:16 
20140519,2014.3801,-78.5,69.8,2.5,rrr,2.5,2.8,8.8,-0.0193,Southern_California.20140519.stacov.point-2016/02/16-12:11:18 
20140520,2014.3829,-78.0,69.6,1.5,rrr,2.6,2.9,9.0,-0.0644,Southern_California.20140520.stacov.point-2016/02/16-12:11:20 
20140521,2014.3856,-79.5,70.6,5.1,rrr,2.5,2.8,9.1,-0.0511,Southern_California.20140521.stacov.point-2016/02/16-12:11:21 
20140522,2014.3884,-77.3,69.3,8.5,rrr,2.5,2.8,8.7,-0.0409,Southern_California.20140522.stacov.point-2016/02/16-12:11:23 
20140523,2014.3911,-77.0,70.0,4.7,rrr,2.6,2.9,9.0,-0.0574,Southern_California.20140523.stacov.point-2016/02/16-12:11:24 
20140524,2014.3938,-78.0,70.7,9.6,rrr,2.5,2.9,8.7,-0.0261,Southern_California.20140524.stacov.point-2016/02/16-12:11:26 
20140525,2014.3966,-77.3,73.3,8.9,rrr,2.5,2.8,8.7,-0.0402,Southern_California.20140525.stacov.point-2016/02/16-12:11:27 
20140526,2014.3993,-79.6,71.1,4.4,rrr,2.6,2.8,9.1,-0.0462,Southern_California.20140526.stacov.point-2016/02/16-12:11:29 
20140527,2014.402,-78.7,69.9,3.4,rrr,2.6,2.9,9.0,-0.068,Southern_California.20140527.stacov.point-2016/02/16-12:11:30 
20140528,2014.4048,-80.1,69.2,-0.3,rrr,2.6,2.9,9.0,-0.0716,Southern_California.20140528.stacov.point-2016/02/16-12:11:32 
20140529,2014.4075,-77.1,70.6,8.5,rrr,2.5,2.9,9.1,-0.0697,Southern_California.20140529.stacov.point-2016/02/16-12:11:34 
20140530,2014.4103,-79.5,69.4,9.7,rrr,2.6,2.9,9.0,-0.0696,Southern_California.20140530.stacov.point-2016/02/16-12:11:35 
