DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19950623,1995.4749,-321.6,336.4,0.8,rrr,3.0,3.6,11.3,0.0169,Southern_California.19950623.stacov.point-2016/02/16-09:20:38 
19950624,1995.4776,-321.5,336.1,3.0,rrr,3.0,3.5,11.1,-0.021,Southern_California.19950624.stacov.point-2016/02/16-09:20:38 
19950625,1995.4804,-322.4,337.9,3.3,rrr,3.1,3.7,11.8,0.0047,Southern_California.19950625.stacov.point-2016/02/16-09:20:39 
19950626,1995.4831,-319.4,337.4,0.1,rrr,3.0,3.6,11.3,0.0132,Southern_California.19950626.stacov.point-2016/02/16-09:20:39 
19950627,1995.4858,-318.7,338.1,1.5,rrr,3.1,3.6,11.4,-0.0046,Southern_California.19950627.stacov.point-2016/02/16-09:20:39 
19950628,1995.4886,-321.9,338.9,7.4,rrr,3.1,3.7,11.6,-0.0102,Southern_California.19950628.stacov.point-2016/02/16-09:20:39 
19950629,1995.4913,-320.8,336.3,0.6,rrr,3.0,3.5,11.1,-0.0044,Southern_California.19950629.stacov.point-2016/02/16-09:20:40 
19950630,1995.494,-320.3,337.4,5.1,rrr,3.1,3.7,11.6,-0.0029,Southern_California.19950630.stacov.point-2016/02/16-09:20:40 
19950701,1995.4968,-319.3,336.8,2.3,rrr,3.2,3.6,11.6,-0.0092,Southern_California.19950701.stacov.point-2016/02/16-09:20:40 
19950702,1995.4995,-321.9,334.3,-4.8,rrr,3.0,3.7,11.2,-0.0179,Southern_California.19950702.stacov.point-2016/02/16-09:20:41 
19950703,1995.5023,-321.9,333.7,-3.2,rrr,3.0,3.5,10.9,-0.0244,Southern_California.19950703.stacov.point-2016/02/16-09:20:41 
19950704,1995.505,-322.8,335.4,-1.4,rrr,3.0,3.6,11.1,-0.0145,Southern_California.19950704.stacov.point-2016/02/16-09:20:41 
19950705,1995.5077,-321.7,336.1,2.4,rrr,3.2,3.8,12.0,-0.0444,Southern_California.19950705.stacov.point-2016/02/16-09:20:41 
19950706,1995.5105,-320.7,333.2,-5.6,rrr,3.0,3.6,11.3,0.0007,Southern_California.19950706.stacov.point-2016/02/16-09:20:42 
19950707,1995.5132,-322.4,334.8,-3.1,rrr,3.1,3.7,11.4,-0.0472,Southern_California.19950707.stacov.point-2016/02/16-09:20:42 
19950708,1995.5159,-322.1,334.9,4.1,rrr,3.1,3.7,11.6,-0.0034,Southern_California.19950708.stacov.point-2016/02/16-09:20:42 
19950709,1995.5187,-320.4,334.9,0.2,rrr,3.0,3.6,11.0,0.0221,Southern_California.19950709.stacov.point-2016/02/16-09:20:42 
