DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20001116,2000.8769,-308.4,288.1,27.7,rrr,2.8,3.1,10.5,0.0569,Southern_California.20001116.stacov.point-2016/02/16-09:33:00 
20001117,2000.8796,-309.2,289.0,21.8,rrr,2.9,3.1,10.7,0.0723,Southern_California.20001117.stacov.point-2016/02/16-09:33:00 
20001118,2000.8824,-310.1,288.5,25.2,rrr,2.7,3.0,10.0,0.0876,Southern_California.20001118.stacov.point-2016/02/16-09:33:01 
20001119,2000.8851,-309.6,286.3,23.0,rrr,2.8,3.0,10.0,0.0722,Southern_California.20001119.stacov.point-2016/02/16-09:33:02 
20001120,2000.8878,-309.2,286.8,32.3,rrr,2.7,3.0,10.0,0.0868,Southern_California.20001120.stacov.point-2016/02/16-09:33:03 
20001121,2000.8906,-310.8,285.9,22.3,rrr,2.7,3.0,9.8,0.097,Southern_California.20001121.stacov.point-2016/02/16-09:33:03 
20001122,2000.8933,-308.4,288.9,19.9,rrr,2.8,3.1,10.5,0.0879,Southern_California.20001122.stacov.point-2016/02/16-09:33:04 
20001123,2000.896,-307.1,284.3,26.4,rrr,2.7,3.0,10.0,0.0836,Southern_California.20001123.stacov.point-2016/02/16-09:33:05 
20001124,2000.8988,-309.7,285.2,20.7,rrr,2.8,3.0,10.0,0.0728,Southern_California.20001124.stacov.point-2016/02/16-09:33:06 
20001125,2000.9015,-308.5,285.2,23.1,rrr,2.7,3.1,10.5,0.0816,Southern_California.20001125.stacov.point-2016/02/16-09:33:06 
20001126,2000.9043,-309.3,282.9,27.6,rrr,2.7,3.0,10.0,0.0552,Southern_California.20001126.stacov.point-2016/02/16-09:33:07 
20001127,2000.907,-309.6,282.6,30.2,rrr,2.7,2.9,10.0,0.0589,Southern_California.20001127.stacov.point-2016/02/16-09:33:08 
20001128,2000.9097,-307.5,287.1,30.4,rrr,2.7,3.1,10.1,0.0935,Southern_California.20001128.stacov.point-2016/02/16-09:33:08 
20001129,2000.9125,-306.0,287.6,34.9,rrr,2.8,3.1,10.9,0.0603,Southern_California.20001129.stacov.point-2016/02/16-09:33:09 
20001130,2000.9152,-307.9,287.3,28.6,rrr,2.6,3.0,9.8,0.1088,Southern_California.20001130.stacov.point-2016/02/16-09:33:10 
20001204,2000.9262,-308.0,284.7,35.9,rrr,3.0,3.3,11.0,0.1028,Southern_California.20001204.stacov.point-2016/02/16-09:33:13 
20001205,2000.9289,-310.0,287.2,32.2,rrr,2.9,3.1,10.4,0.0466,Southern_California.20001205.stacov.point-2016/02/16-09:33:13 
20001206,2000.9316,-307.7,286.1,32.0,rrr,2.7,3.0,9.8,0.1258,Southern_California.20001206.stacov.point-2016/02/16-09:33:14 
20001207,2000.9344,-307.7,287.0,20.5,rrr,2.8,3.1,10.0,0.0918,Southern_California.20001207.stacov.point-2016/02/16-09:33:15 
20001208,2000.9371,-308.4,286.4,26.6,rrr,2.9,3.0,10.4,0.0782,Southern_California.20001208.stacov.point-2016/02/16-09:33:16 
20001209,2000.9399,-308.4,285.5,33.5,rrr,2.7,3.0,10.0,0.0887,Southern_California.20001209.stacov.point-2016/02/16-09:33:16 
20001210,2000.9426,-306.2,287.5,30.8,rrr,2.8,3.0,10.0,0.08,Southern_California.20001210.stacov.point-2016/02/16-09:33:17 
20001211,2000.9453,-303.2,285.0,36.0,rrr,2.7,3.1,10.5,0.1252,Southern_California.20001211.stacov.point-2016/02/16-09:33:18 
20001212,2000.9481,-306.1,284.6,34.1,rrr,2.8,3.1,10.7,0.0988,Southern_California.20001212.stacov.point-2016/02/16-09:33:19 
20001213,2000.9508,-305.4,283.2,23.4,rrr,2.8,3.2,10.5,0.1194,Southern_California.20001213.stacov.point-2016/02/16-09:33:19 
20001214,2000.9535,-306.0,284.5,25.0,rrr,2.7,3.0,10.0,0.0873,Southern_California.20001214.stacov.point-2016/02/16-09:33:20 
20001215,2000.9563,-307.1,284.8,23.5,rrr,2.7,3.0,10.0,0.0815,Southern_California.20001215.stacov.point-2016/02/16-09:33:21 
20001216,2000.959,-304.5,283.3,30.7,rrr,2.8,2.9,10.2,0.068,Southern_California.20001216.stacov.point-2016/02/16-09:33:22 
20001217,2000.9618,-307.9,282.4,21.5,rrr,2.9,3.0,10.4,0.0349,Southern_California.20001217.stacov.point-2016/02/16-09:33:22 
20001218,2000.9645,-304.9,285.8,20.9,rrr,2.8,3.0,10.0,0.064,Southern_California.20001218.stacov.point-2016/02/16-09:33:23 
20001219,2000.9672,-308.2,286.9,15.3,rrr,2.9,3.2,11.0,0.1193,Southern_California.20001219.stacov.point-2016/02/16-09:33:24 
20001220,2000.97,-309.1,285.8,28.4,rrr,2.8,3.1,10.7,0.0707,Southern_California.20001220.stacov.point-2016/02/16-09:33:25 
20001221,2000.9727,-304.3,286.2,22.4,rrr,2.7,2.9,10.4,0.0508,Southern_California.20001221.stacov.point-2016/02/16-09:33:25 
20001223,2000.9782,-307.4,282.8,26.9,rrr,2.7,3.0,10.0,0.0902,Southern_California.20001223.stacov.point-2016/02/16-09:33:27 
20001224,2000.9809,-304.7,284.3,27.5,rrr,2.7,3.0,10.0,0.0828,Southern_California.20001224.stacov.point-2016/02/16-09:33:28 
20001225,2000.9837,-305.5,281.4,29.8,rrr,2.7,3.0,10.0,0.088,Southern_California.20001225.stacov.point-2016/02/16-09:33:28 
20010113,2001.0357,-307.0,282.1,23.4,rrr,2.7,2.9,10.2,0.0575,Southern_California.20010113.stacov.point-2016/02/16-09:33:42 
20010114,2001.0384,-305.8,278.5,28.6,rrr,2.7,3.1,10.1,0.1079,Southern_California.20010114.stacov.point-2016/02/16-09:33:43 
20010115,2001.0412,-306.1,282.0,27.7,rrr,2.6,3.0,9.8,0.0726,Southern_California.20010115.stacov.point-2016/02/16-09:33:44 
20010116,2001.0439,-305.2,283.5,33.7,rrr,2.7,3.0,10.0,0.0547,Southern_California.20010116.stacov.point-2016/02/16-09:33:44 
20010117,2001.0466,-305.9,280.2,24.2,rrr,2.7,3.0,10.0,0.0221,Southern_California.20010117.stacov.point-2016/02/16-09:33:45 
20010118,2001.0494,-305.7,281.1,28.9,rrr,2.7,3.0,10.0,0.0758,Southern_California.20010118.stacov.point-2016/02/16-09:33:46 
20010119,2001.0521,-302.4,283.8,25.4,rrr,2.7,3.1,10.3,0.0462,Southern_California.20010119.stacov.point-2016/02/16-09:33:47 
20010120,2001.0548,-305.1,277.5,25.1,rrr,2.7,3.1,10.0,0.067,Southern_California.20010120.stacov.point-2016/02/16-09:33:47 
20010121,2001.0576,-306.1,281.8,19.6,rrr,2.7,3.0,10.0,0.0461,Southern_California.20010121.stacov.point-2016/02/16-09:33:48 
20010122,2001.0603,-306.2,282.0,27.2,rrr,2.6,3.0,9.8,0.0889,Southern_California.20010122.stacov.point-2016/02/16-09:33:49 
20010123,2001.0631,-306.4,280.4,20.2,rrr,2.8,3.1,10.4,0.0387,Southern_California.20010123.stacov.point-2016/02/16-09:33:49 
20010124,2001.0658,-305.2,279.9,24.4,rrr,2.7,3.0,10.0,0.0717,Southern_California.20010124.stacov.point-2016/02/16-09:33:50 
20010125,2001.0685,-305.5,282.2,26.4,rrr,2.6,3.0,9.8,0.0703,Southern_California.20010125.stacov.point-2016/02/16-09:33:51 
20010126,2001.0713,-306.9,278.5,20.8,rrr,2.6,3.0,10.0,0.0432,Southern_California.20010126.stacov.point-2016/02/16-09:33:52 
20010127,2001.074,-305.6,281.2,24.3,rrr,2.7,3.0,10.2,0.0289,Southern_California.20010127.stacov.point-2016/02/16-09:33:52 
20010129,2001.0795,-308.4,280.2,15.5,rrr,2.7,3.0,10.0,0.0699,Southern_California.20010129.stacov.point-2016/02/16-09:33:54 
20010130,2001.0822,-305.1,280.6,21.5,rrr,2.7,3.0,10.0,0.0549,Southern_California.20010130.stacov.point-2016/02/16-09:33:55 
20010131,2001.085,-303.4,280.9,19.7,rrr,2.7,3.2,10.2,0.0505,Southern_California.20010131.stacov.point-2016/02/16-09:33:55 
20010201,2001.0877,-302.2,281.0,18.5,rrr,2.7,3.0,10.0,0.0491,Southern_California.20010201.stacov.point-2016/02/16-09:33:56 
20010202,2001.0904,-303.4,280.3,21.4,rrr,2.8,3.0,10.4,-0.0022,Southern_California.20010202.stacov.point-2016/02/16-09:33:57 
20010203,2001.0932,-306.4,279.4,12.6,rrr,2.7,2.9,9.9,0.0456,Southern_California.20010203.stacov.point-2016/02/16-09:33:58 
20010204,2001.0959,-308.0,279.5,16.7,rrr,2.9,2.9,10.6,-0.0019,Southern_California.20010204.stacov.point-2016/02/16-09:33:58 
20010205,2001.0987,-304.5,278.8,21.9,rrr,2.7,3.1,10.2,0.0235,Southern_California.20010205.stacov.point-2016/02/16-09:33:59 
20010206,2001.1014,-304.4,280.0,20.2,rrr,2.6,3.0,9.8,0.0566,Southern_California.20010206.stacov.point-2016/02/16-09:34:00 
20010207,2001.1041,-304.4,278.9,21.7,rrr,2.8,3.0,10.4,-0.0065,Southern_California.20010207.stacov.point-2016/02/16-09:34:01 
20010208,2001.1069,-305.1,278.1,22.5,rrr,2.8,3.2,10.5,0.0352,Southern_California.20010208.stacov.point-2016/02/16-09:34:01 
20010209,2001.1096,-305.0,279.1,23.5,rrr,2.7,3.0,10.0,0.0558,Southern_California.20010209.stacov.point-2016/02/16-09:34:02 
20010210,2001.1123,-302.2,278.7,13.5,rrr,2.6,3.0,9.8,0.0551,Southern_California.20010210.stacov.point-2016/02/16-09:34:03 
20010211,2001.1151,-304.8,278.7,19.8,rrr,2.9,3.2,10.5,0.0312,Southern_California.20010211.stacov.point-2016/02/16-09:34:04 
20010212,2001.1178,-301.0,278.5,24.4,rrr,2.8,3.0,10.2,0.0628,Southern_California.20010212.stacov.point-2016/02/16-09:34:04 
20010213,2001.1206,-307.2,277.8,16.4,rrr,2.9,3.0,10.4,0.048,Southern_California.20010213.stacov.point-2016/02/16-09:34:05 
20010214,2001.1233,-303.6,279.6,23.2,rrr,2.8,3.0,10.4,0.0182,Southern_California.20010214.stacov.point-2016/02/16-09:34:06 
20010215,2001.126,-303.4,278.0,21.2,rrr,2.8,3.1,10.4,0.0611,Southern_California.20010215.stacov.point-2016/02/16-09:34:06 
20010216,2001.1288,-305.3,276.2,9.0,rrr,2.8,3.0,10.4,0.0446,Southern_California.20010216.stacov.point-2016/02/16-09:34:07 
20010217,2001.1315,-306.2,277.9,17.0,rrr,2.8,3.0,10.4,0.0517,Southern_California.20010217.stacov.point-2016/02/16-09:34:08 
20010218,2001.1342,-305.7,278.0,29.8,rrr,2.9,3.1,10.7,0.029,Southern_California.20010218.stacov.point-2016/02/16-09:34:09 
20010219,2001.137,-303.4,278.7,20.5,rrr,2.8,3.0,10.4,0.0446,Southern_California.20010219.stacov.point-2016/02/16-09:34:09 
20010220,2001.1397,-302.6,276.9,22.1,rrr,2.8,3.1,10.6,0.0452,Southern_California.20010220.stacov.point-2016/02/16-09:34:10 
20010221,2001.1425,-305.2,272.8,24.9,rrr,2.8,3.1,10.4,0.0406,Southern_California.20010221.stacov.point-2016/02/16-09:34:11 
20010222,2001.1452,-305.7,278.8,15.6,rrr,2.7,2.9,9.9,0.034,Southern_California.20010222.stacov.point-2016/02/16-09:34:12 
20010223,2001.1479,-303.2,272.1,22.5,rrr,2.8,3.1,10.6,0.0004,Southern_California.20010223.stacov.point-2016/02/16-09:34:12 
20010224,2001.1507,-305.1,273.4,26.4,rrr,2.8,3.3,10.7,0.0354,Southern_California.20010224.stacov.point-2016/02/16-09:34:13 
20010225,2001.1534,-305.1,273.1,20.8,rrr,2.8,3.1,10.4,0.0362,Southern_California.20010225.stacov.point-2016/02/16-09:34:14 
20010226,2001.1562,-303.2,272.4,22.5,rrr,2.8,3.0,10.3,0.0246,Southern_California.20010226.stacov.point-2016/02/16-09:34:15 
20010227,2001.1589,-308.0,274.1,11.1,rrr,2.9,3.0,10.8,0.0174,Southern_California.20010227.stacov.point-2016/02/16-09:34:15 
20010228,2001.1616,-304.5,278.9,13.2,rrr,2.8,3.1,11.0,-0.016,Southern_California.20010228.stacov.point-2016/02/16-09:34:16 
20010301,2001.1644,-306.3,269.9,25.5,rrr,3.0,3.1,10.7,-0.0139,Southern_California.20010301.stacov.point-2016/02/16-09:34:17 
20010302,2001.1671,-300.5,274.4,29.5,rrr,2.9,3.3,10.9,0.0209,Southern_California.20010302.stacov.point-2016/02/16-09:34:18 
20010303,2001.1698,-305.3,272.4,28.5,rrr,2.9,3.2,10.3,0.0483,Southern_California.20010303.stacov.point-2016/02/16-09:34:18 
20010304,2001.1726,-303.1,277.0,27.9,rrr,2.8,3.0,10.4,0.0473,Southern_California.20010304.stacov.point-2016/02/16-09:34:19 
20010305,2001.1753,-302.5,270.5,29.6,rrr,2.8,3.1,10.3,0.0446,Southern_California.20010305.stacov.point-2016/02/16-09:34:20 
20010306,2001.1781,-305.3,273.2,31.5,rrr,2.9,3.2,10.9,0.0404,Southern_California.20010306.stacov.point-2016/02/16-09:34:21 
20010307,2001.1808,-305.7,272.6,35.9,rrr,2.8,3.0,10.4,0.0,Southern_California.20010307.stacov.point-2016/02/16-09:34:21 
20010308,2001.1835,-304.2,272.6,24.9,rrr,2.8,3.0,10.4,0.0092,Southern_California.20010308.stacov.point-2016/02/16-09:34:22 
20010309,2001.1863,-304.8,274.0,24.6,rrr,3.0,3.2,10.8,0.0912,Southern_California.20010309.stacov.point-2016/02/16-09:34:23 
20010310,2001.189,-301.6,273.6,28.7,rrr,3.0,3.1,10.7,0.0386,Southern_California.20010310.stacov.point-2016/02/16-09:34:24 
20010311,2001.1917,-304.6,265.8,28.3,rrr,2.8,3.1,10.4,0.012,Southern_California.20010311.stacov.point-2016/02/16-09:34:24 
20010312,2001.1945,-306.1,276.1,25.7,rrr,2.8,3.0,10.3,0.0072,Southern_California.20010312.stacov.point-2016/02/16-09:34:25 
20010313,2001.1972,-305.6,273.4,21.0,rrr,2.8,2.9,10.3,-0.0025,Southern_California.20010313.stacov.point-2016/02/16-09:34:26 
20010314,2001.2,-303.9,274.4,19.3,rrr,2.8,3.0,10.4,0.0282,Southern_California.20010314.stacov.point-2016/02/16-09:34:27 
20010315,2001.2027,-304.5,273.0,17.7,rrr,2.8,3.0,10.6,0.0402,Southern_California.20010315.stacov.point-2016/02/16-09:34:27 
20010316,2001.2054,-302.5,271.7,28.6,rrr,2.8,3.1,10.4,0.0119,Southern_California.20010316.stacov.point-2016/02/16-09:34:28 
20010317,2001.2082,-302.4,266.7,28.0,rrr,2.8,3.1,10.4,0.0015,Southern_California.20010317.stacov.point-2016/02/16-09:34:29 
20010318,2001.2109,-303.1,274.4,21.6,rrr,2.8,3.0,10.4,-0.0204,Southern_California.20010318.stacov.point-2016/02/16-09:34:30 
20010319,2001.2136,-302.6,275.1,35.9,rrr,2.8,3.0,10.4,0.0164,Southern_California.20010319.stacov.point-2016/02/16-09:34:30 
20010320,2001.2164,-304.3,273.2,32.5,rrr,2.8,3.0,10.4,0.018,Southern_California.20010320.stacov.point-2016/02/16-09:34:31 
20010321,2001.2191,-301.7,275.5,32.9,rrr,2.8,3.1,10.4,0.0275,Southern_California.20010321.stacov.point-2016/02/16-09:34:32 
20010322,2001.2219,-302.4,273.4,24.2,rrr,2.7,3.1,10.6,0.0167,Southern_California.20010322.stacov.point-2016/02/16-09:34:33 
20010323,2001.2246,-306.5,272.6,30.5,rrr,2.8,3.1,10.4,0.0286,Southern_California.20010323.stacov.point-2016/02/16-09:34:33 
20010324,2001.2273,-306.6,271.3,23.0,rrr,2.8,3.0,10.4,0.0068,Southern_California.20010324.stacov.point-2016/02/16-09:34:34 
20010327,2001.2355,-306.7,270.4,30.4,rrr,2.9,3.2,10.9,0.021,Southern_California.20010327.stacov.point-2016/02/16-09:34:36 
20010328,2001.2383,-307.2,272.3,32.5,rrr,3.0,3.2,10.8,0.0317,Southern_California.20010328.stacov.point-2016/02/16-09:34:37 
20010329,2001.241,-301.3,275.6,31.2,rrr,2.8,3.1,10.4,0.0157,Southern_California.20010329.stacov.point-2016/02/16-09:34:38 
20010330,2001.2438,-304.1,274.3,36.8,rrr,3.2,3.5,11.9,-0.009,Southern_California.20010330.stacov.point-2016/02/16-09:34:38 
20010331,2001.2465,-304.6,273.1,24.9,rrr,3.4,3.5,12.8,0.0169,Southern_California.20010331.stacov.point-2016/02/16-09:34:39 
20010401,2001.2491,-307.2,273.9,22.1,rrr,3.0,3.2,10.8,0.0297,Southern_California.20010401.stacov.point-2016/02/16-09:34:40 
20010402,2001.2519,-306.6,262.5,33.3,rrr,3.0,3.2,10.8,0.0235,Southern_California.20010402.stacov.point-2016/02/16-09:34:41 
20010403,2001.2546,-308.4,269.2,23.6,rrr,3.0,3.4,11.0,0.0031,Southern_California.20010403.stacov.point-2016/02/16-09:34:41 
20010404,2001.2573,-304.7,267.2,36.6,rrr,3.1,3.3,11.4,0.0082,Southern_California.20010404.stacov.point-2016/02/16-09:34:42 
20010405,2001.2601,-304.6,268.9,34.7,rrr,3.0,3.4,11.4,0.0021,Southern_California.20010405.stacov.point-2016/02/16-09:34:43 
20010406,2001.2628,-299.4,276.4,33.5,rrr,3.0,3.2,11.2,0.0334,Southern_California.20010406.stacov.point-2016/02/16-09:34:44 
20010407,2001.2656,-302.1,277.4,22.1,rrr,2.9,3.3,10.8,0.0293,Southern_California.20010407.stacov.point-2016/02/16-09:34:44 
20010408,2001.2683,-296.6,279.3,30.5,rrr,3.1,3.4,11.7,-0.0026,Southern_California.20010408.stacov.point-2016/02/16-09:34:45 
20010409,2001.271,-299.9,277.3,25.6,rrr,3.1,3.4,11.3,0.061,Southern_California.20010409.stacov.point-2016/02/16-09:34:46 
