DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19950817,1995.6255,-155.6,39.9,25.2,rrr,21.3,56.6,47.7,0.0458,COSO.19950817.stacov.point-2019/06/26-12:10:07 
19950818,1995.6282,-158.0,41.0,26.1,rrr,21.2,55.9,47.4,0.0838,COSO.19950818.stacov.point-2019/06/26-12:10:08 
19950819,1995.6309,-161.4,33.6,39.7,rrr,21.3,56.2,48.1,0.0618,COSO.19950819.stacov.point-2019/06/26-12:10:09 
19950820,1995.6337,-159.6,37.8,49.4,rrr,21.1,55.3,47.8,0.0627,COSO.19950820.stacov.point-2019/06/26-12:10:09 
19950823,1995.6419,-162.8,-3.0,-55.0,rrr,12.0,12.1,37.6,-0.1421,COSO.19950823.stacov.point-2019/06/26-12:10:11 
19950824,1995.6446,-160.4,37.1,40.2,rrr,3.7,4.3,13.8,0.0501,COSO.19950824.stacov.point-2019/06/26-12:10:11 
19950825,1995.6474,-161.5,36.1,41.7,rrr,3.0,3.4,10.6,0.0583,COSO.19950825.stacov.point-2019/06/26-12:10:13 
19950826,1995.6501,-161.9,41.3,28.7,rrr,20.8,54.6,47.3,0.0582,COSO.19950826.stacov.point-2019/06/26-12:10:14 
19950827,1995.6528,-158.9,39.9,20.2,rrr,20.6,54.4,46.6,0.0598,COSO.19950827.stacov.point-2019/06/26-12:10:16 
19950830,1995.6611,-160.3,30.0,25.2,rrr,21.3,56.3,49.2,0.0765,COSO.19950830.stacov.point-2019/06/26-12:10:17 
19950831,1995.6638,-158.1,44.1,25.2,rrr,21.5,56.9,49.8,0.0601,COSO.19950831.stacov.point-2019/06/26-12:10:18 
19950901,1995.6665,-163.0,37.9,37.1,rrr,21.7,58.8,49.5,0.0608,COSO.19950901.stacov.point-2019/06/26-12:10:18 
19950902,1995.6693,-163.1,43.2,51.4,rrr,21.5,56.6,48.7,0.0613,COSO.19950902.stacov.point-2019/06/26-12:10:20 
19950904,1995.6747,-164.8,46.4,32.9,rrr,21.3,56.5,48.9,0.0726,COSO.19950904.stacov.point-2019/06/26-12:10:22 
19950905,1995.6775,-162.3,35.1,26.1,rrr,20.8,54.7,47.8,0.0548,COSO.19950905.stacov.point-2019/06/26-12:10:23 
19950906,1995.6802,-159.8,38.7,23.4,rrr,21.1,55.1,48.5,0.0507,COSO.19950906.stacov.point-2019/06/26-12:10:24 
19950907,1995.683,-159.1,29.3,37.3,rrr,21.0,55.3,49.7,0.0627,COSO.19950907.stacov.point-2019/06/26-12:10:25 
19950909,1995.6884,-155.4,44.9,23.2,rrr,20.6,55.1,48.6,0.0396,COSO.19950909.stacov.point-2019/06/26-12:10:26 
19950910,1995.6912,-160.3,44.7,39.8,rrr,20.6,54.5,48.3,0.0611,COSO.19950910.stacov.point-2019/06/26-12:10:28 
19950911,1995.6939,-157.0,35.8,41.6,rrr,20.5,54.4,46.3,0.0415,COSO.19950911.stacov.point-2019/06/26-12:10:28 
19950913,1995.6994,-155.3,37.1,31.2,rrr,21.4,57.5,49.3,0.0288,COSO.19950913.stacov.point-2019/06/26-12:10:29 
19950915,1995.7049,-154.7,37.4,19.0,rrr,21.5,56.4,49.6,0.0485,COSO.19950915.stacov.point-2019/06/26-12:10:31 
19950916,1995.7076,-158.2,31.8,30.8,rrr,21.6,56.7,48.8,0.0464,COSO.19950916.stacov.point-2019/06/26-12:10:31 
