DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19991015,1999.7871,-204.2,129.9,72.7,rrr,2.6,3.2,9.9,-0.0342,Southern_California.19991015.stacov.point-2016/02/16-09:28:47 
19991016,1999.7898,-193.0,135.0,76.4,rrr,2.7,3.2,9.9,-0.046,Southern_California.19991016.stacov.point-2016/02/16-09:28:48 
19991017,1999.7926,-182.4,139.1,68.7,rrr,2.5,3.1,9.5,-0.0105,Southern_California.19991017.stacov.point-2016/02/16-09:28:48 
19991027,1999.8199,-183.2,138.2,74.8,rrr,2.7,3.3,10.2,-0.019,Southern_California.19991027.stacov.point-2016/02/16-09:28:54 
19991028,1999.8227,-178.7,135.9,67.2,rrr,2.8,3.4,10.2,-0.0083,Southern_California.19991028.stacov.point-2016/02/16-09:28:54 
19991029,1999.8254,-180.3,139.0,70.5,rrr,2.8,3.5,10.6,-0.0477,Southern_California.19991029.stacov.point-2016/02/16-09:28:55 
19991030,1999.8282,-180.4,141.9,75.0,rrr,2.7,3.5,10.0,0.0279,Southern_California.19991030.stacov.point-2016/02/16-09:28:55 
19991031,1999.831,-181.6,139.5,75.2,rrr,2.8,3.4,10.2,0.017,Southern_California.19991031.stacov.point-2016/02/16-09:28:56 
19991101,1999.8337,-181.9,140.5,70.7,rrr,2.7,3.3,10.2,0.0441,Southern_California.19991101.stacov.point-2016/02/16-09:28:57 
19991102,1999.8365,-180.5,139.9,69.8,rrr,2.7,3.2,9.9,0.0107,Southern_California.19991102.stacov.point-2016/02/16-09:28:57 
19991103,1999.8392,-179.7,138.4,72.0,rrr,2.7,3.3,10.2,0.0256,Southern_California.19991103.stacov.point-2016/02/16-09:28:58 
19991104,1999.842,-180.6,143.0,72.7,rrr,2.8,3.3,10.4,0.029,Southern_California.19991104.stacov.point-2016/02/16-09:28:58 
19991105,1999.8447,-180.5,141.0,67.1,rrr,2.7,3.3,10.0,0.022,Southern_California.19991105.stacov.point-2016/02/16-09:28:59 
19991106,1999.8474,-181.2,139.1,74.2,rrr,2.7,3.2,9.9,0.017,Southern_California.19991106.stacov.point-2016/02/16-09:28:59 
19991107,1999.8502,-182.5,139.9,70.4,rrr,2.7,3.4,10.0,0.0521,Southern_California.19991107.stacov.point-2016/02/16-09:29:00 
19991108,1999.8529,-181.2,134.3,85.1,rrr,2.7,3.3,10.0,0.0337,Southern_California.19991108.stacov.point-2016/02/16-09:29:01 
19991109,1999.8556,-181.5,140.5,66.9,rrr,2.7,3.3,10.0,0.0342,Southern_California.19991109.stacov.point-2016/02/16-09:29:01 
19991110,1999.8584,-183.8,139.3,73.4,rrr,2.6,3.1,9.9,-0.0077,Southern_California.19991110.stacov.point-2016/02/16-09:29:02 
19991111,1999.8611,-181.1,139.3,69.1,rrr,2.6,3.3,9.9,0.0508,Southern_California.19991111.stacov.point-2016/02/16-09:29:02 
19991112,1999.8639,-181.5,138.9,74.1,rrr,2.7,3.2,9.9,-0.0238,Southern_California.19991112.stacov.point-2016/02/16-09:29:03 
19991113,1999.8666,-180.5,137.2,74.5,rrr,2.7,3.3,9.9,0.0008,Southern_California.19991113.stacov.point-2016/02/16-09:29:04 
19991114,1999.8693,-179.8,138.4,70.1,rrr,2.6,3.2,9.5,0.0182,Southern_California.19991114.stacov.point-2016/02/16-09:29:04 
19991115,1999.8721,-181.4,139.4,74.3,rrr,2.6,3.2,9.9,-0.0301,Southern_California.19991115.stacov.point-2016/02/16-09:29:05 
19991116,1999.8748,-178.8,137.0,74.5,rrr,2.7,3.4,10.0,0.0299,Southern_California.19991116.stacov.point-2016/02/16-09:29:05 
19991117,1999.8775,-181.7,137.3,90.8,rrr,2.6,3.1,9.9,0.0048,Southern_California.19991117.stacov.point-2016/02/16-09:29:06 
19991118,1999.8803,-179.8,141.5,76.1,rrr,2.7,3.4,10.0,0.0492,Southern_California.19991118.stacov.point-2016/02/16-09:29:06 
19991119,1999.883,-179.0,137.7,65.7,rrr,2.7,3.2,9.9,-0.0018,Southern_California.19991119.stacov.point-2016/02/16-09:29:07 
19991120,1999.8858,-180.2,139.9,66.0,rrr,2.7,3.4,10.6,-0.0032,Southern_California.19991120.stacov.point-2016/02/16-09:29:08 
19991121,1999.8885,-180.3,139.0,74.8,rrr,2.7,3.3,9.9,-0.0313,Southern_California.19991121.stacov.point-2016/02/16-09:29:08 
19991122,1999.8912,-179.9,137.1,71.5,rrr,2.5,3.1,9.5,0.0295,Southern_California.19991122.stacov.point-2016/02/16-09:29:09 
19991123,1999.894,-178.6,138.8,72.1,rrr,2.6,3.3,9.9,-0.0377,Southern_California.19991123.stacov.point-2016/02/16-09:29:09 
19991124,1999.8967,-179.8,139.7,69.2,rrr,2.7,3.5,10.2,-0.0136,Southern_California.19991124.stacov.point-2016/02/16-09:29:10 
19991125,1999.8995,-177.3,138.2,72.3,rrr,2.8,3.4,10.4,0.01,Southern_California.19991125.stacov.point-2016/02/16-09:29:10 
19991126,1999.9022,-178.1,141.2,71.3,rrr,2.7,3.5,10.2,0.0194,Southern_California.19991126.stacov.point-2016/02/16-09:29:11 
19991127,1999.9049,-176.8,141.8,72.8,rrr,2.6,3.3,10.0,0.0441,Southern_California.19991127.stacov.point-2016/02/16-09:29:12 
