DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19950202,1995.0889,-268.6,222.3,-24.8,rrr,2.8,3.4,10.5,0.0385,Southern_California.19950202.stacov.point-2016/02/16-09:20:04 
19950211,1995.1136,-265.0,220.5,-29.1,rrr,2.8,3.4,10.5,0.0585,Southern_California.19950211.stacov.point-2016/02/16-09:20:06 
19950212,1995.1163,-266.7,220.9,-15.3,rrr,2.8,3.3,10.5,0.0452,Southern_California.19950212.stacov.point-2016/02/16-09:20:06 
19950213,1995.1191,-262.0,223.6,-19.9,rrr,2.9,3.5,10.8,0.0727,Southern_California.19950213.stacov.point-2016/02/16-09:20:07 
19950214,1995.1218,-264.5,224.9,-10.3,rrr,2.9,3.6,11.0,0.0789,Southern_California.19950214.stacov.point-2016/02/16-09:20:07 
19950215,1995.1245,-268.1,237.1,27.8,rrr,6.8,9.7,24.6,0.0892,Southern_California.19950215.stacov.point-2016/02/16-09:20:07 
19950228,1995.1601,-262.4,218.6,-32.1,rrr,3.2,3.8,11.6,0.0534,Southern_California.19950228.stacov.point-2016/02/16-09:20:10 
19950301,1995.1629,-263.0,216.7,-22.9,rrr,2.8,3.3,10.5,0.052,Southern_California.19950301.stacov.point-2016/02/16-09:20:10 
19950302,1995.1656,-266.8,215.4,-24.4,rrr,2.8,3.3,10.5,0.0471,Southern_California.19950302.stacov.point-2016/02/16-09:20:11 
19950303,1995.1683,-265.4,212.3,-10.8,rrr,2.9,3.4,10.7,0.014,Southern_California.19950303.stacov.point-2016/02/16-09:20:11 
19950304,1995.1711,-266.2,214.7,-13.2,rrr,2.8,3.3,10.5,0.0635,Southern_California.19950304.stacov.point-2016/02/16-09:20:11 
19950305,1995.1738,-263.6,213.3,-2.4,rrr,2.9,3.4,10.7,0.0434,Southern_California.19950305.stacov.point-2016/02/16-09:20:11 
19950306,1995.1766,-260.6,216.7,-7.8,rrr,3.0,3.7,11.5,0.0867,Southern_California.19950306.stacov.point-2016/02/16-09:20:11 
