DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19980710,1998.5222,-335.5,320.5,-23.7,rrr,2.8,3.3,10.3,0.0072,Southern_California.19980710.stacov.point-2016/02/16-09:25:49 
19980711,1998.5249,-335.5,319.7,-20.4,rrr,2.7,3.3,10.1,-0.0021,Southern_California.19980711.stacov.point-2016/02/16-09:25:49 
19980712,1998.5276,-334.4,320.5,-20.1,rrr,2.7,3.3,10.1,-0.0046,Southern_California.19980712.stacov.point-2016/02/16-09:25:49 
19980713,1998.5304,-334.6,320.7,-19.4,rrr,2.7,3.3,10.1,-0.0054,Southern_California.19980713.stacov.point-2016/02/16-09:25:50 
19980714,1998.5331,-332.0,320.2,-24.0,rrr,2.8,3.3,10.3,0.0187,Southern_California.19980714.stacov.point-2016/02/16-09:25:50 
19980715,1998.5359,-336.7,320.1,-15.8,rrr,2.8,3.3,10.3,-0.0008,Southern_California.19980715.stacov.point-2016/02/16-09:25:50 
19980716,1998.5386,-333.6,320.0,-18.9,rrr,2.8,3.3,10.3,-0.0177,Southern_California.19980716.stacov.point-2016/02/16-09:25:50 
19980717,1998.5413,-336.5,318.9,-17.1,rrr,2.8,3.3,10.5,-0.0184,Southern_California.19980717.stacov.point-2016/02/16-09:25:51 
19980718,1998.5441,-334.8,319.9,-18.8,rrr,2.8,3.3,10.3,-0.0139,Southern_California.19980718.stacov.point-2016/02/16-09:25:51 
19980719,1998.5468,-336.0,318.6,-17.9,rrr,2.8,3.3,10.5,-0.0327,Southern_California.19980719.stacov.point-2016/02/16-09:25:51 
19980720,1998.5495,-333.1,321.9,-27.1,rrr,2.8,3.3,10.3,-0.0288,Southern_California.19980720.stacov.point-2016/02/16-09:25:52 
19980721,1998.5523,-334.8,320.2,-16.8,rrr,2.8,3.3,10.3,-0.0108,Southern_California.19980721.stacov.point-2016/02/16-09:25:52 
19980722,1998.555,-334.8,321.7,-21.9,rrr,3.0,3.4,11.0,-0.0281,Southern_California.19980722.stacov.point-2016/02/16-09:25:52 
19980723,1998.5578,-334.9,321.8,-24.4,rrr,2.9,3.3,10.5,-0.022,Southern_California.19980723.stacov.point-2016/02/16-09:25:53 
19980724,1998.5605,-334.2,321.4,-21.8,rrr,2.7,3.3,10.1,0.0017,Southern_California.19980724.stacov.point-2016/02/16-09:25:53 
19980725,1998.5632,-334.3,321.5,-22.5,rrr,2.8,3.3,10.3,-0.0187,Southern_California.19980725.stacov.point-2016/02/16-09:25:53 
19980726,1998.566,-333.9,320.7,-25.5,rrr,2.8,3.3,10.3,-0.0061,Southern_California.19980726.stacov.point-2016/02/16-09:25:54 
19980727,1998.5687,-333.6,320.2,-23.4,rrr,2.9,3.4,10.6,-0.0001,Southern_California.19980727.stacov.point-2016/02/16-09:25:54 
