DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19960502,1996.3346,-355.8,341.4,-6.2,rrr,3.0,3.4,10.8,0.0713,Southern_California.19960502.stacov.point-2016/02/16-09:22:01 
19960503,1996.3373,-356.0,341.2,-5.3,rrr,2.9,3.4,10.8,0.0269,Southern_California.19960503.stacov.point-2016/02/16-09:22:02 
19960504,1996.3401,-354.6,343.4,-5.2,rrr,2.9,3.4,10.6,0.0803,Southern_California.19960504.stacov.point-2016/02/16-09:22:02 
19960505,1996.3428,-356.3,343.2,-0.7,rrr,2.8,3.2,10.3,0.0622,Southern_California.19960505.stacov.point-2016/02/16-09:22:02 
19960506,1996.3455,-353.5,343.0,-5.1,rrr,2.9,3.3,10.5,0.0109,Southern_California.19960506.stacov.point-2016/02/16-09:22:03 
19960507,1996.3483,-354.1,339.6,-0.5,rrr,3.0,3.4,11.0,0.0214,Southern_California.19960507.stacov.point-2016/02/16-09:22:03 
19960508,1996.351,-354.4,342.1,-2.9,rrr,2.9,3.4,10.6,0.0732,Southern_California.19960508.stacov.point-2016/02/16-09:22:03 
19960509,1996.3537,-355.9,340.9,1.0,rrr,2.9,3.3,10.3,0.0524,Southern_California.19960509.stacov.point-2016/02/16-09:22:03 
19960510,1996.3565,-354.9,343.0,-6.7,rrr,3.0,3.5,11.0,0.0236,Southern_California.19960510.stacov.point-2016/02/16-09:22:04 
19960511,1996.3592,-355.2,343.7,-2.6,rrr,3.0,3.4,10.7,0.0548,Southern_California.19960511.stacov.point-2016/02/16-09:22:04 
19960512,1996.362,-355.0,342.7,-10.6,rrr,3.0,3.6,11.1,0.0881,Southern_California.19960512.stacov.point-2016/02/16-09:22:04 
19960513,1996.3647,-354.0,342.3,-2.5,rrr,3.0,3.5,11.1,0.0241,Southern_California.19960513.stacov.point-2016/02/16-09:22:04 
19960514,1996.3674,-356.0,343.6,-3.2,rrr,2.9,3.4,10.6,0.0838,Southern_California.19960514.stacov.point-2016/02/16-09:22:05 
19960515,1996.3702,-354.9,341.8,-1.5,rrr,2.8,3.3,10.3,0.0563,Southern_California.19960515.stacov.point-2016/02/16-09:22:05 
19960516,1996.3729,-354.9,344.1,4.2,rrr,2.9,3.5,10.8,0.0761,Southern_California.19960516.stacov.point-2016/02/16-09:22:05 
19960517,1996.3756,-355.1,344.2,-2.0,rrr,3.0,3.7,11.1,0.0842,Southern_California.19960517.stacov.point-2016/02/16-09:22:05 
19960518,1996.3784,-356.0,341.6,-4.5,rrr,3.0,3.6,11.5,0.0388,Southern_California.19960518.stacov.point-2016/02/16-09:22:06 
19960519,1996.3811,-353.1,340.8,2.9,rrr,2.9,3.4,10.6,0.0793,Southern_California.19960519.stacov.point-2016/02/16-09:22:06 
19960520,1996.3839,-354.4,339.9,-0.1,rrr,2.9,3.5,10.8,0.0579,Southern_California.19960520.stacov.point-2016/02/16-09:22:06 
19960521,1996.3866,-352.7,343.2,2.4,rrr,2.9,3.7,11.1,0.0552,Southern_California.19960521.stacov.point-2016/02/16-09:22:07 
19960522,1996.3893,-354.3,340.5,-0.6,rrr,2.8,3.4,10.6,0.0646,Southern_California.19960522.stacov.point-2016/02/16-09:22:07 
19960523,1996.3921,-352.8,342.3,-0.7,rrr,3.0,3.4,11.4,0.072,Southern_California.19960523.stacov.point-2016/02/16-09:22:07 
19960524,1996.3948,-355.9,340.2,-5.2,rrr,3.0,3.5,10.9,0.1221,Southern_California.19960524.stacov.point-2016/02/16-09:22:07 
19960525,1996.3976,-353.5,341.3,-4.3,rrr,3.0,3.5,11.0,0.1177,Southern_California.19960525.stacov.point-2016/02/16-09:22:08 
19960526,1996.4003,-353.5,340.2,-7.0,rrr,2.8,3.4,10.5,0.0841,Southern_California.19960526.stacov.point-2016/02/16-09:22:08 
19960527,1996.403,-352.8,340.2,-2.7,rrr,2.9,3.5,10.9,0.1134,Southern_California.19960527.stacov.point-2016/02/16-09:22:08 
19960528,1996.4058,-353.8,341.5,-5.9,rrr,2.8,3.3,10.6,0.0806,Southern_California.19960528.stacov.point-2016/02/16-09:22:08 
19960529,1996.4085,-353.2,342.5,-6.0,rrr,3.0,3.6,11.3,0.0704,Southern_California.19960529.stacov.point-2016/02/16-09:22:09 
19960530,1996.4112,-353.6,342.5,-2.9,rrr,2.8,3.4,10.6,0.087,Southern_California.19960530.stacov.point-2016/02/16-09:22:09 
19960531,1996.414,-353.2,342.1,-4.8,rrr,2.7,3.2,10.1,0.0432,Southern_California.19960531.stacov.point-2016/02/16-09:22:09 
19960601,1996.4167,-353.1,341.6,-2.5,rrr,3.0,3.5,11.3,0.0902,Southern_California.19960601.stacov.point-2016/02/16-09:22:10 
19960602,1996.4195,-350.2,343.1,-1.0,rrr,2.8,3.4,10.6,0.0939,Southern_California.19960602.stacov.point-2016/02/16-09:22:10 
19960603,1996.4222,-351.3,341.6,-6.3,rrr,3.1,3.5,11.5,0.1255,Southern_California.19960603.stacov.point-2016/02/16-09:22:10 
19960604,1996.4249,-353.3,342.6,-4.3,rrr,2.9,3.4,11.0,0.0317,Southern_California.19960604.stacov.point-2016/02/16-09:22:10 
19960605,1996.4277,-347.6,343.0,-3.8,rrr,2.9,3.6,11.1,0.0672,Southern_California.19960605.stacov.point-2016/02/16-09:22:11 
