DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19990224,1999.1493,-231.7,24.4,-45.2,rrr,2.5,2.9,8.9,-0.0584,Southern_California.19990224.stacov.point-2016/02/16-09:27:07 
19990225,1999.152,-231.0,25.8,-36.1,rrr,2.5,2.8,8.7,-0.0236,Southern_California.19990225.stacov.point-2016/02/16-09:27:07 
19990226,1999.1547,-232.4,24.5,-43.1,rrr,2.6,3.0,9.2,-0.0233,Southern_California.19990226.stacov.point-2016/02/16-09:27:08 
19990227,1999.1575,-230.8,25.0,-42.8,rrr,2.6,3.0,9.0,-0.029,Southern_California.19990227.stacov.point-2016/02/16-09:27:08 
19990228,1999.1602,-233.6,22.9,-49.1,rrr,2.5,2.8,8.5,-0.0276,Southern_California.19990228.stacov.point-2016/02/16-09:27:08 
19990301,1999.163,-234.8,23.1,-42.7,rrr,2.6,2.8,8.9,-0.0785,Southern_California.19990301.stacov.point-2016/02/16-09:27:09 
19990302,1999.1657,-232.8,25.6,-41.8,rrr,2.6,3.0,9.2,-0.0669,Southern_California.19990302.stacov.point-2016/02/16-09:27:09 
19990303,1999.1684,-230.7,24.7,-37.4,rrr,2.4,2.8,8.5,-0.0431,Southern_California.19990303.stacov.point-2016/02/16-09:27:10 
19990304,1999.1712,-234.1,23.2,-36.9,rrr,2.5,2.8,8.7,-0.0164,Southern_California.19990304.stacov.point-2016/02/16-09:27:10 
19990305,1999.1739,-232.1,24.8,-41.3,rrr,2.5,2.8,8.7,-0.0342,Southern_California.19990305.stacov.point-2016/02/16-09:27:10 
19990306,1999.1766,-232.6,23.1,-42.2,rrr,2.5,3.0,9.0,-0.0254,Southern_California.19990306.stacov.point-2016/02/16-09:27:11 
19990307,1999.1794,-232.5,24.6,-38.8,rrr,2.5,2.8,8.9,-0.0593,Southern_California.19990307.stacov.point-2016/02/16-09:27:11 
19990308,1999.1821,-232.7,24.6,-38.6,rrr,2.5,2.8,8.7,-0.0226,Southern_California.19990308.stacov.point-2016/02/16-09:27:12 
19990309,1999.1849,-230.4,25.4,-42.4,rrr,2.5,2.8,8.7,-0.0331,Southern_California.19990309.stacov.point-2016/02/16-09:27:12 
19990310,1999.1876,-232.0,23.3,-39.2,rrr,2.6,3.0,9.1,-0.0054,Southern_California.19990310.stacov.point-2016/02/16-09:27:12 
19990311,1999.1903,-231.4,21.7,-39.0,rrr,2.5,2.8,8.5,-0.0414,Southern_California.19990311.stacov.point-2016/02/16-09:27:13 
19990312,1999.1931,-232.2,22.6,-45.7,rrr,2.5,2.9,8.9,-0.0643,Southern_California.19990312.stacov.point-2016/02/16-09:27:13 
19990313,1999.1958,-234.2,21.5,-38.6,rrr,2.5,2.8,8.5,-0.0409,Southern_California.19990313.stacov.point-2016/02/16-09:27:14 
19990314,1999.1985,-232.4,23.6,-39.0,rrr,2.5,3.0,9.0,-0.0122,Southern_California.19990314.stacov.point-2016/02/16-09:27:14 
19990315,1999.2013,-234.7,23.0,-34.3,rrr,2.6,3.0,9.1,0.0128,Southern_California.19990315.stacov.point-2016/02/16-09:27:14 
19990316,1999.204,-233.5,24.8,-37.5,rrr,2.6,3.0,9.0,0.0214,Southern_California.19990316.stacov.point-2016/02/16-09:27:15 
19990317,1999.2068,-233.6,24.0,-42.7,rrr,2.6,3.0,9.0,-0.0186,Southern_California.19990317.stacov.point-2016/02/16-09:27:15 
19990318,1999.2095,-233.7,24.5,-38.9,rrr,2.6,2.8,8.6,-0.0267,Southern_California.19990318.stacov.point-2016/02/16-09:27:16 
19990319,1999.2122,-233.0,26.0,-44.2,rrr,2.6,3.0,9.1,0.0055,Southern_California.19990319.stacov.point-2016/02/16-09:27:16 
19990320,1999.215,-238.5,24.8,-47.4,rrr,2.6,3.0,9.0,-0.0181,Southern_California.19990320.stacov.point-2016/02/16-09:27:16 
19990321,1999.2177,-236.6,20.0,-40.2,rrr,2.5,2.8,8.6,-0.0118,Southern_California.19990321.stacov.point-2016/02/16-09:27:17 
19990322,1999.2204,-234.3,21.5,-41.6,rrr,2.5,2.8,8.7,-0.021,Southern_California.19990322.stacov.point-2016/02/16-09:27:17 
19990323,1999.2232,-235.0,27.1,-46.9,rrr,2.5,3.0,9.0,-0.0181,Southern_California.19990323.stacov.point-2016/02/16-09:27:18 
19990324,1999.2259,-235.3,24.9,-48.6,rrr,2.6,2.9,8.9,-0.0629,Southern_California.19990324.stacov.point-2016/02/16-09:27:18 
19990325,1999.2287,-234.7,25.7,-44.1,rrr,2.5,3.0,9.0,-0.0126,Southern_California.19990325.stacov.point-2016/02/16-09:27:18 
19990326,1999.2314,-234.1,21.5,-44.7,rrr,2.5,3.0,9.0,-0.0082,Southern_California.19990326.stacov.point-2016/02/16-09:27:19 
19990327,1999.2341,-231.6,23.9,-41.6,rrr,2.6,3.0,9.0,-0.0293,Southern_California.19990327.stacov.point-2016/02/16-09:27:19 
19990328,1999.2369,-231.4,21.1,-43.7,rrr,3.3,3.9,11.4,0.1051,Southern_California.19990328.stacov.point-2016/02/16-09:27:20 
19990329,1999.2396,-232.9,22.9,-45.9,rrr,2.5,3.0,9.0,-0.0178,Southern_California.19990329.stacov.point-2016/02/16-09:27:20 
19990330,1999.2424,-231.8,24.0,-41.7,rrr,2.6,2.9,8.9,-0.0559,Southern_California.19990330.stacov.point-2016/02/16-09:27:20 
19990331,1999.2451,-235.8,23.2,-39.7,rrr,2.6,3.0,9.2,-0.0141,Southern_California.19990331.stacov.point-2016/02/16-09:27:21 
19990401,1999.2478,-234.3,19.7,-40.9,rrr,2.6,3.0,9.1,-0.0024,Southern_California.19990401.stacov.point-2016/02/16-09:27:21 
19990402,1999.2506,-233.9,22.4,-42.7,rrr,2.6,3.0,9.4,-0.047,Southern_California.19990402.stacov.point-2016/02/16-09:27:22 
19990403,1999.2533,-233.8,23.5,-41.0,rrr,2.6,3.0,9.0,-0.0203,Southern_California.19990403.stacov.point-2016/02/16-09:27:22 
19990404,1999.2559,-231.2,23.4,-43.2,rrr,2.6,3.0,9.0,-0.022,Southern_California.19990404.stacov.point-2016/02/16-09:27:22 
19990405,1999.2587,-232.6,22.9,-47.9,rrr,2.6,3.0,9.0,0.0119,Southern_California.19990405.stacov.point-2016/02/16-09:27:23 
19990406,1999.2614,-235.2,22.2,-53.5,rrr,2.5,3.0,9.0,-0.0187,Southern_California.19990406.stacov.point-2016/02/16-09:27:23 
19990407,1999.2641,-235.3,21.3,-54.7,rrr,2.6,3.0,9.0,-0.0244,Southern_California.19990407.stacov.point-2016/02/16-09:27:24 
19990408,1999.2669,-234.3,20.6,-41.8,rrr,2.5,2.8,8.9,-0.0381,Southern_California.19990408.stacov.point-2016/02/16-09:27:24 
19990409,1999.2696,-235.2,22.3,-43.4,rrr,2.6,3.0,9.1,-0.0362,Southern_California.19990409.stacov.point-2016/02/16-09:27:25 
19990410,1999.2724,-230.3,24.5,-40.1,rrr,2.5,2.8,8.6,-0.021,Southern_California.19990410.stacov.point-2016/02/16-09:27:25 
19990411,1999.2751,-233.6,22.9,-45.9,rrr,2.5,3.0,9.0,-0.0123,Southern_California.19990411.stacov.point-2016/02/16-09:27:25 
19990412,1999.2778,-233.4,23.2,-49.3,rrr,2.4,2.8,8.5,-0.0562,Southern_California.19990412.stacov.point-2016/02/16-09:27:26 
19990413,1999.2806,-229.4,22.8,-38.7,rrr,2.5,3.0,9.0,-0.0143,Southern_California.19990413.stacov.point-2016/02/16-09:27:26 
19990414,1999.2833,-233.7,22.0,-49.8,rrr,2.6,3.0,9.0,-0.0127,Southern_California.19990414.stacov.point-2016/02/16-09:27:27 
19990415,1999.286,-231.6,20.1,-43.1,rrr,2.5,3.0,8.8,-0.0025,Southern_California.19990415.stacov.point-2016/02/16-09:27:27 
19990416,1999.2888,-234.0,21.6,-43.2,rrr,2.6,3.0,9.1,-0.0099,Southern_California.19990416.stacov.point-2016/02/16-09:27:28 
19990417,1999.2915,-232.0,17.5,-38.9,rrr,2.6,3.0,9.0,0.0121,Southern_California.19990417.stacov.point-2016/02/16-09:27:28 
19990418,1999.2943,-231.5,25.9,-49.7,rrr,2.5,3.0,9.0,-0.026,Southern_California.19990418.stacov.point-2016/02/16-09:27:28 
19990419,1999.297,-232.1,24.0,-38.2,rrr,2.5,2.8,8.9,-0.0397,Southern_California.19990419.stacov.point-2016/02/16-09:27:29 
19990420,1999.2997,-234.6,22.5,-41.0,rrr,2.7,2.9,9.1,0.0218,Southern_California.19990420.stacov.point-2016/02/16-09:27:29 
19990421,1999.3025,-232.8,20.6,-36.6,rrr,2.5,2.9,9.0,0.023,Southern_California.19990421.stacov.point-2016/02/16-09:27:30 
19990422,1999.3052,-229.4,21.3,-34.4,rrr,2.6,2.9,9.4,0.007,Southern_California.19990422.stacov.point-2016/02/16-09:27:30 
19990423,1999.3079,-230.6,23.6,-35.9,rrr,2.5,3.0,9.0,-0.0357,Southern_California.19990423.stacov.point-2016/02/16-09:27:31 
19990424,1999.3107,-232.0,20.9,-39.1,rrr,2.6,2.8,8.9,-0.0641,Southern_California.19990424.stacov.point-2016/02/16-09:27:31 
19990425,1999.3134,-231.4,20.2,-51.6,rrr,2.5,3.0,9.0,-0.0344,Southern_California.19990425.stacov.point-2016/02/16-09:27:31 
19990426,1999.3162,-231.0,22.9,-38.0,rrr,2.6,3.0,9.0,-0.028,Southern_California.19990426.stacov.point-2016/02/16-09:27:32 
19990427,1999.3189,-230.0,22.3,-42.9,rrr,2.7,3.0,9.4,-0.0784,Southern_California.19990427.stacov.point-2016/02/16-09:27:32 
19990428,1999.3216,-232.0,21.8,-42.4,rrr,2.6,2.9,9.1,-0.009,Southern_California.19990428.stacov.point-2016/02/16-09:27:33 
19990429,1999.3244,-233.0,21.4,-32.4,rrr,2.6,2.9,8.9,-0.0567,Southern_California.19990429.stacov.point-2016/02/16-09:27:33 
19990430,1999.3271,-231.0,21.8,-38.6,rrr,2.5,3.0,8.8,-0.0011,Southern_California.19990430.stacov.point-2016/02/16-09:27:34 
19990501,1999.3299,-232.2,22.0,-41.5,rrr,2.7,3.0,9.1,-0.0233,Southern_California.19990501.stacov.point-2016/02/16-09:27:34 
19990502,1999.3326,-231.8,21.9,-33.1,rrr,2.6,3.0,8.7,-0.009,Southern_California.19990502.stacov.point-2016/02/16-09:27:34 
19990503,1999.3353,-232.3,26.7,-32.8,rrr,2.6,3.0,9.4,-0.0215,Southern_California.19990503.stacov.point-2016/02/16-09:27:35 
19990504,1999.3381,-233.3,20.3,-34.3,rrr,2.5,3.0,9.0,-0.0071,Southern_California.19990504.stacov.point-2016/02/16-09:27:35 
19990505,1999.3408,-232.6,21.4,-39.5,rrr,2.7,3.0,9.1,-0.0209,Southern_California.19990505.stacov.point-2016/02/16-09:27:36 
19990506,1999.3435,-234.4,20.4,-43.1,rrr,2.6,3.0,9.0,0.0003,Southern_California.19990506.stacov.point-2016/02/16-09:27:36 
19990507,1999.3463,-233.1,23.8,-39.8,rrr,2.6,3.0,9.0,-0.0131,Southern_California.19990507.stacov.point-2016/02/16-09:27:37 
19990508,1999.349,-230.1,18.4,-32.7,rrr,2.6,2.9,9.2,-0.0214,Southern_California.19990508.stacov.point-2016/02/16-09:27:37 
19990509,1999.3518,-227.0,22.8,-30.4,rrr,2.5,3.0,9.0,-0.0267,Southern_California.19990509.stacov.point-2016/02/16-09:27:37 
