DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19991123,1999.894,-301.7,301.2,149.4,rrr,3.0,3.5,11.5,-0.0205,Southern_California.19991123.stacov.point-2016/02/16-09:29:09 
19991124,1999.8967,-300.3,300.5,149.3,rrr,3.1,3.5,11.7,-0.0011,Southern_California.19991124.stacov.point-2016/02/16-09:29:10 
19991125,1999.8995,-301.8,310.1,156.2,rrr,3.0,3.3,11.2,-0.0441,Southern_California.19991125.stacov.point-2016/02/16-09:29:10 
19991126,1999.9022,-300.6,309.3,155.5,rrr,3.0,3.4,11.2,-0.0529,Southern_California.19991126.stacov.point-2016/02/16-09:29:11 
19991127,1999.9049,-304.1,317.2,151.2,rrr,2.9,3.3,11.1,-0.059,Southern_California.19991127.stacov.point-2016/02/16-09:29:12 
19991128,1999.9077,-305.4,318.1,143.6,rrr,2.9,3.4,11.0,-0.0298,Southern_California.19991128.stacov.point-2016/02/16-09:29:12 
19991129,1999.9104,-303.9,318.5,155.5,rrr,3.0,3.4,11.0,-0.034,Southern_California.19991129.stacov.point-2016/02/16-09:29:13 
19991130,1999.9131,-306.3,317.6,152.5,rrr,3.1,3.4,11.5,-0.0401,Southern_California.19991130.stacov.point-2016/02/16-09:29:13 
19991201,1999.9159,-307.1,313.6,154.1,rrr,3.2,3.5,11.8,0.0358,Southern_California.19991201.stacov.point-2016/02/16-09:29:14 
19991202,1999.9186,-306.0,314.3,153.1,rrr,2.8,3.2,10.5,0.023,Southern_California.19991202.stacov.point-2016/02/16-09:29:15 
19991203,1999.9214,-305.8,314.9,149.8,rrr,2.9,3.2,10.8,-0.0547,Southern_California.19991203.stacov.point-2016/02/16-09:29:15 
19991204,1999.9241,-290.6,298.3,155.1,rrr,4.0,4.6,15.1,-0.0114,Southern_California.19991204.stacov.point-2016/02/16-09:29:16 
20000211,2000.113,-294.8,307.1,149.7,rrr,3.1,3.4,11.7,0.0233,Southern_California.20000211.stacov.point-2016/02/16-09:29:57 
20000212,2000.1157,-296.4,307.0,154.4,rrr,3.0,3.3,11.1,-0.0298,Southern_California.20000212.stacov.point-2016/02/16-09:29:57 
20000213,2000.1185,-297.0,305.5,158.0,rrr,2.9,3.2,10.9,-0.0254,Southern_California.20000213.stacov.point-2016/02/16-09:29:58 
20000214,2000.1212,-286.9,310.0,177.6,rrr,3.1,3.6,12.0,-0.0921,Southern_California.20000214.stacov.point-2016/02/16-09:29:59 
20000215,2000.124,-295.2,308.2,155.6,rrr,3.0,3.3,11.4,-0.062,Southern_California.20000215.stacov.point-2016/02/16-09:29:59 
20000216,2000.1267,-296.5,309.4,156.3,rrr,2.9,3.4,11.2,-0.0209,Southern_California.20000216.stacov.point-2016/02/16-09:30:00 
20000217,2000.1294,-298.0,307.5,158.1,rrr,3.0,3.3,11.0,-0.0018,Southern_California.20000217.stacov.point-2016/02/16-09:30:01 
20000218,2000.1322,-296.5,306.8,157.4,rrr,2.8,3.2,10.7,-0.0018,Southern_California.20000218.stacov.point-2016/02/16-09:30:01 
20000219,2000.1349,-295.7,307.4,159.1,rrr,2.8,3.2,10.5,0.0157,Southern_California.20000219.stacov.point-2016/02/16-09:30:02 
20000220,2000.1376,-293.8,307.9,161.7,rrr,3.1,3.5,11.7,0.0076,Southern_California.20000220.stacov.point-2016/02/16-09:30:02 
20000221,2000.1404,-301.1,307.1,174.2,rrr,3.0,3.3,11.0,-0.0584,Southern_California.20000221.stacov.point-2016/02/16-09:30:03 
20000222,2000.1431,-296.3,305.0,149.3,rrr,2.9,3.2,10.9,-0.052,Southern_California.20000222.stacov.point-2016/02/16-09:30:04 
20000223,2000.1459,-298.2,307.1,169.7,rrr,2.9,3.3,11.1,-0.0219,Southern_California.20000223.stacov.point-2016/02/16-09:30:04 
20000224,2000.1486,-296.2,304.0,154.9,rrr,2.9,3.1,10.5,0.0112,Southern_California.20000224.stacov.point-2016/02/16-09:30:05 
20000225,2000.1513,-298.3,304.6,159.9,rrr,3.1,3.4,11.7,0.0026,Southern_California.20000225.stacov.point-2016/02/16-09:30:06 
20000226,2000.1541,-296.9,304.4,160.0,rrr,2.9,3.3,10.8,0.0109,Southern_California.20000226.stacov.point-2016/02/16-09:30:06 
20000227,2000.1568,-296.8,307.2,164.2,rrr,3.0,3.3,11.1,0.0084,Southern_California.20000227.stacov.point-2016/02/16-09:30:07 
20000228,2000.1596,-296.5,302.5,154.8,rrr,2.9,3.3,11.2,0.0418,Southern_California.20000228.stacov.point-2016/02/16-09:30:08 
20000229,2000.1623,-296.5,303.3,148.7,rrr,2.9,3.3,11.2,0.017,Southern_California.20000229.stacov.point-2016/02/16-09:30:08 
20000301,2000.165,-296.5,305.2,161.0,rrr,3.0,3.4,11.3,0.021,Southern_California.20000301.stacov.point-2016/02/16-09:30:09 
20000302,2000.1678,-290.1,295.1,158.2,rrr,2.9,3.3,10.6,0.0257,Southern_California.20000302.stacov.point-2016/02/16-09:30:10 
20000303,2000.1705,-295.4,303.2,158.7,rrr,3.0,3.4,11.5,0.0683,Southern_California.20000303.stacov.point-2016/02/16-09:30:10 
20000304,2000.1732,-295.7,304.2,156.7,rrr,3.1,3.5,11.7,-0.0312,Southern_California.20000304.stacov.point-2016/02/16-09:30:11 
20000305,2000.176,-295.7,302.9,155.8,rrr,3.0,3.4,11.2,-0.0597,Southern_California.20000305.stacov.point-2016/02/16-09:30:11 
20000306,2000.1787,-297.0,301.2,163.3,rrr,3.0,3.3,11.2,-0.0341,Southern_California.20000306.stacov.point-2016/02/16-09:30:12 
20000307,2000.1815,-296.2,301.9,158.1,rrr,3.0,3.4,10.9,-0.0067,Southern_California.20000307.stacov.point-2016/02/16-09:30:13 
20000308,2000.1842,-293.3,303.8,164.4,rrr,3.0,3.5,11.9,-0.0036,Southern_California.20000308.stacov.point-2016/02/16-09:30:13 
20000309,2000.1869,-295.5,302.8,147.0,rrr,3.0,3.4,11.2,-0.0046,Southern_California.20000309.stacov.point-2016/02/16-09:30:14 
20000310,2000.1897,-294.6,301.5,155.0,rrr,3.2,3.4,11.4,0.0077,Southern_California.20000310.stacov.point-2016/02/16-09:30:14 
20000311,2000.1924,-287.4,296.6,144.0,rrr,3.0,3.3,11.3,-0.0178,Southern_California.20000311.stacov.point-2016/02/16-09:30:15 
20000312,2000.1951,-294.6,304.7,151.1,rrr,3.0,3.3,11.2,-0.056,Southern_California.20000312.stacov.point-2016/02/16-09:30:16 
20000313,2000.1979,-294.5,301.7,147.6,rrr,3.0,3.4,11.6,-0.0508,Southern_California.20000313.stacov.point-2016/02/16-09:30:16 
20000314,2000.2006,-292.7,298.8,157.5,rrr,3.1,3.4,11.7,0.0274,Southern_California.20000314.stacov.point-2016/02/16-09:30:17 
20000315,2000.2034,-290.6,300.7,155.8,rrr,3.1,3.4,11.7,0.0042,Southern_California.20000315.stacov.point-2016/02/16-09:30:18 
20000316,2000.2061,-292.0,300.8,158.8,rrr,3.1,3.5,11.8,0.0122,Southern_California.20000316.stacov.point-2016/02/16-09:30:18 
20000317,2000.2088,-295.7,297.4,153.6,rrr,3.1,3.4,11.7,0.0228,Southern_California.20000317.stacov.point-2016/02/16-09:30:19 
20000318,2000.2116,-292.0,298.7,149.0,rrr,3.0,3.5,11.7,-0.0061,Southern_California.20000318.stacov.point-2016/02/16-09:30:19 
20000319,2000.2143,-293.2,299.4,155.3,rrr,2.9,3.4,11.0,0.0017,Southern_California.20000319.stacov.point-2016/02/16-09:30:20 
20000320,2000.217,-294.8,296.7,165.2,rrr,3.1,3.5,11.9,-0.0007,Southern_California.20000320.stacov.point-2016/02/16-09:30:22 
20000321,2000.2198,-291.5,294.2,162.2,rrr,3.1,3.4,11.3,0.0295,Southern_California.20000321.stacov.point-2016/02/16-09:30:22 
20000322,2000.2225,-292.0,297.6,147.2,rrr,3.2,3.4,12.0,-0.0338,Southern_California.20000322.stacov.point-2016/02/16-09:30:23 
20000323,2000.2253,-293.1,296.5,154.0,rrr,3.1,3.5,11.8,0.0199,Southern_California.20000323.stacov.point-2016/02/16-09:30:23 
20000324,2000.228,-291.1,300.4,151.2,rrr,3.0,3.4,11.5,0.0135,Southern_California.20000324.stacov.point-2016/02/16-09:30:24 
20000325,2000.2307,-295.7,301.0,157.4,rrr,3.0,3.4,11.6,-0.0398,Southern_California.20000325.stacov.point-2016/02/16-09:30:25 
20000326,2000.2335,-289.6,297.7,150.3,rrr,3.3,3.6,12.4,-0.0074,Southern_California.20000326.stacov.point-2016/02/16-09:30:25 
20000327,2000.2362,-295.4,296.9,165.6,rrr,3.3,3.4,12.7,0.0473,Southern_California.20000327.stacov.point-2016/02/16-09:30:26 
20000328,2000.239,-295.0,301.8,156.1,rrr,3.1,3.3,11.3,-0.0366,Southern_California.20000328.stacov.point-2016/02/16-09:30:28 
20000329,2000.2417,-292.3,298.9,151.5,rrr,3.1,3.4,11.9,-0.0466,Southern_California.20000329.stacov.point-2016/02/16-09:30:28 
20000330,2000.2444,-292.4,298.4,154.8,rrr,3.0,3.4,11.4,-0.06,Southern_California.20000330.stacov.point-2016/02/16-09:30:29 
20000331,2000.2472,-293.6,297.1,154.1,rrr,3.3,3.5,12.2,0.0002,Southern_California.20000331.stacov.point-2016/02/16-09:30:30 
20000401,2000.2499,-289.4,298.2,157.0,rrr,3.3,3.5,12.4,-0.0035,Southern_California.20000401.stacov.point-2016/02/16-09:30:30 
20000402,2000.2525,-288.4,291.9,160.2,rrr,3.2,3.4,11.8,-0.0121,Southern_California.20000402.stacov.point-2016/02/16-09:30:31 
20000403,2000.2553,-289.6,295.9,153.0,rrr,3.2,3.4,11.9,-0.032,Southern_California.20000403.stacov.point-2016/02/16-09:30:32 
20000404,2000.258,-290.5,297.9,152.9,rrr,3.1,3.3,11.6,-0.0306,Southern_California.20000404.stacov.point-2016/02/16-09:30:32 
20000405,2000.2607,-291.6,298.5,156.1,rrr,3.2,3.5,11.9,-0.0387,Southern_California.20000405.stacov.point-2016/02/16-09:30:33 
20000406,2000.2635,-287.1,302.1,150.8,rrr,3.3,3.4,12.2,-0.0802,Southern_California.20000406.stacov.point-2016/02/16-09:30:33 
20000407,2000.2662,-287.9,301.8,155.8,rrr,3.4,3.5,12.1,-0.0286,Southern_California.20000407.stacov.point-2016/02/16-09:30:34 
20000408,2000.269,-289.5,298.1,156.0,rrr,3.2,3.5,12.2,-0.042,Southern_California.20000408.stacov.point-2016/02/16-09:30:35 
20000409,2000.2717,-293.0,299.2,178.9,rrr,3.1,3.4,11.9,-0.0361,Southern_California.20000409.stacov.point-2016/02/16-09:30:35 
20000410,2000.2744,-293.2,300.1,159.1,rrr,3.0,3.5,11.9,-0.01,Southern_California.20000410.stacov.point-2016/02/16-09:30:36 
