DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19980725,1998.5632,-288.8,299.1,13.2,rrr,2.5,3.0,8.7,-0.0235,Southern_California.19980725.stacov.point-2016/02/16-09:25:53 
19980726,1998.566,-290.3,298.7,11.7,rrr,2.5,2.9,8.6,-0.0746,Southern_California.19980726.stacov.point-2016/02/16-09:25:54 
19980727,1998.5687,-288.9,298.1,8.1,rrr,2.6,3.0,9.1,-0.0635,Southern_California.19980727.stacov.point-2016/02/16-09:25:54 
19980728,1998.5715,-289.1,296.9,15.8,rrr,2.6,3.1,9.1,-0.0689,Southern_California.19980728.stacov.point-2016/02/16-09:25:54 
19980729,1998.5742,-289.8,297.6,12.2,rrr,2.6,3.1,9.1,-0.0516,Southern_California.19980729.stacov.point-2016/02/16-09:25:54 
19980730,1998.5769,-288.4,297.0,17.5,rrr,2.5,3.0,8.7,-0.0314,Southern_California.19980730.stacov.point-2016/02/16-09:25:55 
19980731,1998.5797,-288.0,297.2,12.2,rrr,2.5,3.1,8.9,-0.0459,Southern_California.19980731.stacov.point-2016/02/16-09:25:55 
19980801,1998.5824,-288.0,299.4,15.3,rrr,2.6,3.2,9.1,-0.0561,Southern_California.19980801.stacov.point-2016/02/16-09:25:55 
19980802,1998.5851,-285.1,298.7,12.9,rrr,2.6,3.1,8.9,-0.0415,Southern_California.19980802.stacov.point-2016/02/16-09:25:56 
19980803,1998.5879,-287.0,296.6,19.6,rrr,2.6,3.0,8.9,-0.028,Southern_California.19980803.stacov.point-2016/02/16-09:25:56 
19980804,1998.5906,-288.9,296.3,14.0,rrr,2.5,3.0,9.1,-0.0475,Southern_California.19980804.stacov.point-2016/02/16-09:25:56 
19980805,1998.5934,-288.9,295.3,10.3,rrr,2.5,2.9,8.8,-0.0515,Southern_California.19980805.stacov.point-2016/02/16-09:25:57 
19980806,1998.5961,-287.9,297.0,13.5,rrr,2.5,2.9,8.6,-0.0742,Southern_California.19980806.stacov.point-2016/02/16-09:25:57 
19980807,1998.5988,-287.9,292.9,7.5,rrr,2.5,2.9,8.6,-0.0793,Southern_California.19980807.stacov.point-2016/02/16-09:25:57 
19980808,1998.6016,-287.9,296.0,12.9,rrr,2.5,2.9,8.6,-0.0803,Southern_California.19980808.stacov.point-2016/02/16-09:25:58 
