DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20030722,2003.5544,-211.4,193.8,1.3,rrr,3.4,4.7,16.8,-0.0326,Southern_California.20030722.stacov.point-2016/02/16-09:45:59 
20030723,2003.5572,-211.0,194.1,-6.1,rrr,3.3,4.5,15.9,-0.107,Southern_California.20030723.stacov.point-2016/02/16-09:45:59 
20030724,2003.5599,-211.5,193.8,2.6,rrr,3.2,4.5,15.7,-0.0861,Southern_California.20030724.stacov.point-2016/02/16-09:46:00 
20030725,2003.5627,-210.6,193.8,3.1,rrr,3.3,4.5,16.7,-0.0892,Southern_California.20030725.stacov.point-2016/02/16-09:46:01 
20030726,2003.5654,-213.4,196.0,-7.6,rrr,3.4,4.6,16.4,-0.1169,Southern_California.20030726.stacov.point-2016/02/16-09:46:02 
20030727,2003.5681,-211.6,192.2,-9.5,rrr,3.4,4.6,16.3,-0.0479,Southern_California.20030727.stacov.point-2016/02/16-09:46:03 
20030728,2003.5709,-211.8,194.5,-4.9,rrr,3.5,4.8,16.6,-0.1225,Southern_California.20030728.stacov.point-2016/02/16-09:46:04 
20030729,2003.5736,-211.9,191.3,2.8,rrr,3.3,4.6,16.4,-0.0841,Southern_California.20030729.stacov.point-2016/02/16-09:46:05 
20030730,2003.5763,-214.2,193.3,-6.0,rrr,3.3,4.6,16.4,-0.0921,Southern_California.20030730.stacov.point-2016/02/16-09:46:05 
20030731,2003.5791,-211.0,192.1,-7.9,rrr,3.3,4.5,16.1,-0.1117,Southern_California.20030731.stacov.point-2016/02/16-09:46:06 
20030801,2003.5818,-211.9,189.6,-12.0,rrr,3.5,4.9,17.6,-0.0624,Southern_California.20030801.stacov.point-2016/02/16-09:46:07 
20030802,2003.5846,-210.1,193.9,-5.9,rrr,3.3,4.5,16.7,-0.1093,Southern_California.20030802.stacov.point-2016/02/16-09:46:08 
20030803,2003.5873,-210.1,196.0,-2.0,rrr,3.3,4.4,16.2,-0.1083,Southern_California.20030803.stacov.point-2016/02/16-09:46:09 
20030804,2003.59,-208.6,193.4,-4.1,rrr,3.3,4.6,17.2,-0.0885,Southern_California.20030804.stacov.point-2016/02/16-09:46:10 
20030805,2003.5928,-208.9,195.7,6.0,rrr,3.2,4.5,16.4,-0.1138,Southern_California.20030805.stacov.point-2016/02/16-09:46:10 
20030806,2003.5955,-210.1,196.1,-1.0,rrr,3.2,4.6,16.8,-0.0634,Southern_California.20030806.stacov.point-2016/02/16-09:46:11 
20030807,2003.5983,-209.7,195.2,-14.1,rrr,3.2,4.5,15.8,-0.0866,Southern_California.20030807.stacov.point-2016/02/16-09:46:12 
20030808,2003.601,-211.0,197.9,4.5,rrr,3.3,4.6,16.8,-0.0515,Southern_California.20030808.stacov.point-2016/02/16-09:46:13 
20030809,2003.6037,-212.5,194.1,-1.9,rrr,3.3,4.6,17.7,-0.1107,Southern_California.20030809.stacov.point-2016/02/16-09:46:14 
20030810,2003.6065,-211.7,193.0,7.3,rrr,3.2,4.5,15.9,-0.1264,Southern_California.20030810.stacov.point-2016/02/16-09:46:15 
20030811,2003.6092,-212.2,192.7,-0.1,rrr,3.3,4.5,16.4,-0.1073,Southern_California.20030811.stacov.point-2016/02/16-09:46:15 
20030812,2003.6119,-211.6,192.7,9.1,rrr,3.4,4.7,18.0,-0.0585,Southern_California.20030812.stacov.point-2016/02/16-09:46:16 
20030813,2003.6147,-210.5,192.9,1.7,rrr,3.4,4.5,17.2,-0.1011,Southern_California.20030813.stacov.point-2016/02/16-09:46:17 
20030814,2003.6174,-210.4,192.3,2.1,rrr,3.3,4.7,16.3,-0.0698,Southern_California.20030814.stacov.point-2016/02/16-09:46:18 
20030815,2003.6202,-211.6,191.5,5.0,rrr,3.3,4.4,18.0,-0.0743,Southern_California.20030815.stacov.point-2016/02/16-09:46:19 
20030816,2003.6229,-210.5,193.1,8.7,rrr,3.2,4.5,17.0,-0.0788,Southern_California.20030816.stacov.point-2016/02/16-09:46:20 
20030817,2003.6256,-211.0,192.1,1.6,rrr,3.3,4.7,18.2,-0.06,Southern_California.20030817.stacov.point-2016/02/16-09:46:21 
20030818,2003.6284,-212.7,191.7,5.6,rrr,3.3,4.6,17.7,-0.0672,Southern_California.20030818.stacov.point-2016/02/16-09:46:21 
20030819,2003.6311,-210.6,196.1,10.2,rrr,3.3,4.5,17.7,-0.0831,Southern_California.20030819.stacov.point-2016/02/16-09:46:22 
20030820,2003.6338,-205.2,194.6,-9.6,rrr,3.2,4.6,16.5,-0.0927,Southern_California.20030820.stacov.point-2016/02/16-09:46:23 
20030821,2003.6366,-209.3,195.9,15.6,rrr,3.2,4.5,17.0,-0.0628,Southern_California.20030821.stacov.point-2016/02/16-09:46:24 
20030822,2003.6393,-208.3,196.9,2.0,rrr,3.2,4.3,16.7,-0.0901,Southern_California.20030822.stacov.point-2016/02/16-09:46:25 
20030823,2003.6421,-208.5,196.3,-3.3,rrr,3.3,4.5,17.0,-0.0441,Southern_California.20030823.stacov.point-2016/02/16-09:46:26 
20030824,2003.6448,-211.0,192.0,3.8,rrr,3.2,4.6,16.8,-0.0399,Southern_California.20030824.stacov.point-2016/02/16-09:46:26 
20030825,2003.6475,-211.8,192.3,-7.2,rrr,3.2,4.5,18.5,-0.0436,Southern_California.20030825.stacov.point-2016/02/16-09:46:27 
20030826,2003.6503,-211.3,193.0,1.3,rrr,3.3,4.7,17.3,-0.0284,Southern_California.20030826.stacov.point-2016/02/16-09:46:28 
20030827,2003.653,-212.8,191.7,9.0,rrr,3.2,4.6,16.1,-0.0355,Southern_California.20030827.stacov.point-2016/02/16-09:46:29 
20030828,2003.6557,-211.6,193.8,-6.0,rrr,3.3,4.7,17.3,-0.0064,Southern_California.20030828.stacov.point-2016/02/16-09:46:30 
20030829,2003.6585,-207.2,191.2,5.7,rrr,3.4,4.6,18.8,-0.0112,Southern_California.20030829.stacov.point-2016/02/16-09:46:31 
20030830,2003.6612,-207.7,190.5,10.1,rrr,3.3,4.5,17.6,-0.0253,Southern_California.20030830.stacov.point-2016/02/16-09:46:31 
20030831,2003.664,-208.2,192.3,-3.3,rrr,3.2,4.5,16.8,-0.0392,Southern_California.20030831.stacov.point-2016/02/16-09:46:32 
20030901,2003.6667,-206.3,191.8,-2.3,rrr,3.2,4.4,16.5,-0.0682,Southern_California.20030901.stacov.point-2016/02/16-09:46:33 
20030902,2003.6694,-209.3,191.8,0.1,rrr,3.2,4.4,16.0,-0.0971,Southern_California.20030902.stacov.point-2016/02/16-09:46:34 
20030903,2003.6722,-208.7,192.8,-5.2,rrr,3.3,4.6,17.0,-0.069,Southern_California.20030903.stacov.point-2016/02/16-09:46:35 
20030904,2003.6749,-208.8,191.6,15.3,rrr,3.2,4.5,17.0,-0.0621,Southern_California.20030904.stacov.point-2016/02/16-09:46:36 
20030905,2003.6777,-206.6,193.6,20.4,rrr,3.2,4.4,16.5,-0.0968,Southern_California.20030905.stacov.point-2016/02/16-09:46:36 
20030906,2003.6804,-206.7,189.5,4.1,rrr,3.2,4.5,16.1,-0.0819,Southern_California.20030906.stacov.point-2016/02/16-09:46:37 
20030907,2003.6831,-206.1,191.0,-3.3,rrr,3.1,4.5,15.3,-0.0732,Southern_California.20030907.stacov.point-2016/02/16-09:46:38 
20030908,2003.6859,-206.6,191.2,9.5,rrr,3.3,4.5,15.9,-0.1361,Southern_California.20030908.stacov.point-2016/02/16-09:46:39 
20030909,2003.6886,-206.1,193.1,11.7,rrr,3.3,4.5,17.0,-0.0705,Southern_California.20030909.stacov.point-2016/02/16-09:46:40 
20030910,2003.6913,-206.3,192.7,-2.7,rrr,3.3,4.5,17.7,-0.0815,Southern_California.20030910.stacov.point-2016/02/16-09:46:41 
20030911,2003.6941,-207.4,191.7,3.9,rrr,3.3,4.7,17.3,-0.0401,Southern_California.20030911.stacov.point-2016/02/16-09:46:41 
20030912,2003.6968,-206.1,187.6,11.9,rrr,3.3,4.6,16.8,-0.0638,Southern_California.20030912.stacov.point-2016/02/16-09:46:42 
20030913,2003.6996,-205.6,190.5,5.3,rrr,3.3,4.6,16.8,-0.0707,Southern_California.20030913.stacov.point-2016/02/16-09:46:43 
20030914,2003.7023,-204.7,191.4,7.6,rrr,3.3,4.6,17.0,-0.0938,Southern_California.20030914.stacov.point-2016/02/16-09:46:44 
20030915,2003.705,-205.7,192.0,2.0,rrr,3.3,4.5,15.7,-0.1202,Southern_California.20030915.stacov.point-2016/02/16-09:46:45 
20030916,2003.7078,-204.7,191.5,-3.7,rrr,3.2,4.5,17.7,-0.0636,Southern_California.20030916.stacov.point-2016/02/16-09:46:46 
20030917,2003.7105,-203.5,191.1,0.8,rrr,3.2,4.5,15.7,-0.1236,Southern_California.20030917.stacov.point-2016/02/16-09:46:47 
20030918,2003.7132,-206.6,189.5,15.6,rrr,3.3,4.6,18.1,-0.0311,Southern_California.20030918.stacov.point-2016/02/16-09:46:47 
20030919,2003.716,-206.1,190.0,14.7,rrr,3.3,4.6,18.2,-0.0532,Southern_California.20030919.stacov.point-2016/02/16-09:46:48 
20030920,2003.7187,-206.7,189.1,5.8,rrr,3.3,4.5,16.4,-0.1077,Southern_California.20030920.stacov.point-2016/02/16-09:46:49 
20030921,2003.7215,-208.3,184.9,12.0,rrr,3.2,4.7,17.3,-0.0265,Southern_California.20030921.stacov.point-2016/02/16-09:46:50 
20030922,2003.7242,-207.4,188.4,3.0,rrr,3.2,4.5,17.2,-0.069,Southern_California.20030922.stacov.point-2016/02/16-09:46:51 
20030923,2003.7269,-205.8,186.7,15.5,rrr,3.3,4.8,18.2,-0.0931,Southern_California.20030923.stacov.point-2016/02/16-09:46:52 
20030924,2003.7297,-205.3,193.2,4.7,rrr,3.4,4.9,18.6,-0.0432,Southern_California.20030924.stacov.point-2016/02/16-09:46:52 
20030925,2003.7324,-203.3,191.8,-10.5,rrr,3.3,4.7,17.5,-0.0919,Southern_California.20030925.stacov.point-2016/02/16-09:46:53 
20030926,2003.7351,-206.1,189.7,5.7,rrr,3.3,4.7,17.5,-0.0813,Southern_California.20030926.stacov.point-2016/02/16-09:46:54 
20030927,2003.7379,-205.6,187.6,7.6,rrr,3.3,4.7,17.5,-0.0806,Southern_California.20030927.stacov.point-2016/02/16-09:46:55 
20030928,2003.7406,-203.5,189.1,1.2,rrr,3.3,4.6,16.9,-0.1095,Southern_California.20030928.stacov.point-2016/02/16-09:46:56 
20030929,2003.7434,-202.8,192.3,4.3,rrr,3.4,4.8,18.3,-0.0716,Southern_California.20030929.stacov.point-2016/02/16-09:46:57 
20030930,2003.7461,-202.1,193.1,-7.3,rrr,3.4,4.7,18.4,-0.0564,Southern_California.20030930.stacov.point-2016/02/16-09:46:57 
20031001,2003.7488,-200.4,191.2,4.1,rrr,3.4,4.7,17.9,-0.1054,Southern_California.20031001.stacov.point-2016/02/16-09:46:58 
20031002,2003.7516,-199.2,193.3,-4.6,rrr,3.3,4.5,17.2,-0.0899,Southern_California.20031002.stacov.point-2016/02/16-09:46:59 
20031003,2003.7543,-202.3,191.7,0.5,rrr,3.3,4.6,16.1,-0.0699,Southern_California.20031003.stacov.point-2016/02/16-09:47:00 
