DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19990403,1999.2533,-168.8,154.5,-6.2,rrr,2.5,2.9,8.6,-0.0266,Southern_California.19990403.stacov.point-2016/02/16-09:27:22 
19990404,1999.2559,-167.4,154.2,-2.6,rrr,2.5,2.9,8.6,-0.0321,Southern_California.19990404.stacov.point-2016/02/16-09:27:22 
19990405,1999.2587,-168.3,153.5,-4.6,rrr,2.5,2.9,8.6,-0.0229,Southern_California.19990405.stacov.point-2016/02/16-09:27:23 
19990406,1999.2614,-168.4,154.0,-6.5,rrr,2.5,2.9,8.6,-0.0152,Southern_California.19990406.stacov.point-2016/02/16-09:27:23 
19990407,1999.2641,-167.6,155.8,-9.9,rrr,2.5,2.9,8.6,-0.0244,Southern_California.19990407.stacov.point-2016/02/16-09:27:24 
19990408,1999.2669,-167.6,152.1,-6.9,rrr,2.5,2.9,8.6,-0.0349,Southern_California.19990408.stacov.point-2016/02/16-09:27:24 
19990409,1999.2696,-166.6,151.0,-8.9,rrr,2.5,3.1,9.1,-0.018,Southern_California.19990409.stacov.point-2016/02/16-09:27:25 
19990410,1999.2724,-164.7,156.0,-5.7,rrr,2.5,2.9,8.6,-0.0269,Southern_California.19990410.stacov.point-2016/02/16-09:27:25 
19990411,1999.2751,-168.4,152.7,-3.5,rrr,3.1,3.7,10.9,0.0569,Southern_California.19990411.stacov.point-2016/02/16-09:27:25 
19990412,1999.2778,-169.1,153.7,-14.3,rrr,2.5,2.9,8.6,-0.0239,Southern_California.19990412.stacov.point-2016/02/16-09:27:26 
19990413,1999.2806,-166.1,153.9,-5.4,rrr,2.5,2.9,8.6,-0.0399,Southern_California.19990413.stacov.point-2016/02/16-09:27:26 
19990422,1999.3052,-163.6,152.1,-2.1,rrr,2.4,2.9,8.6,-0.0099,Southern_California.19990422.stacov.point-2016/02/16-09:27:30 
19990423,1999.3079,-164.0,153.1,-5.5,rrr,2.5,2.9,8.6,-0.0219,Southern_California.19990423.stacov.point-2016/02/16-09:27:31 
19990424,1999.3107,-166.1,150.9,-2.5,rrr,2.5,2.9,8.6,-0.0324,Southern_California.19990424.stacov.point-2016/02/16-09:27:31 
19990425,1999.3134,-166.2,149.6,-7.1,rrr,2.5,3.0,8.6,-0.0526,Southern_California.19990425.stacov.point-2016/02/16-09:27:31 
19990426,1999.3162,-164.5,153.4,-3.7,rrr,2.5,2.9,8.6,-0.0224,Southern_California.19990426.stacov.point-2016/02/16-09:27:32 
19990427,1999.3189,-165.1,154.7,0.1,rrr,2.5,3.0,8.6,-0.0396,Southern_California.19990427.stacov.point-2016/02/16-09:27:32 
19990428,1999.3216,-166.3,152.9,-4.2,rrr,2.4,2.9,8.6,-0.0151,Southern_California.19990428.stacov.point-2016/02/16-09:27:33 
19990429,1999.3244,-166.1,152.2,4.6,rrr,2.5,2.9,8.6,-0.0126,Southern_California.19990429.stacov.point-2016/02/16-09:27:33 
19990430,1999.3271,-164.8,151.1,1.8,rrr,2.5,2.9,8.6,-0.0122,Southern_California.19990430.stacov.point-2016/02/16-09:27:34 
19990501,1999.3299,-165.8,151.3,-6.9,rrr,2.5,3.0,8.8,-0.0678,Southern_California.19990501.stacov.point-2016/02/16-09:27:34 
