DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19990806,1999.5954,-215.0,199.6,-13.2,rrr,4.0,4.4,14.5,0.0011,Southern_California.19990806.stacov.point-2016/02/16-09:28:16 
19990807,1999.5982,-214.4,201.1,-8.5,rrr,3.9,4.0,13.9,-0.0359,Southern_California.19990807.stacov.point-2016/02/16-09:28:16 
19990808,1999.6009,-209.5,202.9,-15.7,rrr,3.9,4.2,14.0,-0.0162,Southern_California.19990808.stacov.point-2016/02/16-09:28:17 
19990809,1999.6036,-214.1,204.7,-6.4,rrr,4.1,4.4,14.3,0.0032,Southern_California.19990809.stacov.point-2016/02/16-09:28:17 
19990810,1999.6064,-213.6,205.1,-15.5,rrr,4.0,4.6,15.0,0.0197,Southern_California.19990810.stacov.point-2016/02/16-09:28:17 
19990811,1999.6091,-210.4,204.7,-10.4,rrr,3.9,4.3,14.0,0.0122,Southern_California.19990811.stacov.point-2016/02/16-09:28:18 
19990812,1999.6119,-208.6,204.7,-8.8,rrr,3.8,4.0,13.7,-0.0125,Southern_California.19990812.stacov.point-2016/02/16-09:28:18 
19990813,1999.6146,-209.0,204.5,-11.0,rrr,3.8,4.1,13.7,-0.0211,Southern_California.19990813.stacov.point-2016/02/16-09:28:19 
19990814,1999.6173,-211.5,205.1,-9.6,rrr,3.9,4.2,14.2,-0.0235,Southern_California.19990814.stacov.point-2016/02/16-09:28:19 
19990815,1999.6201,-211.8,204.1,-8.4,rrr,4.1,4.3,14.4,-0.0244,Southern_California.19990815.stacov.point-2016/02/16-09:28:20 
19990816,1999.6228,-208.4,208.4,-11.3,rrr,3.9,4.2,13.8,0.0033,Southern_California.19990816.stacov.point-2016/02/16-09:28:20 
19990817,1999.6255,-207.7,205.6,-5.0,rrr,4.0,4.3,15.0,-0.0312,Southern_California.19990817.stacov.point-2016/02/16-09:28:21 
19990818,1999.6283,-209.5,203.6,-0.3,rrr,4.0,4.2,14.2,-0.0104,Southern_California.19990818.stacov.point-2016/02/16-09:28:21 
19990819,1999.631,-212.0,203.9,-1.9,rrr,3.8,4.1,13.9,0.0067,Southern_California.19990819.stacov.point-2016/02/16-09:28:21 
19990820,1999.6338,-209.0,201.9,-12.5,rrr,4.0,4.2,14.2,-0.0305,Southern_California.19990820.stacov.point-2016/02/16-09:28:22 
19990821,1999.6365,-208.1,203.9,-2.7,rrr,3.8,4.1,13.8,-0.0202,Southern_California.19990821.stacov.point-2016/02/16-09:28:22 
19990822,1999.6392,-208.8,203.5,-11.8,rrr,3.9,4.4,14.7,0.0003,Southern_California.19990822.stacov.point-2016/02/16-09:28:23 
19990823,1999.642,-212.5,200.3,-14.4,rrr,4.2,4.4,15.0,-0.0077,Southern_California.19990823.stacov.point-2016/02/16-09:28:23 
19990824,1999.6447,-204.8,202.7,-4.6,rrr,4.0,4.2,14.4,0.0386,Southern_California.19990824.stacov.point-2016/02/16-09:28:24 
19990825,1999.6474,-207.5,201.7,-5.0,rrr,3.9,4.3,14.0,-0.0074,Southern_California.19990825.stacov.point-2016/02/16-09:28:24 
19990826,1999.6502,-210.5,200.8,4.1,rrr,4.2,4.3,15.3,0.0228,Southern_California.19990826.stacov.point-2016/02/16-09:28:24 
19990827,1999.6529,-214.9,204.0,-9.6,rrr,4.0,4.5,15.1,0.0108,Southern_California.19990827.stacov.point-2016/02/16-09:28:25 
19990828,1999.6557,-209.4,201.2,-5.9,rrr,4.0,4.5,14.7,-0.0227,Southern_California.19990828.stacov.point-2016/02/16-09:28:25 
19990829,1999.6584,-209.4,203.6,-9.1,rrr,4.0,4.4,14.6,-0.0142,Southern_California.19990829.stacov.point-2016/02/16-09:28:26 
19990830,1999.6611,-212.1,200.7,-17.5,rrr,4.2,4.5,14.5,0.0004,Southern_California.19990830.stacov.point-2016/02/16-09:28:26 
19990831,1999.6639,-209.3,201.4,-14.2,rrr,4.1,4.5,14.5,0.0083,Southern_California.19990831.stacov.point-2016/02/16-09:28:27 
19990901,1999.6666,-206.3,202.3,2.3,rrr,4.3,4.6,15.7,-0.0812,Southern_California.19990901.stacov.point-2016/02/16-09:28:27 
19990902,1999.6694,-207.3,206.5,-8.5,rrr,4.0,4.4,14.8,-0.009,Southern_California.19990902.stacov.point-2016/02/16-09:28:28 
19990903,1999.6721,-206.9,203.1,-7.0,rrr,3.9,4.3,14.2,-0.0071,Southern_California.19990903.stacov.point-2016/02/16-09:28:28 
19990904,1999.6748,-204.6,201.5,-8.7,rrr,4.1,4.5,14.5,0.012,Southern_California.19990904.stacov.point-2016/02/16-09:28:28 
19990905,1999.6776,-206.6,204.1,-8.9,rrr,4.0,4.3,14.2,-0.0168,Southern_California.19990905.stacov.point-2016/02/16-09:28:29 
19990906,1999.6803,-208.9,202.4,-8.9,rrr,3.9,4.4,14.0,-0.0264,Southern_California.19990906.stacov.point-2016/02/16-09:28:29 
19990907,1999.683,-206.3,201.7,-5.8,rrr,4.3,4.4,15.1,-0.0304,Southern_California.19990907.stacov.point-2016/02/16-09:28:30 
19990908,1999.6858,-208.6,202.2,-10.8,rrr,4.4,4.6,16.3,0.0123,Southern_California.19990908.stacov.point-2016/02/16-09:28:30 
19990909,1999.6885,-208.8,202.8,-23.8,rrr,4.1,4.3,14.4,0.0086,Southern_California.19990909.stacov.point-2016/02/16-09:28:31 
19990910,1999.6913,-219.1,200.9,-9.5,rrr,4.2,4.4,15.1,-0.0034,Southern_California.19990910.stacov.point-2016/02/16-09:28:31 
19990911,1999.694,-216.0,200.4,-10.7,rrr,4.1,4.3,14.4,-0.0384,Southern_California.19990911.stacov.point-2016/02/16-09:28:32 
19990912,1999.6967,-221.7,195.1,-13.2,rrr,4.0,4.3,14.4,-0.041,Southern_California.19990912.stacov.point-2016/02/16-09:28:32 
19990913,1999.6995,-216.7,206.3,-35.2,rrr,4.1,4.3,14.7,-0.0337,Southern_California.19990913.stacov.point-2016/02/16-09:28:33 
19990914,1999.7022,-212.8,205.7,-17.0,rrr,4.0,4.3,14.2,0.033,Southern_California.19990914.stacov.point-2016/02/16-09:28:33 
19990915,1999.7049,-208.0,201.8,-5.0,rrr,3.9,4.1,14.1,-0.0336,Southern_California.19990915.stacov.point-2016/02/16-09:28:33 
19990916,1999.7077,-206.0,200.7,-8.3,rrr,4.1,4.3,14.1,-0.0257,Southern_California.19990916.stacov.point-2016/02/16-09:28:34 
19990917,1999.7104,-208.0,203.8,-5.3,rrr,4.7,5.1,17.4,0.0219,Southern_California.19990917.stacov.point-2016/02/16-09:28:34 
19991020,1999.8008,-202.2,194.5,-5.9,rrr,4.1,4.5,14.7,0.007,Southern_California.19991020.stacov.point-2016/02/16-09:28:50 
19991021,1999.8035,-201.3,193.5,-7.8,rrr,4.0,4.3,14.3,-0.0097,Southern_California.19991021.stacov.point-2016/02/16-09:28:50 
19991022,1999.8062,-204.3,194.5,-6.1,rrr,4.2,4.4,15.3,-0.0839,Southern_California.19991022.stacov.point-2016/02/16-09:28:51 
19991023,1999.809,-201.9,194.5,-15.5,rrr,4.0,4.3,14.3,0.017,Southern_California.19991023.stacov.point-2016/02/16-09:28:51 
19991024,1999.8117,-204.6,192.5,-7.0,rrr,4.0,4.4,14.5,-0.004,Southern_California.19991024.stacov.point-2016/02/16-09:28:52 
19991025,1999.8145,-200.8,194.3,-17.4,rrr,4.0,4.3,14.7,0.02,Southern_California.19991025.stacov.point-2016/02/16-09:28:53 
19991026,1999.8172,-200.1,196.1,-9.8,rrr,4.0,4.3,14.5,0.0219,Southern_California.19991026.stacov.point-2016/02/16-09:28:53 
19991027,1999.8199,-202.5,192.3,-7.5,rrr,4.0,4.3,14.3,0.0158,Southern_California.19991027.stacov.point-2016/02/16-09:28:54 
