DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20120517,2012.376,-113.1,111.0,21.6,rrr,2.3,2.5,7.6,0.054,Southern_California.20120517.stacov.point-2016/02/16-11:53:25 
20120518,2012.3787,-111.5,111.2,25.1,rrr,2.3,2.7,7.9,0.0883,Southern_California.20120518.stacov.point-2016/02/16-11:53:26 
20120519,2012.3815,-111.4,112.1,15.7,rrr,2.3,2.7,7.9,0.069,Southern_California.20120519.stacov.point-2016/02/16-11:53:27 
20120520,2012.3842,-111.3,110.3,20.4,rrr,2.3,2.7,7.9,0.0737,Southern_California.20120520.stacov.point-2016/02/16-11:53:29 
20120521,2012.3869,-111.1,110.1,20.3,rrr,2.3,2.7,7.9,0.0771,Southern_California.20120521.stacov.point-2016/02/16-11:53:30 
20120522,2012.3897,-111.9,110.7,16.6,rrr,2.4,2.7,8.0,0.062,Southern_California.20120522.stacov.point-2016/02/16-11:53:31 
20120523,2012.3924,-110.4,110.4,28.0,rrr,2.3,2.7,7.9,0.1018,Southern_California.20120523.stacov.point-2016/02/16-11:53:33 
20120524,2012.3952,-111.0,110.3,22.1,rrr,2.3,2.6,7.8,0.0307,Southern_California.20120524.stacov.point-2016/02/16-11:53:34 
20120525,2012.3979,-112.6,109.2,26.4,rrr,2.3,2.7,7.9,0.0631,Southern_California.20120525.stacov.point-2016/02/16-11:53:35 
20120526,2012.4006,-110.2,111.3,22.0,rrr,2.3,2.5,7.6,0.0596,Southern_California.20120526.stacov.point-2016/02/16-11:53:40 
20120527,2012.4034,-110.7,110.9,19.8,rrr,2.3,2.5,7.6,0.075,Southern_California.20120527.stacov.point-2016/02/16-11:53:43 
20120528,2012.4061,-110.9,110.5,20.8,rrr,2.3,2.5,7.6,0.0728,Southern_California.20120528.stacov.point-2016/02/16-11:53:44 
20120529,2012.4088,-111.0,109.4,17.4,rrr,2.2,2.5,7.6,0.0597,Southern_California.20120529.stacov.point-2016/02/16-11:53:45 
20120530,2012.4116,-111.4,109.9,19.4,rrr,2.3,2.5,7.8,0.0195,Southern_California.20120530.stacov.point-2016/02/16-11:53:47 
20120531,2012.4143,-110.4,110.7,18.0,rrr,2.3,2.6,7.9,0.0759,Southern_California.20120531.stacov.point-2016/02/16-11:53:48 
20120601,2012.4171,-110.3,111.5,20.9,rrr,2.3,2.5,7.8,0.03,Southern_California.20120601.stacov.point-2016/02/16-11:53:49 
20120602,2012.4198,-110.1,111.1,19.0,rrr,2.3,2.6,7.9,0.0868,Southern_California.20120602.stacov.point-2016/02/16-11:53:51 
20120603,2012.4225,-111.4,110.1,22.7,rrr,2.3,2.5,7.8,0.0271,Southern_California.20120603.stacov.point-2016/02/16-11:53:52 
20120604,2012.4253,-110.0,110.0,25.2,rrr,2.3,2.5,7.8,0.0227,Southern_California.20120604.stacov.point-2016/02/16-11:53:53 
20120605,2012.428,-110.3,110.4,23.6,rrr,2.4,2.6,8.0,0.0564,Southern_California.20120605.stacov.point-2016/02/16-11:53:54 
20120606,2012.4307,-111.0,109.5,23.7,rrr,2.3,2.6,7.9,0.091,Southern_California.20120606.stacov.point-2016/02/16-11:53:56 
20120607,2012.4335,-110.2,110.4,19.7,rrr,2.4,2.5,7.9,0.0337,Southern_California.20120607.stacov.point-2016/02/16-11:53:57 
20120608,2012.4362,-112.2,109.9,15.4,rrr,2.3,2.5,7.8,0.0312,Southern_California.20120608.stacov.point-2016/02/16-11:53:58 
20120609,2012.439,-112.3,109.5,20.4,rrr,2.3,2.5,7.8,0.0264,Southern_California.20120609.stacov.point-2016/02/16-11:54:00 
20120610,2012.4417,-111.0,108.9,18.1,rrr,2.3,2.5,7.8,0.0201,Southern_California.20120610.stacov.point-2016/02/16-11:54:01 
20120611,2012.4444,-111.7,109.2,17.4,rrr,2.3,2.5,7.8,0.0145,Southern_California.20120611.stacov.point-2016/02/16-11:54:02 
20120612,2012.4472,-111.2,110.0,17.7,rrr,2.3,2.5,7.5,0.0712,Southern_California.20120612.stacov.point-2016/02/16-11:54:04 
20120613,2012.4499,-110.6,110.2,20.1,rrr,2.3,2.5,7.5,0.0643,Southern_California.20120613.stacov.point-2016/02/16-11:54:05 
