DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19980716,1998.5386,-153.9,187.7,6.5,rrr,2.4,2.9,8.2,-0.0063,Southern_California.19980716.stacov.point-2016/02/16-09:25:50 
19980717,1998.5413,-156.4,186.9,4.8,rrr,2.4,2.9,8.2,-0.0024,Southern_California.19980717.stacov.point-2016/02/16-09:25:51 
19980718,1998.5441,-154.1,186.6,6.9,rrr,2.4,2.9,8.4,-0.0377,Southern_California.19980718.stacov.point-2016/02/16-09:25:51 
19980719,1998.5468,-154.2,186.6,4.4,rrr,2.5,2.9,8.6,-0.0159,Southern_California.19980719.stacov.point-2016/02/16-09:25:51 
19980720,1998.5495,-152.5,190.8,-2.2,rrr,2.5,2.9,8.6,-0.009,Southern_California.19980720.stacov.point-2016/02/16-09:25:52 
19980721,1998.5523,-154.0,187.4,-1.9,rrr,2.5,2.9,8.6,-0.0088,Southern_California.19980721.stacov.point-2016/02/16-09:25:52 
19980722,1998.555,-155.7,187.5,-1.4,rrr,2.7,3.0,9.1,-0.0356,Southern_California.19980722.stacov.point-2016/02/16-09:25:52 
19980723,1998.5578,-155.2,189.2,-3.5,rrr,2.6,2.8,8.6,-0.0219,Southern_California.19980723.stacov.point-2016/02/16-09:25:53 
19980724,1998.5605,-154.7,188.7,-1.2,rrr,2.4,2.9,8.2,0.0002,Southern_California.19980724.stacov.point-2016/02/16-09:25:53 
19980725,1998.5632,-154.0,188.0,1.0,rrr,2.4,2.9,8.2,0.0058,Southern_California.19980725.stacov.point-2016/02/16-09:25:53 
19980726,1998.566,-154.3,187.8,-0.3,rrr,2.4,2.9,8.2,0.0079,Southern_California.19980726.stacov.point-2016/02/16-09:25:54 
19980727,1998.5687,-154.2,186.8,-1.8,rrr,2.5,2.8,8.6,-0.0443,Southern_California.19980727.stacov.point-2016/02/16-09:25:54 
19980728,1998.5715,-154.9,186.9,3.7,rrr,2.5,2.9,8.4,-0.0462,Southern_California.19980728.stacov.point-2016/02/16-09:25:54 
19980729,1998.5742,-154.5,187.1,2.3,rrr,2.4,2.9,8.4,-0.0285,Southern_California.19980729.stacov.point-2016/02/16-09:25:54 
19980730,1998.5769,-153.7,186.1,1.0,rrr,2.4,2.9,8.2,0.005,Southern_California.19980730.stacov.point-2016/02/16-09:25:55 
19980731,1998.5797,-152.8,186.8,1.0,rrr,2.5,2.9,8.4,-0.0346,Southern_California.19980731.stacov.point-2016/02/16-09:25:55 
19980801,1998.5824,-152.8,188.0,-2.7,rrr,2.4,2.9,8.4,-0.033,Southern_California.19980801.stacov.point-2016/02/16-09:25:55 
19980802,1998.5851,-152.3,188.8,2.0,rrr,2.4,2.9,8.2,-0.0045,Southern_California.19980802.stacov.point-2016/02/16-09:25:56 
19980803,1998.5879,-152.7,185.9,2.7,rrr,2.4,2.9,8.4,-0.0293,Southern_California.19980803.stacov.point-2016/02/16-09:25:56 
19980804,1998.5906,-153.4,185.7,-1.9,rrr,2.5,2.9,8.6,-0.0283,Southern_California.19980804.stacov.point-2016/02/16-09:25:56 
19980805,1998.5934,-154.2,185.6,0.6,rrr,2.5,2.9,8.6,-0.0263,Southern_California.19980805.stacov.point-2016/02/16-09:25:57 
19980806,1998.5961,-153.4,185.9,-1.3,rrr,2.4,2.9,8.2,-0.0066,Southern_California.19980806.stacov.point-2016/02/16-09:25:57 
19980807,1998.5988,-152.5,182.1,-5.0,rrr,2.4,2.9,8.2,0.007,Southern_California.19980807.stacov.point-2016/02/16-09:25:57 
19980808,1998.6016,-151.6,185.2,3.8,rrr,2.4,2.9,8.2,-0.0155,Southern_California.19980808.stacov.point-2016/02/16-09:25:58 
19980809,1998.6043,-151.3,185.4,0.3,rrr,2.5,2.9,8.6,-0.0318,Southern_California.19980809.stacov.point-2016/02/16-09:25:58 
19980810,1998.607,-151.0,184.4,4.2,rrr,2.5,2.8,8.6,-0.0342,Southern_California.19980810.stacov.point-2016/02/16-09:25:58 
19980811,1998.6098,-151.6,185.1,1.9,rrr,2.4,2.8,8.4,-0.0324,Southern_California.19980811.stacov.point-2016/02/16-09:25:59 
19980812,1998.6125,-150.5,184.3,-6.2,rrr,2.4,2.9,8.4,-0.0165,Southern_California.19980812.stacov.point-2016/02/16-09:25:59 
19980813,1998.6153,-150.5,185.5,-10.7,rrr,2.4,2.9,8.2,-0.008,Southern_California.19980813.stacov.point-2016/02/16-09:25:59 
19980814,1998.618,-153.1,184.9,-4.8,rrr,2.4,2.9,8.4,-0.0308,Southern_California.19980814.stacov.point-2016/02/16-09:26:00 
19980815,1998.6207,-153.4,183.0,-3.6,rrr,2.4,2.9,8.4,-0.022,Southern_California.19980815.stacov.point-2016/02/16-09:26:00 
19980816,1998.6235,-152.7,185.1,-5.4,rrr,2.5,2.8,8.6,-0.029,Southern_California.19980816.stacov.point-2016/02/16-09:26:00 
19980817,1998.6262,-153.1,186.0,-9.0,rrr,2.4,2.9,8.2,-0.0003,Southern_California.19980817.stacov.point-2016/02/16-09:26:01 
19980818,1998.6289,-150.8,188.2,-7.6,rrr,2.4,2.9,8.4,-0.032,Southern_California.19980818.stacov.point-2016/02/16-09:26:01 
19980819,1998.6317,-151.2,184.8,1.6,rrr,2.4,2.9,8.2,-0.0167,Southern_California.19980819.stacov.point-2016/02/16-09:26:01 
