DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19990413,1999.2806,-108.3,97.6,-1.6,rrr,3.0,3.2,10.7,-0.0807,Southern_California.19990413.stacov.point-2016/02/16-09:27:26 
19990414,1999.2833,-112.6,96.0,-7.7,rrr,3.0,3.2,10.7,-0.0897,Southern_California.19990414.stacov.point-2016/02/16-09:27:27 
19990415,1999.286,-109.4,94.6,-1.5,rrr,2.9,3.2,10.3,-0.0689,Southern_California.19990415.stacov.point-2016/02/16-09:27:27 
19990416,1999.2888,-111.2,95.7,1.3,rrr,3.0,3.5,11.1,-0.0767,Southern_California.19990416.stacov.point-2016/02/16-09:27:28 
19990417,1999.2915,-108.9,91.0,2.8,rrr,3.1,3.4,11.0,-0.0516,Southern_California.19990417.stacov.point-2016/02/16-09:27:28 
19990418,1999.2943,-107.9,99.5,-2.3,rrr,2.9,3.2,10.5,-0.1076,Southern_California.19990418.stacov.point-2016/02/16-09:27:28 
19990419,1999.297,-108.9,96.3,0.7,rrr,3.0,3.4,11.0,-0.0387,Southern_California.19990419.stacov.point-2016/02/16-09:27:29 
19990420,1999.2997,-112.0,95.1,-1.8,rrr,3.0,3.3,11.0,-0.0579,Southern_California.19990420.stacov.point-2016/02/16-09:27:29 
19990421,1999.3025,-108.2,92.9,-0.8,rrr,3.0,3.3,11.0,-0.046,Southern_California.19990421.stacov.point-2016/02/16-09:27:30 
19990422,1999.3052,-106.6,94.7,-1.4,rrr,3.1,3.3,11.4,-0.0534,Southern_California.19990422.stacov.point-2016/02/16-09:27:30 
19990423,1999.3079,-106.2,95.1,-0.1,rrr,3.0,3.3,10.6,-0.0866,Southern_California.19990423.stacov.point-2016/02/16-09:27:31 
19990424,1999.3107,-108.9,94.4,0.6,rrr,3.0,3.2,10.7,-0.0786,Southern_California.19990424.stacov.point-2016/02/16-09:27:31 
19990425,1999.3134,-108.1,92.1,-0.8,rrr,3.8,4.3,13.6,-0.0057,Southern_California.19990425.stacov.point-2016/02/16-09:27:31 
19990426,1999.3162,-106.8,96.6,3.5,rrr,3.0,3.2,10.7,-0.076,Southern_California.19990426.stacov.point-2016/02/16-09:27:32 
19990427,1999.3189,-107.5,96.7,7.4,rrr,3.0,3.3,10.6,-0.1021,Southern_California.19990427.stacov.point-2016/02/16-09:27:32 
19990428,1999.3216,-108.2,95.9,4.9,rrr,3.0,3.3,10.9,-0.0912,Southern_California.19990428.stacov.point-2016/02/16-09:27:33 
19990429,1999.3244,-106.9,95.0,10.7,rrr,3.0,3.2,10.7,-0.034,Southern_California.19990429.stacov.point-2016/02/16-09:27:33 
19990430,1999.3271,-107.2,94.6,5.1,rrr,3.0,3.4,11.0,-0.0352,Southern_California.19990430.stacov.point-2016/02/16-09:27:34 
19990501,1999.3299,-108.6,95.1,8.8,rrr,3.0,3.4,11.0,-0.0791,Southern_California.19990501.stacov.point-2016/02/16-09:27:34 
19990502,1999.3326,-107.8,94.3,11.3,rrr,3.0,3.2,10.7,-0.0938,Southern_California.19990502.stacov.point-2016/02/16-09:27:34 
19990503,1999.3353,-110.5,95.2,4.1,rrr,2.9,3.3,10.8,-0.049,Southern_California.19990503.stacov.point-2016/02/16-09:27:35 
19990504,1999.3381,-108.4,92.0,0.5,rrr,3.0,3.4,11.0,-0.0602,Southern_California.19990504.stacov.point-2016/02/16-09:27:35 
19990505,1999.3408,-107.1,93.8,0.7,rrr,3.1,3.5,11.3,-0.0179,Southern_California.19990505.stacov.point-2016/02/16-09:27:36 
19990506,1999.3435,-109.9,93.1,-2.8,rrr,2.9,3.2,10.5,-0.0904,Southern_California.19990506.stacov.point-2016/02/16-09:27:36 
19990507,1999.3463,-107.7,95.3,0.4,rrr,3.0,3.2,10.7,-0.0731,Southern_California.19990507.stacov.point-2016/02/16-09:27:37 
19990508,1999.349,-107.1,91.9,4.2,rrr,3.0,3.2,10.6,-0.1003,Southern_California.19990508.stacov.point-2016/02/16-09:27:37 
19990509,1999.3518,-102.5,94.3,5.1,rrr,3.0,3.4,11.0,-0.0521,Southern_California.19990509.stacov.point-2016/02/16-09:27:37 
19990510,1999.3545,-106.1,93.6,-8.0,rrr,2.9,3.3,11.0,-0.0738,Southern_California.19990510.stacov.point-2016/02/16-09:27:38 
19990511,1999.3572,-106.6,95.0,1.3,rrr,3.0,3.4,10.9,-0.0196,Southern_California.19990511.stacov.point-2016/02/16-09:27:38 
19990512,1999.36,-105.9,93.8,-2.1,rrr,2.9,3.2,10.7,-0.0901,Southern_California.19990512.stacov.point-2016/02/16-09:27:39 
19990513,1999.3627,-105.8,95.3,-3.6,rrr,2.9,3.2,10.7,-0.0579,Southern_California.19990513.stacov.point-2016/02/16-09:27:39 
19990514,1999.3654,-107.3,96.0,-2.9,rrr,3.0,3.3,10.7,-0.092,Southern_California.19990514.stacov.point-2016/02/16-09:27:40 
19990515,1999.3682,-105.4,94.0,-5.2,rrr,3.0,3.4,10.8,-0.0408,Southern_California.19990515.stacov.point-2016/02/16-09:27:40 
19990516,1999.3709,-106.3,93.1,1.2,rrr,2.9,3.2,10.7,-0.0535,Southern_California.19990516.stacov.point-2016/02/16-09:27:40 
19990517,1999.3737,-107.0,91.8,-7.3,rrr,3.0,3.5,11.3,-0.02,Southern_California.19990517.stacov.point-2016/02/16-09:27:41 
19990518,1999.3764,-107.1,92.1,0.2,rrr,2.9,3.3,11.0,-0.0559,Southern_California.19990518.stacov.point-2016/02/16-09:27:41 
