DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20100415,2010.287,-98.0,82.5,-6.2,rrr,2.6,2.9,8.9,0.0914,Southern_California.20100415.stacov.point-2016/02/16-11:35:03 
20100416,2010.2897,-96.2,81.5,-11.4,rrr,2.4,2.6,7.9,0.0524,Southern_California.20100416.stacov.point-2016/02/16-11:35:06 
20100417,2010.2924,-95.7,81.4,-9.6,rrr,2.4,2.6,7.9,0.0285,Southern_California.20100417.stacov.point-2016/02/16-11:35:08 
20100418,2010.2952,-98.4,83.0,-8.6,rrr,2.5,2.7,8.2,0.0524,Southern_California.20100418.stacov.point-2016/02/16-11:35:10 
20100419,2010.2979,-94.3,84.2,-15.5,rrr,2.4,2.6,7.9,0.0472,Southern_California.20100419.stacov.point-2016/02/16-11:35:12 
20100420,2010.3007,-97.7,83.6,-17.4,rrr,2.5,2.7,8.2,0.0426,Southern_California.20100420.stacov.point-2016/02/16-11:35:15 
20100421,2010.3034,-98.1,82.5,-5.4,rrr,2.4,2.7,8.0,0.1101,Southern_California.20100421.stacov.point-2016/02/16-11:35:17 
20100422,2010.3061,-96.3,82.2,-4.8,rrr,2.4,2.6,7.9,0.0338,Southern_California.20100422.stacov.point-2016/02/16-11:35:20 
20100423,2010.3089,-98.6,83.5,3.8,rrr,2.4,2.6,7.7,0.0432,Southern_California.20100423.stacov.point-2016/02/16-11:35:22 
20100424,2010.3116,-94.5,81.5,-6.7,rrr,2.4,2.6,7.9,0.0369,Southern_California.20100424.stacov.point-2016/02/16-11:35:24 
20100425,2010.3143,-94.7,83.8,-7.5,rrr,2.4,2.6,7.9,0.0443,Southern_California.20100425.stacov.point-2016/02/16-11:35:26 
20100426,2010.3171,-96.4,83.0,-5.5,rrr,2.4,2.6,7.9,0.0458,Southern_California.20100426.stacov.point-2016/02/16-11:35:27 
20100427,2010.3198,-97.8,81.9,-13.3,rrr,2.5,2.7,8.2,0.0948,Southern_California.20100427.stacov.point-2016/02/16-11:35:28 
20100428,2010.3226,-97.2,84.2,-3.1,rrr,2.4,2.6,7.9,0.0418,Southern_California.20100428.stacov.point-2016/02/16-11:35:30 
20100429,2010.3253,-98.0,84.0,-2.8,rrr,2.5,2.7,8.2,0.0878,Southern_California.20100429.stacov.point-2016/02/16-11:35:31 
20100430,2010.328,-95.3,81.8,-7.5,rrr,2.4,2.6,7.9,0.0422,Southern_California.20100430.stacov.point-2016/02/16-11:35:32 
20100501,2010.3308,-96.1,83.4,-4.9,rrr,2.4,2.7,8.0,0.1016,Southern_California.20100501.stacov.point-2016/02/16-11:35:33 
