DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20120420,2012.3021,-44.2,40.8,3.4,rrr,2.4,2.6,7.7,-0.0604,Southern_California.20120420.stacov.point-2016/02/16-11:52:33 
20120421,2012.3048,-43.2,39.4,5.2,rrr,2.4,2.5,7.9,-0.0369,Southern_California.20120421.stacov.point-2016/02/16-11:52:35 
20120422,2012.3075,-43.3,40.2,8.9,rrr,2.4,2.6,7.7,-0.0573,Southern_California.20120422.stacov.point-2016/02/16-11:52:36 
20120423,2012.3103,-42.4,40.5,-1.2,rrr,2.4,2.6,7.7,-0.0338,Southern_California.20120423.stacov.point-2016/02/16-11:52:37 
20120424,2012.313,-43.6,39.9,8.7,rrr,2.4,2.7,8.0,0.0249,Southern_California.20120424.stacov.point-2016/02/16-11:52:39 
20120425,2012.3158,-40.9,41.4,6.0,rrr,2.6,2.7,8.4,-0.0075,Southern_California.20120425.stacov.point-2016/02/16-11:52:40 
20120426,2012.3185,-41.0,41.6,6.8,rrr,2.4,2.5,7.9,-0.0338,Southern_California.20120426.stacov.point-2016/02/16-11:52:41 
20120427,2012.3212,-42.6,38.4,8.6,rrr,2.5,2.7,8.2,-0.0241,Southern_California.20120427.stacov.point-2016/02/16-11:52:47 
20120428,2012.324,-44.1,39.9,6.3,rrr,2.4,2.5,7.9,-0.0141,Southern_California.20120428.stacov.point-2016/02/16-11:52:48 
20120429,2012.3267,-43.3,41.5,10.5,rrr,2.5,2.7,8.2,0.0128,Southern_California.20120429.stacov.point-2016/02/16-11:52:51 
20120430,2012.3294,-43.9,41.2,8.9,rrr,2.4,2.5,7.9,-0.0205,Southern_California.20120430.stacov.point-2016/02/16-11:52:53 
20120501,2012.3322,-44.5,38.8,15.9,rrr,2.4,2.7,8.0,0.0333,Southern_California.20120501.stacov.point-2016/02/16-11:52:54 
20120502,2012.3349,-43.4,40.3,8.4,rrr,2.5,2.7,8.2,0.0051,Southern_California.20120502.stacov.point-2016/02/16-11:52:55 
20120503,2012.3377,-44.1,40.9,10.9,rrr,2.4,2.5,7.9,-0.0049,Southern_California.20120503.stacov.point-2016/02/16-11:52:57 
20120504,2012.3404,-44.3,40.0,6.0,rrr,2.3,2.5,7.8,-0.0072,Southern_California.20120504.stacov.point-2016/02/16-11:52:58 
20120505,2012.3431,-42.5,39.6,8.6,rrr,2.4,2.7,8.2,0.008,Southern_California.20120505.stacov.point-2016/02/16-11:52:59 
20120506,2012.3459,-42.9,40.3,7.2,rrr,2.4,2.6,8.0,0.0582,Southern_California.20120506.stacov.point-2016/02/16-11:53:03 
20120507,2012.3486,-42.4,40.7,5.0,rrr,2.4,2.7,8.0,0.0427,Southern_California.20120507.stacov.point-2016/02/16-11:53:04 
20120508,2012.3513,-41.7,40.8,2.5,rrr,2.4,2.5,7.9,-0.0169,Southern_California.20120508.stacov.point-2016/02/16-11:53:05 
20120509,2012.3541,-43.7,38.4,9.6,rrr,2.4,2.7,8.0,0.0265,Southern_California.20120509.stacov.point-2016/02/16-11:53:07 
20120510,2012.3568,-43.0,39.6,7.6,rrr,2.3,2.5,7.8,-0.019,Southern_California.20120510.stacov.point-2016/02/16-11:53:09 
20120511,2012.3596,-43.3,39.1,6.0,rrr,2.3,2.5,7.8,-0.0161,Southern_California.20120511.stacov.point-2016/02/16-11:53:10 
20120512,2012.3623,-43.1,39.7,7.1,rrr,2.3,2.5,7.8,-0.0254,Southern_California.20120512.stacov.point-2016/02/16-11:53:12 
20120513,2012.365,-43.5,39.4,9.1,rrr,2.3,2.5,7.8,-0.0167,Southern_California.20120513.stacov.point-2016/02/16-11:53:16 
20120514,2012.3678,-43.5,38.1,5.0,rrr,2.3,2.5,7.8,-0.0017,Southern_California.20120514.stacov.point-2016/02/16-11:53:18 
20120515,2012.3705,-44.0,39.1,5.0,rrr,2.4,2.5,7.9,-0.0141,Southern_California.20120515.stacov.point-2016/02/16-11:53:20 
20120516,2012.3732,-41.5,39.0,2.9,rrr,2.4,2.7,8.2,-0.0043,Southern_California.20120516.stacov.point-2016/02/16-11:53:23 
20120517,2012.376,-43.6,38.6,14.0,rrr,2.4,2.5,7.9,-0.0429,Southern_California.20120517.stacov.point-2016/02/16-11:53:25 
20120518,2012.3787,-42.7,36.9,8.4,rrr,2.4,2.7,8.2,0.0028,Southern_California.20120518.stacov.point-2016/02/16-11:53:26 
20120519,2012.3815,-42.0,37.7,5.1,rrr,2.4,2.7,8.0,0.0212,Southern_California.20120519.stacov.point-2016/02/16-11:53:27 
20120520,2012.3842,-43.4,37.1,6.2,rrr,2.4,2.7,8.2,0.0005,Southern_California.20120520.stacov.point-2016/02/16-11:53:29 
20120522,2012.3897,-42.4,35.8,-1.1,rrr,2.4,2.7,8.2,-0.0048,Southern_California.20120522.stacov.point-2016/02/16-11:53:31 
20120523,2012.3924,-41.4,38.3,11.0,rrr,2.4,2.7,8.3,0.0142,Southern_California.20120523.stacov.point-2016/02/16-11:53:33 
20120524,2012.3952,-43.2,36.8,3.5,rrr,2.4,2.7,8.2,-0.0106,Southern_California.20120524.stacov.point-2016/02/16-11:53:34 
20120525,2012.3979,-45.0,36.6,17.8,rrr,2.4,2.7,8.0,0.0387,Southern_California.20120525.stacov.point-2016/02/16-11:53:35 
20120526,2012.4006,-43.1,37.6,13.2,rrr,2.3,2.5,7.8,-0.0098,Southern_California.20120526.stacov.point-2016/02/16-11:53:40 
20120527,2012.4034,-42.6,37.4,7.5,rrr,2.3,2.5,7.8,-0.0212,Southern_California.20120527.stacov.point-2016/02/16-11:53:43 
20120528,2012.4061,-42.4,36.7,8.1,rrr,2.3,2.5,7.8,-0.0223,Southern_California.20120528.stacov.point-2016/02/16-11:53:44 
20120529,2012.4088,-41.4,35.4,7.2,rrr,2.3,2.5,7.8,-0.0127,Southern_California.20120529.stacov.point-2016/02/16-11:53:45 
20120530,2012.4116,-42.0,36.0,6.8,rrr,2.4,2.7,8.0,0.026,Southern_California.20120530.stacov.point-2016/02/16-11:53:47 
20120531,2012.4143,-42.6,35.7,7.3,rrr,2.5,2.6,8.2,0.0159,Southern_California.20120531.stacov.point-2016/02/16-11:53:48 
20120601,2012.4171,-42.2,37.1,6.3,rrr,2.5,2.7,8.2,-0.012,Southern_California.20120601.stacov.point-2016/02/16-11:53:49 
20120602,2012.4198,-42.6,37.5,8.9,rrr,2.5,2.7,8.2,-0.0024,Southern_California.20120602.stacov.point-2016/02/16-11:53:51 
20120603,2012.4225,-41.7,37.6,6.7,rrr,2.5,2.7,8.2,0.0093,Southern_California.20120603.stacov.point-2016/02/16-11:53:52 
