DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20140703,2014.5033,-109.0,107.1,49.0,rrr,2.9,3.1,11.2,0.1038,Southern_California.20140703.stacov.point-2016/02/16-12:12:28 
20140704,2014.5061,-109.7,104.3,38.3,rrr,2.8,3.0,10.5,0.1121,Southern_California.20140704.stacov.point-2016/02/16-12:12:29 
20140705,2014.5088,-109.8,106.4,43.4,rrr,2.8,3.0,10.5,0.1131,Southern_California.20140705.stacov.point-2016/02/16-12:12:31 
20140706,2014.5116,-110.0,104.4,48.8,rrr,2.8,3.0,10.9,0.066,Southern_California.20140706.stacov.point-2016/02/16-12:12:32 
20140707,2014.5143,-108.5,105.8,37.7,rrr,2.7,3.0,10.3,0.1433,Southern_California.20140707.stacov.point-2016/02/16-12:12:34 
20140708,2014.517,-110.9,105.4,51.6,rrr,2.7,3.0,10.3,0.145,Southern_California.20140708.stacov.point-2016/02/16-12:12:36 
20140709,2014.5198,-109.2,105.9,38.0,rrr,2.7,2.8,10.1,0.094,Southern_California.20140709.stacov.point-2016/02/16-12:12:37 
20140710,2014.5225,-110.6,106.0,44.1,rrr,2.7,2.8,10.0,0.1353,Southern_California.20140710.stacov.point-2016/02/16-12:12:39 
20140711,2014.5252,-109.8,105.2,41.7,rrr,2.7,2.8,10.0,0.106,Southern_California.20140711.stacov.point-2016/02/16-12:12:40 
20140712,2014.528,-109.3,106.7,38.3,rrr,2.7,2.8,10.0,0.0972,Southern_California.20140712.stacov.point-2016/02/16-12:12:42 
20140713,2014.5307,-110.4,106.0,37.4,rrr,2.7,2.9,10.0,0.1043,Southern_California.20140713.stacov.point-2016/02/16-12:12:43 
20140714,2014.5335,-109.1,104.2,37.0,rrr,2.7,2.8,10.0,0.1007,Southern_California.20140714.stacov.point-2016/02/16-12:12:45 
20140715,2014.5362,-111.0,107.7,47.9,rrr,2.7,2.8,10.4,0.0686,Southern_California.20140715.stacov.point-2016/02/16-12:12:46 
20140716,2014.5389,-109.7,104.9,43.9,rrr,2.8,2.9,10.6,0.091,Southern_California.20140716.stacov.point-2016/02/16-12:12:48 
20140717,2014.5417,-110.9,105.8,42.1,rrr,2.8,2.9,10.5,0.1193,Southern_California.20140717.stacov.point-2016/02/16-12:12:50 
20140718,2014.5444,-109.8,104.6,42.9,rrr,2.7,3.0,10.3,0.128,Southern_California.20140718.stacov.point-2016/02/16-12:12:51 
20140719,2014.5471,-111.1,103.9,42.8,rrr,2.8,3.0,10.5,0.122,Southern_California.20140719.stacov.point-2016/02/16-12:12:53 
20140720,2014.5499,-108.8,105.2,51.5,rrr,2.7,2.8,10.1,0.0982,Southern_California.20140720.stacov.point-2016/02/16-12:12:54 
20140721,2014.5526,-109.1,107.0,45.4,rrr,2.8,3.1,11.0,0.1263,Southern_California.20140721.stacov.point-2016/02/16-12:12:56 
20140722,2014.5554,-108.5,106.0,44.3,rrr,2.8,3.0,10.9,0.0864,Southern_California.20140722.stacov.point-2016/02/16-12:12:58 
20140723,2014.5581,-109.8,104.8,41.6,rrr,2.8,3.1,11.2,0.0726,Southern_California.20140723.stacov.point-2016/02/16-12:12:59 
20140724,2014.5608,-108.0,103.9,42.9,rrr,2.7,2.9,10.5,0.1134,Southern_California.20140724.stacov.point-2016/02/16-12:13:01 
20140725,2014.5636,-108.0,104.2,38.7,rrr,2.7,2.9,10.5,0.1232,Southern_California.20140725.stacov.point-2016/02/16-12:13:02 
20140726,2014.5663,-108.1,105.1,42.7,rrr,2.7,2.9,10.5,0.1227,Southern_California.20140726.stacov.point-2016/02/16-12:13:04 
20140727,2014.5691,-108.4,104.5,39.0,rrr,2.8,2.9,10.6,0.1045,Southern_California.20140727.stacov.point-2016/02/16-12:13:05 
20140728,2014.5718,-109.3,105.5,46.1,rrr,2.8,2.9,10.9,0.0692,Southern_California.20140728.stacov.point-2016/02/16-12:13:07 
20140729,2014.5745,-109.2,106.1,47.7,rrr,2.8,2.9,10.6,0.0914,Southern_California.20140729.stacov.point-2016/02/16-12:13:08 
20140730,2014.5773,-106.6,104.5,37.9,rrr,2.8,2.9,10.5,0.1098,Southern_California.20140730.stacov.point-2016/02/16-12:13:10 
20140731,2014.58,-107.4,104.2,44.2,rrr,2.8,2.9,10.7,0.0815,Southern_California.20140731.stacov.point-2016/02/16-12:13:11 
20140801,2014.5827,-107.9,104.9,47.1,rrr,2.8,2.9,10.7,0.0734,Southern_California.20140801.stacov.point-2016/02/16-12:13:13 
20140802,2014.5855,-106.8,105.1,43.9,rrr,2.9,2.9,10.9,0.0629,Southern_California.20140802.stacov.point-2016/02/16-12:13:15 
20140803,2014.5882,-106.9,104.1,51.4,rrr,2.9,3.1,11.3,0.0694,Southern_California.20140803.stacov.point-2016/02/16-12:13:16 
20140804,2014.591,-105.7,104.9,47.6,rrr,2.9,3.0,11.2,0.1018,Southern_California.20140804.stacov.point-2016/02/16-12:13:18 
20140805,2014.5937,-106.8,104.9,42.7,rrr,2.8,3.0,10.6,0.1052,Southern_California.20140805.stacov.point-2016/02/16-12:13:19 
20140806,2014.5964,-109.0,104.0,46.8,rrr,2.9,3.1,11.2,0.0906,Southern_California.20140806.stacov.point-2016/02/16-12:13:21 
20140807,2014.5992,-106.3,105.6,37.1,rrr,2.9,3.1,11.0,0.1294,Southern_California.20140807.stacov.point-2016/02/16-12:13:22 
20140808,2014.6019,-107.5,104.7,39.6,rrr,2.8,3.2,11.0,0.1052,Southern_California.20140808.stacov.point-2016/02/16-12:13:24 
20140809,2014.6046,-107.6,104.7,34.6,rrr,2.9,2.9,10.8,0.0541,Southern_California.20140809.stacov.point-2016/02/16-12:13:25 
20140810,2014.6074,-105.8,103.9,39.1,rrr,2.9,2.9,10.9,0.07,Southern_California.20140810.stacov.point-2016/02/16-12:13:27 
20140811,2014.6101,-106.6,104.2,40.2,rrr,2.8,3.0,10.9,0.0703,Southern_California.20140811.stacov.point-2016/02/16-12:13:28 
20140812,2014.6129,-108.1,102.2,30.6,rrr,2.8,3.1,11.0,0.1159,Southern_California.20140812.stacov.point-2016/02/16-12:13:30 
20140813,2014.6156,-107.0,103.3,30.4,rrr,2.7,3.0,10.5,0.0999,Southern_California.20140813.stacov.point-2016/02/16-12:13:31 
20140814,2014.6183,-106.2,103.5,30.8,rrr,2.9,2.9,10.9,0.0434,Southern_California.20140814.stacov.point-2016/02/16-12:13:33 
20140815,2014.6211,-107.0,104.6,37.9,rrr,2.8,3.0,10.5,0.1227,Southern_California.20140815.stacov.point-2016/02/16-12:13:35 
20140816,2014.6238,-106.8,102.3,34.1,rrr,2.8,3.0,10.5,0.1193,Southern_California.20140816.stacov.point-2016/02/16-12:13:36 
20140817,2014.6265,-107.1,104.2,33.1,rrr,2.7,3.0,10.5,0.1104,Southern_California.20140817.stacov.point-2016/02/16-12:13:38 
20140818,2014.6293,-107.2,102.5,35.3,rrr,2.9,3.0,11.2,0.104,Southern_California.20140818.stacov.point-2016/02/16-12:13:39 
20140819,2014.632,-107.5,103.6,34.9,rrr,2.8,3.1,11.0,0.1282,Southern_California.20140819.stacov.point-2016/02/16-12:13:41 
20140820,2014.6348,-108.3,104.9,35.7,rrr,2.9,3.0,11.2,0.0993,Southern_California.20140820.stacov.point-2016/02/16-12:13:42 
20140821,2014.6375,-105.3,104.8,44.0,rrr,2.9,3.1,11.3,0.0921,Southern_California.20140821.stacov.point-2016/02/16-12:13:44 
20140822,2014.6402,-106.3,105.7,38.5,rrr,2.9,3.1,11.0,0.1184,Southern_California.20140822.stacov.point-2016/02/16-12:13:45 
20140823,2014.643,-105.6,104.6,38.4,rrr,2.8,3.1,11.0,0.1341,Southern_California.20140823.stacov.point-2016/02/16-12:13:47 
20140824,2014.6457,-105.9,103.7,35.4,rrr,2.8,3.0,10.9,0.0731,Southern_California.20140824.stacov.point-2016/02/16-12:13:48 
20140825,2014.6485,-105.8,103.2,34.0,rrr,2.8,3.0,10.5,0.1235,Southern_California.20140825.stacov.point-2016/02/16-12:13:50 
20140826,2014.6512,-104.0,102.6,36.4,rrr,2.8,3.1,11.0,0.1216,Southern_California.20140826.stacov.point-2016/02/16-12:13:52 
20140827,2014.6539,-105.5,102.9,40.1,rrr,2.9,3.1,11.2,0.09,Southern_California.20140827.stacov.point-2016/02/16-12:13:53 
20140828,2014.6567,-103.0,102.7,34.5,rrr,2.8,3.0,10.9,0.0712,Southern_California.20140828.stacov.point-2016/02/16-12:13:55 
20140829,2014.6594,-105.9,104.1,40.2,rrr,2.8,2.9,10.9,0.0687,Southern_California.20140829.stacov.point-2016/02/16-12:13:56 
20140830,2014.6621,-105.0,104.5,42.4,rrr,2.8,3.0,10.9,0.0593,Southern_California.20140830.stacov.point-2016/02/16-12:13:58 
20140831,2014.6649,-107.2,103.8,45.3,rrr,2.8,3.0,10.8,0.0714,Southern_California.20140831.stacov.point-2016/02/16-12:13:59 
20140901,2014.6676,-104.9,101.7,39.7,rrr,2.8,3.2,11.0,0.1078,Southern_California.20140901.stacov.point-2016/02/16-12:14:01 
20140902,2014.6704,-103.1,102.2,36.9,rrr,2.8,3.0,10.9,0.0462,Southern_California.20140902.stacov.point-2016/02/16-12:14:03 
20140903,2014.6731,-104.1,103.8,37.3,rrr,2.9,3.1,11.2,0.0912,Southern_California.20140903.stacov.point-2016/02/16-12:14:04 
20140904,2014.6758,-103.4,104.0,41.0,rrr,2.9,3.0,10.8,0.0745,Southern_California.20140904.stacov.point-2016/02/16-12:14:06 
20140905,2014.6786,-104.5,104.3,35.1,rrr,2.9,3.1,11.2,0.0801,Southern_California.20140905.stacov.point-2016/02/16-12:14:07 
20140906,2014.6813,-102.7,103.6,36.9,rrr,2.8,3.1,11.0,0.1168,Southern_California.20140906.stacov.point-2016/02/16-12:14:09 
20140907,2014.684,-104.1,103.4,38.9,rrr,2.9,3.1,11.2,0.104,Southern_California.20140907.stacov.point-2016/02/16-12:14:10 
20140908,2014.6868,-100.2,102.4,31.5,rrr,2.9,3.1,11.2,0.0931,Southern_California.20140908.stacov.point-2016/02/16-12:14:12 
20140909,2014.6895,-102.4,104.0,38.8,rrr,3.1,3.2,12.0,0.0488,Southern_California.20140909.stacov.point-2016/02/16-12:14:13 
20140910,2014.6923,-102.5,103.6,40.7,rrr,3.0,3.1,11.3,0.0705,Southern_California.20140910.stacov.point-2016/02/16-12:14:15 
20140911,2014.695,-101.4,102.0,28.2,rrr,2.9,3.1,11.3,0.0722,Southern_California.20140911.stacov.point-2016/02/16-12:14:16 
20140912,2014.6977,-101.9,102.4,34.1,rrr,2.8,3.0,10.9,0.0677,Southern_California.20140912.stacov.point-2016/02/16-12:14:18 
20140913,2014.7005,-104.6,102.8,38.6,rrr,2.8,3.0,10.5,0.1221,Southern_California.20140913.stacov.point-2016/02/16-12:14:20 
20140914,2014.7032,-103.8,102.0,42.5,rrr,2.8,3.0,10.5,0.1163,Southern_California.20140914.stacov.point-2016/02/16-12:14:21 
20140915,2014.7059,-101.5,102.1,40.8,rrr,2.7,3.0,10.5,0.1078,Southern_California.20140915.stacov.point-2016/02/16-12:14:23 
20140916,2014.7087,-101.7,104.1,40.1,rrr,2.8,3.2,11.0,0.1046,Southern_California.20140916.stacov.point-2016/02/16-12:14:24 
20140917,2014.7114,-101.4,103.5,36.1,rrr,2.8,3.0,10.9,0.0606,Southern_California.20140917.stacov.point-2016/02/16-12:14:26 
20140918,2014.7142,-102.6,104.5,38.8,rrr,2.8,3.0,10.9,0.0736,Southern_California.20140918.stacov.point-2016/02/16-12:14:27 
20140919,2014.7169,-102.0,104.4,39.0,rrr,2.9,3.1,11.2,0.084,Southern_California.20140919.stacov.point-2016/02/16-12:14:29 
20140920,2014.7196,-101.3,104.4,37.6,rrr,2.8,3.0,10.6,0.0976,Southern_California.20140920.stacov.point-2016/02/16-12:14:30 
20140921,2014.7224,-103.6,103.4,40.0,rrr,2.9,3.0,10.8,0.0592,Southern_California.20140921.stacov.point-2016/02/16-12:14:32 
20140922,2014.7251,-101.8,103.6,37.4,rrr,2.8,3.0,10.9,0.0407,Southern_California.20140922.stacov.point-2016/02/16-12:14:33 
20140923,2014.7279,-101.9,102.7,40.1,rrr,2.8,3.1,10.5,0.1272,Southern_California.20140923.stacov.point-2016/02/16-12:14:35 
20140924,2014.7306,-102.7,102.0,37.1,rrr,2.8,3.2,11.0,0.1094,Southern_California.20140924.stacov.point-2016/02/16-12:14:36 
20140925,2014.7333,-101.8,103.6,33.5,rrr,2.9,3.1,11.2,0.1055,Southern_California.20140925.stacov.point-2016/02/16-12:14:38 
20140926,2014.7361,-100.8,103.0,33.0,rrr,2.8,3.0,10.8,0.0709,Southern_California.20140926.stacov.point-2016/02/16-12:14:40 
20140927,2014.7388,-103.0,101.6,45.2,rrr,2.8,3.0,10.9,0.0665,Southern_California.20140927.stacov.point-2016/02/16-12:14:41 
20140928,2014.7415,-100.2,102.6,44.5,rrr,2.9,3.1,11.2,0.0891,Southern_California.20140928.stacov.point-2016/02/16-12:14:43 
20140929,2014.7443,-99.6,102.8,42.2,rrr,2.8,3.2,11.4,0.0624,Southern_California.20140929.stacov.point-2016/02/16-12:14:44 
20140930,2014.747,-100.2,104.2,40.1,rrr,2.8,3.2,11.2,0.1057,Southern_California.20140930.stacov.point-2016/02/16-12:14:46 
20141001,2014.7498,-102.2,100.8,43.1,rrr,2.8,3.1,11.0,0.1159,Southern_California.20141001.stacov.point-2016/02/16-12:14:47 
20141002,2014.7525,-100.3,102.3,43.2,rrr,3.0,3.1,11.6,0.0155,Southern_California.20141002.stacov.point-2016/02/16-12:14:49 
20141003,2014.7552,-100.2,103.1,37.1,rrr,2.9,3.1,11.4,0.0517,Southern_California.20141003.stacov.point-2016/02/16-12:14:50 
20141004,2014.758,-99.6,103.1,34.6,rrr,2.9,3.2,11.2,0.098,Southern_California.20141004.stacov.point-2016/02/16-12:14:52 
20141005,2014.7607,-99.9,104.5,37.5,rrr,2.7,3.0,10.5,0.0972,Southern_California.20141005.stacov.point-2016/02/16-12:14:54 
20141006,2014.7634,-99.3,102.8,35.5,rrr,2.8,3.0,10.6,0.0954,Southern_California.20141006.stacov.point-2016/02/16-12:14:55 
20141007,2014.7662,-101.0,100.3,40.3,rrr,2.9,3.4,11.5,0.1262,Southern_California.20141007.stacov.point-2016/02/16-12:14:57 
20141008,2014.7689,-100.1,100.3,42.7,rrr,2.9,3.2,11.3,0.0593,Southern_California.20141008.stacov.point-2016/02/16-12:14:58 
20141009,2014.7717,-100.7,102.7,34.7,rrr,2.8,3.1,11.4,0.0492,Southern_California.20141009.stacov.point-2016/02/16-12:15:00 
20141010,2014.7744,-100.5,102.2,31.7,rrr,2.9,3.2,11.1,0.1041,Southern_California.20141010.stacov.point-2016/02/16-12:15:01 
20141011,2014.7771,-99.6,100.9,33.7,rrr,2.9,3.2,11.3,0.0733,Southern_California.20141011.stacov.point-2016/02/16-12:15:03 
20141012,2014.7799,-100.7,101.5,28.9,rrr,2.8,3.2,11.0,0.1035,Southern_California.20141012.stacov.point-2016/02/16-12:15:04 
20141013,2014.7826,-101.7,100.3,33.6,rrr,2.8,3.2,11.0,0.1134,Southern_California.20141013.stacov.point-2016/02/16-12:15:06 
20141014,2014.7853,-99.9,101.8,36.1,rrr,2.7,3.1,10.5,0.0944,Southern_California.20141014.stacov.point-2016/02/16-12:15:09 
20141015,2014.7881,-100.7,101.6,35.8,rrr,2.7,3.0,10.5,0.0988,Southern_California.20141015.stacov.point-2016/02/16-12:15:11 
20141016,2014.7908,-99.8,102.3,34.8,rrr,2.8,3.1,10.5,0.0983,Southern_California.20141016.stacov.point-2016/02/16-12:15:12 
20141017,2014.7936,-99.4,101.5,38.0,rrr,2.8,3.2,11.0,0.1246,Southern_California.20141017.stacov.point-2016/02/16-12:15:14 
