DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20140702,2014.5006,-52.9,54.3,0.9,rrr,2.4,2.7,8.2,0.0986,Southern_California.20140702.stacov.point-2016/02/16-12:12:26 
20140703,2014.5033,-50.6,56.7,6.2,rrr,2.4,2.8,8.5,0.0585,Southern_California.20140703.stacov.point-2016/02/16-12:12:28 
20140704,2014.5061,-51.4,54.8,-6.4,rrr,2.4,2.7,8.5,0.0714,Southern_California.20140704.stacov.point-2016/02/16-12:12:29 
20140705,2014.5088,-52.7,58.3,-0.1,rrr,2.4,2.8,8.2,0.0919,Southern_California.20140705.stacov.point-2016/02/16-12:12:31 
20140706,2014.5116,-52.8,55.6,-7.0,rrr,2.4,2.7,8.5,0.0663,Southern_California.20140706.stacov.point-2016/02/16-12:12:32 
20140707,2014.5143,-51.7,55.3,-1.1,rrr,2.4,2.7,8.2,0.0927,Southern_California.20140707.stacov.point-2016/02/16-12:12:34 
20140708,2014.517,-52.2,53.8,10.8,rrr,2.5,2.7,8.5,0.0535,Southern_California.20140708.stacov.point-2016/02/16-12:12:36 
20140709,2014.5198,-54.5,54.9,4.9,rrr,2.5,2.8,9.0,0.0856,Southern_California.20140709.stacov.point-2016/02/16-12:12:37 
20140710,2014.5225,-54.1,56.9,2.9,rrr,2.5,2.9,9.2,0.0741,Southern_California.20140710.stacov.point-2016/02/16-12:12:39 
20140711,2014.5252,-51.4,54.7,-4.2,rrr,2.4,2.7,8.5,0.0662,Southern_California.20140711.stacov.point-2016/02/16-12:12:40 
20140712,2014.528,-52.7,55.8,-4.5,rrr,2.4,2.8,8.5,0.0732,Southern_California.20140712.stacov.point-2016/02/16-12:12:42 
20140713,2014.5307,-52.6,54.6,-5.7,rrr,2.5,2.7,8.5,0.0654,Southern_California.20140713.stacov.point-2016/02/16-12:12:43 
20140714,2014.5335,-52.5,54.2,-6.1,rrr,2.4,2.7,8.5,0.0825,Southern_California.20140714.stacov.point-2016/02/16-12:12:45 
20140715,2014.5362,-52.2,55.2,5.8,rrr,2.6,2.7,8.8,0.0505,Southern_California.20140715.stacov.point-2016/02/16-12:12:46 
20140716,2014.5389,-53.4,53.4,-1.9,rrr,2.4,2.7,8.5,0.0727,Southern_California.20140716.stacov.point-2016/02/16-12:12:48 
20140717,2014.5417,-53.7,54.7,6.9,rrr,2.4,2.7,8.5,0.0839,Southern_California.20140717.stacov.point-2016/02/16-12:12:50 
20140718,2014.5444,-53.4,53.9,2.0,rrr,2.5,2.8,8.4,0.0691,Southern_California.20140718.stacov.point-2016/02/16-12:12:51 
20140719,2014.5471,-54.0,53.1,-1.7,rrr,2.4,2.7,8.5,0.0784,Southern_California.20140719.stacov.point-2016/02/16-12:12:53 
20140720,2014.5499,-51.9,55.3,-3.3,rrr,2.4,2.7,8.5,0.0815,Southern_California.20140720.stacov.point-2016/02/16-12:12:54 
20140721,2014.5526,-54.4,54.6,2.8,rrr,2.5,2.7,8.7,0.0505,Southern_California.20140721.stacov.point-2016/02/16-12:12:56 
20140722,2014.5554,-53.1,54.1,-0.2,rrr,2.4,2.7,8.5,0.0753,Southern_California.20140722.stacov.point-2016/02/16-12:12:58 
