DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20020212,2002.1172,-200.5,182.1,-50.1,rrr,4.7,6.0,20.9,-0.0839,Southern_California.20020212.stacov.point-2016/02/16-09:38:44 
20020220,2002.1391,-199.1,179.0,-51.3,rrr,3.4,4.3,14.8,-0.0262,Southern_California.20020220.stacov.point-2016/02/16-09:38:51 
20020221,2002.1418,-199.1,178.7,-2.6,rrr,3.5,4.6,15.2,0.0014,Southern_California.20020221.stacov.point-2016/02/16-09:38:51 
20020222,2002.1445,-198.0,181.1,-12.3,rrr,3.5,4.6,15.4,0.0413,Southern_California.20020222.stacov.point-2016/02/16-09:38:52 
20020223,2002.1473,-199.4,180.5,0.1,rrr,3.5,4.3,14.9,0.0419,Southern_California.20020223.stacov.point-2016/02/16-09:38:53 
20020224,2002.15,-199.5,179.1,-3.8,rrr,3.5,4.5,15.3,-0.0011,Southern_California.20020224.stacov.point-2016/02/16-09:38:54 
20020225,2002.1527,-199.1,180.6,8.2,rrr,4.5,5.9,19.1,-0.0284,Southern_California.20020225.stacov.point-2016/02/16-09:38:55 
20020314,2002.1993,-196.8,177.9,2.8,rrr,3.4,4.2,14.4,-0.0005,Southern_California.20020314.stacov.point-2016/02/16-09:39:08 
20020315,2002.202,-197.3,176.8,-6.2,rrr,3.4,4.3,14.8,-0.0122,Southern_California.20020315.stacov.point-2016/02/16-09:39:09 
20020316,2002.2048,-196.0,178.7,-1.0,rrr,3.4,4.4,14.7,0.0374,Southern_California.20020316.stacov.point-2016/02/16-09:39:10 
20020317,2002.2075,-198.3,178.9,-4.0,rrr,3.4,4.3,14.4,0.0159,Southern_California.20020317.stacov.point-2016/02/16-09:39:11 
20020318,2002.2102,-195.4,176.3,2.0,rrr,3.6,4.6,15.2,-0.0246,Southern_California.20020318.stacov.point-2016/02/16-09:39:12 
20020319,2002.213,-194.3,179.8,1.5,rrr,3.5,4.5,15.0,0.0399,Southern_California.20020319.stacov.point-2016/02/16-09:39:12 
20020320,2002.2157,-193.5,177.2,-2.8,rrr,3.4,4.4,14.9,0.0268,Southern_California.20020320.stacov.point-2016/02/16-09:39:13 
