DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19990314,1999.1985,-252.7,220.3,-57.8,rrr,3.5,4.4,13.9,-0.0886,Southern_California.19990314.stacov.point-2016/02/16-09:27:14 
19990315,1999.2013,-251.8,220.4,-49.5,rrr,3.4,4.5,15.2,-0.1859,Southern_California.19990315.stacov.point-2016/02/16-09:27:14 
19990316,1999.204,-253.4,219.1,-46.4,rrr,5.0,6.4,25.5,-0.1704,Southern_California.19990316.stacov.point-2016/02/16-09:27:15 
19990321,1999.2177,-253.6,214.7,-61.0,rrr,3.6,4.7,14.6,-0.0498,Southern_California.19990321.stacov.point-2016/02/16-09:27:17 
19990322,1999.2204,-252.4,219.3,-59.1,rrr,3.9,5.0,16.4,-0.2622,Southern_California.19990322.stacov.point-2016/02/16-09:27:17 
19990328,1999.2369,-251.5,214.8,-72.4,rrr,3.5,4.5,13.4,-0.1333,Southern_California.19990328.stacov.point-2016/02/16-09:27:20 
19990329,1999.2396,-250.4,219.6,-71.4,rrr,3.9,4.9,17.4,-0.1941,Southern_California.19990329.stacov.point-2016/02/16-09:27:20 
19990402,1999.2506,-250.5,214.0,-68.3,rrr,3.3,4.7,15.7,-0.1351,Southern_California.19990402.stacov.point-2016/02/16-09:27:22 
19990403,1999.2533,-251.6,216.3,-61.8,rrr,3.8,5.2,17.7,-0.1694,Southern_California.19990403.stacov.point-2016/02/16-09:27:22 
19990404,1999.2559,-248.3,218.8,-58.4,rrr,2.9,3.8,12.2,-0.162,Southern_California.19990404.stacov.point-2016/02/16-09:27:22 
19990405,1999.2587,-250.2,217.3,-68.2,rrr,3.8,5.0,16.1,-0.2349,Southern_California.19990405.stacov.point-2016/02/16-09:27:23 
19990407,1999.2641,-251.2,215.5,-70.1,rrr,4.3,6.0,22.8,-0.2108,Southern_California.19990407.stacov.point-2016/02/16-09:27:24 
19990408,1999.2669,-251.6,214.1,-61.9,rrr,4.1,5.2,19.3,-0.0935,Southern_California.19990408.stacov.point-2016/02/16-09:27:24 
