DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20170517,2017.3754,-58.1,38.8,-66.1,rrr,5.7,13.7,40.9,-0.2236,FCTF.20170517.stacov.point-2017/10/27-12:41:36 
20170518,2017.3781,-70.8,48.7,12.2,rrr,6.0,16.4,47.1,-0.2938,FCTF.20170518.stacov.point-2017/10/27-12:41:36 
20170519,2017.3809,-62.6,46.4,-2.4,rrr,6.0,17.5,47.1,-0.1631,FCTF.20170519.stacov.point-2017/10/27-12:41:36 
20170520,2017.3836,-64.1,46.0,9.0,rrr,6.1,15.8,44.0,-0.2011,FCTF.20170520.stacov.point-2017/10/27-12:41:37 
20170521,2017.3864,-64.6,84.1,80.6,rrr,5.9,16.3,45.1,-0.2108,FCTF.20170521.stacov.point-2017/10/27-12:41:37 
20170522,2017.3891,-54.0,74.6,53.7,rrr,5.8,15.5,43.7,-0.1432,FCTF.20170522.stacov.point-2017/10/27-12:41:37 
20170523,2017.3918,-62.7,76.7,71.2,rrr,5.9,15.3,45.3,-0.2735,FCTF.20170523.stacov.point-2017/10/27-12:41:37 
20170524,2017.3946,-62.7,46.0,-40.6,rrr,5.8,16.3,44.7,-0.3022,FCTF.20170524.stacov.point-2017/10/27-12:41:37 
20170525,2017.3973,-66.4,47.5,-6.1,rrr,6.0,15.5,43.7,-0.1573,FCTF.20170525.stacov.point-2017/10/27-12:41:38 
20170526,2017.4,-66.0,84.7,99.0,rrr,5.8,16.1,47.3,-0.0751,FCTF.20170526.stacov.point-2017/10/27-12:41:38 
20170527,2017.4028,-66.7,84.5,81.0,rrr,5.8,16.7,46.7,-0.2532,FCTF.20170527.stacov.point-2017/10/27-12:41:38 
20170528,2017.4055,-58.6,47.5,-15.2,rrr,5.8,15.7,45.6,-0.2693,FCTF.20170528.stacov.point-2017/10/27-12:41:38 
20170529,2017.4083,-59.6,43.1,-16.9,rrr,5.9,17.0,45.1,-0.1265,FCTF.20170529.stacov.point-2017/10/27-12:41:38 
20170530,2017.411,-75.0,45.3,-4.4,rrr,5.7,15.8,43.4,-0.184,FCTF.20170530.stacov.point-2017/10/27-12:41:38 
20170531,2017.4137,-65.3,42.6,-11.2,rrr,6.1,16.3,43.1,-0.1971,FCTF.20170531.stacov.point-2017/10/27-12:41:39 
20170601,2017.4165,-66.6,64.2,27.4,rrr,5.6,15.0,42.1,-0.2487,FCTF.20170601.stacov.point-2017/10/27-12:41:39 
20170602,2017.4192,-63.0,51.4,-48.7,rrr,6.0,15.8,42.7,-0.2918,FCTF.20170602.stacov.point-2017/10/27-12:41:39 
20170603,2017.422,-62.0,27.6,-57.9,rrr,6.2,17.6,47.8,-0.3285,FCTF.20170603.stacov.point-2017/10/27-12:41:39 
