DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20100930,2010.7469,-92.5,70.3,-0.7,rrr,3.3,3.3,11.6,0.16,Southern_California.20100930.stacov.point-2016/02/16-11:38:59 
20101001,2010.7497,-94.4,68.0,-12.1,rrr,3.3,3.3,11.6,0.164,Southern_California.20101001.stacov.point-2016/02/16-11:39:01 
20101002,2010.7524,-98.1,69.8,-0.3,rrr,3.2,3.1,11.1,0.1552,Southern_California.20101002.stacov.point-2016/02/16-11:39:02 
20101003,2010.7551,-93.7,68.3,-5.6,rrr,3.3,3.2,11.6,0.148,Southern_California.20101003.stacov.point-2016/02/16-11:39:03 
20101004,2010.7579,-92.2,68.2,-0.4,rrr,3.3,3.1,11.5,0.1324,Southern_California.20101004.stacov.point-2016/02/16-11:39:05 
20101005,2010.7606,-93.5,68.9,-8.6,rrr,3.2,3.1,11.1,0.1717,Southern_California.20101005.stacov.point-2016/02/16-11:39:06 
20101006,2010.7634,-94.5,70.6,-7.7,rrr,3.3,3.2,11.6,0.1639,Southern_California.20101006.stacov.point-2016/02/16-11:39:07 
20101007,2010.7661,-93.7,69.8,-5.2,rrr,3.3,3.0,11.3,0.1496,Southern_California.20101007.stacov.point-2016/02/16-11:39:09 
20101008,2010.7688,-92.2,70.6,-4.0,rrr,3.2,3.1,11.1,0.1497,Southern_California.20101008.stacov.point-2016/02/16-11:39:10 
20101009,2010.7716,-91.3,68.1,1.4,rrr,3.3,3.1,11.3,0.15,Southern_California.20101009.stacov.point-2016/02/16-11:39:11 
20101010,2010.7743,-92.3,68.7,1.2,rrr,3.3,3.1,11.3,0.1393,Southern_California.20101010.stacov.point-2016/02/16-11:39:13 
20101011,2010.777,-92.9,67.7,-4.2,rrr,3.2,3.0,11.4,0.1412,Southern_California.20101011.stacov.point-2016/02/16-11:39:14 
20101012,2010.7798,-91.7,68.6,3.9,rrr,3.3,3.0,11.3,0.1298,Southern_California.20101012.stacov.point-2016/02/16-11:39:15 
20101013,2010.7825,-94.2,69.3,0.7,rrr,3.3,3.0,11.3,0.1302,Southern_California.20101013.stacov.point-2016/02/16-11:39:17 
20101014,2010.7853,-93.8,69.6,-0.5,rrr,3.3,3.1,11.5,0.1151,Southern_California.20101014.stacov.point-2016/02/16-11:39:18 
20101015,2010.788,-91.8,70.0,-0.6,rrr,3.3,3.1,11.5,0.1055,Southern_California.20101015.stacov.point-2016/02/16-11:39:19 
20101016,2010.7907,-92.9,69.5,-5.2,rrr,3.2,3.1,11.1,0.1442,Southern_California.20101016.stacov.point-2016/02/16-11:39:21 
20101017,2010.7935,-93.0,68.0,0.3,rrr,3.2,3.1,11.1,0.1405,Southern_California.20101017.stacov.point-2016/02/16-11:39:22 
20101018,2010.7962,-91.4,68.8,2.4,rrr,3.2,3.1,11.1,0.1447,Southern_California.20101018.stacov.point-2016/02/16-11:39:23 
20101019,2010.799,-91.7,68.9,-27.4,rrr,3.4,3.0,11.3,0.1349,Southern_California.20101019.stacov.point-2016/02/16-11:39:25 
20101020,2010.8017,-91.1,75.7,-28.9,rrr,3.3,3.0,11.3,0.1339,Southern_California.20101020.stacov.point-2016/02/16-11:39:26 
20101021,2010.8044,-91.8,72.1,-5.2,rrr,3.3,3.1,11.1,0.1706,Southern_California.20101021.stacov.point-2016/02/16-11:39:27 
20101022,2010.8072,-90.9,70.5,-20.2,rrr,3.3,3.1,11.1,0.1525,Southern_California.20101022.stacov.point-2016/02/16-11:39:29 
20101023,2010.8099,-93.5,71.4,-5.0,rrr,3.3,3.1,11.1,0.1573,Southern_California.20101023.stacov.point-2016/02/16-11:39:30 
20101024,2010.8126,-91.8,69.1,-6.5,rrr,3.3,3.1,11.1,0.1476,Southern_California.20101024.stacov.point-2016/02/16-11:39:31 
20101025,2010.8154,-93.7,67.9,-6.6,rrr,3.3,3.1,11.1,0.1589,Southern_California.20101025.stacov.point-2016/02/16-11:39:33 
20101026,2010.8181,-93.6,66.8,6.0,rrr,3.3,3.2,11.1,0.1716,Southern_California.20101026.stacov.point-2016/02/16-11:39:34 
20101027,2010.8209,-91.4,67.1,-6.9,rrr,3.2,2.9,10.8,0.1245,Southern_California.20101027.stacov.point-2016/02/16-11:39:35 
20101028,2010.8236,-91.1,69.0,-9.7,rrr,3.2,2.9,10.8,0.1181,Southern_California.20101028.stacov.point-2016/02/16-11:39:37 
20101029,2010.8263,-91.1,67.6,-3.1,rrr,3.3,2.9,10.8,0.1214,Southern_California.20101029.stacov.point-2016/02/16-11:39:38 
20101030,2010.8291,-92.1,64.5,-9.1,rrr,3.3,3.1,10.9,0.1722,Southern_California.20101030.stacov.point-2016/02/16-11:39:39 
20101031,2010.8318,-92.0,68.4,-13.5,rrr,3.3,3.1,11.1,0.1612,Southern_California.20101031.stacov.point-2016/02/16-11:39:41 
20101101,2010.8345,-91.7,67.6,-8.3,rrr,3.3,3.1,11.1,0.162,Southern_California.20101101.stacov.point-2016/02/16-11:39:42 
20101102,2010.8373,-91.8,67.8,-9.9,rrr,3.3,3.1,10.9,0.1711,Southern_California.20101102.stacov.point-2016/02/16-11:39:43 
20101103,2010.84,-89.8,69.3,-9.7,rrr,3.3,2.9,10.8,0.125,Southern_California.20101103.stacov.point-2016/02/16-11:39:45 
20101104,2010.8428,-90.9,68.2,-6.7,rrr,3.3,3.1,10.9,0.171,Southern_California.20101104.stacov.point-2016/02/16-11:39:46 
20101105,2010.8455,-92.7,67.2,-5.2,rrr,3.3,3.1,10.9,0.18,Southern_California.20101105.stacov.point-2016/02/16-11:39:47 
20101106,2010.8482,-91.5,68.2,-6.9,rrr,3.3,3.1,10.9,0.1767,Southern_California.20101106.stacov.point-2016/02/16-11:39:49 
20101107,2010.8511,-90.3,66.6,-0.1,rrr,3.3,2.9,10.8,0.1264,Southern_California.20101107.stacov.point-2016/02/16-11:39:50 
20101108,2010.8538,-91.5,66.4,-1.4,rrr,3.3,3.1,10.9,0.1807,Southern_California.20101108.stacov.point-2016/02/16-11:39:51 
20101109,2010.8566,-90.7,66.4,-9.7,rrr,3.3,3.1,10.9,0.1679,Southern_California.20101109.stacov.point-2016/02/16-11:39:53 
20101110,2010.8593,-92.1,66.6,-5.7,rrr,3.3,3.1,10.9,0.1713,Southern_California.20101110.stacov.point-2016/02/16-11:39:54 
20101111,2010.862,-90.8,68.7,-3.6,rrr,3.2,3.1,11.0,0.1689,Southern_California.20101111.stacov.point-2016/02/16-11:39:55 
20101112,2010.8648,-89.6,67.4,-6.7,rrr,3.3,3.1,10.9,0.1761,Southern_California.20101112.stacov.point-2016/02/16-11:39:57 
20101113,2010.8675,-89.1,66.9,-7.1,rrr,3.3,3.1,10.9,0.1827,Southern_California.20101113.stacov.point-2016/02/16-11:39:58 
20101114,2010.8703,-84.2,69.7,-6.5,rrr,3.3,3.0,11.3,0.1256,Southern_California.20101114.stacov.point-2016/02/16-11:39:59 
20101115,2010.873,-89.3,70.8,-2.4,rrr,3.3,3.1,11.1,0.1497,Southern_California.20101115.stacov.point-2016/02/16-11:40:01 
20101116,2010.8757,-90.3,67.8,-5.7,rrr,3.3,3.1,10.9,0.1779,Southern_California.20101116.stacov.point-2016/02/16-11:40:02 
20101117,2010.8785,-90.1,66.8,-1.7,rrr,3.3,3.0,11.2,0.1435,Southern_California.20101117.stacov.point-2016/02/16-11:40:03 
