DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20150402,2015.2508,-52.0,34.5,17.0,rrr,2.4,2.5,7.9,0.0226,Southern_California.20150402.stacov.point-2016/02/16-12:24:13 
20150403,2015.2535,-51.9,34.1,18.2,rrr,2.4,2.7,8.0,0.0659,Southern_California.20150403.stacov.point-2016/02/16-12:24:18 
20150404,2015.2563,-52.4,33.9,15.6,rrr,2.4,2.5,7.9,0.0191,Southern_California.20150404.stacov.point-2016/02/16-12:24:22 
20150405,2015.259,-52.7,33.9,21.0,rrr,2.4,2.6,7.9,0.0124,Southern_California.20150405.stacov.point-2016/02/16-12:24:24 
20150406,2015.2617,-52.0,33.2,17.6,rrr,2.3,2.7,8.1,0.0648,Southern_California.20150406.stacov.point-2016/02/16-12:24:32 
20150407,2015.2645,-52.9,32.6,21.0,rrr,2.4,2.7,8.0,0.0753,Southern_California.20150407.stacov.point-2016/02/16-12:24:34 
20150408,2015.2672,-54.1,35.9,16.4,rrr,2.4,2.7,8.0,0.0675,Southern_California.20150408.stacov.point-2016/02/16-12:24:38 
20150409,2015.27,-52.4,31.4,16.5,rrr,2.4,2.5,7.9,0.0175,Southern_California.20150409.stacov.point-2016/02/16-12:24:42 
20150410,2015.2727,-52.3,34.1,18.6,rrr,2.4,2.7,8.2,0.0469,Southern_California.20150410.stacov.point-2016/02/16-12:24:47 
20150411,2015.2754,-52.5,33.7,16.6,rrr,2.4,2.7,8.2,0.0109,Southern_California.20150411.stacov.point-2016/02/16-12:24:50 
20150412,2015.2782,-52.3,33.2,14.5,rrr,2.4,2.5,7.9,0.0218,Southern_California.20150412.stacov.point-2016/02/16-12:24:52 
20150413,2015.2809,-50.8,33.6,18.2,rrr,2.4,2.7,8.2,0.0539,Southern_California.20150413.stacov.point-2016/02/16-12:24:55 
20150414,2015.2836,-51.4,32.5,12.6,rrr,2.4,2.7,8.0,0.0721,Southern_California.20150414.stacov.point-2016/02/16-12:24:57 
20150415,2015.2864,-52.1,33.0,21.0,rrr,2.5,2.7,8.4,0.0482,Southern_California.20150415.stacov.point-2016/02/16-12:25:01 
20150416,2015.2891,-51.0,32.4,19.9,rrr,2.5,2.7,8.4,0.044,Southern_California.20150416.stacov.point-2016/02/16-12:25:04 
20150417,2015.2919,-49.4,32.3,15.8,rrr,2.4,2.7,8.0,0.0813,Southern_California.20150417.stacov.point-2016/02/16-12:25:06 
20150418,2015.2946,-49.0,32.4,13.2,rrr,2.4,2.7,8.2,0.0537,Southern_California.20150418.stacov.point-2016/02/16-12:25:07 
20150419,2015.2973,-50.2,33.0,16.5,rrr,2.5,2.7,8.4,0.0477,Southern_California.20150419.stacov.point-2016/02/16-12:25:09 
20150420,2015.3001,-52.3,32.3,18.4,rrr,2.5,2.7,8.2,0.0677,Southern_California.20150420.stacov.point-2016/02/16-12:25:15 
20150421,2015.3028,-51.5,34.5,18.3,rrr,2.5,2.7,8.2,0.0768,Southern_California.20150421.stacov.point-2016/02/16-12:25:17 
20150422,2015.3055,-49.6,33.0,24.0,rrr,2.5,2.7,8.4,0.0612,Southern_California.20150422.stacov.point-2016/02/16-12:25:20 
20150423,2015.3083,-50.6,34.2,12.8,rrr,2.5,2.7,8.4,0.0599,Southern_California.20150423.stacov.point-2016/02/16-12:25:21 
20150424,2015.311,-50.2,32.7,12.6,rrr,2.4,2.7,8.0,0.09,Southern_California.20150424.stacov.point-2016/02/16-12:25:24 
