DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20061013,2006.7824,-114.8,162.7,-38.3,rrr,2.5,3.1,10.4,-0.0462,Southern_California.20061013.stacov.point-2016/02/16-10:29:39 
20061014,2006.7852,-114.0,164.0,-48.0,rrr,2.5,3.2,10.3,-0.0584,Southern_California.20061014.stacov.point-2016/02/16-10:29:42 
20061015,2006.7879,-113.6,164.9,-47.6,rrr,2.5,3.2,10.0,-0.0407,Southern_California.20061015.stacov.point-2016/02/16-10:29:45 
20061016,2006.7907,-112.4,164.1,-40.4,rrr,2.5,3.1,9.8,-0.0093,Southern_California.20061016.stacov.point-2016/02/16-10:29:46 
20061017,2006.7934,-113.1,160.6,-41.2,rrr,2.6,3.2,10.0,-0.045,Southern_California.20061017.stacov.point-2016/02/16-10:29:49 
20061018,2006.7961,-114.6,163.3,-44.1,rrr,2.6,3.2,10.0,-0.0591,Southern_California.20061018.stacov.point-2016/02/16-10:29:52 
20061019,2006.7989,-114.4,163.0,-49.2,rrr,2.5,3.2,10.0,-0.0699,Southern_California.20061019.stacov.point-2016/02/16-10:29:57 
20061020,2006.8016,-114.1,162.7,-42.3,rrr,2.6,3.1,10.3,-0.0819,Southern_California.20061020.stacov.point-2016/02/16-10:30:03 
20061021,2006.8043,-113.1,164.3,-44.1,rrr,2.4,2.9,9.3,-0.035,Southern_California.20061021.stacov.point-2016/02/16-10:30:05 
20061022,2006.8071,-112.7,162.8,-49.0,rrr,2.5,3.0,9.5,-0.0696,Southern_California.20061022.stacov.point-2016/02/16-10:30:10 
20061023,2006.8098,-113.7,161.6,-48.9,rrr,2.5,3.0,9.5,-0.0904,Southern_California.20061023.stacov.point-2016/02/16-10:30:12 
20061024,2006.8126,-114.0,163.2,-41.6,rrr,2.5,3.2,10.2,-0.0706,Southern_California.20061024.stacov.point-2016/02/16-10:30:14 
20061025,2006.8153,-113.4,161.4,-45.3,rrr,2.6,3.2,10.0,-0.0822,Southern_California.20061025.stacov.point-2016/02/16-10:30:16 
20061026,2006.818,-112.2,161.8,-48.7,rrr,2.6,3.1,10.0,-0.053,Southern_California.20061026.stacov.point-2016/02/16-10:30:22 
20061027,2006.8208,-110.9,162.9,-55.4,rrr,2.5,3.0,9.5,-0.0803,Southern_California.20061027.stacov.point-2016/02/16-10:30:27 
20061028,2006.8235,-111.6,162.1,-55.3,rrr,2.4,3.0,9.3,-0.0429,Southern_California.20061028.stacov.point-2016/02/16-10:30:29 
20061029,2006.8264,-114.4,161.6,-47.1,rrr,2.4,3.0,9.3,-0.0454,Southern_California.20061029.stacov.point-2016/02/16-10:30:31 
20061030,2006.8291,-113.0,162.0,-47.2,rrr,2.4,3.0,9.6,-0.0633,Southern_California.20061030.stacov.point-2016/02/16-10:30:34 
20061031,2006.8318,-112.4,162.5,-52.6,rrr,2.4,3.0,9.5,-0.0709,Southern_California.20061031.stacov.point-2016/02/16-10:30:36 
20061101,2006.8346,-110.7,163.2,-52.2,rrr,2.4,3.0,9.5,-0.0741,Southern_California.20061101.stacov.point-2016/02/16-10:30:40 
20061102,2006.8373,-111.3,163.9,-52.0,rrr,2.4,3.0,9.5,-0.0915,Southern_California.20061102.stacov.point-2016/02/16-10:30:43 
20061103,2006.84,-111.7,165.0,-48.7,rrr,2.4,3.0,9.3,-0.0547,Southern_California.20061103.stacov.point-2016/02/16-10:30:47 
20061104,2006.8428,-112.7,165.9,-45.1,rrr,2.5,3.2,10.0,-0.039,Southern_California.20061104.stacov.point-2016/02/16-10:30:53 
20061105,2006.8455,-111.6,163.5,-45.5,rrr,2.5,3.1,10.0,-0.0272,Southern_California.20061105.stacov.point-2016/02/16-10:30:57 
20061106,2006.8483,-111.7,162.7,-50.6,rrr,2.4,3.0,9.5,-0.0633,Southern_California.20061106.stacov.point-2016/02/16-10:31:01 
20061107,2006.851,-111.8,163.3,-50.7,rrr,2.5,3.0,9.5,-0.0877,Southern_California.20061107.stacov.point-2016/02/16-10:31:04 
20061108,2006.8537,-114.0,161.7,-47.4,rrr,2.5,3.2,10.0,-0.0317,Southern_California.20061108.stacov.point-2016/02/16-10:31:10 
20061109,2006.8565,-113.5,160.3,-42.8,rrr,2.5,3.2,10.3,-0.0842,Southern_California.20061109.stacov.point-2016/02/16-10:31:12 
20061110,2006.8592,-112.0,162.1,-46.1,rrr,2.5,3.0,9.9,-0.0951,Southern_California.20061110.stacov.point-2016/02/16-10:31:18 
20061111,2006.862,-112.8,161.1,-46.2,rrr,2.5,3.2,10.0,-0.0584,Southern_California.20061111.stacov.point-2016/02/16-10:31:21 
20061112,2006.8647,-112.8,158.0,-47.3,rrr,2.6,3.3,10.6,-0.0899,Southern_California.20061112.stacov.point-2016/02/16-10:31:24 
20061113,2006.8674,-111.6,158.5,-51.4,rrr,2.6,3.2,10.0,-0.0331,Southern_California.20061113.stacov.point-2016/02/16-10:31:26 
20061114,2006.8702,-112.5,160.7,-49.8,rrr,2.5,3.1,10.3,-0.0883,Southern_California.20061114.stacov.point-2016/02/16-10:31:28 
20061115,2006.8729,-112.4,160.0,-46.9,rrr,2.5,3.0,9.9,-0.077,Southern_California.20061115.stacov.point-2016/02/16-10:31:29 
20061116,2006.8756,-112.1,162.1,-42.5,rrr,2.5,3.1,9.7,-0.061,Southern_California.20061116.stacov.point-2016/02/16-10:31:35 
20061117,2006.8784,-112.1,160.4,-47.4,rrr,2.4,3.0,9.5,-0.0887,Southern_California.20061117.stacov.point-2016/02/16-10:31:38 
20061118,2006.8811,-110.8,160.6,-49.6,rrr,2.5,3.1,9.9,-0.0898,Southern_California.20061118.stacov.point-2016/02/16-10:31:41 
20061119,2006.8839,-112.0,161.4,-52.6,rrr,2.4,3.0,9.5,-0.0628,Southern_California.20061119.stacov.point-2016/02/16-10:31:45 
20061120,2006.8866,-112.4,158.5,-53.2,rrr,2.4,3.1,9.5,-0.0735,Southern_California.20061120.stacov.point-2016/02/16-10:31:49 
20061121,2006.8893,-113.2,160.3,-50.2,rrr,2.5,3.0,9.5,-0.0849,Southern_California.20061121.stacov.point-2016/02/16-10:31:51 
20061122,2006.8921,-112.0,160.5,-51.2,rrr,2.4,3.1,9.5,-0.0902,Southern_California.20061122.stacov.point-2016/02/16-10:31:53 
20061123,2006.8948,-113.4,159.2,-47.8,rrr,2.6,3.2,10.6,-0.1087,Southern_California.20061123.stacov.point-2016/02/16-10:31:58 
20061124,2006.8975,-111.9,160.2,-45.3,rrr,2.6,3.2,10.5,-0.1253,Southern_California.20061124.stacov.point-2016/02/16-10:32:04 
20061125,2006.9003,-110.1,161.8,-50.9,rrr,2.4,3.0,9.3,-0.0263,Southern_California.20061125.stacov.point-2016/02/16-10:32:08 
20061126,2006.903,-111.3,160.8,-42.5,rrr,2.4,3.1,9.5,-0.0504,Southern_California.20061126.stacov.point-2016/02/16-10:32:11 
20061127,2006.9058,-108.3,161.1,-44.3,rrr,2.6,3.2,10.0,-0.0402,Southern_California.20061127.stacov.point-2016/02/16-10:32:12 
20061128,2006.9085,-111.6,159.5,-45.8,rrr,2.5,3.1,10.3,-0.0615,Southern_California.20061128.stacov.point-2016/02/16-10:32:18 
20061129,2006.9112,-109.2,160.6,-49.4,rrr,2.4,3.0,9.3,-0.0308,Southern_California.20061129.stacov.point-2016/02/16-10:32:21 
20061130,2006.914,-109.2,161.3,-49.6,rrr,2.4,3.0,9.6,-0.0526,Southern_California.20061130.stacov.point-2016/02/16-10:32:24 
20061201,2006.9167,-109.3,161.1,-45.7,rrr,2.5,3.1,9.9,-0.096,Southern_California.20061201.stacov.point-2016/02/16-10:32:26 
20061202,2006.9194,-111.0,159.4,-50.7,rrr,2.5,3.1,9.9,-0.0855,Southern_California.20061202.stacov.point-2016/02/16-10:32:29 
20061203,2006.9222,-109.8,160.1,-48.5,rrr,2.5,3.1,9.9,-0.0918,Southern_California.20061203.stacov.point-2016/02/16-10:32:31 
20061205,2006.9277,-111.6,158.7,-49.4,rrr,2.5,3.0,9.9,-0.073,Southern_California.20061205.stacov.point-2016/02/16-10:32:33 
20061206,2006.9304,-110.3,160.2,-54.3,rrr,2.5,3.2,10.3,-0.0438,Southern_California.20061206.stacov.point-2016/02/16-10:32:35 
20061207,2006.9331,-112.4,158.6,-50.1,rrr,2.5,3.1,9.8,-0.1348,Southern_California.20061207.stacov.point-2016/02/16-10:32:37 
20061208,2006.9359,-112.1,159.4,-51.0,rrr,2.5,3.1,9.7,-0.0737,Southern_California.20061208.stacov.point-2016/02/16-10:32:40 
20061209,2006.9386,-112.1,158.2,-45.3,rrr,2.4,3.0,9.3,-0.0229,Southern_California.20061209.stacov.point-2016/02/16-10:32:42 
20061210,2006.9414,-111.2,159.0,-40.2,rrr,2.5,3.1,9.9,-0.072,Southern_California.20061210.stacov.point-2016/02/16-10:32:44 
20061211,2006.9441,-111.4,158.2,-47.7,rrr,2.5,3.1,9.7,-0.0651,Southern_California.20061211.stacov.point-2016/02/16-10:32:45 
20061212,2006.9468,-111.2,159.7,-49.6,rrr,2.4,3.0,9.5,-0.0662,Southern_California.20061212.stacov.point-2016/02/16-10:32:49 
20061213,2006.9496,-110.7,159.4,-50.6,rrr,2.4,3.1,9.5,-0.0679,Southern_California.20061213.stacov.point-2016/02/16-10:32:51 
20061214,2006.9523,-110.2,158.4,-48.2,rrr,2.4,3.0,9.5,-0.0318,Southern_California.20061214.stacov.point-2016/02/16-10:32:54 
20061215,2006.955,-109.8,157.3,-47.6,rrr,2.5,3.1,9.9,-0.0593,Southern_California.20061215.stacov.point-2016/02/16-10:32:58 
20061216,2006.9578,-110.4,157.3,-41.9,rrr,2.4,2.9,9.3,-0.0131,Southern_California.20061216.stacov.point-2016/02/16-10:33:00 
20061217,2006.9605,-108.6,160.2,-45.6,rrr,2.5,3.3,10.0,-0.048,Southern_California.20061217.stacov.point-2016/02/16-10:33:02 
20061218,2006.9633,-108.3,158.5,-52.1,rrr,2.4,3.0,9.6,-0.0495,Southern_California.20061218.stacov.point-2016/02/16-10:33:04 
20061219,2006.966,-108.3,159.7,-53.0,rrr,2.4,3.1,9.3,-0.0457,Southern_California.20061219.stacov.point-2016/02/16-10:33:07 
20061220,2006.9687,-109.2,160.9,-42.2,rrr,2.4,3.1,9.9,-0.0661,Southern_California.20061220.stacov.point-2016/02/16-10:33:10 
20061221,2006.9715,-109.6,160.6,-47.1,rrr,2.4,3.1,9.5,-0.0598,Southern_California.20061221.stacov.point-2016/02/16-10:33:15 
20061222,2006.9742,-108.4,159.5,-45.1,rrr,2.4,3.1,9.7,-0.0113,Southern_California.20061222.stacov.point-2016/02/16-10:33:17 
20061223,2006.9769,-110.2,158.7,-56.8,rrr,2.4,3.1,9.5,-0.0703,Southern_California.20061223.stacov.point-2016/02/16-10:33:19 
20061224,2006.9797,-109.7,159.7,-48.5,rrr,2.4,3.0,9.3,-0.0093,Southern_California.20061224.stacov.point-2016/02/16-10:33:22 
20061225,2006.9824,-109.8,157.4,-55.5,rrr,2.4,3.0,9.6,-0.0632,Southern_California.20061225.stacov.point-2016/02/16-10:33:27 
