DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19980815,1998.6207,-324.7,282.0,15.9,rrr,2.4,2.9,8.2,-0.0034,Southern_California.19980815.stacov.point-2016/02/16-09:26:00 
19980816,1998.6235,-323.6,282.6,2.5,rrr,2.5,2.9,8.4,-0.031,Southern_California.19980816.stacov.point-2016/02/16-09:26:00 
19980817,1998.6262,-323.6,282.2,-1.3,rrr,2.4,2.7,8.1,-0.0516,Southern_California.19980817.stacov.point-2016/02/16-09:26:01 
19980818,1998.6289,-321.6,283.5,-0.4,rrr,2.4,2.9,8.2,0.0026,Southern_California.19980818.stacov.point-2016/02/16-09:26:01 
19980819,1998.6317,-321.5,281.4,10.0,rrr,2.4,2.9,8.2,-0.0066,Southern_California.19980819.stacov.point-2016/02/16-09:26:01 
19980820,1998.6344,-320.0,282.2,5.5,rrr,2.4,2.8,8.1,-0.0387,Southern_California.19980820.stacov.point-2016/02/16-09:26:02 
19980821,1998.6372,-321.3,280.3,9.1,rrr,2.4,2.9,8.2,-0.0046,Southern_California.19980821.stacov.point-2016/02/16-09:26:02 
19980822,1998.6399,-322.1,282.6,4.9,rrr,2.4,3.0,8.4,-0.026,Southern_California.19980822.stacov.point-2016/02/16-09:26:02 
19980824,1998.6454,-322.0,282.1,5.5,rrr,2.4,2.9,8.2,-0.009,Southern_California.19980824.stacov.point-2016/02/16-09:26:03 
19980825,1998.6481,-322.3,284.4,13.4,rrr,3.1,3.7,10.7,0.0481,Southern_California.19980825.stacov.point-2016/02/16-09:26:03 
19980928,1998.7412,-319.7,276.8,6.2,rrr,2.4,2.8,8.1,-0.0595,Southern_California.19980928.stacov.point-2016/02/16-09:26:14 
19981001,1998.7494,-318.6,277.7,6.3,rrr,2.4,2.9,8.2,-0.0027,Southern_California.19981001.stacov.point-2016/02/16-09:26:15 
19981002,1998.7522,-317.2,277.1,8.0,rrr,2.4,2.9,8.2,-0.0059,Southern_California.19981002.stacov.point-2016/02/16-09:26:16 
19981003,1998.7549,-318.1,277.3,0.4,rrr,2.4,2.9,8.2,-0.0046,Southern_California.19981003.stacov.point-2016/02/16-09:26:16 
19981004,1998.7576,-319.1,277.2,14.8,rrr,2.5,2.9,8.6,-0.0388,Southern_California.19981004.stacov.point-2016/02/16-09:26:16 
19981005,1998.7604,-319.3,277.1,14.6,rrr,2.5,3.0,8.6,-0.0153,Southern_California.19981005.stacov.point-2016/02/16-09:26:17 
19981006,1998.7631,-317.0,279.4,12.4,rrr,2.4,2.9,8.2,-0.0045,Southern_California.19981006.stacov.point-2016/02/16-09:26:17 
19981007,1998.7658,-321.8,273.5,11.0,rrr,2.5,3.0,8.4,-0.0495,Southern_California.19981007.stacov.point-2016/02/16-09:26:17 
19981008,1998.7686,-317.9,274.5,5.7,rrr,2.4,2.8,8.1,-0.0477,Southern_California.19981008.stacov.point-2016/02/16-09:26:18 
19981009,1998.7713,-317.5,276.0,9.6,rrr,2.4,2.8,8.1,-0.0441,Southern_California.19981009.stacov.point-2016/02/16-09:26:18 
19981010,1998.7741,-318.1,275.8,4.2,rrr,2.4,2.8,8.1,-0.0328,Southern_California.19981010.stacov.point-2016/02/16-09:26:18 
19981011,1998.7768,-317.1,277.2,8.5,rrr,2.4,2.8,8.1,-0.0405,Southern_California.19981011.stacov.point-2016/02/16-09:26:19 
19981012,1998.7795,-318.9,276.1,11.4,rrr,2.5,2.9,8.4,-0.016,Southern_California.19981012.stacov.point-2016/02/16-09:26:19 
19981013,1998.7823,-318.5,273.9,9.5,rrr,2.6,3.0,8.6,-0.0217,Southern_California.19981013.stacov.point-2016/02/16-09:26:19 
19981014,1998.785,-318.3,278.4,6.8,rrr,2.4,2.8,8.1,-0.0378,Southern_California.19981014.stacov.point-2016/02/16-09:26:20 
19981015,1998.7877,-319.7,277.6,11.7,rrr,2.5,2.9,8.4,-0.0101,Southern_California.19981015.stacov.point-2016/02/16-09:26:20 
19981016,1998.7905,-318.5,278.2,11.3,rrr,2.4,2.8,8.1,-0.0275,Southern_California.19981016.stacov.point-2016/02/16-09:26:20 
19981017,1998.7932,-319.9,277.1,2.9,rrr,2.4,2.9,8.2,-0.009,Southern_California.19981017.stacov.point-2016/02/16-09:26:21 
19981018,1998.796,-318.8,278.5,4.7,rrr,2.4,3.0,8.4,-0.0225,Southern_California.19981018.stacov.point-2016/02/16-09:26:21 
19981019,1998.7987,-316.9,273.0,4.8,rrr,2.4,2.9,8.2,0.0085,Southern_California.19981019.stacov.point-2016/02/16-09:26:21 
19981020,1998.8014,-319.9,274.9,5.6,rrr,2.4,2.8,8.1,-0.0358,Southern_California.19981020.stacov.point-2016/02/16-09:26:22 
19981021,1998.8042,-320.0,275.4,5.0,rrr,2.5,2.9,8.4,-0.0024,Southern_California.19981021.stacov.point-2016/02/16-09:26:22 
19981022,1998.8069,-318.0,277.6,5.0,rrr,2.4,2.8,8.1,-0.0379,Southern_California.19981022.stacov.point-2016/02/16-09:26:22 
19981023,1998.8096,-319.9,276.0,12.3,rrr,2.4,2.9,8.4,-0.0255,Southern_California.19981023.stacov.point-2016/02/16-09:26:23 
19981024,1998.8124,-319.1,274.4,7.4,rrr,2.5,3.0,8.6,-0.0368,Southern_California.19981024.stacov.point-2016/02/16-09:26:23 
19981025,1998.8152,-322.5,275.5,12.2,rrr,2.5,3.0,8.8,-0.0702,Southern_California.19981025.stacov.point-2016/02/16-09:26:23 
19981026,1998.818,-320.1,276.2,4.9,rrr,2.5,3.0,8.4,-0.0224,Southern_California.19981026.stacov.point-2016/02/16-09:26:23 
19981027,1998.8207,-321.2,276.5,5.2,rrr,2.4,2.8,8.1,-0.03,Southern_California.19981027.stacov.point-2016/02/16-09:26:24 
19981028,1998.8235,-319.3,275.4,13.7,rrr,2.4,2.8,8.1,-0.0541,Southern_California.19981028.stacov.point-2016/02/16-09:26:24 
19981029,1998.8262,-319.8,274.6,13.6,rrr,2.4,2.8,8.1,-0.0552,Southern_California.19981029.stacov.point-2016/02/16-09:26:25 
19981030,1998.8289,-321.4,275.1,7.3,rrr,2.4,2.8,8.1,-0.0444,Southern_California.19981030.stacov.point-2016/02/16-09:26:25 
19981031,1998.8317,-319.4,275.8,9.9,rrr,2.4,3.0,8.4,-0.0252,Southern_California.19981031.stacov.point-2016/02/16-09:26:25 
19981101,1998.8344,-320.0,275.2,7.1,rrr,2.4,2.8,8.1,-0.0196,Southern_California.19981101.stacov.point-2016/02/16-09:26:26 
19981102,1998.8371,-322.0,274.4,11.1,rrr,2.5,2.9,8.4,-0.0357,Southern_California.19981102.stacov.point-2016/02/16-09:26:26 
19981103,1998.8399,-320.7,274.1,6.9,rrr,2.5,2.9,8.4,-0.0477,Southern_California.19981103.stacov.point-2016/02/16-09:26:26 
19981104,1998.8426,-321.0,276.2,5.9,rrr,2.4,2.8,8.1,-0.0516,Southern_California.19981104.stacov.point-2016/02/16-09:26:27 
19981105,1998.8454,-321.0,274.2,11.0,rrr,2.4,2.8,8.1,-0.0402,Southern_California.19981105.stacov.point-2016/02/16-09:26:27 
19981106,1998.8481,-320.3,274.9,10.1,rrr,2.4,2.9,8.2,0.0072,Southern_California.19981106.stacov.point-2016/02/16-09:26:27 
19981107,1998.8508,-320.1,275.7,10.9,rrr,2.4,3.0,8.4,-0.0186,Southern_California.19981107.stacov.point-2016/02/16-09:26:28 
19981108,1998.8536,-317.3,274.2,7.2,rrr,2.4,2.9,8.4,-0.0188,Southern_California.19981108.stacov.point-2016/02/16-09:26:28 
19981109,1998.8563,-322.7,273.0,9.6,rrr,2.4,2.9,8.2,0.0068,Southern_California.19981109.stacov.point-2016/02/16-09:26:28 
19981110,1998.859,-320.7,273.3,11.1,rrr,2.4,2.8,8.1,-0.0432,Southern_California.19981110.stacov.point-2016/02/16-09:26:29 
19981111,1998.8618,-323.0,272.6,10.5,rrr,2.4,3.0,8.4,-0.0182,Southern_California.19981111.stacov.point-2016/02/16-09:26:29 
19981112,1998.8645,-318.8,274.1,7.8,rrr,2.4,2.8,8.1,-0.0312,Southern_California.19981112.stacov.point-2016/02/16-09:26:29 
19981113,1998.8673,-320.2,274.3,8.4,rrr,2.4,2.9,8.2,0.0116,Southern_California.19981113.stacov.point-2016/02/16-09:26:30 
19981114,1998.87,-320.5,272.4,13.7,rrr,2.4,2.9,8.2,0.02,Southern_California.19981114.stacov.point-2016/02/16-09:26:30 
