DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19990501,1999.3299,-164.7,191.0,3.0,rrr,2.7,3.3,10.3,0.001,Southern_California.19990501.stacov.point-2016/02/16-09:27:34 
19990502,1999.3326,-164.9,191.5,7.3,rrr,2.7,3.3,9.9,0.0268,Southern_California.19990502.stacov.point-2016/02/16-09:27:34 
19990503,1999.3353,-164.4,192.1,10.6,rrr,2.7,3.4,10.5,0.0548,Southern_California.19990503.stacov.point-2016/02/16-09:27:35 
19990504,1999.3381,-164.9,188.4,-0.9,rrr,2.7,3.3,10.2,0.0058,Southern_California.19990504.stacov.point-2016/02/16-09:27:35 
19990505,1999.3408,-164.2,190.4,2.1,rrr,2.8,3.5,10.6,0.0188,Southern_California.19990505.stacov.point-2016/02/16-09:27:36 
19990506,1999.3435,-166.6,189.2,-2.0,rrr,2.6,3.3,9.9,0.0535,Southern_California.19990506.stacov.point-2016/02/16-09:27:36 
19990507,1999.3463,-164.0,191.7,0.4,rrr,2.7,3.3,10.3,0.0288,Southern_California.19990507.stacov.point-2016/02/16-09:27:37 
19990508,1999.349,-163.1,188.6,5.1,rrr,2.6,3.2,10.0,0.0392,Southern_California.19990508.stacov.point-2016/02/16-09:27:37 
19990509,1999.3518,-160.4,191.3,7.9,rrr,2.7,3.3,10.3,0.0306,Southern_California.19990509.stacov.point-2016/02/16-09:27:37 
19990510,1999.3545,-162.8,190.5,-6.9,rrr,2.7,3.3,10.2,0.0198,Southern_California.19990510.stacov.point-2016/02/16-09:27:38 
19990511,1999.3572,-164.2,191.2,-1.3,rrr,2.7,3.2,10.2,-0.0058,Southern_California.19990511.stacov.point-2016/02/16-09:27:38 
19990512,1999.36,-162.1,190.1,-1.9,rrr,2.6,3.2,9.9,0.05,Southern_California.19990512.stacov.point-2016/02/16-09:27:39 
19990513,1999.3627,-162.3,191.5,2.2,rrr,2.6,3.2,10.0,0.0438,Southern_California.19990513.stacov.point-2016/02/16-09:27:39 
19990514,1999.3654,-163.4,192.6,-0.7,rrr,2.7,3.2,9.9,0.0381,Southern_California.19990514.stacov.point-2016/02/16-09:27:40 
19990515,1999.3682,-161.9,191.4,-3.4,rrr,2.6,3.2,10.0,0.0547,Southern_California.19990515.stacov.point-2016/02/16-09:27:40 
19990516,1999.3709,-162.9,190.9,-5.8,rrr,2.7,3.4,10.4,0.0314,Southern_California.19990516.stacov.point-2016/02/16-09:27:40 
19990517,1999.3737,-162.9,188.5,-7.3,rrr,2.7,3.4,10.1,0.1192,Southern_California.19990517.stacov.point-2016/02/16-09:27:41 
19990518,1999.3764,-162.8,190.0,4.5,rrr,2.7,3.3,9.9,0.046,Southern_California.19990518.stacov.point-2016/02/16-09:27:41 
19990519,1999.3791,-164.1,192.5,3.9,rrr,2.6,3.2,10.0,0.0197,Southern_California.19990519.stacov.point-2016/02/16-09:27:42 
19990520,1999.3819,-162.5,190.5,-1.6,rrr,2.6,3.2,9.9,0.0608,Southern_California.19990520.stacov.point-2016/02/16-09:27:42 
19990521,1999.3846,-163.0,189.2,-1.6,rrr,2.7,3.2,9.9,0.0302,Southern_California.19990521.stacov.point-2016/02/16-09:27:43 
19990522,1999.3873,-163.4,187.5,-5.9,rrr,2.7,3.2,9.9,0.0304,Southern_California.19990522.stacov.point-2016/02/16-09:27:43 
19990523,1999.3901,-162.6,187.8,0.3,rrr,2.7,3.4,10.4,0.0613,Southern_California.19990523.stacov.point-2016/02/16-09:27:43 
19990524,1999.3928,-161.3,189.5,-0.7,rrr,2.7,3.2,10.1,0.0188,Southern_California.19990524.stacov.point-2016/02/16-09:27:44 
19990525,1999.3956,-162.8,188.9,-4.0,rrr,2.6,3.2,10.0,0.031,Southern_California.19990525.stacov.point-2016/02/16-09:27:44 
19990526,1999.3983,-162.3,189.2,-7.6,rrr,2.7,3.2,9.9,0.0308,Southern_California.19990526.stacov.point-2016/02/16-09:27:45 
19990527,1999.401,-162.8,187.4,-6.6,rrr,2.6,3.2,9.9,0.0131,Southern_California.19990527.stacov.point-2016/02/16-09:27:45 
19990528,1999.4038,-160.9,188.4,-0.4,rrr,2.7,3.2,10.2,0.0061,Southern_California.19990528.stacov.point-2016/02/16-09:27:46 
19990529,1999.4065,-162.8,188.4,-5.5,rrr,2.7,3.2,9.9,0.0378,Southern_California.19990529.stacov.point-2016/02/16-09:27:46 
19990530,1999.4093,-162.4,186.8,-5.8,rrr,2.7,3.2,9.9,0.0255,Southern_California.19990530.stacov.point-2016/02/16-09:27:46 
19990531,1999.412,-161.5,187.7,-7.2,rrr,2.7,3.2,10.1,0.0521,Southern_California.19990531.stacov.point-2016/02/16-09:27:47 
19990601,1999.4147,-162.9,187.0,-6.3,rrr,2.8,3.2,10.3,-0.0061,Southern_California.19990601.stacov.point-2016/02/16-09:27:47 
19990602,1999.4175,-161.3,187.5,-5.6,rrr,2.6,3.2,10.0,0.0358,Southern_California.19990602.stacov.point-2016/02/16-09:27:48 
19990603,1999.4202,-160.5,185.3,-3.0,rrr,2.8,3.5,10.4,0.0591,Southern_California.19990603.stacov.point-2016/02/16-09:27:48 
19990604,1999.4229,-161.8,187.3,-3.0,rrr,2.7,3.3,10.2,0.002,Southern_California.19990604.stacov.point-2016/02/16-09:27:49 
19990605,1999.4257,-162.3,186.0,-3.7,rrr,2.6,3.3,10.2,0.021,Southern_California.19990605.stacov.point-2016/02/16-09:27:49 
