DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20000602,2000.4195,-297.7,261.3,-18.5,rrr,2.6,2.9,9.1,-0.0029,GDEC.20000602.stacov.point-2017/10/26-13:47:56 
20000603,2000.4223,-295.7,263.8,-10.7,rrr,2.5,2.8,8.6,-0.0299,GDEC.20000603.stacov.point-2017/10/26-13:47:56 
20000604,2000.425,-294.1,262.8,-10.6,rrr,2.5,2.8,8.4,-0.0181,GDEC.20000604.stacov.point-2017/10/26-13:47:56 
20000605,2000.4278,-293.5,263.8,-13.4,rrr,2.5,2.8,8.4,-0.0124,GDEC.20000605.stacov.point-2017/10/26-13:47:56 
20000607,2000.4332,-295.8,261.7,-13.6,rrr,2.5,2.8,8.4,0.0065,GDEC.20000607.stacov.point-2017/10/26-13:47:57 
20000608,2000.436,-293.0,264.7,-15.1,rrr,2.5,2.9,8.7,0.0129,GDEC.20000608.stacov.point-2017/10/26-13:47:57 
20000609,2000.4387,-297.9,261.8,-9.1,rrr,2.5,2.8,8.6,-0.0313,GDEC.20000609.stacov.point-2017/10/26-13:47:57 
20000610,2000.4414,-297.3,260.5,-12.3,rrr,2.5,2.8,8.6,-0.0503,GDEC.20000610.stacov.point-2017/10/26-13:47:57 
20000611,2000.4442,-296.3,260.2,-10.8,rrr,2.4,2.8,8.4,-0.0011,GDEC.20000611.stacov.point-2017/10/26-13:47:58 
20000612,2000.4469,-296.1,261.5,-10.8,rrr,2.6,2.9,9.1,-0.0085,GDEC.20000612.stacov.point-2017/10/26-13:47:58 
20001218,2000.9645,-282.2,254.4,-21.0,rrr,4.6,5.6,18.1,0.0075,GDEC.20001218.stacov.point-2017/10/26-13:47:58 
20001219,2000.9672,-283.6,255.4,-13.9,rrr,5.8,6.8,22.8,-0.1008,GDEC.20001219.stacov.point-2017/10/26-13:47:58 
20001220,2000.97,-283.3,254.5,-11.9,rrr,5.1,6.4,20.4,-0.0545,GDEC.20001220.stacov.point-2017/10/26-13:47:58 
20001221,2000.9727,-283.8,254.6,-19.0,rrr,5.7,7.0,24.0,-0.0814,GDEC.20001221.stacov.point-2017/10/26-13:47:58 
20001222,2000.9754,-286.0,253.7,-18.4,rrr,5.6,6.6,20.6,-0.1207,GDEC.20001222.stacov.point-2017/10/26-13:47:59 
20001223,2000.9782,-286.2,254.3,-15.3,rrr,5.1,6.1,19.4,-0.0049,GDEC.20001223.stacov.point-2017/10/26-13:47:59 
20001224,2000.9809,-285.6,254.5,-18.1,rrr,5.0,6.2,18.9,-0.0245,GDEC.20001224.stacov.point-2017/10/26-13:47:59 
20001225,2000.9837,-284.9,251.9,-11.2,rrr,5.0,6.3,19.5,-0.0466,GDEC.20001225.stacov.point-2017/10/26-13:47:59 
20001226,2000.9864,-284.3,250.8,-13.4,rrr,5.1,6.5,19.8,-0.0594,GDEC.20001226.stacov.point-2017/10/26-13:47:59 
20001227,2000.9891,-284.5,251.7,-23.0,rrr,5.3,6.4,20.1,-0.0401,GDEC.20001227.stacov.point-2017/10/26-13:48:00 
20001228,2000.9919,-281.2,253.3,-14.5,rrr,5.3,6.5,20.1,0.0229,GDEC.20001228.stacov.point-2017/10/26-13:48:00 
20001229,2000.9946,-285.5,251.4,-16.2,rrr,5.4,6.6,21.1,-0.0605,GDEC.20001229.stacov.point-2017/10/26-13:48:00 
20001230,2000.9974,-286.6,251.0,-7.3,rrr,5.3,6.5,18.9,-0.0521,GDEC.20001230.stacov.point-2017/10/26-13:48:00 
20001231,2001.0001,-285.0,252.4,-10.3,rrr,5.2,6.5,19.2,-0.046,GDEC.20001231.stacov.point-2017/10/26-13:48:00 
20010101,2001.0028,-286.0,249.6,-18.9,rrr,5.3,6.3,18.9,-0.0963,GDEC.20010101.stacov.point-2017/10/26-13:48:00 
20010102,2001.0056,-284.8,249.8,-18.6,rrr,5.3,6.7,20.6,-0.056,GDEC.20010102.stacov.point-2017/10/26-13:48:01 
20010103,2001.0083,-284.9,250.8,-21.5,rrr,5.1,6.5,19.1,-0.0791,GDEC.20010103.stacov.point-2017/10/26-13:48:01 
20010104,2001.011,-283.6,252.0,-14.7,rrr,5.0,6.4,18.5,-0.0837,GDEC.20010104.stacov.point-2017/10/26-13:48:01 
20010105,2001.0138,-283.2,250.8,-13.9,rrr,5.5,6.8,19.8,0.0299,GDEC.20010105.stacov.point-2017/10/26-13:48:01 
20010106,2001.0165,-282.7,251.1,-11.7,rrr,5.6,6.8,19.7,0.0277,GDEC.20010106.stacov.point-2017/10/26-13:48:01 
20010107,2001.0193,-281.7,251.0,-6.1,rrr,5.5,6.7,20.0,-0.0533,GDEC.20010107.stacov.point-2017/10/26-13:48:02 
20010108,2001.022,-283.1,252.7,-11.6,rrr,5.0,6.4,18.6,-0.0671,GDEC.20010108.stacov.point-2017/10/26-13:48:02 
20010109,2001.0247,-282.5,251.9,-7.2,rrr,5.1,6.4,18.3,-0.097,GDEC.20010109.stacov.point-2017/10/26-13:48:02 
20010110,2001.0275,-284.2,248.1,-5.9,rrr,5.2,6.6,19.1,-0.0857,GDEC.20010110.stacov.point-2017/10/26-13:48:02 
20010111,2001.0302,-281.4,251.0,-24.1,rrr,5.5,6.8,20.0,-0.1063,GDEC.20010111.stacov.point-2017/10/26-13:48:02 
20010112,2001.0329,-287.0,246.0,-22.2,rrr,5.5,6.6,19.2,-0.0829,GDEC.20010112.stacov.point-2017/10/26-13:48:02 
20010113,2001.0357,-284.5,251.5,-18.2,rrr,5.2,6.9,19.6,-0.1312,GDEC.20010113.stacov.point-2017/10/26-13:48:03 
20010114,2001.0384,-282.9,248.7,-20.9,rrr,5.1,6.6,19.0,-0.0066,GDEC.20010114.stacov.point-2017/10/26-13:48:03 
20010115,2001.0412,-282.1,249.6,-26.7,rrr,5.1,6.4,18.7,-0.0395,GDEC.20010115.stacov.point-2017/10/26-13:48:03 
20010116,2001.0439,-283.9,249.5,-21.5,rrr,5.2,6.6,18.6,-0.0208,GDEC.20010116.stacov.point-2017/10/26-13:48:03 
20010117,2001.0466,-280.4,249.6,-22.6,rrr,5.3,6.6,19.1,-0.0405,GDEC.20010117.stacov.point-2017/10/26-13:48:03 
20010118,2001.0494,-281.3,250.0,-22.3,rrr,5.0,6.4,18.1,-0.051,GDEC.20010118.stacov.point-2017/10/26-13:48:04 
20010119,2001.0521,-282.2,249.1,-25.0,rrr,5.1,6.5,18.7,-0.0011,GDEC.20010119.stacov.point-2017/10/26-13:48:04 
20010120,2001.0548,-282.1,247.6,-21.0,rrr,5.2,6.5,18.9,0.0112,GDEC.20010120.stacov.point-2017/10/26-13:48:04 
20010121,2001.0576,-282.3,249.6,-19.2,rrr,5.1,6.5,18.7,-0.0086,GDEC.20010121.stacov.point-2017/10/26-13:48:04 
20010122,2001.0603,-283.9,252.7,-27.5,rrr,5.2,6.5,18.6,-0.0144,GDEC.20010122.stacov.point-2017/10/26-13:48:04 
20010123,2001.0631,-282.8,250.9,-22.5,rrr,5.3,6.9,19.6,-0.0058,GDEC.20010123.stacov.point-2017/10/26-13:48:05 
20010124,2001.0658,-291.5,245.6,-3.6,rrr,5.3,7.2,19.9,-0.0463,GDEC.20010124.stacov.point-2017/10/26-13:48:05 
20010125,2001.0685,-281.7,249.0,-23.9,rrr,5.2,6.7,19.4,-0.067,GDEC.20010125.stacov.point-2017/10/26-13:48:05 
20010126,2001.0713,-284.7,247.0,-26.6,rrr,5.3,6.9,20.1,-0.0382,GDEC.20010126.stacov.point-2017/10/26-13:48:05 
20010127,2001.074,-285.1,246.0,-26.2,rrr,5.3,6.9,19.4,-0.0293,GDEC.20010127.stacov.point-2017/10/26-13:48:05 
20010128,2001.0768,-283.4,247.7,-19.7,rrr,5.2,6.8,18.9,-0.0411,GDEC.20010128.stacov.point-2017/10/26-13:48:05 
20010129,2001.0795,-284.7,248.7,-21.1,rrr,5.5,6.7,20.0,-0.0673,GDEC.20010129.stacov.point-2017/10/26-13:48:06 
20010130,2001.0822,-283.4,249.6,-10.5,rrr,5.0,6.5,18.9,-0.0372,GDEC.20010130.stacov.point-2017/10/26-13:48:06 
20010131,2001.085,-281.0,246.5,-22.6,rrr,5.2,6.6,19.3,-0.1602,GDEC.20010131.stacov.point-2017/10/26-13:48:06 
20010201,2001.0877,-280.8,247.2,-18.4,rrr,5.0,6.3,18.6,-0.0644,GDEC.20010201.stacov.point-2017/10/26-13:48:06 
20010202,2001.0904,-280.2,247.6,-20.5,rrr,4.9,6.2,18.3,-0.1061,GDEC.20010202.stacov.point-2017/10/26-13:48:06 
20010203,2001.0932,-279.8,247.2,-27.4,rrr,5.0,6.2,19.5,-0.0681,GDEC.20010203.stacov.point-2017/10/26-13:48:07 
20010204,2001.0959,-282.9,248.0,-16.4,rrr,5.2,6.4,20.0,-0.0836,GDEC.20010204.stacov.point-2017/10/26-13:48:07 
20010205,2001.0987,-279.8,247.6,-14.2,rrr,5.0,6.1,18.4,-0.1073,GDEC.20010205.stacov.point-2017/10/26-13:48:07 
20010206,2001.1014,-279.4,248.0,-14.4,rrr,5.0,6.1,18.9,-0.0921,GDEC.20010206.stacov.point-2017/10/26-13:48:07 
20010207,2001.1041,-281.5,246.8,-12.5,rrr,4.9,6.1,18.6,-0.1163,GDEC.20010207.stacov.point-2017/10/26-13:48:07 
20010208,2001.1069,-279.6,245.9,-20.7,rrr,5.1,6.3,19.7,-0.1068,GDEC.20010208.stacov.point-2017/10/26-13:48:08 
20010209,2001.1096,-281.0,246.4,-18.1,rrr,5.1,6.2,19.8,-0.1297,GDEC.20010209.stacov.point-2017/10/26-13:48:08 
20010210,2001.1123,-293.0,236.6,-35.5,rrr,5.3,6.3,20.5,-0.1343,GDEC.20010210.stacov.point-2017/10/26-13:48:08 
