DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19990630,1999.4941,-237.8,234.1,-8.2,rrr,2.7,3.0,10.7,0.0066,Southern_California.19990630.stacov.point-2016/02/16-09:28:00 
19990701,1999.4969,-235.6,235.4,-14.9,rrr,2.9,3.2,11.4,-0.0214,Southern_California.19990701.stacov.point-2016/02/16-09:28:00 
19990702,1999.4996,-239.1,231.6,-9.9,rrr,2.8,3.1,10.6,-0.031,Southern_California.19990702.stacov.point-2016/02/16-09:28:01 
19990703,1999.5023,-239.7,227.2,-8.6,rrr,2.7,3.1,10.6,-0.0301,Southern_California.19990703.stacov.point-2016/02/16-09:28:01 
19990704,1999.5051,-237.8,230.3,-12.1,rrr,2.7,3.0,9.9,0.0193,Southern_California.19990704.stacov.point-2016/02/16-09:28:02 
19990705,1999.5078,-235.9,231.5,-11.8,rrr,2.7,3.1,10.6,-0.0199,Southern_California.19990705.stacov.point-2016/02/16-09:28:02 
19990706,1999.5106,-235.9,234.2,-3.5,rrr,2.7,3.0,10.7,-0.0007,Southern_California.19990706.stacov.point-2016/02/16-09:28:02 
19990707,1999.5133,-238.3,231.5,-11.1,rrr,2.9,3.2,11.4,-0.0231,Southern_California.19990707.stacov.point-2016/02/16-09:28:03 
19990708,1999.516,-236.8,230.7,-7.7,rrr,2.8,3.1,11.0,-0.0257,Southern_California.19990708.stacov.point-2016/02/16-09:28:03 
19990709,1999.5188,-238.7,225.5,-11.4,rrr,2.7,3.0,9.9,0.02,Southern_California.19990709.stacov.point-2016/02/16-09:28:04 
19990710,1999.5215,-235.6,234.6,-9.1,rrr,2.7,3.0,10.7,-0.0127,Southern_California.19990710.stacov.point-2016/02/16-09:28:04 
19990711,1999.5242,-234.1,235.7,-7.0,rrr,3.0,3.4,12.1,-0.005,Southern_California.19990711.stacov.point-2016/02/16-09:28:05 
19991017,1999.7926,-230.9,223.0,8.3,rrr,3.5,3.8,14.1,0.0372,Southern_California.19991017.stacov.point-2016/02/16-09:28:48 
19991018,1999.7953,-226.8,221.8,0.2,rrr,2.8,3.1,11.0,0.049,Southern_California.19991018.stacov.point-2016/02/16-09:28:49 
19991019,1999.798,-226.9,223.1,-3.3,rrr,2.9,3.1,11.4,0.0045,Southern_California.19991019.stacov.point-2016/02/16-09:28:49 
19991020,1999.8008,-224.9,223.5,-6.5,rrr,2.8,3.1,11.0,0.0411,Southern_California.19991020.stacov.point-2016/02/16-09:28:50 
19991021,1999.8035,-224.3,222.3,-8.9,rrr,2.8,3.2,11.0,0.0346,Southern_California.19991021.stacov.point-2016/02/16-09:28:50 
19991022,1999.8062,-230.7,221.9,-6.6,rrr,2.7,3.0,10.4,0.0427,Southern_California.19991022.stacov.point-2016/02/16-09:28:51 
19991023,1999.809,-224.4,222.5,-12.8,rrr,2.7,3.1,10.3,0.0364,Southern_California.19991023.stacov.point-2016/02/16-09:28:51 
19991024,1999.8117,-226.1,219.8,-9.0,rrr,2.7,3.0,10.7,-0.0081,Southern_California.19991024.stacov.point-2016/02/16-09:28:52 
19991025,1999.8145,-226.3,221.4,-18.8,rrr,2.8,3.2,10.8,0.0694,Southern_California.19991025.stacov.point-2016/02/16-09:28:53 
19991026,1999.8172,-223.0,222.5,-12.3,rrr,2.6,2.9,9.9,0.0365,Southern_California.19991026.stacov.point-2016/02/16-09:28:53 
19991027,1999.8199,-227.2,217.7,-10.6,rrr,2.7,3.1,10.4,0.0323,Southern_California.19991027.stacov.point-2016/02/16-09:28:54 
19991028,1999.8227,-221.9,215.1,-12.9,rrr,2.8,3.1,10.6,0.0236,Southern_California.19991028.stacov.point-2016/02/16-09:28:54 
19991029,1999.8254,-222.4,216.9,-2.7,rrr,3.2,3.7,12.3,-0.0023,Southern_California.19991029.stacov.point-2016/02/16-09:28:55 
19991030,1999.8282,-219.4,227.0,-2.0,rrr,3.9,4.5,14.8,-0.0041,Southern_California.19991030.stacov.point-2016/02/16-09:28:55 
19991031,1999.831,-222.4,221.7,-7.1,rrr,4.1,4.7,16.0,0.0352,Southern_California.19991031.stacov.point-2016/02/16-09:28:56 
19991101,1999.8337,-224.2,223.8,-10.1,rrr,4.2,4.8,15.2,-0.0461,Southern_California.19991101.stacov.point-2016/02/16-09:28:57 
19991102,1999.8365,-223.3,223.1,-5.6,rrr,3.9,4.5,14.8,0.0139,Southern_California.19991102.stacov.point-2016/02/16-09:28:57 
19991103,1999.8392,-221.9,219.8,-10.7,rrr,4.1,4.5,15.3,0.0332,Southern_California.19991103.stacov.point-2016/02/16-09:28:58 
