DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20010120,2001.0548,-479.8,501.1,2.4,rrr,2.6,3.3,10.0,0.0561,Southern_California.20010120.stacov.point-2016/02/16-09:33:47 
20010518,2001.3778,-471.7,484.0,-2.1,rrr,2.5,3.2,9.5,0.0714,Southern_California.20010518.stacov.point-2016/02/16-09:35:15 
20010520,2001.3833,-471.9,484.5,0.4,rrr,2.7,3.4,9.9,0.1064,Southern_California.20010520.stacov.point-2016/02/16-09:35:16 
20010523,2001.3915,-470.4,485.4,7.9,rrr,2.7,3.3,10.2,0.0667,Southern_California.20010523.stacov.point-2016/02/16-09:35:19 
20010601,2001.4161,-471.0,483.4,6.1,rrr,2.3,2.8,8.7,0.0114,Southern_California.20010601.stacov.point-2016/02/16-09:35:25 
20010602,2001.4189,-470.3,482.1,4.4,rrr,2.3,2.9,8.7,-0.0183,Southern_California.20010602.stacov.point-2016/02/16-09:35:26 
20010604,2001.4244,-471.1,484.0,8.9,rrr,2.5,3.1,9.1,0.0212,Southern_California.20010604.stacov.point-2016/02/16-09:35:28 
20020118,2002.0487,-449.0,461.0,0.1,rrr,2.3,2.9,8.7,-0.0128,Southern_California.20020118.stacov.point-2016/02/16-09:38:24 
20020119,2002.0514,-449.9,461.0,-0.9,rrr,2.3,3.0,8.7,0.0159,Southern_California.20020119.stacov.point-2016/02/16-09:38:25 
20020120,2002.0542,-449.8,459.9,-3.8,rrr,2.3,2.9,8.7,-0.0109,Southern_California.20020120.stacov.point-2016/02/16-09:38:26 
20020121,2002.0569,-448.8,460.1,-1.4,rrr,2.3,2.9,8.7,0.0033,Southern_California.20020121.stacov.point-2016/02/16-09:38:27 
20020122,2002.0597,-448.9,461.1,-4.3,rrr,2.4,3.1,8.8,0.0458,Southern_California.20020122.stacov.point-2016/02/16-09:38:28 
20020123,2002.0624,-447.4,459.5,4.9,rrr,2.4,2.9,8.7,-0.0119,Southern_California.20020123.stacov.point-2016/02/16-09:38:28 
20020124,2002.0651,-444.4,460.9,-1.6,rrr,2.3,2.9,8.7,0.0032,Southern_California.20020124.stacov.point-2016/02/16-09:38:29 
20020125,2002.0679,-447.1,460.2,-4.8,rrr,2.4,3.1,8.8,0.0507,Southern_California.20020125.stacov.point-2016/02/16-09:38:30 
20020126,2002.0706,-447.7,462.8,-1.7,rrr,2.3,2.9,8.7,-0.0198,Southern_California.20020126.stacov.point-2016/02/16-09:38:31 
20020127,2002.0733,-446.3,463.5,1.6,rrr,2.3,2.9,8.7,-0.0043,Southern_California.20020127.stacov.point-2016/02/16-09:38:31 
20020128,2002.0761,-444.4,459.2,-0.3,rrr,2.3,3.0,8.7,-0.0133,Southern_California.20020128.stacov.point-2016/02/16-09:38:32 
20020129,2002.0788,-445.6,461.8,-3.9,rrr,2.3,2.9,8.4,0.0232,Southern_California.20020129.stacov.point-2016/02/16-09:38:33 
20020130,2002.0816,-443.9,461.0,-1.9,rrr,2.4,3.0,8.7,0.0113,Southern_California.20020130.stacov.point-2016/02/16-09:38:34 
20020131,2002.0843,-446.7,460.6,5.6,rrr,2.3,2.9,8.7,-0.0205,Southern_California.20020131.stacov.point-2016/02/16-09:38:35 
20020201,2002.087,-444.4,462.0,3.1,rrr,2.3,3.0,8.7,-0.0149,Southern_California.20020201.stacov.point-2016/02/16-09:38:35 
20020202,2002.0898,-443.9,461.4,5.8,rrr,2.5,3.1,8.9,-0.0037,Southern_California.20020202.stacov.point-2016/02/16-09:38:36 
20020203,2002.0925,-442.3,460.2,0.8,rrr,2.3,2.9,8.7,0.0166,Southern_California.20020203.stacov.point-2016/02/16-09:38:37 
20020204,2002.0953,-443.2,459.4,-3.0,rrr,2.3,2.9,8.7,-0.0022,Southern_California.20020204.stacov.point-2016/02/16-09:38:38 
20020205,2002.098,-447.3,459.9,12.3,rrr,2.3,3.1,9.0,0.0258,Southern_California.20020205.stacov.point-2016/02/16-09:38:39 
20020206,2002.1007,-446.2,458.0,4.7,rrr,2.3,3.1,8.8,0.0362,Southern_California.20020206.stacov.point-2016/02/16-09:38:39 
20020207,2002.1035,-445.9,458.9,2.7,rrr,2.3,3.0,9.0,0.0098,Southern_California.20020207.stacov.point-2016/02/16-09:38:40 
20020208,2002.1062,-443.3,459.5,4.3,rrr,2.3,3.0,8.7,-0.0023,Southern_California.20020208.stacov.point-2016/02/16-09:38:41 
20020209,2002.1089,-444.8,460.5,1.3,rrr,2.3,3.0,8.7,0.0099,Southern_California.20020209.stacov.point-2016/02/16-09:38:42 
20020210,2002.1117,-443.2,462.7,-3.1,rrr,2.3,3.0,8.7,0.0026,Southern_California.20020210.stacov.point-2016/02/16-09:38:43 
