DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20150619,2015.4643,-52.5,22.7,7.1,rrr,2.3,2.6,7.5,0.0559,Southern_California.20150619.stacov.point-2016/02/16-12:26:52 
20150620,2015.4671,-52.5,22.1,10.6,rrr,2.3,2.4,7.4,0.0073,Southern_California.20150620.stacov.point-2016/02/16-12:26:53 
20150621,2015.4698,-52.8,22.0,15.5,rrr,2.3,2.6,7.5,0.0639,Southern_California.20150621.stacov.point-2016/02/16-12:26:55 
20150622,2015.4726,-51.9,22.8,6.9,rrr,2.3,2.6,7.5,0.0664,Southern_California.20150622.stacov.point-2016/02/16-12:26:56 
20150623,2015.4753,-52.6,22.7,6.5,rrr,2.5,2.6,7.9,0.0649,Southern_California.20150623.stacov.point-2016/02/16-12:26:58 
20150624,2015.478,-53.2,21.5,4.2,rrr,2.4,2.6,7.7,0.036,Southern_California.20150624.stacov.point-2016/02/16-12:26:59 
20150625,2015.4808,-52.7,22.2,3.4,rrr,2.3,2.7,7.5,0.0528,Southern_California.20150625.stacov.point-2016/02/16-12:27:01 
20150626,2015.4835,-52.7,21.0,8.6,rrr,2.4,2.5,7.9,0.0589,Southern_California.20150626.stacov.point-2016/02/16-12:27:02 
20150627,2015.4863,-51.5,21.9,6.8,rrr,2.3,2.6,7.5,0.0696,Southern_California.20150627.stacov.point-2016/02/16-12:27:03 
20150628,2015.489,-53.0,22.0,2.8,rrr,2.3,2.5,7.4,0.0239,Southern_California.20150628.stacov.point-2016/02/16-12:27:05 
20150629,2015.4917,-51.7,22.8,10.1,rrr,2.3,2.4,7.4,0.014,Southern_California.20150629.stacov.point-2016/02/16-12:27:06 
20150630,2015.4945,-53.1,22.9,7.7,rrr,2.4,2.6,7.5,0.0648,Southern_California.20150630.stacov.point-2016/02/16-12:27:08 
20150701,2015.4972,-51.6,26.6,11.3,rrr,2.4,2.6,8.1,-0.0061,Southern_California.20150701.stacov.point-2016/02/16-12:27:09 
20150702,2015.4999,-51.0,23.6,9.5,rrr,2.4,2.6,7.7,0.0473,Southern_California.20150702.stacov.point-2016/02/16-12:27:10 
20150703,2015.5027,-50.6,24.7,13.2,rrr,2.3,2.6,7.5,0.0727,Southern_California.20150703.stacov.point-2016/02/16-12:27:12 
20150704,2015.5054,-52.7,22.7,5.5,rrr,2.3,2.6,7.5,0.0766,Southern_California.20150704.stacov.point-2016/02/16-12:27:13 
20150705,2015.5082,-52.5,23.3,6.5,rrr,2.4,2.6,7.7,0.0566,Southern_California.20150705.stacov.point-2016/02/16-12:27:15 
20150706,2015.5109,-52.2,22.3,11.4,rrr,2.4,2.6,7.7,0.046,Southern_California.20150706.stacov.point-2016/02/16-12:27:16 
20150707,2015.5136,-54.5,21.4,12.2,rrr,2.4,2.6,7.7,0.0496,Southern_California.20150707.stacov.point-2016/02/16-12:27:17 
20150708,2015.5164,-52.0,21.4,4.2,rrr,2.3,2.6,7.5,0.0865,Southern_California.20150708.stacov.point-2016/02/16-12:27:19 
20150709,2015.5191,-54.3,22.7,12.9,rrr,2.4,2.6,7.7,0.0735,Southern_California.20150709.stacov.point-2016/02/16-12:27:20 
20150710,2015.5218,-52.7,21.8,9.7,rrr,2.3,2.5,7.4,0.0309,Southern_California.20150710.stacov.point-2016/02/16-12:27:22 
20150711,2015.5246,-51.5,24.2,5.5,rrr,2.3,2.6,7.5,0.0778,Southern_California.20150711.stacov.point-2016/02/16-12:27:23 
20150712,2015.5273,-52.1,23.6,1.7,rrr,2.3,2.4,7.4,0.0178,Southern_California.20150712.stacov.point-2016/02/16-12:27:25 
20150713,2015.5301,-51.4,22.7,8.7,rrr,2.3,2.6,7.5,0.0767,Southern_California.20150713.stacov.point-2016/02/16-12:27:26 
20150714,2015.5328,-52.6,21.8,7.4,rrr,2.3,2.6,7.5,0.0813,Southern_California.20150714.stacov.point-2016/02/16-12:27:27 
20150715,2015.5355,-51.9,23.2,8.8,rrr,2.3,2.4,7.4,0.0137,Southern_California.20150715.stacov.point-2016/02/16-12:27:29 
20150716,2015.5383,-52.0,22.1,8.9,rrr,2.3,2.6,7.5,0.0572,Southern_California.20150716.stacov.point-2016/02/16-12:27:30 
20150717,2015.541,-53.7,21.6,5.6,rrr,2.3,2.6,7.5,0.045,Southern_California.20150717.stacov.point-2016/02/16-12:27:32 
20150718,2015.5437,-52.3,21.1,1.7,rrr,2.3,2.6,7.5,0.0654,Southern_California.20150718.stacov.point-2016/02/16-12:27:33 
20150719,2015.5465,-52.3,22.5,0.1,rrr,2.4,2.6,7.9,0.0372,Southern_California.20150719.stacov.point-2016/02/16-12:27:35 
20150720,2015.5492,-50.8,22.3,3.0,rrr,2.3,2.5,7.4,0.0402,Southern_California.20150720.stacov.point-2016/02/16-12:27:36 
20150721,2015.552,-51.1,22.5,7.1,rrr,2.3,2.5,7.4,0.0209,Southern_California.20150721.stacov.point-2016/02/16-12:27:37 
20150722,2015.5547,-54.4,22.4,4.9,rrr,2.4,2.6,7.7,0.062,Southern_California.20150722.stacov.point-2016/02/16-12:27:39 
20150723,2015.5574,-53.7,24.8,13.9,rrr,2.3,2.6,7.5,0.0673,Southern_California.20150723.stacov.point-2016/02/16-12:27:40 
20150724,2015.5602,-52.2,22.6,5.9,rrr,2.3,2.5,7.4,0.0227,Southern_California.20150724.stacov.point-2016/02/16-12:27:42 
20150725,2015.5629,-53.6,21.8,-0.6,rrr,2.3,2.5,7.2,0.0484,Southern_California.20150725.stacov.point-2016/02/16-12:27:43 
20150726,2015.5657,-51.9,22.4,7.7,rrr,2.3,2.5,7.4,0.031,Southern_California.20150726.stacov.point-2016/02/16-12:27:45 
20150727,2015.5684,-50.9,22.6,2.3,rrr,2.3,2.5,7.4,0.025,Southern_California.20150727.stacov.point-2016/02/16-12:27:46 
20150728,2015.5711,-52.1,21.9,5.6,rrr,2.5,2.6,7.9,0.0666,Southern_California.20150728.stacov.point-2016/02/16-12:27:48 
20150729,2015.5739,-51.5,23.3,8.1,rrr,2.4,2.5,7.9,0.0525,Southern_California.20150729.stacov.point-2016/02/16-12:27:49 
20150730,2015.5766,-51.4,23.6,7.6,rrr,2.3,2.6,7.5,0.077,Southern_California.20150730.stacov.point-2016/02/16-12:27:50 
20150731,2015.5793,-50.9,23.2,1.8,rrr,2.3,2.6,7.5,0.0866,Southern_California.20150731.stacov.point-2016/02/16-12:27:52 
20150801,2015.5821,-52.3,20.6,10.3,rrr,2.3,2.6,7.5,0.0893,Southern_California.20150801.stacov.point-2016/02/16-12:27:53 
20150802,2015.5848,-52.2,21.1,5.8,rrr,2.3,2.6,7.5,0.0727,Southern_California.20150802.stacov.point-2016/02/16-12:27:55 
20150803,2015.5876,-53.0,22.0,10.6,rrr,2.3,2.6,7.5,0.0649,Southern_California.20150803.stacov.point-2016/02/16-12:27:56 
20150804,2015.5903,-52.1,20.5,5.0,rrr,2.3,2.6,7.5,0.0755,Southern_California.20150804.stacov.point-2016/02/16-12:27:58 
20150805,2015.593,-52.1,20.7,-0.6,rrr,2.3,2.6,7.5,0.0615,Southern_California.20150805.stacov.point-2016/02/16-12:27:59 
20150806,2015.5958,-53.4,21.1,8.7,rrr,2.4,2.6,7.7,0.0666,Southern_California.20150806.stacov.point-2016/02/16-12:28:01 
20150807,2015.5985,-53.0,21.5,6.2,rrr,2.4,2.6,7.9,0.0234,Southern_California.20150807.stacov.point-2016/02/16-12:28:02 
20150808,2015.6012,-52.4,21.9,9.8,rrr,2.3,2.6,7.5,0.0782,Southern_California.20150808.stacov.point-2016/02/16-12:28:03 
20150809,2015.604,-51.7,23.8,11.5,rrr,2.4,2.6,7.9,0.0318,Southern_California.20150809.stacov.point-2016/02/16-12:28:05 
20150810,2015.6067,-50.5,23.1,7.8,rrr,2.4,2.6,7.7,0.0723,Southern_California.20150810.stacov.point-2016/02/16-12:28:06 
20150811,2015.6095,-51.7,21.1,0.8,rrr,2.3,2.6,7.5,0.0927,Southern_California.20150811.stacov.point-2016/02/16-12:28:08 
20150812,2015.6122,-52.1,23.5,7.0,rrr,2.3,2.6,7.5,0.0893,Southern_California.20150812.stacov.point-2016/02/16-12:28:09 
20150813,2015.6149,-45.9,34.9,23.3,rrr,2.4,2.7,7.9,0.0445,Southern_California.20150813.stacov.point-2016/02/16-12:28:11 
20150814,2015.6177,-52.0,22.4,11.5,rrr,2.3,2.6,7.5,0.0794,Southern_California.20150814.stacov.point-2016/02/16-12:28:12 
20150815,2015.6204,-51.2,22.1,7.1,rrr,2.3,2.6,7.5,0.0674,Southern_California.20150815.stacov.point-2016/02/16-12:28:14 
20150816,2015.6231,-47.8,30.4,18.2,rrr,2.3,2.6,7.5,0.0724,Southern_California.20150816.stacov.point-2016/02/16-12:28:15 
20150817,2015.6259,-50.7,20.2,10.3,rrr,2.3,2.4,7.2,0.0487,Southern_California.20150817.stacov.point-2016/02/16-12:28:17 
20150818,2015.6286,-50.5,20.7,7.4,rrr,2.3,2.4,7.2,0.0487,Southern_California.20150818.stacov.point-2016/02/16-12:28:18 
20150819,2015.6314,-50.7,20.5,7.6,rrr,2.3,2.5,7.4,0.0187,Southern_California.20150819.stacov.point-2016/02/16-12:28:19 
20150820,2015.6341,-51.2,21.3,4.9,rrr,2.3,2.6,7.5,0.079,Southern_California.20150820.stacov.point-2016/02/16-12:28:21 
20150821,2015.6368,-51.7,22.3,4.6,rrr,2.3,2.6,7.5,0.0841,Southern_California.20150821.stacov.point-2016/02/16-12:28:22 
20150822,2015.6396,-48.9,19.9,1.2,rrr,2.3,2.6,7.5,0.0867,Southern_California.20150822.stacov.point-2016/02/16-12:28:24 
20150823,2015.6423,-50.7,20.0,6.0,rrr,2.3,2.5,7.4,0.0302,Southern_California.20150823.stacov.point-2016/02/16-12:28:25 
20150824,2015.6451,-50.6,20.8,4.3,rrr,2.3,2.5,7.4,0.0298,Southern_California.20150824.stacov.point-2016/02/16-12:28:27 
20150825,2015.6478,-51.7,22.4,4.1,rrr,2.4,2.6,7.9,0.0518,Southern_California.20150825.stacov.point-2016/02/16-12:28:28 
20150826,2015.6505,-48.2,23.6,6.3,rrr,2.3,2.6,7.5,0.0859,Southern_California.20150826.stacov.point-2016/02/16-12:28:30 
20150827,2015.6533,-50.9,20.6,6.9,rrr,2.3,2.6,7.5,0.0794,Southern_California.20150827.stacov.point-2016/02/16-12:28:31 
20150828,2015.656,-50.7,21.5,7.6,rrr,2.3,2.4,7.4,0.0303,Southern_California.20150828.stacov.point-2016/02/16-12:28:33 
20150829,2015.6587,-52.8,19.6,6.5,rrr,2.3,2.6,7.5,0.0813,Southern_California.20150829.stacov.point-2016/02/16-12:28:34 
20150830,2015.6615,-50.8,20.2,6.8,rrr,2.3,2.6,7.5,0.0784,Southern_California.20150830.stacov.point-2016/02/16-12:28:35 
20150831,2015.6642,-50.3,20.3,10.0,rrr,2.3,2.5,7.4,0.0309,Southern_California.20150831.stacov.point-2016/02/16-12:28:37 
20150901,2015.667,-50.3,21.7,9.6,rrr,2.3,2.6,7.5,0.0942,Southern_California.20150901.stacov.point-2016/02/16-12:28:38 
