DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19940104,1994.0102,-384.3,359.0,36.6,rrr,2.6,3.1,9.4,0.0139,Southern_California.19940104.stacov.point-2016/02/16-09:18:49 
19940105,1994.0129,-384.8,357.8,49.4,rrr,2.7,3.2,9.7,0.0076,Southern_California.19940105.stacov.point-2016/02/16-09:18:49 
19940106,1994.0157,-389.9,357.2,37.3,rrr,2.7,3.2,9.9,0.0491,Southern_California.19940106.stacov.point-2016/02/16-09:18:49 
19940107,1994.0184,-386.2,355.2,38.3,rrr,2.7,3.3,10.1,0.0185,Southern_California.19940107.stacov.point-2016/02/16-09:18:50 
19940108,1994.0212,-384.0,356.3,45.6,rrr,2.5,3.1,9.4,-0.0013,Southern_California.19940108.stacov.point-2016/02/16-09:18:50 
19940109,1994.0239,-387.4,357.7,39.6,rrr,2.6,3.1,9.4,-0.0119,Southern_California.19940109.stacov.point-2016/02/16-09:18:50 
19940110,1994.0266,-387.1,354.7,44.0,rrr,2.6,3.1,9.7,-0.0625,Southern_California.19940110.stacov.point-2016/02/16-09:18:50 
19940111,1994.0294,-386.7,356.1,47.1,rrr,2.7,3.2,9.9,0.0074,Southern_California.19940111.stacov.point-2016/02/16-09:18:50 
19940112,1994.0321,-381.8,358.9,44.8,rrr,2.8,3.2,9.9,-0.0015,Southern_California.19940112.stacov.point-2016/02/16-09:18:51 
19940113,1994.0348,-388.2,353.2,50.0,rrr,2.8,3.5,10.2,0.0227,Southern_California.19940113.stacov.point-2016/02/16-09:18:51 
19940114,1994.0376,-388.4,351.6,44.1,rrr,2.7,3.2,9.4,-0.0342,Southern_California.19940114.stacov.point-2016/02/16-09:18:51 
19940115,1994.0403,-383.3,353.1,35.0,rrr,2.7,3.3,9.7,-0.0065,Southern_California.19940115.stacov.point-2016/02/16-09:18:51 
19940116,1994.0431,-383.3,355.1,37.6,rrr,2.7,3.1,9.4,-0.0332,Southern_California.19940116.stacov.point-2016/02/16-09:18:51 
19940117,1994.0458,-384.0,353.7,39.5,rrr,2.6,3.1,9.4,0.005,Southern_California.19940117.stacov.point-2016/02/16-09:18:51 
19940118,1994.0485,-383.8,350.8,45.9,rrr,2.6,3.2,9.7,0.024,Southern_California.19940118.stacov.point-2016/02/16-09:18:52 
19940119,1994.0513,-385.1,351.9,38.8,rrr,2.7,3.3,9.7,-0.001,Southern_California.19940119.stacov.point-2016/02/16-09:18:52 
19940120,1994.054,-384.2,352.1,39.7,rrr,2.7,3.3,9.7,0.0495,Southern_California.19940120.stacov.point-2016/02/16-09:18:52 
