DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20000614,2000.4524,-321.6,274.6,7.2,rrr,3.6,4.3,13.2,0.0354,Southern_California.20000614.stacov.point-2016/02/16-09:31:17 
20000615,2000.4551,-323.5,276.0,11.8,rrr,3.7,4.4,13.4,0.0003,Southern_California.20000615.stacov.point-2016/02/16-09:31:18 
20000616,2000.4579,-321.3,275.3,12.0,rrr,3.7,4.4,14.0,0.0084,Southern_California.20000616.stacov.point-2016/02/16-09:31:19 
20000617,2000.4606,-320.9,276.3,10.0,rrr,3.8,4.5,14.5,-0.0065,Southern_California.20000617.stacov.point-2016/02/16-09:31:19 
20000619,2000.4661,-321.9,274.3,16.6,rrr,3.9,4.5,14.8,0.02,Southern_California.20000619.stacov.point-2016/02/16-09:31:21 
20000620,2000.4688,-322.9,274.9,7.2,rrr,3.7,4.5,13.9,0.0448,Southern_California.20000620.stacov.point-2016/02/16-09:31:21 
20000621,2000.4716,-323.0,274.1,2.8,rrr,3.7,4.6,13.8,0.0321,Southern_California.20000621.stacov.point-2016/02/16-09:31:22 
20000622,2000.4743,-323.5,274.9,15.6,rrr,3.7,4.6,13.9,0.0429,Southern_California.20000622.stacov.point-2016/02/16-09:31:23 
20000623,2000.477,-323.2,275.8,14.5,rrr,3.9,4.6,14.9,0.0133,Southern_California.20000623.stacov.point-2016/02/16-09:31:23 
20000624,2000.4798,-322.9,275.4,11.0,rrr,3.6,4.4,13.4,0.0127,Southern_California.20000624.stacov.point-2016/02/16-09:31:24 
20000625,2000.4825,-324.7,274.5,8.6,rrr,3.7,4.4,13.9,0.022,Southern_California.20000625.stacov.point-2016/02/16-09:31:24 
20000626,2000.4852,-323.8,274.9,12.5,rrr,3.9,4.6,14.6,0.0409,Southern_California.20000626.stacov.point-2016/02/16-09:31:25 
20000627,2000.488,-321.7,274.7,5.1,rrr,4.0,4.5,14.3,-0.0024,Southern_California.20000627.stacov.point-2016/02/16-09:31:26 
20000629,2000.4935,-323.9,273.8,4.0,rrr,3.9,4.3,14.2,-0.0319,Southern_California.20000629.stacov.point-2016/02/16-09:31:27 
20000630,2000.4962,-322.0,273.0,6.0,rrr,3.9,4.4,14.8,-0.0072,Southern_California.20000630.stacov.point-2016/02/16-09:31:28 
20000701,2000.4989,-322.6,273.7,5.5,rrr,3.9,4.4,14.3,0.0111,Southern_California.20000701.stacov.point-2016/02/16-09:31:28 
20000702,2000.5017,-325.1,273.4,7.8,rrr,3.9,4.4,14.5,-0.0208,Southern_California.20000702.stacov.point-2016/02/16-09:31:29 
20000703,2000.5044,-322.9,273.0,8.0,rrr,4.1,4.4,14.7,-0.0067,Southern_California.20000703.stacov.point-2016/02/16-09:31:30 
20000704,2000.5072,-323.0,273.4,4.0,rrr,3.7,4.3,13.7,-0.0211,Southern_California.20000704.stacov.point-2016/02/16-09:31:30 
20000705,2000.5099,-322.4,274.4,7.9,rrr,4.0,4.6,14.8,0.0088,Southern_California.20000705.stacov.point-2016/02/16-09:31:31 
20000706,2000.5126,-324.2,270.9,4.9,rrr,3.9,4.5,14.5,-0.0073,Southern_California.20000706.stacov.point-2016/02/16-09:31:32 
20000707,2000.5154,-323.3,271.8,-4.5,rrr,3.8,4.3,14.0,-0.0354,Southern_California.20000707.stacov.point-2016/02/16-09:31:32 
20000709,2000.5208,-320.4,272.6,1.0,rrr,3.9,4.4,13.9,0.025,Southern_California.20000709.stacov.point-2016/02/16-09:31:33 
20000710,2000.5236,-322.0,273.1,4.8,rrr,4.0,4.4,14.9,0.013,Southern_California.20000710.stacov.point-2016/02/16-09:31:34 
20000711,2000.5263,-319.3,271.4,7.4,rrr,3.8,4.3,13.9,-0.0223,Southern_California.20000711.stacov.point-2016/02/16-09:31:35 
20000712,2000.5291,-321.4,271.7,6.0,rrr,3.7,4.4,13.6,-0.0172,Southern_California.20000712.stacov.point-2016/02/16-09:31:35 
20000713,2000.5318,-322.6,272.7,-3.3,rrr,3.8,4.4,13.9,0.0179,Southern_California.20000713.stacov.point-2016/02/16-09:31:36 
20000714,2000.5345,-322.5,273.3,5.0,rrr,3.9,4.4,14.3,0.0352,Southern_California.20000714.stacov.point-2016/02/16-09:31:37 
20000715,2000.5373,-324.2,273.8,8.4,rrr,4.1,4.6,15.2,0.0203,Southern_California.20000715.stacov.point-2016/02/16-09:31:37 
20000716,2000.54,-321.3,272.9,3.1,rrr,3.9,4.5,14.5,0.0,Southern_California.20000716.stacov.point-2016/02/16-09:31:38 
20000717,2000.5427,-321.3,270.4,6.5,rrr,3.8,4.4,14.0,-0.0191,Southern_California.20000717.stacov.point-2016/02/16-09:31:39 
