DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19990902,1999.6694,-193.5,147.0,-1.1,rrr,2.8,3.5,10.8,-0.0864,Southern_California.19990902.stacov.point-2016/02/16-09:28:28 
19990904,1999.6748,-192.2,146.0,-1.7,rrr,2.9,3.4,10.6,-0.0971,Southern_California.19990904.stacov.point-2016/02/16-09:28:28 
19990905,1999.6776,-194.7,148.8,-2.2,rrr,2.8,3.4,10.4,-0.0884,Southern_California.19990905.stacov.point-2016/02/16-09:28:29 
19990906,1999.6803,-194.3,147.3,-5.7,rrr,2.7,3.2,9.9,-0.1142,Southern_California.19990906.stacov.point-2016/02/16-09:28:29 
19990907,1999.683,-192.6,146.5,-2.0,rrr,3.2,3.6,12.4,-0.1091,Southern_California.19990907.stacov.point-2016/02/16-09:28:30 
19990908,1999.6858,-192.7,149.3,1.0,rrr,3.1,3.5,11.5,-0.1146,Southern_California.19990908.stacov.point-2016/02/16-09:28:30 
19990909,1999.6885,-194.2,147.6,0.5,rrr,2.7,3.3,10.2,-0.0447,Southern_California.19990909.stacov.point-2016/02/16-09:28:31 
19990910,1999.6913,-191.9,145.1,-3.0,rrr,2.8,3.3,10.6,-0.0911,Southern_California.19990910.stacov.point-2016/02/16-09:28:31 
19990911,1999.694,-192.2,147.8,-0.9,rrr,2.8,3.3,10.1,-0.0628,Southern_California.19990911.stacov.point-2016/02/16-09:28:32 
19990912,1999.6967,-193.9,146.4,4.8,rrr,2.7,3.2,10.3,-0.0914,Southern_California.19990912.stacov.point-2016/02/16-09:28:32 
19990913,1999.6995,-192.4,148.1,0.4,rrr,2.7,3.2,9.9,-0.0906,Southern_California.19990913.stacov.point-2016/02/16-09:28:33 
19991021,1999.8035,-189.5,135.6,7.0,rrr,4.0,4.6,14.6,-0.1001,Southern_California.19991021.stacov.point-2016/02/16-09:28:50 
19991022,1999.8062,-190.1,139.6,3.7,rrr,4.1,4.7,16.1,-0.0911,Southern_California.19991022.stacov.point-2016/02/16-09:28:51 
19991023,1999.809,-187.9,136.3,-4.9,rrr,4.0,4.7,14.6,-0.087,Southern_California.19991023.stacov.point-2016/02/16-09:28:51 
19991024,1999.8117,-188.6,134.3,0.8,rrr,4.0,4.7,14.8,-0.1146,Southern_California.19991024.stacov.point-2016/02/16-09:28:52 
19991025,1999.8145,-187.9,136.5,-9.5,rrr,3.9,4.7,15.2,-0.0593,Southern_California.19991025.stacov.point-2016/02/16-09:28:53 
19991026,1999.8172,-188.9,135.0,3.3,rrr,3.9,4.9,16.4,-0.0458,Southern_California.19991026.stacov.point-2016/02/16-09:28:53 
19991027,1999.8199,-190.4,136.6,0.7,rrr,4.0,4.8,16.1,-0.0457,Southern_California.19991027.stacov.point-2016/02/16-09:28:54 
19991028,1999.8227,-184.6,130.1,-7.1,rrr,4.3,5.0,15.6,-0.1008,Southern_California.19991028.stacov.point-2016/02/16-09:28:54 
19991029,1999.8254,-188.3,137.2,0.0,rrr,4.4,5.2,16.7,-0.0884,Southern_California.19991029.stacov.point-2016/02/16-09:28:55 
19991030,1999.8282,-189.1,139.3,0.8,rrr,4.0,4.8,15.5,-0.0237,Southern_California.19991030.stacov.point-2016/02/16-09:28:55 
19991031,1999.831,-186.0,132.1,3.3,rrr,4.2,5.0,15.7,-0.0459,Southern_California.19991031.stacov.point-2016/02/16-09:28:56 
19991101,1999.8337,-186.9,136.9,-1.2,rrr,4.1,4.9,16.1,-0.0437,Southern_California.19991101.stacov.point-2016/02/16-09:28:57 
19991102,1999.8365,-187.7,134.4,-2.5,rrr,4.1,4.9,15.8,-0.0352,Southern_California.19991102.stacov.point-2016/02/16-09:28:57 
19991103,1999.8392,-188.0,134.1,2.8,rrr,4.2,4.9,15.4,-0.0683,Southern_California.19991103.stacov.point-2016/02/16-09:28:58 
19991104,1999.842,-191.0,136.1,8.5,rrr,4.3,4.9,15.7,-0.0842,Southern_California.19991104.stacov.point-2016/02/16-09:28:58 
19991105,1999.8447,-189.8,132.8,-0.4,rrr,4.4,5.1,16.8,-0.0458,Southern_California.19991105.stacov.point-2016/02/16-09:28:59 
19991106,1999.8474,-188.1,133.0,8.8,rrr,4.1,4.9,15.8,-0.0481,Southern_California.19991106.stacov.point-2016/02/16-09:28:59 
19991107,1999.8502,-189.5,133.7,6.0,rrr,4.1,5.0,16.0,-0.0842,Southern_California.19991107.stacov.point-2016/02/16-09:29:00 
19991108,1999.8529,-188.4,132.6,14.6,rrr,3.9,4.9,15.9,-0.0586,Southern_California.19991108.stacov.point-2016/02/16-09:29:01 
19991109,1999.8556,-191.1,136.4,-1.4,rrr,3.9,5.0,15.2,-0.1021,Southern_California.19991109.stacov.point-2016/02/16-09:29:01 
19991110,1999.8584,-190.5,134.3,0.0,rrr,4.0,5.0,16.1,-0.0904,Southern_California.19991110.stacov.point-2016/02/16-09:29:02 
19991111,1999.8611,-186.9,135.2,2.5,rrr,4.0,5.0,15.7,-0.108,Southern_California.19991111.stacov.point-2016/02/16-09:29:02 
19991112,1999.8639,-188.8,134.0,5.2,rrr,4.1,5.0,15.9,-0.097,Southern_California.19991112.stacov.point-2016/02/16-09:29:03 
19991113,1999.8666,-187.7,130.2,5.2,rrr,4.2,4.9,16.2,-0.0563,Southern_California.19991113.stacov.point-2016/02/16-09:29:04 
19991114,1999.8693,-187.7,131.4,-3.5,rrr,4.1,5.2,16.2,-0.1573,Southern_California.19991114.stacov.point-2016/02/16-09:29:04 
19991115,1999.8721,-190.0,133.5,1.8,rrr,4.2,5.2,16.9,-0.0788,Southern_California.19991115.stacov.point-2016/02/16-09:29:05 
19991116,1999.8748,-188.6,133.5,7.1,rrr,4.1,4.9,15.1,-0.1264,Southern_California.19991116.stacov.point-2016/02/16-09:29:05 
19991117,1999.8775,-187.9,132.5,-2.4,rrr,3.9,4.8,16.0,-0.0273,Southern_California.19991117.stacov.point-2016/02/16-09:29:06 
19991118,1999.8803,-187.1,138.6,1.9,rrr,3.9,4.8,14.8,-0.0613,Southern_California.19991118.stacov.point-2016/02/16-09:29:06 
19991119,1999.883,-187.2,132.0,-4.8,rrr,4.1,5.0,15.7,-0.0824,Southern_California.19991119.stacov.point-2016/02/16-09:29:07 
