DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20150109,2015.0237,-76.8,72.7,10.6,rrr,2.3,2.7,7.7,0.0478,Southern_California.20150109.stacov.point-2016/02/16-12:19:50 
20150110,2015.0264,-75.9,72.0,4.6,rrr,2.3,2.5,7.8,0.0498,Southern_California.20150110.stacov.point-2016/02/16-12:19:55 
20150111,2015.0291,-75.9,72.2,5.7,rrr,2.3,2.6,7.8,0.0443,Southern_California.20150111.stacov.point-2016/02/16-12:20:02 
20150112,2015.0319,-77.2,73.7,-0.4,rrr,2.3,2.6,7.5,0.0739,Southern_California.20150112.stacov.point-2016/02/16-12:20:06 
20150113,2015.0346,-76.7,73.0,1.2,rrr,2.3,2.6,7.5,0.0686,Southern_California.20150113.stacov.point-2016/02/16-12:20:08 
20150114,2015.0373,-77.3,72.6,4.5,rrr,2.3,2.6,7.5,0.0713,Southern_California.20150114.stacov.point-2016/02/16-12:20:11 
20150115,2015.0401,-76.7,73.5,0.6,rrr,2.3,2.6,7.5,0.0719,Southern_California.20150115.stacov.point-2016/02/16-12:20:14 
20150116,2015.0428,-78.1,72.5,-0.2,rrr,2.3,2.6,7.7,0.0499,Southern_California.20150116.stacov.point-2016/02/16-12:20:18 
20150117,2015.0456,-76.0,72.3,0.3,rrr,2.3,2.6,7.7,0.0485,Southern_California.20150117.stacov.point-2016/02/16-12:20:20 
20150118,2015.0483,-78.1,71.7,6.0,rrr,2.3,2.6,7.7,0.039,Southern_California.20150118.stacov.point-2016/02/16-12:20:21 
20150119,2015.051,-77.4,71.2,-0.8,rrr,2.3,2.6,7.7,0.053,Southern_California.20150119.stacov.point-2016/02/16-12:20:24 
20150120,2015.0538,-76.2,71.5,0.5,rrr,2.3,2.5,7.8,0.0618,Southern_California.20150120.stacov.point-2016/02/16-12:20:29 
20150121,2015.0565,-78.0,71.5,-0.5,rrr,2.3,2.6,7.5,0.0641,Southern_California.20150121.stacov.point-2016/02/16-12:20:31 
20150122,2015.0593,-77.5,71.3,0.0,rrr,2.3,2.6,7.5,0.0602,Southern_California.20150122.stacov.point-2016/02/16-12:20:36 
20150123,2015.062,-77.2,72.0,-0.7,rrr,2.3,2.6,7.7,0.0534,Southern_California.20150123.stacov.point-2016/02/16-12:20:39 
20150124,2015.0647,-78.9,70.6,0.8,rrr,2.4,2.8,8.0,0.0506,Southern_California.20150124.stacov.point-2016/02/16-12:20:40 
20150125,2015.0675,-78.1,71.5,6.4,rrr,2.3,2.6,7.7,0.0297,Southern_California.20150125.stacov.point-2016/02/16-12:20:45 
20150126,2015.0702,-74.9,72.0,10.2,rrr,2.3,2.6,7.8,0.0555,Southern_California.20150126.stacov.point-2016/02/16-12:20:51 
20150127,2015.0729,-77.6,72.2,-5.0,rrr,2.4,2.6,7.7,0.0448,Southern_California.20150127.stacov.point-2016/02/16-12:20:54 
20150128,2015.0757,-76.5,72.4,-2.4,rrr,2.3,2.6,7.5,0.0592,Southern_California.20150128.stacov.point-2016/02/16-12:21:02 
20150129,2015.0784,-76.7,72.0,-0.4,rrr,2.3,2.6,7.7,0.0368,Southern_California.20150129.stacov.point-2016/02/16-12:21:06 
20150130,2015.0812,-78.1,71.5,1.5,rrr,2.3,2.5,7.8,0.0446,Southern_California.20150130.stacov.point-2016/02/16-12:21:09 
